fusion,CCLE_Omics,Breast,sources,source_count
ABL1--BCR,1,1,"CCLE_Omics,Breast",2
ADAMTS19--SLC27A6,1,1,"CCLE_Omics,Breast",2
AHCYL1--RAD51C,1,1,"CCLE_Omics,Breast",2
AK7--PAPOLA,1,1,"CCLE_Omics,Breast",2
AP4B1-AS1--RSBN1,1,1,"CCLE_Omics,Breast",2
ARFGEF2--SULF2,1,1,"CCLE_Omics,Breast",2
ATAD5--TLK2,1,1,"CCLE_Omics,Breast",2
ATP1A1--ZFP64,1,1,"CCLE_Omics,Breast",2
ATXN7--BCAS3,1,1,"CCLE_Omics,Breast",2
ATXN7--RAD51C,1,1,"CCLE_Omics,Breast",2
ATXN7L3--FAM171A2,1,1,"CCLE_Omics,Breast",2
B3GNTL1--SLC9A8,1,1,"CCLE_Omics,Breast",2
BCAS3--BCAS4,1,1,"CCLE_Omics,Breast",2
BCAS4--ZMYND8,1,1,"CCLE_Omics,Breast",2
BRIP1--TAF4,1,1,"CCLE_Omics,Breast",2
CARM1--SMARCA4,1,1,"CCLE_Omics,Breast",2
CCDC170--ESR1,1,1,"CCLE_Omics,Breast",2
CCDC85C--SETD3,1,1,"CCLE_Omics,Breast",2
COLEC10--TAF2,1,1,"CCLE_Omics,Breast",2
CPNE1--PREX1,1,1,"CCLE_Omics,Breast",2
CYTH1--EIF3H,1,1,"CCLE_Omics,Breast",2
DEPDC1B--ELOVL7,1,1,"CCLE_Omics,Breast",2
DHX35--ITCH,1,1,"CCLE_Omics,Breast",2
DIAPH3--RPS6KB1,1,1,"CCLE_Omics,Breast",2
DPH7--PNPLA7,1,1,"CCLE_Omics,Breast",2
EIF3D--MYH9,1,1,"CCLE_Omics,Breast",2
FBXL7--TRIO,1,1,"CCLE_Omics,Breast",2
FCHO1--MYO9B,1,1,"CCLE_Omics,Breast",2
GATAD2B--NUP210L,1,1,"CCLE_Omics,Breast",2
GPR37L1--NAV1,1,1,"CCLE_Omics,Breast",2
GSDMB--TATDN1,1,1,"CCLE_Omics,Breast",2
HSP90AB1--SLC29A1,1,1,"CCLE_Omics,Breast",2
KCND3--PPM1E,1,1,"CCLE_Omics,Breast",2
KLHDC2--SNTB1,1,1,"CCLE_Omics,Breast",2
LMCD1-AS1--MECOM,1,1,"CCLE_Omics,Breast",2
LRRFIP2--SUMF1,1,1,"CCLE_Omics,Breast",2
MATN2--POP1,1,1,"CCLE_Omics,Breast",2
MBTD1--SPAG9,1,1,"CCLE_Omics,Breast",2
MYO6--SENP6,1,1,"CCLE_Omics,Breast",2
NUP214--XKR3,1,1,"CCLE_Omics,Breast",2
PICALM--SYTL2,1,1,"CCLE_Omics,Breast",2
PKIA--RARA,1,1,"CCLE_Omics,Breast",2
PLCG1--TOP1,1,1,"CCLE_Omics,Breast",2
PRICKLE2--SULF2,1,1,"CCLE_Omics,Breast",2
RGS17--TBL1XR1,1,1,"CCLE_Omics,Breast",2
RPS6KB1--VMP1,1,1,"CCLE_Omics,Breast",2
SCAMP2--WDR72,1,1,"CCLE_Omics,Breast",2
SYAP1--TXLNG,1,1,"CCLE_Omics,Breast",2
TBC1D31--ZNF704,1,1,"CCLE_Omics,Breast",2
AAK1--HSPD1,1,0,CCLE_Omics,1
ABAT--PMM2,1,0,CCLE_Omics,1
ABCA5--UNK,1,0,CCLE_Omics,1
ABCB7--ZDHHC15,1,0,CCLE_Omics,1
ABCC5--PARL,1,0,CCLE_Omics,1
ABHD2--NQO1,1,0,CCLE_Omics,1
ABI2--NBEAL1,1,0,CCLE_Omics,1
ABL1--NUP214,1,0,CCLE_Omics,1
ABRAXAS1--COQ2,1,0,CCLE_Omics,1
ABRAXAS1--HELQ,1,0,CCLE_Omics,1
ABRAXAS2--EEF1AKMT2,1,0,CCLE_Omics,1
ACACA--HLCS,1,0,CCLE_Omics,1
ACACA--SYNRG,1,0,CCLE_Omics,1
ACAD11--STAG1,1,0,CCLE_Omics,1
ACAP3--RPL13A,1,0,CCLE_Omics,1
ACAT1--RAB39A,1,0,CCLE_Omics,1
ACBD6--MT-ATP8,1,0,CCLE_Omics,1
ACBD6--XPR1,1,0,CCLE_Omics,1
ACOT7--KCNAB2,1,0,CCLE_Omics,1
ACOT7--NPHP4,1,0,CCLE_Omics,1
ACTB--CAPZA2,1,0,CCLE_Omics,1
ACTB--CLU,1,0,CCLE_Omics,1
ACTB--CSTB,1,0,CCLE_Omics,1
ACTB--DBNL,1,0,CCLE_Omics,1
ACTB--EEF1A1,1,0,CCLE_Omics,1
ACTB--EEF2,1,0,CCLE_Omics,1
ACTB--ENO1,1,0,CCLE_Omics,1
ACTB--FBL,1,0,CCLE_Omics,1
ACTB--FN1,1,0,CCLE_Omics,1
ACTB--FTH1,1,0,CCLE_Omics,1
ACTB--FTL,1,0,CCLE_Omics,1
ACTB--FUS,1,0,CCLE_Omics,1
ACTB--GAPDH,1,0,CCLE_Omics,1
ACTB--GNAS,1,0,CCLE_Omics,1
ACTB--KRT19,1,0,CCLE_Omics,1
ACTB--KRT7,1,0,CCLE_Omics,1
ACTB--LGALS3BP,1,0,CCLE_Omics,1
ACTB--MT-ATP6,1,0,CCLE_Omics,1
ACTB--MT-ATP8,1,0,CCLE_Omics,1
ACTB--MT-CO1,1,0,CCLE_Omics,1
ACTB--MT-CYB,1,0,CCLE_Omics,1
ACTB--MT-ND1,1,0,CCLE_Omics,1
ACTB--MT-ND4,1,0,CCLE_Omics,1
ACTB--MT-ND4L,1,0,CCLE_Omics,1
ACTB--MT-ND5,1,0,CCLE_Omics,1
ACTB--MT-RNR1,1,0,CCLE_Omics,1
ACTB--MT-RNR2,1,0,CCLE_Omics,1
ACTB--OAZ1,1,0,CCLE_Omics,1
ACTB--PAFAH1B3,1,0,CCLE_Omics,1
ACTB--PLP2,1,0,CCLE_Omics,1
ACTB--PPIA,1,0,CCLE_Omics,1
ACTB--PSAP,1,0,CCLE_Omics,1
ACTB--PTMA,1,0,CCLE_Omics,1
ACTB--RNF216,1,0,CCLE_Omics,1
ACTB--RNPS1,1,0,CCLE_Omics,1
ACTB--RPL17-C18orf32,1,0,CCLE_Omics,1
ACTB--RPL18,1,0,CCLE_Omics,1
ACTB--RPL34,1,0,CCLE_Omics,1
ACTB--RPL37A,1,0,CCLE_Omics,1
ACTB--RPL7,1,0,CCLE_Omics,1
ACTB--RPL7A,1,0,CCLE_Omics,1
ACTB--RPS11,1,0,CCLE_Omics,1
ACTB--SARAF,1,0,CCLE_Omics,1
ACTB--SCAF11,1,0,CCLE_Omics,1
ACTB--SFPQ,1,0,CCLE_Omics,1
ACTB--STOML2,1,0,CCLE_Omics,1
ACTB--TPT1,1,0,CCLE_Omics,1
ACTB--TUBA1C,1,0,CCLE_Omics,1
ACTB--TUBB4B,1,0,CCLE_Omics,1
ACTB--UBB,1,0,CCLE_Omics,1
ACTB--UBC,1,0,CCLE_Omics,1
ACTB--VIM,1,0,CCLE_Omics,1
ACTB--YBX1,1,0,CCLE_Omics,1
ACTB--ZYX,1,0,CCLE_Omics,1
