"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","NM_001003&NM_152486","RPLP1&SAMD11","NOC2L&RPLP1#RPLP1&SAMD11",0.5,0.5,"7450.89&2.67","7450.89&2.67"
"2","NM_015658&NM_001003","NOC2L&RPLP1","NOC2L&RPLP1#RPLP1&SAMD11",0.5,0.5,"21.33&7450.89","21.33&7450.89"
"3","undefined","undefined","NOC2L&RPLP1#RPLP1&SAMD11",0,0,"undefined","undefined"
"4","undefined","undefined","CPSF3L&EEF1E1#CPSF3L&EEF1E1-BLOC1S5",1,1,"undefined","undefined"
"5","NM_017971&NM_001123363_1","MRPL20&RGPD6","MRPL20&RGPD5#MRPL20&RGPD6#MRPL20&RGPD8",0.333333333333333,0.333333333333333,"389.99&12.5","389.99&0"
"6","NM_017971&NM_001164463","MRPL20&RGPD8","MRPL20&RGPD5#MRPL20&RGPD6#MRPL20&RGPD8",0.333333333333333,0.333333333333333,"389.99&12.5","389.99&12.5"
"7","NM_017971&NM_005054","MRPL20&RGPD5","MRPL20&RGPD5#MRPL20&RGPD6#MRPL20&RGPD8",0.333333333333333,0.333333333333333,"389.99&0","389.99&0"
"8","undefined","undefined","MRPL20&RGPD5#MRPL20&RGPD6#MRPL20&RGPD8",0,0,"undefined","undefined"
"9","undefined","undefined","LOC102724450&RPL22&undefined#RNF207&RPL22&undefined",1,1,"undefined","undefined"
"10","NR_038934&NM_001004067","CAMTA1&NOMO3","CAMTA1&NOMO2#CAMTA1&NOMO3",0.5,0.5,"30.89&33.96","122.98&33.96"
"11","NR_038934&NM_173614","CAMTA1&NOMO2","CAMTA1&NOMO2#CAMTA1&NOMO3",0.5,0.5,"30.89&0.04","122.98&0"
"12","undefined","undefined","CAMTA1&NOMO2#CAMTA1&NOMO3",0,0,"undefined","undefined"
"13","NM_001286836_2&NM_001123377","CBWD5&PARK7","CBWD3&PARK7#CBWD5&PARK7",0.333333333333333,0.333333333333333,"71&444.19","3.68&444.19"
"14","NM_001291821&NM_001123377","CBWD3&PARK7","CBWD3&PARK7#CBWD5&PARK7",0.333333333333333,0.333333333333333,"0&444.19","0&444.19"
"15","NM_201453&NM_001123377","CBWD3&PARK7","CBWD3&PARK7#CBWD5&PARK7",0.333333333333333,0.333333333333333,"11.23&444.19","0&444.19"
"16","undefined","undefined","CBWD3&PARK7#CBWD5&PARK7",0,0,"undefined","undefined"
"17","undefined","undefined","F8&PARK7#F8A1&PARK7#F8A2&PARK7#F8A3&PARK7#H2AFB1&PARK7#H2AFB2&PARK7#H2AFB3&PARK7#MIR1184-1&PARK7#MIR1184-2&PARK7#MIR1184-3&PARK7",1,1,"undefined","undefined"
"18","undefined","undefined","GALNT10&PARK7#PARK7&SAP30L-AS1",1,1,"undefined","undefined"
"19","undefined","undefined","ENO1&NME1-NME2#ENO1&NME2",1,1,"undefined","undefined"
"20","undefined","undefined","FAM25C&SDHB#FAM25G&SDHB",1,1,"undefined","undefined"
"21","NM_001282162&NR_003287_3","CAPZB&RNA28S5","CAPZB&RNA28S5#CAPZB&RNA45S5",0.25,0.25,"0&12","0&1"
"22","NM_001282162&NR_046235","CAPZB&RNA45S5","CAPZB&RNA28S5#CAPZB&RNA45S5",0.25,0.25,"0&13.5","0&13.5"
"23","NM_004930&NR_003287_3","CAPZB&RNA28S5","CAPZB&RNA28S5#CAPZB&RNA45S5",0.25,0.25,"143&12","0&1"
