"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","NM_000984&NM_152486&NM_004559","RPL23A&SAMD11&YBX1","NOC2L&RPL23A&YBX1#RPL23A&SAMD11&YBX1",0.5,0.5,"1879&4.13&569","1879&4.13&569"
"2","NM_015658&NM_000984&NM_004559","NOC2L&RPL23A&YBX1","NOC2L&RPL23A&YBX1#RPL23A&SAMD11&YBX1",0.5,0.5,"28.87&1879&569","28.87&1879&569"
"3","undefined","undefined","NOC2L&RPL23A&YBX1#RPL23A&SAMD11&YBX1",0,0,"undefined","undefined"
"4","undefined","undefined","ACAP3&CPSF3L&EIF3C&SDF4#ACAP3&CPSF3L&EIF3CL&SDF4",1,1,"undefined","undefined"
"5","NM_002415&NM_002617","MIF&PEX10","MIF&PEX10#MIF-AS1&PEX10",0.5,0.5,"163.66&11.94","163.66&11.94"
"6","NR_038911&NM_002617","MIF-AS1&PEX10","MIF&PEX10#MIF-AS1&PEX10",0.5,0.5,"332.34&11.94","332.34&11.94"
"7","undefined","undefined","MIF&PEX10#MIF-AS1&PEX10",0,0,"undefined","undefined"
"8","NM_001428&NM_001004333","ENO1&RNASEK","ENO1&RNASEK#ENO1&RNASEK-C17orf49",0.333333333333333,0.333333333333333,"2305.99&35.77","0.01&35.77"
"9","NM_001428&NR_037716","ENO1&RNASEK","ENO1&RNASEK#ENO1&RNASEK-C17orf49",0.333333333333333,0.333333333333333,"2305.99&35.77","0.01&35.77"
"10","NM_001428&NR_037717","ENO1&RNASEK-C17orf49","ENO1&RNASEK#ENO1&RNASEK-C17orf49",0.333333333333333,0.333333333333333,"2305.99&36.42","0.01&36.42"
"11","undefined","undefined","ENO1&RNASEK#ENO1&RNASEK-C17orf49",0,0,"undefined","undefined"
"12","NM_001428&NM_001039619","ENO1&PRMT5","ENO1&PRMT5#ENO1&PRMT5-AS1",0.125,0.125,"2305.99&0","0.01&0"
"13","NM_001428&NM_001282953","ENO1&PRMT5","ENO1&PRMT5#ENO1&PRMT5-AS1",0.125,0.125,"2305.99&0","0.01&0"
"14","NM_001428&NM_001282954","ENO1&PRMT5","ENO1&PRMT5#ENO1&PRMT5-AS1",0.125,0.125,"2305.99&0","0.01&0"
"15","NM_001428&NM_001282955","ENO1&PRMT5","ENO1&PRMT5#ENO1&PRMT5-AS1",0.125,0.125,"2305.99&0","0.01&0"
"16","NM_001428&NM_001282956","ENO1&PRMT5","ENO1&PRMT5#ENO1&PRMT5-AS1",0.125,0.125,"2305.99&0","0.01&0"
"17","NM_001428&NM_006109","ENO1&PRMT5","ENO1&PRMT5#ENO1&PRMT5-AS1",0.125,0.125,"2305.99&71","0.01&0"
"18","NM_001428&NR_120599","ENO1&PRMT5-AS1","ENO1&PRMT5#ENO1&PRMT5-AS1",0.125,0.125,"2305.99&0","0.01&0"
"19","NM_001428&NR_120600","ENO1&PRMT5-AS1","ENO1&PRMT5#ENO1&PRMT5-AS1",0.125,0.125,"2305.99&0","0.01&0"
"20","undefined","undefined","ENO1&PRMT5#ENO1&PRMT5-AS1",0,0,"undefined","undefined"
"21","undefined","undefined","BOLA2&MIR3680-1&PGD#BOLA2&MIR3680-2&PGD#BOLA2B&MIR3680-1&PGD#BOLA2B&MIR3680-2&PGD",1,1,"undefined","undefined"
"22","undefined","undefined","ADK&SPEN#LOC102723439&SPEN",1,1,"undefined","undefined"
"23","NM_032409&NM_012423","PINK1&RPL13A","PINK1&RPL13A#PINK1-AS&RPL13A",0.5,0.5,"15&2099.84","15&0"
"24","NR_046507&NM_012423","PINK1-AS&RPL13A","PINK1&RPL13A#PINK1-AS&RPL13A",0.5,0.5,"0&2099.84","0&0"
"25","undefined","undefined","PINK1&RPL13A#PINK1-AS&RPL13A",0,0,"undefined","undefined"
"26","NM_001184979&NR_037926","NDUFS5&SENP3-EIF4A1","EIF4A1&NDUFS5#NDUFS5&SENP3-EIF4A1",0.25,0.25,"0.02&686.18","0.02&686.18"
"27","NM_001416&NM_001184979","EIF4A1&NDUFS5","EIF4A1&NDUFS5#NDUFS5&SENP3-EIF4A1",0.25,0.25,"500.82&0.02","0&0.02"
"28","NM_001416&NM_004552","EIF4A1&NDUFS5","EIF4A1&NDUFS5#NDUFS5&SENP3-EIF4A1",0.25,0.25,"500.82&188.98","0&0.02"
