"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","NR_003287_3&NM_000983","RNA28S5&RPL22","RNA28S5&RPL22#RNA45S5&RPL22",0.5,0.5,"0&83","7.18&83"
"2","NR_046235&NM_000983","RNA45S5&RPL22","RNA28S5&RPL22#RNA45S5&RPL22",0.5,0.5,"8&83","8&83"
"3","undefined","undefined","RNA28S5&RPL22#RNA45S5&RPL22",0,0,"undefined","undefined"
"4","NM_001428&NM_001199535","ENO1&TGIF2-C20orf24","C20orf24&ENO1#ENO1&TGIF2-C20orf24",0.5,0.5,"420&0","0&0"
"5","NM_018840&NM_001428","C20orf24&ENO1","C20orf24&ENO1#ENO1&TGIF2-C20orf24",0.5,0.5,"180.35&420","2.11&0"
"6","undefined","undefined","C20orf24&ENO1#ENO1&TGIF2-C20orf24",0,0,"undefined","undefined"
"7","undefined","undefined","PRAME&PRAMEF10&PRAMEF25&undefined#PRAME&PRAMEF10&PRAMEF26&undefined",1,1,"undefined","undefined"
"8","undefined","undefined","HNRNPC&HNRNPCL3#HNRNPC&HNRNPCL4",1,1,"undefined","undefined"
"9","NM_001204084&NM_001025","NBL1&RPS23","MINOS1-NBL1&RPS23#NBL1&RPS23",0.1,0.1,"0&163","0&163"
"10","NM_001204085&NM_001025","NBL1&RPS23","MINOS1-NBL1&RPS23#NBL1&RPS23",0.1,0.1,"0&163","0&163"
"11","NM_001204086&NM_001025","NBL1&RPS23","MINOS1-NBL1&RPS23#NBL1&RPS23",0.1,0.1,"0&163","0&163"
"12","NM_001204088&NM_001025","MINOS1-NBL1&RPS23","MINOS1-NBL1&RPS23#NBL1&RPS23",0.1,0.1,"0&163","0&163"
"13","NM_001204089&NM_001025","MINOS1-NBL1&RPS23","MINOS1-NBL1&RPS23#NBL1&RPS23",0.1,0.1,"0&163","0&163"
"14","NM_001278164&NM_001025","NBL1&RPS23","MINOS1-NBL1&RPS23#NBL1&RPS23",0.1,0.1,"0&163","0&163"
"15","NM_001278165&NM_001025","NBL1&RPS23","MINOS1-NBL1&RPS23#NBL1&RPS23",0.1,0.1,"0&163","0&163"
"16","NM_001278166&NM_001025","NBL1&RPS23","MINOS1-NBL1&RPS23#NBL1&RPS23",0.1,0.1,"0&163","0&163"
