"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","CDK11B&GNB1&MYOM1&SLC35E2&undefined#GNB1&MMP23A&MYOM1&SLC35E2&undefined",1,1,"undefined","undefined"
"2","NM_001289912&NM_001304451","LOC400927-CSNK1E&PGD","LOC400927&PGD#LOC400927-CSNK1E&PGD",0.166666666666667,0.166666666666667,"1&0","1&0"
"3","NM_001289912&NM_001304452","LOC400927-CSNK1E&PGD","LOC400927&PGD#LOC400927-CSNK1E&PGD",0.166666666666667,0.166666666666667,"1&0","1&0"
"4","NM_001289912&NM_002631","LOC400927-CSNK1E&PGD","LOC400927&PGD#LOC400927-CSNK1E&PGD",0.166666666666667,0.166666666666667,"1&14","1&0"
"5","NR_002821&NM_001304451","LOC400927&PGD","LOC400927&PGD#LOC400927-CSNK1E&PGD",0.166666666666667,0.166666666666667,"0&0","0&0"
"6","NR_002821&NM_001304452","LOC400927&PGD","LOC400927&PGD#LOC400927-CSNK1E&PGD",0.166666666666667,0.166666666666667,"0&0","0&0"
"7","NR_002821&NM_002631","LOC400927&PGD","LOC400927&PGD#LOC400927-CSNK1E&PGD",0.166666666666667,0.166666666666667,"0&14","0&0"
"8","undefined","undefined","LOC400927&PGD#LOC400927-CSNK1E&PGD",0,0,"undefined","undefined"
"9","undefined","undefined","C21orf140&SZRD1#C21orf33&SZRD1#CBS&SZRD1#CRYAA&SZRD1#ICOSLG&SZRD1#LINC00313&SZRD1#LINC00319&SZRD1#MIR3648-1&SZRD1#MIR3648-2&SZRD1#PWP2&SZRD1#SIK1&SZRD1#SMIM11&SZRD1#SZRD1&U2AF1",1,1,"undefined","undefined"
"10","undefined","undefined","FAM231D&NBPF1#LOC388692&NBPF1",1,1,"undefined","undefined"
"11","undefined","undefined","MINOS1&PSPC1&RPS14P3#MINOS1-NBL1&PSPC1&RPS14P3",1,1,"undefined","undefined"
"12","undefined","undefined","DDOST&KANSL2#KANSL2&PINK1-AS",1,1,"undefined","undefined"
"13","undefined","undefined","CDC42&FAM231D#CDC42&LINC01138#CDC42&LOC388692#CDC42&NUDT4P1#CDC42&NUDT4P2",1,1,"undefined","undefined"
"14","undefined","undefined","BOLA2&EPB41#BOLA2B&EPB41#EPB41&LOC388242#EPB41&LOC606724#EPB41&LOC613038#EPB41&SLX1A#EPB41&SLX1A-SULT1A3#EPB41&SLX1B#EPB41&SLX1B-SULT1A4#EPB41&SMG1P2#EPB41&SULT1A3#EPB41&SULT1A4",1,1,"undefined","undefined"
"15","undefined","undefined","C21orf140&KPNA6#C21orf33&KPNA6#CBS&KPNA6#CRYAA&KPNA6#ICOSLG&KPNA6#KPNA6&LINC00313#KPNA6&LINC00319#KPNA6&PWP2#KPNA6&SIK1#KPNA6&SMIM11#KPNA6&U2AF1",1,1,"undefined","undefined"
"16","undefined","undefined","RBBP4&undefined&ZBTB8OS#SYNC&undefined&ZBTB8OS",1,1,"undefined","undefined"
"17","undefined","undefined","HIST2H2AA3&THRAP3#HIST2H2AA4&THRAP3#HIST2H3A&THRAP3#HIST2H3C&THRAP3#HIST2H4A&THRAP3#HIST2H4B&THRAP3",1,1,"undefined","undefined"
"18","undefined","undefined","HIST2H4A&THRAP3#HIST2H4B&THRAP3",1,1,"undefined","undefined"
"19","NM_001038707&NM_013285","CDC42SE1&GNL2","C1orf56&GNL2#CDC42SE1&GNL2",0.333333333333333,0.333333333333333,"5.3&3","5.3&3"
"20","NM_017860&NM_013285","C1orf56&GNL2","C1orf56&GNL2#CDC42SE1&GNL2",0.333333333333333,0.333333333333333,"2&3","2&3"
