"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","C1orf159&C20orf166-AS1&RPS21#C1orf159&MIR1-1HG&RPS21",1,1,"undefined","undefined"
"2","undefined","undefined","AARSD1&C1orf233#C1orf233&PTGES3L-AARSD1",1,1,"undefined","undefined"
"3","undefined","undefined","C21orf140&CDK11B#C21orf33&CDK11B#CBS&CDK11B#CDK11B&CRYAA#CDK11B&ICOSLG#CDK11B&LINC00313#CDK11B&LINC00319#CDK11B&MIR3648-1#CDK11B&MIR3648-2#CDK11B&PWP2#CDK11B&SIK1#CDK11B&SMIM11#CDK11B&U2AF1",1,1,"undefined","undefined"
"4","undefined","undefined","HIST2H2AA3&RPL22#HIST2H2AA4&RPL22#HIST2H3A&RPL22#HIST2H3C&RPL22#HIST2H4A&RPL22#HIST2H4B&RPL22",1,1,"undefined","undefined"
"5","NM_001201483&NR_003286_3","ENO1&RNA18S5","ENO1&RNA18S5#ENO1&RNA45S5",0.25,0.25,"1.25&0","1.25&6"
"6","NM_001201483&NR_046235_1","ENO1&RNA45S5","ENO1&RNA18S5#ENO1&RNA45S5",0.25,0.25,"1.25&120","1.25&36"
"7","NM_001428&NR_003286_3","ENO1&RNA18S5","ENO1&RNA18S5#ENO1&RNA45S5",0.25,0.25,"5394.75&0","1.25&6"
"8","NM_001428&NR_046235_1","ENO1&RNA45S5","ENO1&RNA18S5#ENO1&RNA45S5",0.25,0.25,"5394.75&120","1.25&36"
"9","undefined","undefined","ENO1&RNA18S5#ENO1&RNA45S5",0,0,"undefined","undefined"
"10","NM_001428&NM_006758","ENO1&U2AF1","C21orf140&ENO1#C21orf33&ENO1#CBS&ENO1#CRYAA&ENO1#ENO1&ICOSLG#ENO1&LINC00313#ENO1&LINC00319#ENO1&PWP2#ENO1&SIK1#ENO1&SMIM11#ENO1&U2AF1",0.5,1,"5394.75&237.57","1.25&134.89"
"11","undefined","undefined","C21orf140&ENO1#C21orf33&ENO1#CBS&ENO1#CRYAA&ENO1#ENO1&ICOSLG#ENO1&LINC00313#ENO1&LINC00319#ENO1&PWP2#ENO1&SIK1#ENO1&SMIM11#ENO1&U2AF1",0.5,1,"undefined","undefined"
"12","NM_001136204&NR_003286_3","RCC2&RNA18S5","RCC2&RNA18S5#RCC2&RNA45S5",0.25,0.25,"54.86&0","54.86&6"
"13","NM_001136204&NR_046235_1","RCC2&RNA45S5","RCC2&RNA18S5#RCC2&RNA45S5",0.25,0.25,"54.86&120","54.86&36"
"14","NM_018715&NR_003286_3","RCC2&RNA18S5","RCC2&RNA18S5#RCC2&RNA45S5",0.25,0.25,"376.14&0","54.86&6"
"15","NM_018715&NR_046235_1","RCC2&RNA45S5","RCC2&RNA18S5#RCC2&RNA45S5",0.25,0.25,"376.14&120","54.86&36"
"16","undefined","undefined","RCC2&RNA18S5#RCC2&RNA45S5",0,0,"undefined","undefined"
"17","NM_032880&NM_001207024","IGSF21&M6PR","IGSF21&M6PR#IGSF21&PHC1",0.333333333333333,0.333333333333333,"40&0","40&0"
"18","NM_032880&NM_002355","IGSF21&M6PR","IGSF21&M6PR#IGSF21&PHC1",0.333333333333333,0.333333333333333,"40&158.78","40&0"
