"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","NM_000989&NM_152486","RPL30&SAMD11","NOC2L&RPL30#RPL30&SAMD11",0.5,0.5,"10761&0","10761&0"
"2","NM_015658&NM_000989","NOC2L&RPL30","NOC2L&RPL30#RPL30&SAMD11",0.5,0.5,"158&10761","158&10761"
"3","undefined","undefined","NOC2L&RPL30#RPL30&SAMD11",0,0,"undefined","undefined"
"4","undefined","undefined","AURKAIP1&C21orf140#AURKAIP1&C21orf33#AURKAIP1&CBS#AURKAIP1&CRYAA#AURKAIP1&ICOSLG#AURKAIP1&LINC00313#AURKAIP1&LINC00319#AURKAIP1&MIR3648-1#AURKAIP1&MIR3648-2#AURKAIP1&PWP2#AURKAIP1&SIK1#AURKAIP1&SMIM11#AURKAIP1&U2AF1",1,1,"undefined","undefined"
"5","NM_002107&NM_003036","H3F3A&SKI","H3F3A&SKI#H3F3AP4&SKI",0.5,0.5,"411.72&57","411.72&57"
"6","NR_002315&NM_003036","H3F3AP4&SKI","H3F3A&SKI#H3F3AP4&SKI",0.5,0.5,"68.28&57","68.28&57"
"7","undefined","undefined","H3F3A&SKI#H3F3AP4&SKI",0,0,"undefined","undefined"
"8","NM_007033&NM_003097","RER1&SNRPN","RER1&SNRPN#RER1&SNURF",0,0,"421.15&110.99","421.15&110.99"
"9","NM_007033&NM_005678","RER1&SNURF","RER1&SNRPN#RER1&SNURF",0,0,"421.15&110.99","421.15&110.99"
"10","undefined","undefined","RER1&SNRPN#RER1&SNURF",1,1,"undefined","undefined"
"11","undefined","undefined","FAM231D&PARK7#LOC388692&PARK7#NUDT4P1&PARK7#NUDT4P2&PARK7",1,1,"undefined","undefined"
"12","NM_001129887&NM_001428","DNAJC2&ENO1","DNAJC2&ENO1#ENO1&PMPCB",0.333333333333333,0.333333333333333,"1.08&9917.76","1.08&1.24"
"13","NM_001428&NM_004279","ENO1&PMPCB","DNAJC2&ENO1#ENO1&PMPCB",0.333333333333333,0.333333333333333,"9917.76&143.71","1.24&143.71"
"14","NM_014377&NM_001428","DNAJC2&ENO1","DNAJC2&ENO1#ENO1&PMPCB",0.333333333333333,0.333333333333333,"58.21&9917.76","1.08&1.24"
"15","undefined","undefined","DNAJC2&ENO1#ENO1&PMPCB",0,0,"undefined","undefined"
"16","NM_001201483&NR_003286","ENO1&RNA18S5","ENO1&RNA18S5#ENO1&RNA45S5",0.166666666666667,0.5,"1.24&10","1.24&10"
"17","NM_001201483&NR_003286_1","ENO1&RNA18S5","ENO1&RNA18S5#ENO1&RNA45S5",0.166666666666667,0.5,"1.24&20","1.24&10"
"18","NM_001201483&NR_003286_3","ENO1&RNA18S5","ENO1&RNA18S5#ENO1&RNA45S5",0.0833333333333333,0.25,"1.24&0","1.24&10"
"19","NM_001201483&NR_046235_1","ENO1&RNA45S5","ENO1&RNA18S5#ENO1&RNA45S5",0.0833333333333333,0.25,"1.24&84","1.24&17"
"20","NM_001428&NR_003286","ENO1&RNA18S5","ENO1&RNA18S5#ENO1&RNA45S5",0.166666666666667,0.5,"9917.76&10","1.24&10"
"21","NM_001428&NR_003286_1","ENO1&RNA18S5","ENO1&RNA18S5#ENO1&RNA45S5",0.166666666666667,0.5,"9917.76&20","1.24&10"
"22","NM_001428&NR_003286_3","ENO1&RNA18S5","ENO1&RNA18S5#ENO1&RNA45S5",0.0833333333333333,0.25,"9917.76&0","1.24&10"
"23","NM_001428&NR_046235_1","ENO1&RNA45S5","ENO1&RNA18S5#ENO1&RNA45S5",0.0833333333333333,0.25,"9917.76&84","1.24&17"
"24","undefined","undefined","ENO1&RNA18S5#ENO1&RNA45S5",0,0,"undefined","undefined"
"25","NM_001416&NM_003132","EIF4A1&SRM","EIF4A1&SRM#SENP3-EIF4A1&SRM",0.5,0.5,"1610.94&313","0&313"
"26","NR_037926&NM_003132","SENP3-EIF4A1&SRM","EIF4A1&SRM#SENP3-EIF4A1&SRM",0.5,0.5,"0&313","0&313"
"27","undefined","undefined","EIF4A1&SRM#SENP3-EIF4A1&SRM",0,0,"undefined","undefined"
"28","NM_001416&NM_004431","EIF4A1&EPHA2","EIF4A1&EPHA2#EPHA2&SENP3-EIF4A1",0.5,0.5,"1610.94&613","0&613"
"29","NM_004431&NR_037926","EPHA2&SENP3-EIF4A1","EIF4A1&EPHA2#EPHA2&SENP3-EIF4A1",0.5,0.5,"613&0","613&0"
"30","undefined","undefined","EIF4A1&EPHA2#EPHA2&SENP3-EIF4A1",0,0,"undefined","undefined"
"31","undefined","undefined","C21orf140&SZRD1#C21orf33&SZRD1#CBS&SZRD1#CRYAA&SZRD1#ICOSLG&SZRD1#LINC00313&SZRD1#LINC00319&SZRD1#MIR3648-1&SZRD1#MIR3648-2&SZRD1#PWP2&SZRD1#SIK1&SZRD1#SMIM11&SZRD1#SZRD1&U2AF1",1,1,"undefined","undefined"
"32","NM_001271427&NM_001277323","EMC1&NPIPA3","EMC1&NPIPA2#EMC1&NPIPA3",0.125,0.125,"5.12&0","5.12&0"
"33","NM_001271427&NM_001277324","EMC1&NPIPA2","EMC1&NPIPA2#EMC1&NPIPA3",0.125,0.125,"5.12&0","5.12&0"
"34","NM_001271428&NM_001277323","EMC1&NPIPA3","EMC1&NPIPA2#EMC1&NPIPA3",0.125,0.125,"49.94&0","5.12&0"
"35","NM_001271428&NM_001277324","EMC1&NPIPA2","EMC1&NPIPA2#EMC1&NPIPA3",0.125,0.125,"49.94&0","5.12&0"
"36","NM_001271429&NM_001277323","EMC1&NPIPA3","EMC1&NPIPA2#EMC1&NPIPA3",0.125,0.125,"0&0","5.12&0"
"37","NM_001271429&NM_001277324","EMC1&NPIPA2","EMC1&NPIPA2#EMC1&NPIPA3",0.125,0.125,"0&0","5.12&0"
"38","NM_015047&NM_001277323","EMC1&NPIPA3","EMC1&NPIPA2#EMC1&NPIPA3",0.125,0.125,"49.94&0","5.12&0"
"39","NM_015047&NM_001277324","EMC1&NPIPA2","EMC1&NPIPA2#EMC1&NPIPA3",0.125,0.125,"49.94&0","5.12&0"
"40","undefined","undefined","EMC1&NPIPA2#EMC1&NPIPA3",0,0,"undefined","undefined"
