"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","C20orf27&LOC102724450&RPL22&undefined#C20orf27&RNF207&RPL22&undefined",1,1,"undefined","undefined"
"2","NM_001204510&NM_012405","EIF4A1&ICMT","EIF4A1&ICMT#ICMT&SENP3-EIF4A1",0.333333333333333,0.333333333333333,"0&13","0&13"
"3","NM_001416&NM_012405","EIF4A1&ICMT","EIF4A1&ICMT#ICMT&SENP3-EIF4A1",0.333333333333333,0.333333333333333,"286.41&13","0&13"
"4","NM_012405&NR_037926","ICMT&SENP3-EIF4A1","EIF4A1&ICMT#ICMT&SENP3-EIF4A1",0.333333333333333,0.333333333333333,"13&1","13&1"
"5","undefined","undefined","EIF4A1&ICMT#ICMT&SENP3-EIF4A1",0,0,"undefined","undefined"
"6","undefined","undefined","DDOST&PINK1#DDOST&PINK1-AS",1,2,"undefined","undefined"
"7","NM_005517&NR_003287","HMGN2&RNA28S5","HMGN2&RNA28S5#HMGN2&RNA45S5",0.5,0.5,"1882&0","1882&1"
"8","NM_005517&NR_046235_1","HMGN2&RNA45S5","HMGN2&RNA28S5#HMGN2&RNA45S5",0.5,0.5,"1882&2","1882&0.5"
"9","undefined","undefined","HMGN2&RNA28S5#HMGN2&RNA45S5",0,0,"undefined","undefined"
"10","undefined","undefined","C21orf140&HMGN2#C21orf33&HMGN2#CBS&HMGN2#CRYAA&HMGN2#HMGN2&ICOSLG#HMGN2&LINC00313#HMGN2&LINC00319#HMGN2&MIR3648-1#HMGN2&MIR3648-2#HMGN2&PWP2#HMGN2&SIK1#HMGN2&SMIM11#HMGN2&U2AF1",1,1,"undefined","undefined"
"11","NM_023077&NM_002415","COA7&MIF","COA7&MIF#COA7&MIF-AS1",0,0,"41&72.33","41&72.33"
"12","NM_023077&NR_038911","COA7&MIF-AS1","COA7&MIF#COA7&MIF-AS1",0,0,"41&74.67","41&74.67"
"13","undefined","undefined","COA7&MIF#COA7&MIF-AS1",1,1,"undefined","undefined"
"14","undefined","undefined","DTL&HS2ST1#HS2ST1&RPL21P28",1,1,"undefined","undefined"
"15","undefined","undefined","DRD5P2&NBPF15#FAM231D&NBPF15#LOC101060524&NBPF15#LOC388692&NBPF15#LOC645166&NBPF15#NBPF15&SRGAP2-AS1",1,1,"undefined","undefined"
"16","undefined","undefined","FAM231D&PEX11B#GNRHR2&PEX11B#LOC388692&PEX11B",1,1,"undefined","undefined"
"17","undefined","undefined","FAM231D&NOTCH2NL#LOC388692&NOTCH2NL",1,1,"undefined","undefined"
"18","undefined","undefined","ACP6&FAM231D#ACP6&LOC388692#ACP6&NUDT4P1#ACP6&NUDT4P2",1,1,"undefined","undefined"
"19","undefined","undefined","FAM231D&RNVU1-1#LOC388692&RNVU1-1#NUDT4P1&RNVU1-1#NUDT4P2&RNVU1-1",1,1,"undefined","undefined"
"20","undefined","undefined","FAM231D&NBPF9#LOC388692&NBPF9#LOC653513&NBPF9",1,1,"undefined","undefined"
"21","undefined","undefined","AIMP2&SNX27#RSPH10B&SNX27#RSPH10B2&SNX27",1,1,"undefined","undefined"
"22","NM_001261464&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"23","NM_001261464&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"24","NM_001261464&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"25","NM_001261465&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"26","NM_001261465&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"27","NM_001261465&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"28","NM_003815&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"12&0","0&0"
"29","NM_003815&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"12&0","0&0"
"30","NM_003815&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"12&0","0&0"
"31","NM_207191&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"32","NM_207191&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"33","NM_207191&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"34","NM_207194&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"35","NM_207194&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"36","NM_207194&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"37","NM_207195&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"38","NM_207195&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"39","NM_207195&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"40","NM_207196&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"3&0","0&0"
"41","NM_207196&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"3&0","0&0"
"42","NM_207196&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"3&0","0&0"
"43","NM_207197&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"3&0","0&0"
"44","NM_207197&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"3&0","0&0"
"45","NM_207197&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"3&0","0&0"
"46","NR_048577&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"47","NR_048577&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"48","NR_048577&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"49","NR_048578&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"50","NR_048578&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"51","NR_048578&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"52","NR_048579&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"53","NR_048579&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"54","NR_048579&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.0303030303030303,0.0303030303030303,"0&0","0&0"
"55","undefined","undefined","ADAM15&DCST1#ADAM15&LOC100505666",0,0,"undefined","undefined"
"56","undefined","undefined","DAP3&MSTO2P#DAP3&YY1AP1",1,1,"undefined","undefined"
"57","undefined","undefined","MGST3&RPS10#MGST3&RPS10-NUDT3",1,1,"undefined","undefined"
"58","undefined","undefined","HLX&MARC1#HLX-AS1&MARC1",1,1,"undefined","undefined"
"59","undefined","undefined","ASB3&CHAC2#CHAC2&GPR75-ASB3",1,1,"undefined","undefined"
"60","NM_001015891&NM_015147","AK6&CEP68","AK6&CEP68#CEP68&TAF9",0.5,0.5,"7.28&5","7.28&5"
"61","NM_015147&NM_001015892","CEP68&TAF9","AK6&CEP68#CEP68&TAF9",0.5,0.5,"5&58.29","5&58.29"
"62","undefined","undefined","AK6&CEP68#CEP68&TAF9",0,0,"undefined","undefined"
"63","NR_003287_3&NM_181784","RNA28S5&SPRED2","RNA28S5&SPRED2#RNA45S5&SPRED2",0,0,"0&1","1&1"
"64","NR_046235&NM_181784","RNA45S5&SPRED2","RNA28S5&SPRED2#RNA45S5&SPRED2",0,0,"0.5&1","0.5&1"
"65","undefined","undefined","RNA28S5&SPRED2#RNA45S5&SPRED2",1,1,"undefined","undefined"
"66","undefined","undefined","CHMP3&undefined#RNF103-CHMP3&undefined",1,1,"undefined","undefined"
"67","undefined","undefined","LINC00152&MIR4771-1#LINC00152&MIR4771-2#LINC00152&PLGLB1#LINC00152&PLGLB2#LINC00152&RGPD1#LINC00152&RGPD2",1,2,"undefined","undefined"
"68","undefined","undefined","MIR4435-1&TEX37#MIR4435-2&TEX37#MIR4771-1&TEX37#MIR4771-2&TEX37",1,1,"undefined","undefined"
"69","undefined","undefined","FAHD2A&MIR4435-1#FAHD2A&MIR4435-2#FAHD2A&MIR4771-1#FAHD2A&MIR4771-2",1,1,"undefined","undefined"
"70","undefined","undefined","GPAT2&MIR4435-1#GPAT2&MIR4435-2#GPAT2&MIR4771-1#GPAT2&MIR4771-2",1,1,"undefined","undefined"
"71","undefined","undefined","FAHD2CP&GPAT2#GPAT2&MIR4435-1#GPAT2&MIR4435-2#GPAT2&MIR4771-1#GPAT2&MIR4771-2",1,1,"undefined","undefined"
