"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","ACAP3&PUSL1#PUSL1&SCNN1D",1,1,"undefined","undefined"
"2","undefined","undefined","MIB2&MMP23A&undefined#MIB2&MMP23B&undefined",1,1,"undefined","undefined"
"3","NM_001282538&NR_003287_3","GNB1&RNA28S5","GNB1&RNA28S5#GNB1&RNA45S5",0.166666666666667,0.166666666666667,"0&0.01","0&0"
"4","NM_001282538&NR_046235","GNB1&RNA45S5","GNB1&RNA28S5#GNB1&RNA45S5",0.166666666666667,0.166666666666667,"0&13","0&13"
"5","NM_001282539&NR_003287_3","GNB1&RNA28S5","GNB1&RNA28S5#GNB1&RNA45S5",0.166666666666667,0.166666666666667,"62.68&0.01","0&0"
"6","NM_001282539&NR_046235","GNB1&RNA45S5","GNB1&RNA28S5#GNB1&RNA45S5",0.166666666666667,0.166666666666667,"62.68&13","0&13"
"7","NM_002074&NR_003287_3","GNB1&RNA28S5","GNB1&RNA28S5#GNB1&RNA45S5",0.166666666666667,0.166666666666667,"254.32&0.01","0&0"
"8","NM_002074&NR_046235","GNB1&RNA45S5","GNB1&RNA28S5#GNB1&RNA45S5",0.166666666666667,0.166666666666667,"254.32&13","0&13"
"9","undefined","undefined","GNB1&RNA28S5#GNB1&RNA45S5",0,0,"undefined","undefined"
"10","NM_016466&NM_014704&NM_001291333","ANKRD39&CEP104&TTC4","ANKRD39&CEP104&MROH7-TTC4#ANKRD39&CEP104&TTC4",0.2,0.2,"64&25&0","64&25&0"
"11","NM_016466&NM_014704&NM_004623","ANKRD39&CEP104&TTC4","ANKRD39&CEP104&MROH7-TTC4#ANKRD39&CEP104&TTC4",0.2,0.2,"64&25&56","64&25&0"
"12","NM_016466&NM_014704&NR_037639","ANKRD39&CEP104&MROH7-TTC4","ANKRD39&CEP104&MROH7-TTC4#ANKRD39&CEP104&TTC4",0.2,0.2,"64&25&0","64&25&0"
"13","NM_016466&NM_014704&NR_037640","ANKRD39&CEP104&MROH7-TTC4","ANKRD39&CEP104&MROH7-TTC4#ANKRD39&CEP104&TTC4",0.2,0.2,"64&25&0","64&25&0"
"14","NM_016466&NM_014704&NR_037641","ANKRD39&CEP104&MROH7-TTC4","ANKRD39&CEP104&MROH7-TTC4#ANKRD39&CEP104&TTC4",0.2,0.2,"64&25&0","64&25&0"
"15","undefined","undefined","ANKRD39&CEP104&MROH7-TTC4#ANKRD39&CEP104&TTC4",0,0,"undefined","undefined"
"16","undefined","undefined","C1orf174&MIF&undefined#C1orf174&MIF-AS1&undefined",1,1,"undefined","undefined"
"17","undefined","undefined","HIST1H2AJ&RPL22#HIST1H2BM&RPL22",1,1,"undefined","undefined"
"18","NM_004376&NM_001123377","COX15&PARK7","COX15&PARK7#ENTPD7&PARK7",0.333333333333333,0.333333333333333,"18.47&296.49","18.47&296.49"
