"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","LINC01128&RPL23AP53&undefined#LINC01128&undefined&ZNF596",1,1,"undefined","undefined"
"2","undefined","undefined","NPM1&OR4F16&undefined#NPM1&OR4F29&undefined#NPM1&OR4F3&undefined",1,1,"undefined","undefined"
"3","undefined","undefined","LINC00115&LOC100288069&undefined#LINC01128&LOC100288069&undefined",1,1,"undefined","undefined"
"4","undefined","undefined","NOC2L&SLC35F1#SAMD11&SLC35F1",1,1,"undefined","undefined"
"5","undefined","undefined","NOC2L&undefined#SAMD11&undefined",1,1,"undefined","undefined"
"6","NM_015658&NM_003373","NOC2L&VCL","NOC2L&VCL#SAMD11&VCL",0,0,"196&145.13","196&145.13"
"7","NM_152486&NM_003373","SAMD11&VCL","NOC2L&VCL#SAMD11&VCL",0,0,"0&145.13","0&145.13"
"8","undefined","undefined","NOC2L&VCL#SAMD11&VCL",1,1,"undefined","undefined"
"9","NM_001159390&NM_015658","GUK1&NOC2L","GUK1&NOC2L#GUK1&SAMD11",0.5,0.5,"158.89&196","40.71&196"
"10","NM_001159390&NM_152486","GUK1&SAMD11","GUK1&NOC2L#GUK1&SAMD11",0.5,0.5,"158.89&0","40.71&0"
"11","undefined","undefined","GUK1&NOC2L#GUK1&SAMD11",0,0,"undefined","undefined"
"12","undefined","undefined","CPSF3L&RNA28S5#CPSF3L&RNA45S5",1,1,"undefined","undefined"
"13","undefined","undefined","MRPL20&RNA18S5#MRPL20&RNA45S5",1,1,"undefined","undefined"
"14","undefined","undefined","CDK11A&CDK11B&GNB1#CDK11A&GNB1&MMP23A",1,1,"undefined","undefined"
"15","NM_001282538&NM_001071","GNB1&TYMS","ENOSF1&GNB1#GNB1&TYMS",0.111111111111111,0.111111111111111,"1.24&1219.26","1.24&1219.26"
"16","NM_001282539&NM_001071","GNB1&TYMS","ENOSF1&GNB1#GNB1&TYMS",0.111111111111111,0.111111111111111,"66.59&1219.26","1.24&1219.26"
"17","NM_002074&NM_001071","GNB1&TYMS","ENOSF1&GNB1#GNB1&TYMS",0.111111111111111,0.111111111111111,"383.17&1219.26","1.24&1219.26"
"18","NM_017512&NM_001282538","ENOSF1&GNB1","ENOSF1&GNB1#GNB1&TYMS",0.111111111111111,0.111111111111111,"42.74&1.24","0&1.24"
"19","NM_017512&NM_001282539","ENOSF1&GNB1","ENOSF1&GNB1#GNB1&TYMS",0.111111111111111,0.111111111111111,"42.74&66.59","0&1.24"
"20","NM_017512&NM_002074","ENOSF1&GNB1","ENOSF1&GNB1#GNB1&TYMS",0.111111111111111,0.111111111111111,"42.74&383.17","0&1.24"
