"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","ANKRD65&EIF4A1#ANKRD65&SENP3-EIF4A1",1,1,"undefined","undefined"
"2","NM_001303143&NM_014188","HAUS3&SSU72","HAUS3&SSU72#POLN&SSU72",0.5,0.5,"2&143","2&143"
"3","NM_181808&NM_014188","POLN&SSU72","HAUS3&SSU72#POLN&SSU72",0.5,0.5,"0&143","0&143"
"4","undefined","undefined","HAUS3&SSU72#POLN&SSU72",0,0,"undefined","undefined"
"5","NM_001146310&NR_125361","FAAP20&MORN1","FAAP20&MORN1#MORN1&PRKCZ",0.111111111111111,0.111111111111111,"0&0","0&0"
"6","NM_001256945&NR_125361","FAAP20&MORN1","FAAP20&MORN1#MORN1&PRKCZ",0.111111111111111,0.111111111111111,"0&0","0&0"
"7","NM_001282671&NR_125361","FAAP20&MORN1","FAAP20&MORN1#MORN1&PRKCZ",0.111111111111111,0.111111111111111,"0&0","0&0"
"8","NM_001282672&NR_125361","FAAP20&MORN1","FAAP20&MORN1#MORN1&PRKCZ",0.111111111111111,0.111111111111111,"0&0","0&0"
"9","NM_001282673&NR_125361","FAAP20&MORN1","FAAP20&MORN1#MORN1&PRKCZ",0.111111111111111,0.111111111111111,"2.12&0","0&0"
"10","NR_125361&NM_001033581","MORN1&PRKCZ","FAAP20&MORN1#MORN1&PRKCZ",0.111111111111111,0.111111111111111,"0&0","0&0"
"11","NR_125361&NM_001033582","MORN1&PRKCZ","FAAP20&MORN1#MORN1&PRKCZ",0.111111111111111,0.111111111111111,"0&1.69","0&0"
"12","NR_125361&NM_001242874","MORN1&PRKCZ","FAAP20&MORN1#MORN1&PRKCZ",0.111111111111111,0.111111111111111,"0&0","0&0"
"13","NR_125361&NM_002744","MORN1&PRKCZ","FAAP20&MORN1#MORN1&PRKCZ",0.111111111111111,0.111111111111111,"0&20.23","0&0"
"14","undefined","undefined","FAAP20&MORN1#MORN1&PRKCZ",0,0,"undefined","undefined"
"15","undefined","undefined","EEF2&FAAP20&SLC23A2#EEF2&PRKCZ&SLC23A2",1,1,"undefined","undefined"
"16","NM_001002029_1&NM_001428","C4B&ENO1","C4A&ENO1#C4B&ENO1#C4B_2&ENO1",0.333333333333333,0.333333333333333,"146.67&1551","146.67&0"
"17","NM_001242823_1&NM_001428","C4B_2&ENO1","C4A&ENO1#C4B&ENO1#C4B_2&ENO1",0.333333333333333,0.333333333333333,"146.67&1551","146.67&0"
"18","NM_007293_4&NM_001428","C4A&ENO1","C4A&ENO1#C4B&ENO1#C4B_2&ENO1",0.333333333333333,0.333333333333333,"146.67&1551","0&0"
"19","undefined","undefined","C4A&ENO1#C4B&ENO1#C4B_2&ENO1",0,0,"undefined","undefined"
"20","NM_000612&NM_000302","IGF2&PLOD1","IGF2&PLOD1#INS-IGF2&PLOD1",0.166666666666667,0.166666666666667,"1523.5&113","1523.5&113"
"21","NM_001007139&NM_000302","IGF2&PLOD1","IGF2&PLOD1#INS-IGF2&PLOD1",0.166666666666667,0.166666666666667,"54.62&113","1523.5&113"
"22","NM_001127598&NM_000302","IGF2&PLOD1","IGF2&PLOD1#INS-IGF2&PLOD1",0.166666666666667,0.166666666666667,"54.62&113","1523.5&113"
"23","NM_001291861&NM_000302","IGF2&PLOD1","IGF2&PLOD1#INS-IGF2&PLOD1",0.166666666666667,0.166666666666667,"330.02&113","1523.5&113"
"24","NM_001291862&NM_000302","IGF2&PLOD1","IGF2&PLOD1#INS-IGF2&PLOD1",0.166666666666667,0.166666666666667,"54.62&113","1523.5&113"
"25","NR_003512&NM_000302","INS-IGF2&PLOD1","IGF2&PLOD1#INS-IGF2&PLOD1",0.166666666666667,0.166666666666667,"54.62&113","54.62&113"
"26","undefined","undefined","IGF2&PLOD1#INS-IGF2&PLOD1",0,0,"undefined","undefined"
"27","NM_001271427&NR_004400_3","EMC1&RNVU1-18","EMC1&RNU1-1#EMC1&RNU1-2#EMC1&RNU1-27P#EMC1&RNU1-28P#EMC1&RNU1-3#EMC1&RNU1-4#EMC1&RNVU1-18",0.0357142857142857,0.0357142857142857,"15.67&0","15.67&0"
"28","NM_001271427&NR_004402_3","EMC1&RNU1-28P","EMC1&RNU1-1#EMC1&RNU1-2#EMC1&RNU1-27P#EMC1&RNU1-28P#EMC1&RNU1-3#EMC1&RNU1-4#EMC1&RNVU1-18",0.0357142857142857,0.0357142857142857,"15.67&0","15.67&0"
"29","NM_001271427&NR_004408_3","EMC1&RNU1-3","EMC1&RNU1-1#EMC1&RNU1-2#EMC1&RNU1-27P#EMC1&RNU1-28P#EMC1&RNU1-3#EMC1&RNU1-4#EMC1&RNVU1-18",0.0357142857142857,0.0357142857142857,"15.67&0","15.67&0"
