"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","BECN1&PEX10#BECN1&RER1",1,1,"undefined","undefined"
"2","undefined","undefined","HMGN2&HS3ST4#HMGN2&MIR3680-1#HMGN2&MIR3680-2",1,3,"undefined","undefined"
"3","NM_004964&NM_001203250","HDAC1&ZNF20","HDAC1&ZNF20#HDAC1&ZNF625-ZNF20",0.333333333333333,0.333333333333333,"14&0","14&0"
"4","NM_004964&NM_021143","HDAC1&ZNF20","HDAC1&ZNF20#HDAC1&ZNF625-ZNF20",0.333333333333333,0.333333333333333,"14&0","14&0"
"5","NM_004964&NR_037802","HDAC1&ZNF625-ZNF20","HDAC1&ZNF20#HDAC1&ZNF625-ZNF20",0.333333333333333,0.333333333333333,"14&0","14&0"
"6","undefined","undefined","HDAC1&ZNF20#HDAC1&ZNF625-ZNF20",0,0,"undefined","undefined"
"7","undefined","undefined","GJA9&RHBDL2&undefined#GJA9-MYCBP&RHBDL2&undefined",1,1,"undefined","undefined"
"8","NM_000612&NM_001018067","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"659.92&3.19","659.92&3.19"
"9","NM_000612&NM_001018068","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"659.92&6.37","659.92&3.19"
"10","NM_000612&NM_001018069","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"659.92&14.33","659.92&3.19"
"11","NM_000612&NM_015640","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"659.92&19.11","659.92&3.19"
"12","NM_001007139&NM_001018067","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&3.19","659.92&3.19"
"13","NM_001007139&NM_001018068","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&6.37","659.92&3.19"
"14","NM_001007139&NM_001018069","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&14.33","659.92&3.19"
"15","NM_001007139&NM_015640","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&19.11","659.92&3.19"
"16","NM_001127598&NM_001018067","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"45.15&3.19","659.92&3.19"
"17","NM_001127598&NM_001018068","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"45.15&6.37","659.92&3.19"
"18","NM_001127598&NM_001018069","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"45.15&14.33","659.92&3.19"
"19","NM_001127598&NM_015640","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"45.15&19.11","659.92&3.19"
"20","NM_001291861&NM_001018067","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&3.19","659.92&3.19"
"21","NM_001291861&NM_001018068","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&6.37","659.92&3.19"
"22","NM_001291861&NM_001018069","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&14.33","659.92&3.19"
"23","NM_001291861&NM_015640","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&19.11","659.92&3.19"
"24","NM_001291862&NM_001018067","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&3.19","659.92&3.19"
"25","NM_001291862&NM_001018068","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&6.37","659.92&3.19"
"26","NM_001291862&NM_001018069","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&14.33","659.92&3.19"
"27","NM_001291862&NM_015640","IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&19.11","659.92&3.19"
"28","NR_003512&NM_001018067","INS-IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&3.19","1.23&3.19"
"29","NR_003512&NM_001018068","INS-IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&6.37","1.23&3.19"
"30","NR_003512&NM_001018069","INS-IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&14.33","1.23&3.19"
"31","NR_003512&NM_015640","INS-IGF2&SERBP1","IGF2&SERBP1#INS-IGF2&SERBP1",0.0416666666666667,0.0416666666666667,"1.23&19.11","1.23&3.19"
"32","undefined","undefined","IGF2&SERBP1#INS-IGF2&SERBP1",0,0,"undefined","undefined"
"33","undefined","undefined","FAM231D&SEC22B#LOC388692&SEC22B#NUDT4P1&SEC22B#NUDT4P2&SEC22B",1,1,"undefined","undefined"
"34","undefined","undefined","FAM231D&LINC00623&undefined#LINC00623&LOC388692&undefined#LINC00623&LOC653513&undefined",1,1,"undefined","undefined"
"35","undefined","undefined","LOC645166&MIR4435-1#LOC645166&MIR4435-2#LOC645166&MIR4771-1#LOC645166&MIR4771-2",1,1,"undefined","undefined"
"36","undefined","undefined","FAM231D&NBPF15&NBPF20#LOC388692&NBPF15&NBPF20",1,1,"undefined","undefined"
"37","undefined","undefined","FAM231D&PIAS3#LOC388692&PIAS3",1,1,"undefined","undefined"
"38","undefined","undefined","RBM8A&TRIM73#RBM8A&TRIM74",1,1,"undefined","undefined"
"39","undefined","undefined","FAM231D&TXNIP#LOC388692&TXNIP",1,1,"undefined","undefined"
"40","undefined","undefined","FAM231D&LOC101928979#LOC101928979&LOC388692",1,1,"undefined","undefined"
"41","undefined","undefined","FAM231D&GPR89B#GPR89B&LOC388692#GPR89B&NUDT4P1#GPR89B&NUDT4P2",1,1,"undefined","undefined"
"42","undefined","undefined","FAM231D&LOC100132057#LOC100132057&LOC388692#LOC100132057&NUDT4P1#LOC100132057&NUDT4P2",1,1,"undefined","undefined"
"43","NM_001301022&NR_002212_1","NUDT4&NUDT4P1","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0,0,"0&1","0&0.5"
"44","NM_001301022&NR_104005_1","NUDT4&NUDT4P2","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0,0,"0&1","0&0.5"
"45","NM_001301023&NR_002212_1","NUDT4&NUDT4P1","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0,0,"0&1","0&0.5"
"46","NM_001301023&NR_104005_1","NUDT4&NUDT4P2","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0,0,"0&1","0&0.5"
"47","NM_001301024&NR_002212_1","NUDT4&NUDT4P1","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0,0,"0&1","0&0.5"
"48","NM_001301024&NR_104005_1","NUDT4&NUDT4P2","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0,0,"0&1","0&0.5"
"49","NM_019094&NR_002212_1","NUDT4&NUDT4P1","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0.0833333333333333,0.25,"51.47&1","0&0.5"
"50","NM_019094&NR_104005_1","NUDT4&NUDT4P2","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0.0833333333333333,0.25,"51.47&1","0&0.5"
"51","NM_199040&NR_002212_1","NUDT4&NUDT4P1","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0.0833333333333333,0.25,"0.53&1","0&0.5"
"52","NM_199040&NR_104005_1","NUDT4&NUDT4P2","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0.0833333333333333,0.25,"0.53&1","0&0.5"
"53","undefined","undefined","NUDT4&NUDT4P1#NUDT4&NUDT4P2",0.666666666666667,2,"undefined","undefined"
"54","undefined","undefined","FAM231D&NBPF9#LOC388692&NBPF9#LOC653513&NBPF9",1,1,"undefined","undefined"
"55","undefined","undefined","HIST2H2AA3&HIST2H2BF#HIST2H2AA4&HIST2H2BF#HIST2H2BF&HIST2H3A#HIST2H2BF&HIST2H3C#HIST2H2BF&HIST2H4A#HIST2H2BF&HIST2H4B",1,1,"undefined","undefined"
"56","undefined","undefined","HIST2H2AA3&HIST2H2BC&HIST2H2BF#HIST2H2AA4&HIST2H2BC&HIST2H2BF#HIST2H2BC&HIST2H2BF&HIST2H3A#HIST2H2BC&HIST2H2BF&HIST2H3C#HIST2H2BC&HIST2H2BF&HIST2H4A#HIST2H2BC&HIST2H2BF&HIST2H4B",1,1,"undefined","undefined"
"57","undefined","undefined","ILF2&S100A1#ILF2&S100A13",1,1,"undefined","undefined"
"58","undefined","undefined","H3F3A&PYGO2#H3F3AP4&PYGO2",1,1,"undefined","undefined"
"59","undefined","undefined","DAP3&MSTO2P#DAP3&YY1AP1",1,2,"undefined","undefined"
"60","undefined","undefined","PMF1&UBQLN4#PMF1-BGLAP&UBQLN4",1,1,"undefined","undefined"
"61","undefined","undefined","C7orf49&CEP350#CEP350&TMEM140",1,1,"undefined","undefined"
"62","undefined","undefined","MAGED4&RNF2#MAGED4B&RNF2#RNF2&SNORA11D#RNF2&SNORA11E",1,1,"undefined","undefined"
"63","NM_003676&NM_004985&NR_003287","DEGS1&KRAS&RNA28S5","DEGS1&KRAS&RNA28S5#DEGS1&KRAS&RNA45S5",0.25,0.25,"6&4&8.17","6&4&8.17"
"64","NM_003676&NM_004985&NR_046235_1","DEGS1&KRAS&RNA45S5","DEGS1&KRAS&RNA28S5#DEGS1&KRAS&RNA45S5",0.25,0.25,"6&4&14","6&4&6"
"65","NM_003676&NM_033360&NR_003287","DEGS1&KRAS&RNA28S5","DEGS1&KRAS&RNA28S5#DEGS1&KRAS&RNA45S5",0.25,0.25,"6&0&8.17","6&4&8.17"
"66","NM_003676&NM_033360&NR_046235_1","DEGS1&KRAS&RNA45S5","DEGS1&KRAS&RNA28S5#DEGS1&KRAS&RNA45S5",0.25,0.25,"6&0&14","6&4&6"
"67","undefined","undefined","DEGS1&KRAS&RNA28S5#DEGS1&KRAS&RNA45S5",0,0,"undefined","undefined"
"68","undefined","undefined","H3F3A&undefined#H3F3AP4&undefined",1,3,"undefined","undefined"
