"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","FAM138A&undefined#FAM138C&undefined#FAM138F&undefined",1,9,"undefined","undefined"
"2","NR_028322&NR_039983","LOC100132287&LOC729737","LOC100132062&LOC729737#LOC100132287&LOC729737",0.5,0.5,"1&21","1&21"
"3","NR_028325&NR_039983","LOC100132062&LOC729737","LOC100132062&LOC729737#LOC100132287&LOC729737",0.5,0.5,"1&21","1&21"
"4","undefined","undefined","LOC100132062&LOC729737#LOC100132287&LOC729737",0,0,"undefined","undefined"
"5","NR_028322&NR_028327","LOC100132287&LOC100133331","LOC100132062&LOC100133331#LOC100132287&LOC100133331",0,0,"1&6","1&6"
"6","NR_028325&NR_028327","LOC100132062&LOC100133331","LOC100132062&LOC100133331#LOC100132287&LOC100133331",0,0,"1&6","1&6"
"7","undefined","undefined","LOC100132062&LOC100133331#LOC100132287&LOC100133331",1,1,"undefined","undefined"
"8","undefined","undefined","LOC100132062&undefined#LOC100132287&undefined",1,22,"undefined","undefined"
"9","undefined","undefined","CDK11B&SLC35E2B#MMP23A&SLC35E2B",1,4,"undefined","undefined"
"10","NM_024011&NM_001098405_2","CDK11A&GAGE12F","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0.1,0.1,"20&4","20&50"
"11","NM_024011&NM_001098408","CDK11A&GAGE12C","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0.1,0.1,"20&8.76","20&11"
"12","NM_024011&NM_001098409","CDK11A&GAGE12G","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0.1,0.1,"20&8.76","20&50"
"13","NM_024011&NM_001098418_4","CDK11A&GAGE12E","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0.1,0.1,"20&8.76","20&11.83"
"14","NM_024011&NM_001127199_1","CDK11A&GAGE12D","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0.1,0.1,"20&0","20&8"
"15","NM_033529&NM_001098405_2","CDK11A&GAGE12F","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0.1,0.1,"20&4","20&50"
"16","NM_033529&NM_001098408","CDK11A&GAGE12C","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0.1,0.1,"20&8.76","20&11"
"17","NM_033529&NM_001098409","CDK11A&GAGE12G","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0.1,0.1,"20&8.76","20&50"
"18","NM_033529&NM_001098418_4","CDK11A&GAGE12E","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0.1,0.1,"20&8.76","20&11.83"
"19","NM_033529&NM_001127199_1","CDK11A&GAGE12D","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0.1,0.1,"20&0","20&8"
"20","undefined","undefined","CDK11A&GAGE12C#CDK11A&GAGE12D#CDK11A&GAGE12E#CDK11A&GAGE12F#CDK11A&GAGE12G",0,0,"undefined","undefined"
"21","NM_207356&NR_003286_3","C1orf174&RNA18S5","C1orf174&RNA18S5#C1orf174&RNA45S5",0.5,0.5,"44&0.44","44&40"
"22","NM_207356&NR_046235_1","C1orf174&RNA45S5","C1orf174&RNA18S5#C1orf174&RNA45S5",0.5,0.5,"44&49.56","44&16.5"
"23","undefined","undefined","C1orf174&RNA18S5#C1orf174&RNA45S5",0,0,"undefined","undefined"
"24","NM_000983&NR_024230","RPL22&SNAR-B2","RPL22&SNAR-B1#RPL22&SNAR-B2",0.5,0.5,"4597&220","4597&220"
"25","NM_000983&NR_024231","RPL22&SNAR-B1","RPL22&SNAR-B1#RPL22&SNAR-B2",0.5,0.5,"4597&220","4597&220"
"26","undefined","undefined","RPL22&SNAR-B1#RPL22&SNAR-B2",0,0,"undefined","undefined"
"27","undefined","undefined","C21orf33&RPL22#CBS&RPL22#CRYAA&RPL22#ICOSLG&RPL22#LINC00313&RPL22#LINC00319&RPL22#PWP2&RPL22#RPL22&SIK1#RPL22&U2AF1",1,2,"undefined","undefined"
"28","undefined","undefined","C21orf33&RPL13AP5&RPL22#CBS&RPL13AP5&RPL22#CRYAA&RPL13AP5&RPL22#ICOSLG&RPL13AP5&RPL22#LINC00313&RPL13AP5&RPL22#LINC00319&RPL13AP5&RPL22#PWP2&RPL13AP5&RPL22#RPL13AP5&RPL22&SIK1#RPL13AP5&RPL22&U2AF1",1,1,"undefined","undefined"
"29","undefined","undefined","IRF9&NEDD8&RNF207&undefined#IRF9&NEDD8-MDP1&RNF207&undefined",1,1,"undefined","undefined"
"30","NM_002798&NM_138350","PSMB6&THAP3","DNAJC11&PSMB6#PSMB6&THAP3",0.5,0.5,"230&0","0&7"
"31","NM_018198&NM_002798","DNAJC11&PSMB6","DNAJC11&PSMB6#PSMB6&THAP3",0.5,0.5,"39&230","39&0"
