"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","PEX10&SEPW1#RER1&SEPW1",1,1,"undefined","undefined"
"2","NM_001167614&NM_002617","LEMD3&PEX10","LEMD3&PEX10#LEMD3&RER1",0.166666666666667,0.166666666666667,"3.5&6.16","3.5&6.16"
"3","NM_001167614&NM_007033","LEMD3&RER1","LEMD3&PEX10#LEMD3&RER1",0.166666666666667,0.166666666666667,"3.5&71.84","3.5&71.84"
"4","NM_001167614&NM_153818","LEMD3&PEX10","LEMD3&PEX10#LEMD3&RER1",0.166666666666667,0.166666666666667,"3.5&0","3.5&6.16"
"5","NM_014319&NM_002617","LEMD3&PEX10","LEMD3&PEX10#LEMD3&RER1",0.166666666666667,0.166666666666667,"3.5&6.16","3.5&6.16"
"6","NM_014319&NM_007033","LEMD3&RER1","LEMD3&PEX10#LEMD3&RER1",0.166666666666667,0.166666666666667,"3.5&71.84","3.5&71.84"
"7","NM_014319&NM_153818","LEMD3&PEX10","LEMD3&PEX10#LEMD3&RER1",0.166666666666667,0.166666666666667,"3.5&0","3.5&6.16"
"8","undefined","undefined","LEMD3&PEX10#LEMD3&RER1",0,0,"undefined","undefined"
"9","undefined","undefined","C21orf140&RPL22#C21orf33&RPL22#CBS&RPL22#CRYAA&RPL22#ICOSLG&RPL22#LINC00313&RPL22#LINC00319&RPL22#MIR3648-1&RPL22#MIR3648-2&RPL22#PWP2&RPL22#RPL22&SIK1#RPL22&SMIM11#RPL22&U2AF1",1,1,"undefined","undefined"
"10","NM_133328&NR_004400","DEDD2&RNVU1-18","DEDD2&RNU1-1#DEDD2&RNU1-2#DEDD2&RNU1-27P#DEDD2&RNU1-28P#DEDD2&RNU1-3#DEDD2&RNU1-4#DEDD2&RNVU1-18",0.142857142857143,0.142857142857143,"12&0.71","0&0.71"
"11","NM_133328&NR_004402","DEDD2&RNU1-28P","DEDD2&RNU1-1#DEDD2&RNU1-2#DEDD2&RNU1-27P#DEDD2&RNU1-28P#DEDD2&RNU1-3#DEDD2&RNU1-4#DEDD2&RNVU1-18",0.142857142857143,0.142857142857143,"12&0.71","0&0.71"
"12","NM_133328&NR_004408","DEDD2&RNU1-3","DEDD2&RNU1-1#DEDD2&RNU1-2#DEDD2&RNU1-27P#DEDD2&RNU1-28P#DEDD2&RNU1-3#DEDD2&RNU1-4#DEDD2&RNVU1-18",0.142857142857143,0.142857142857143,"12&0.71","0&0.71"
"13","NM_133328&NR_004421","DEDD2&RNU1-4","DEDD2&RNU1-1#DEDD2&RNU1-2#DEDD2&RNU1-27P#DEDD2&RNU1-28P#DEDD2&RNU1-3#DEDD2&RNU1-4#DEDD2&RNVU1-18",0.142857142857143,0.142857142857143,"12&0.71","0&0.71"
"14","NM_133328&NR_004424","DEDD2&RNU1-27P","DEDD2&RNU1-1#DEDD2&RNU1-2#DEDD2&RNU1-27P#DEDD2&RNU1-28P#DEDD2&RNU1-3#DEDD2&RNU1-4#DEDD2&RNVU1-18",0.142857142857143,0.142857142857143,"12&0.71","0&0.71"
"15","NM_133328&NR_004427","DEDD2&RNU1-2","DEDD2&RNU1-1#DEDD2&RNU1-2#DEDD2&RNU1-27P#DEDD2&RNU1-28P#DEDD2&RNU1-3#DEDD2&RNU1-4#DEDD2&RNVU1-18",0.142857142857143,0.142857142857143,"12&0.71","0&0.71"
"16","NM_133328&NR_004430","DEDD2&RNU1-1","DEDD2&RNU1-1#DEDD2&RNU1-2#DEDD2&RNU1-27P#DEDD2&RNU1-28P#DEDD2&RNU1-3#DEDD2&RNU1-4#DEDD2&RNVU1-18",0.142857142857143,0.142857142857143,"12&0.71","0&0.71"
"17","undefined","undefined","DEDD2&RNU1-1#DEDD2&RNU1-2#DEDD2&RNU1-27P#DEDD2&RNU1-28P#DEDD2&RNU1-3#DEDD2&RNU1-4#DEDD2&RNVU1-18",0,0,"undefined","undefined"
"18","undefined","undefined","AKR7A2&C21orf140#AKR7A2&C21orf33#AKR7A2&CBS#AKR7A2&CRYAA#AKR7A2&ICOSLG#AKR7A2&LINC00313#AKR7A2&LINC00319#AKR7A2&PWP2#AKR7A2&SIK1#AKR7A2&SMIM11#AKR7A2&U2AF1#AKR7A2&USP16",1,1,"undefined","undefined"
"19","undefined","undefined","PLA2G2C&UBXN10&undefined#PLA2G2C&UBXN10-AS1&undefined",1,1,"undefined","undefined"
"20","undefined","undefined","DDOST&PINK1#DDOST&PINK1-AS",1,1,"undefined","undefined"
"21","NM_001013693&NM_007104","LDLRAD2&RPL10A","HSPG2&RPL10A#LDLRAD2&RPL10A",0.333333333333333,0.333333333333333,"0&1028","0&1028"
"22","NM_001291860&NM_007104","HSPG2&RPL10A","HSPG2&RPL10A#LDLRAD2&RPL10A",0.333333333333333,0.333333333333333,"15&1028","15&1028"
"23","NM_005529&NM_007104","HSPG2&RPL10A","HSPG2&RPL10A#LDLRAD2&RPL10A",0.333333333333333,0.333333333333333,"15&1028","15&1028"
"24","undefined","undefined","HSPG2&RPL10A#LDLRAD2&RPL10A",0,0,"undefined","undefined"
"25","undefined","undefined","C21orf140&HNRNPR#C21orf33&HNRNPR#CBS&HNRNPR#CRYAA&HNRNPR#HNRNPR&ICOSLG#HNRNPR&LINC00313#HNRNPR&LINC00319#HNRNPR&MIR3648-1#HNRNPR&MIR3648-2#HNRNPR&PWP2#HNRNPR&SIK1#HNRNPR&SMIM11#HNRNPR&U2AF1",1,1,"undefined","undefined"
"26","undefined","undefined","CLUAP1&RCC1#CLUAP1&SNHG3",1,1,"undefined","undefined"
"27","undefined","undefined","PEX6&RCC1#PEX6&SNHG3",1,1,"undefined","undefined"
"28","NM_001402&NM_001003682","EEF1A1&TMEM200B","EEF1A1&EPB41#EEF1A1&TMEM200B",0.142857142857143,0.142857142857143,"10310&0","10310&0"
"29","NM_001402&NM_001166005","EEF1A1&EPB41","EEF1A1&EPB41#EEF1A1&TMEM200B",0.142857142857143,0.142857142857143,"10310&0.24","10310&0.24"
"30","NM_001402&NM_001166007","EEF1A1&EPB41","EEF1A1&EPB41#EEF1A1&TMEM200B",0.142857142857143,0.142857142857143,"10310&26.15","10310&0.24"
"31","NM_001402&NM_001171868","EEF1A1&TMEM200B","EEF1A1&EPB41#EEF1A1&TMEM200B",0.142857142857143,0.142857142857143,"10310&0","10310&0"
"32","NM_001402&NM_004437","EEF1A1&EPB41","EEF1A1&EPB41#EEF1A1&TMEM200B",0.142857142857143,0.142857142857143,"10310&0.23","10310&0.24"
"33","NM_001402&NM_203342","EEF1A1&EPB41","EEF1A1&EPB41#EEF1A1&TMEM200B",0.142857142857143,0.142857142857143,"10310&0.24","10310&0.24"
"34","NM_001402&NM_203343","EEF1A1&EPB41","EEF1A1&EPB41#EEF1A1&TMEM200B",0.142857142857143,0.142857142857143,"10310&26.15","10310&0.24"
"35","undefined","undefined","EEF1A1&EPB41#EEF1A1&TMEM200B",0,0,"undefined","undefined"
"36","undefined","undefined","EPB41&undefined#TMEM200B&undefined",1,1,"undefined","undefined"
"37","NM_001101662&NM_001135255","NRD1&RBBP4","NRD1&RBBP4#NRD1&SYNC",0.2,0.2,"99.09&51.5","99.09&51.5"
"38","NM_001101662&NM_001135256","NRD1&RBBP4","NRD1&RBBP4#NRD1&SYNC",0.2,0.2,"99.09&0","99.09&51.5"
"39","NM_001101662&NM_001161708","NRD1&SYNC","NRD1&RBBP4#NRD1&SYNC",0.2,0.2,"99.09&0","99.09&0"
"40","NM_001101662&NM_005610","NRD1&RBBP4","NRD1&RBBP4#NRD1&SYNC",0.2,0.2,"99.09&51.5","99.09&51.5"
"41","NM_001101662&NM_030786","NRD1&SYNC","NRD1&RBBP4#NRD1&SYNC",0.2,0.2,"99.09&0","99.09&0"
"42","undefined","undefined","NRD1&RBBP4#NRD1&SYNC",0,0,"undefined","undefined"
"43","undefined","undefined","MRPS15&TM4SF19#MRPS15&TM4SF19-TCTEX1D2",1,1,"undefined","undefined"
"44","NM_001098405_3&NM_012090","GAGE12F&MACF1","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0.1,0.1,"13.4&13","18&13"
"45","NM_001098408_3&NM_012090","GAGE12C&MACF1","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0.1,0.1,"13.4&13","0.67&13"
"46","NM_001098409_5&NM_012090","GAGE12G&MACF1","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0.1,0.1,"13.4&13","18&13"
"47","NM_001098418_3&NM_012090","GAGE12E&MACF1","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0.1,0.1,"13.4&13","1.83&13"
"48","NM_001127199&NM_012090","GAGE12D&MACF1","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0.1,0.1,"13.4&13","0.38&13"
"49","NM_001474&NM_012090","GAGE4&MACF1","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0.1,0.1,"3.14&13","2.5&13"
"50","NM_001475_1&NM_012090","GAGE5&MACF1","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0.1,0.1,"6.25&13","4.2&13"
"51","NM_001476_1&NM_012090","GAGE6&MACF1","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0.1,0.1,"3.14&13","2.5&13"
"52","NM_001477&NM_012090","GAGE12I&MACF1","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0.1,0.1,"1.1&13","0.38&13"
"53","NM_021123_2&NM_012090","GAGE7&MACF1","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0.1,0.1,"1.1&13","0.38&13"
"54","undefined","undefined","GAGE12C&MACF1#GAGE12D&MACF1#GAGE12E&MACF1#GAGE12F&MACF1#GAGE12G&MACF1#GAGE12I&MACF1#GAGE4&MACF1#GAGE5&MACF1#GAGE6&MACF1#GAGE7&MACF1",0,0,"undefined","undefined"
"55","undefined","undefined","PABPC4&RMDN2#PABPC4&RMDN2-AS1",1,1,"undefined","undefined"
"56","undefined","undefined","PPIH&RNA28S5#PPIH&RNA45S5",1,1,"undefined","undefined"
"57","NM_001202431&NR_003286_5","PRDX1&RNA18S5","PRDX1&RNA18S5#PRDX1&RNA45S5",0.125,0.125,"7.56&0","7.56&2"
"58","NM_001202431&NR_046235_2","PRDX1&RNA45S5","PRDX1&RNA18S5#PRDX1&RNA45S5",0.125,0.125,"7.56&19","7.56&14"
"59","NM_002574&NR_003286_5","PRDX1&RNA18S5","PRDX1&RNA18S5#PRDX1&RNA45S5",0.125,0.125,"6.05&0","7.56&2"
"60","NM_002574&NR_046235_2","PRDX1&RNA45S5","PRDX1&RNA18S5#PRDX1&RNA45S5",0.125,0.125,"6.05&19","7.56&14"
"61","NM_181696&NR_003286_5","PRDX1&RNA18S5","PRDX1&RNA18S5#PRDX1&RNA45S5",0.125,0.125,"3.02&0","7.56&2"
"62","NM_181696&NR_046235_2","PRDX1&RNA45S5","PRDX1&RNA18S5#PRDX1&RNA45S5",0.125,0.125,"3.02&19","7.56&14"
"63","NM_181697&NR_003286_5","PRDX1&RNA18S5","PRDX1&RNA18S5#PRDX1&RNA45S5",0.125,0.125,"456.38&0","7.56&2"
"64","NM_181697&NR_046235_2","PRDX1&RNA45S5","PRDX1&RNA18S5#PRDX1&RNA45S5",0.125,0.125,"456.38&19","7.56&14"
