"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","FAM138A&undefined#FAM138C&undefined#FAM138F&undefined",1,2,"undefined","undefined"
"2","undefined","undefined","LOC100132062&LOC729737&undefined#LOC100132287&LOC729737&undefined",1,2,"undefined","undefined"
"3","NR_028326&NR_028322","LINC01001&LOC100132287","LINC01001&LOC100132062#LINC01001&LOC100132287",0.125,0.5,"0&1","0&1"
"4","NR_028326&NR_028322_1","LINC01001&LOC100132287","LINC01001&LOC100132062#LINC01001&LOC100132287",0.125,0.5,"0&4.5","0&1"
"5","NR_028326&NR_028325","LINC01001&LOC100132062","LINC01001&LOC100132062#LINC01001&LOC100132287",0.125,0.5,"0&1","0&1"
"6","NR_028326&NR_028325_1","LINC01001&LOC100132062","LINC01001&LOC100132062#LINC01001&LOC100132287",0.125,0.5,"0&4.5","0&1"
"7","undefined","undefined","LINC01001&LOC100132062#LINC01001&LOC100132287",0.5,2,"undefined","undefined"
"8","NR_028322_1&NR_028327","LOC100132287&LOC100133331","LOC100132062&LOC100133331#LOC100132287&LOC100133331",0.142857142857143,1,"4.5&5","1&5"
"9","NR_028322&NR_028327","LOC100132287&LOC100133331","LOC100132062&LOC100133331#LOC100132287&LOC100133331",0.0714285714285714,0.5,"1&5","1&5"
"10","NR_028325_1&NR_028327","LOC100132062&LOC100133331","LOC100132062&LOC100133331#LOC100132287&LOC100133331",0.142857142857143,1,"4.5&5","1&5"
"11","NR_028325&NR_028327","LOC100132062&LOC100133331","LOC100132062&LOC100133331#LOC100132287&LOC100133331",0.0714285714285714,0.5,"1&5","1&5"
"12","undefined","undefined","LOC100132062&LOC100133331#LOC100132287&LOC100133331",0.571428571428571,4,"undefined","undefined"
"13","NR_028324&NR_028322","LINC01002&LOC100132287","LINC01002&LOC100132062#LINC01002&LOC100132287",0,0,"7&1","7&1"
"14","NR_028324&NR_028325","LINC01002&LOC100132062","LINC01002&LOC100132062#LINC01002&LOC100132287",0,0,"7&1","7&1"
"15","undefined","undefined","LINC01002&LOC100132062#LINC01002&LOC100132287",1,1,"undefined","undefined"
"16","NR_024368&NR_028322","LINC01000&LOC100132287","LINC01000&LOC100132062#LINC01000&LOC100132287",0,0,"26&1","26&1"
"17","NR_024368&NR_028325","LINC01000&LOC100132062","LINC01000&LOC100132062#LINC01000&LOC100132287",0,0,"26&1","26&1"
"18","undefined","undefined","LINC01000&LOC100132062#LINC01000&LOC100132287",1,1,"undefined","undefined"
"19","undefined","undefined","LOC100132062&undefined#LOC100132287&undefined",1,13,"undefined","undefined"
"20","undefined","undefined","CDK11B&SLC35E2B#MMP23A&SLC35E2B",1,3,"undefined","undefined"
"21","NM_018198&NM_001079906","DNAJC11&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"15&0","15&0"
"22","NM_018198&NM_001079907","DNAJC11&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"15&0","15&0"
"23","NM_018198&NM_001253798","DNAJC11&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"15&0","15&0"
"24","NM_018198&NM_001253799","DNAJC11&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"15&0","15&0"
"25","NM_018198&NM_001253800","DNAJC11&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"15&0","15&0"
"26","NM_018198&NM_001253801","DNAJC11&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"15&0","15&0"
"27","NM_018198&NM_018555","DNAJC11&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"15&3","15&0"
"28","NM_138350&NM_001079906","THAP3&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"0&0","3.5&0"
"29","NM_138350&NM_001079907","THAP3&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"0&0","3.5&0"
"30","NM_138350&NM_001253798","THAP3&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"0&0","3.5&0"
"31","NM_138350&NM_001253799","THAP3&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"0&0","3.5&0"
"32","NM_138350&NM_001253800","THAP3&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"0&0","3.5&0"
"33","NM_138350&NM_001253801","THAP3&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"0&0","3.5&0"
"34","NM_138350&NM_018555","THAP3&ZNF331","DNAJC11&ZNF331#THAP3&ZNF331",0.0714285714285714,0.0714285714285714,"0&3","3.5&0"
"35","undefined","undefined","DNAJC11&ZNF331#THAP3&ZNF331",0,0,"undefined","undefined"
"36","NM_001195563&NR_003287_3","CAMTA1&RNA28S5","CAMTA1&RNA28S5#CAMTA1&RNA45S5",0.5,0.5,"59.98&184.93","59.98&14.2"
"37","NM_001195563&NR_046235","CAMTA1&RNA45S5","CAMTA1&RNA28S5#CAMTA1&RNA45S5",0.5,0.5,"59.98&23.99","59.98&23.99"
"38","undefined","undefined","CAMTA1&RNA28S5#CAMTA1&RNA45S5",0,0,"undefined","undefined"
"39","NM_001098728_2&NM_183416","GTF2H2C&KIF1B","GTF2H2&KIF1B#GTF2H2C&KIF1B",0.5,0.5,"0&5","0&3"
"40","NM_001515_1&NM_183416","GTF2H2&KIF1B","GTF2H2&KIF1B#GTF2H2C&KIF1B",0.5,0.5,"0&5","0.5&3"
"41","undefined","undefined","GTF2H2&KIF1B#GTF2H2C&KIF1B",0,0,"undefined","undefined"
"42","undefined","undefined","APITD1&DFFA#APITD1-CORT&DFFA",1,1,"undefined","undefined"
"43","undefined","undefined","LOC400736&LOC645382&PRAME&PRAMEF15&PRAMEF25#LOC400736&LOC645382&PRAME&PRAMEF15&PRAMEF26",1,1,"undefined","undefined"
"44","undefined","undefined","CROCC&CROCCP2&FAM231D&undefined#CROCC&CROCCP2&LOC388692&undefined#CROCC&CROCCP2&NUDT4P1&undefined#CROCC&CROCCP2&NUDT4P2&undefined#CROCC&CROCCP2&PDZK1P1&undefined",1,1,"undefined","undefined"
"45","undefined","undefined","BIRC6&RCC2&RPS24#BIRC6-AS2&RCC2&RPS24",1,1,"undefined","undefined"
"46","undefined","undefined","ARHGAP8&OTUD3#OTUD3&PRR5-ARHGAP8",1,1,"undefined","undefined"
"47","NM_005216&NM_012473","DDOST&TXN2","DDOST&TXN2#PINK1-AS&TXN2",0.5,0.5,"117.97&46","117.97&46"
"48","NR_046507&NM_012473","PINK1-AS&TXN2","DDOST&TXN2#PINK1-AS&TXN2",0.5,0.5,"1.03&46","1.03&46"
"49","undefined","undefined","DDOST&TXN2#PINK1-AS&TXN2",0,0,"undefined","undefined"
"50","undefined","undefined","DDOST&KIF17#KIF17&PINK1-AS",1,6,"undefined","undefined"
"51","undefined","undefined","LRRC75A&SRRM1&TRPV2#LRRC75A-AS1&SRRM1&TRPV2",1,1,"undefined","undefined"
"52","undefined","undefined","LOC646471&SEPN1&undefined#MTFR1L&SEPN1&undefined",1,1,"undefined","undefined"
"53","undefined","undefined","HMGN2&HS3ST4#HMGN2&MIR3680-1#HMGN2&MIR3680-2",1,68,"undefined","undefined"
"54","undefined","undefined","HMGN2&RNA28S5&undefined#HMGN2&RNA45S5&undefined",1,1,"undefined","undefined"
"55","NM_001015&NR_002909","RPS11&SNHG3","RCC1&RPS11#RPS11&SNHG3",0.25,0.25,"749&172.47","749&172.47"
"56","NM_001048199&NM_001015","RCC1&RPS11","RCC1&RPS11#RPS11&SNHG3",0.25,0.25,"0&749","1.5&749"
"57","NR_030725&NM_001015","RCC1&RPS11","RCC1&RPS11#RPS11&SNHG3",0.25,0.25,"2.5&749","1.5&749"
"58","NR_030726&NM_001015","RCC1&RPS11","RCC1&RPS11#RPS11&SNHG3",0.25,0.25,"2.5&749","1.5&749"
"59","undefined","undefined","RCC1&RPS11#RPS11&SNHG3",0,0,"undefined","undefined"
"60","NM_001038618&NM_001048199","NARF&RCC1","NARF&RCC1#NARF&SNHG3",0.05,0.05,"3.28&0","3.28&1.5"
"61","NM_001038618&NR_002909","NARF&SNHG3","NARF&RCC1#NARF&SNHG3",0.05,0.05,"3.28&172.47","3.28&172.47"
"62","NM_001038618&NR_030725","NARF&RCC1","NARF&RCC1#NARF&SNHG3",0.05,0.05,"3.28&2.5","3.28&1.5"
"63","NM_001038618&NR_030726","NARF&RCC1","NARF&RCC1#NARF&SNHG3",0.05,0.05,"3.28&2.5","3.28&1.5"
"64","NM_001038618&NR_036473","NARF&SNHG3","NARF&RCC1#NARF&SNHG3",0.05,0.05,"3.28&13.53","3.28&172.47"
"65","NM_001083608&NM_001048199","NARF&RCC1","NARF&RCC1#NARF&SNHG3",0.05,0.05,"9.53&0","3.28&1.5"
"66","NM_001083608&NR_002909","NARF&SNHG3","NARF&RCC1#NARF&SNHG3",0.05,0.05,"9.53&172.47","3.28&172.47"
