"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","LOC100132062&undefined#LOC100132287&undefined",1,2,"undefined","undefined"
"2","undefined","undefined","LINC00115&LOC100288069&PURB&undefined#LINC01128&LOC100288069&PURB&undefined",1,1,"undefined","undefined"
"3","NM_005101&NM_001032288","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&884","41&884"
"4","NM_005101&NM_001257393","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&0","41&884"
"5","NM_005101&NM_001257394","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&4.26","41&884"
"6","NM_005101&NM_001257395","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&0.12","41&884"
"7","NM_005101&NM_001257396","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&0","41&884"
"8","NM_005101&NM_001257397","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&4.58","41&884"
"9","NM_005101&NM_001257398","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&0","41&884"
"10","NM_005101&NM_001257399","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&0","41&884"
"11","NM_005101&NM_001282575","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&0","41&884"
"12","NM_005101&NM_001282576","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&0","41&884"
"13","NM_005101&NM_001282577","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&1.07","41&884"
"14","NM_005101&NM_001282578","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&3.2","41&884"
"15","NM_005101&NM_001282579","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&4.58","41&884"
"16","NM_005101&NM_021988","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&6.86","41&884"
"17","NM_005101&NM_022442","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&0","41&884"
"18","NM_005101&NM_199144","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&0","41&884"
"19","NM_005101&NM_199203","ISG15&TMEM189-UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&0","41&0"
"20","NM_005101&NR_047554","ISG15&UBE2V1","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0.0555555555555556,0.0555555555555556,"41&38.35","41&884"
"21","undefined","undefined","ISG15&TMEM189-UBE2V1#ISG15&UBE2V1",0,0,"undefined","undefined"
"22","NM_001037808&NM_005101","EIF3C&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"19.32&41","19.32&41"
"23","NM_001099661_1&NM_005101","EIF3CL&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"102.95&41","12.01&41"
"24","NM_001199142_1&NM_005101","EIF3C&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"5.69&41","19.32&41"
"25","NM_001267574_1&NM_005101","EIF3C&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"27.04&41","19.32&41"
"26","NM_001286478_1&NM_005101","EIF3C&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"0&41","19.32&41"
"27","NM_003752_1&NM_005101","EIF3C&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"1100&41","19.32&41"
"28","undefined","undefined","EIF3C&ISG15#EIF3CL&ISG15",0,0,"undefined","undefined"
"29","undefined","undefined","CPSF3L&GTF2IP1#CPSF3L&LOC100101148#CPSF3L&LOC541473#CPSF3L&PMS2P7#CPSF3L&RFC2#CPSF3L&SPDYE8P#CPSF3L&TRIM73#CPSF3L&TRIM74",1,1,"undefined","undefined"
"30","undefined","undefined","CDK11A&CDK11B&CFDP1&SSU72#CDK11A&CFDP1&MMP23A&SSU72",1,1,"undefined","undefined"
"31","undefined","undefined","MIB2&MMP23A#MIB2&SLC35E2B",1,2,"undefined","undefined"
"32","undefined","undefined","MMP23A&SLC35E2#SLC35E2&SLC35E2B",1,1,"undefined","undefined"
"33","undefined","undefined","LOC100506076&THAP3#MIR4435-1&THAP3#MIR4435-2&THAP3#MIR4771-1&THAP3#MIR4771-2&THAP3",1,1,"undefined","undefined"
"34","undefined","undefined","POLR2J2&VAMP3#SPDYE2&VAMP3#SPDYE2B&VAMP3",1,1,"undefined","undefined"
"35","NM_001037808&NM_007262","EIF3C&PARK7","EIF3C&PARK7#EIF3CL&PARK7",0.166666666666667,0.166666666666667,"19.32&375.45","19.32&589.55"
"36","NM_001099661_1&NM_007262","EIF3CL&PARK7","EIF3C&PARK7#EIF3CL&PARK7",0.166666666666667,0.166666666666667,"102.95&375.45","12.01&589.55"
"37","NM_001199142_1&NM_007262","EIF3C&PARK7","EIF3C&PARK7#EIF3CL&PARK7",0.166666666666667,0.166666666666667,"5.69&375.45","19.32&589.55"
"38","NM_001267574_1&NM_007262","EIF3C&PARK7","EIF3C&PARK7#EIF3CL&PARK7",0.166666666666667,0.166666666666667,"27.04&375.45","19.32&589.55"
"39","NM_001286478_1&NM_007262","EIF3C&PARK7","EIF3C&PARK7#EIF3CL&PARK7",0.166666666666667,0.166666666666667,"0&375.45","19.32&589.55"
"40","NM_003752_1&NM_007262","EIF3C&PARK7","EIF3C&PARK7#EIF3CL&PARK7",0.166666666666667,0.166666666666667,"1100&375.45","19.32&589.55"
"41","undefined","undefined","EIF3C&PARK7#EIF3CL&PARK7",0,0,"undefined","undefined"
"42","NM_001201483&NM_000123","ENO1&ERCC5","BIVM-ERCC5&ENO1#ENO1&ERCC5",0.25,0.25,"0&18","0&18"
"43","NM_001204425&NM_001201483","BIVM-ERCC5&ENO1","BIVM-ERCC5&ENO1#ENO1&ERCC5",0.25,0.25,"0&0","0&0"
"44","NM_001204425&NM_001428","BIVM-ERCC5&ENO1","BIVM-ERCC5&ENO1#ENO1&ERCC5",0.25,0.25,"0&10163","0&0"
"45","NM_001428&NM_000123","ENO1&ERCC5","BIVM-ERCC5&ENO1#ENO1&ERCC5",0.25,0.25,"10163&18","0&18"
"46","undefined","undefined","BIVM-ERCC5&ENO1#ENO1&ERCC5",0,0,"undefined","undefined"
"47","NM_001428&NM_002415","ENO1&MIF","ENO1&MIF#ENO1&MIF-AS1",0.5,0.5,"10163&0.04","0&0.04"
"48","NM_001428&NR_038911","ENO1&MIF-AS1","ENO1&MIF#ENO1&MIF-AS1",0.5,0.5,"10163&87.96","0&87.96"
"49","undefined","undefined","ENO1&MIF#ENO1&MIF-AS1",0,0,"undefined","undefined"
"50","undefined","undefined","ENO1&FLJ21408#ENO1&MIR3680-1#ENO1&MIR3680-2",1,1,"undefined","undefined"
"51","NM_001428&NM_001203250","ENO1&ZNF20","ENO1&ZNF20#ENO1&ZNF625-ZNF20",0.333333333333333,0.333333333333333,"10163&0.02","0&0.02"
"52","NM_001428&NM_021143","ENO1&ZNF20","ENO1&ZNF20#ENO1&ZNF625-ZNF20",0.333333333333333,0.333333333333333,"10163&29.98","0&0.02"
"53","NM_001428&NR_037802","ENO1&ZNF625-ZNF20","ENO1&ZNF20#ENO1&ZNF625-ZNF20",0.333333333333333,0.333333333333333,"10163&0","0&0"
"54","undefined","undefined","ENO1&ZNF20#ENO1&ZNF625-ZNF20",0,0,"undefined","undefined"
"55","undefined","undefined","CPNE1&ENO1#ENO1&RBM12",1,1,"undefined","undefined"
"56","NM_001201483&NM_001128619","ENO1&LUZP6","ENO1&LUZP6#ENO1&MTPN",0.25,0.25,"0&72.5","0&72.5"
"57","NM_001201483&NM_145808","ENO1&MTPN","ENO1&LUZP6#ENO1&MTPN",0.25,0.25,"0&72.5","0&72.5"
"58","NM_001428&NM_001128619","ENO1&LUZP6","ENO1&LUZP6#ENO1&MTPN",0.25,0.25,"10163&72.5","0&72.5"
"59","NM_001428&NM_145808","ENO1&MTPN","ENO1&LUZP6#ENO1&MTPN",0.25,0.25,"10163&72.5","0&72.5"
"60","undefined","undefined","ENO1&LUZP6#ENO1&MTPN",0,0,"undefined","undefined"
"61","NM_001201483&NM_016045","ENO1&SLMO2","ENO1&SLMO2#ENO1&SLMO2-ATP5E",0.25,0.25,"0&316.31","0&19.69"
"62","NM_001201483&NR_037929","ENO1&SLMO2-ATP5E","ENO1&SLMO2#ENO1&SLMO2-ATP5E",0.25,0.25,"0&2","0&2"
"63","NM_001428&NM_016045","ENO1&SLMO2","ENO1&SLMO2#ENO1&SLMO2-ATP5E",0.25,0.25,"10163&316.31","0&19.69"
"64","NM_001428&NR_037929","ENO1&SLMO2-ATP5E","ENO1&SLMO2#ENO1&SLMO2-ATP5E",0.25,0.25,"10163&2","0&2"
"65","undefined","undefined","ENO1&SLMO2#ENO1&SLMO2-ATP5E",0,0,"undefined","undefined"
"66","undefined","undefined","ENO1&PCDHA1#ENO1&PCDHA2#ENO1&PCDHA3#ENO1&PCDHA4#ENO1&PCDHA5#ENO1&PCDHA6",1,1,"undefined","undefined"
"67","undefined","undefined","ENO1&FAM231D#ENO1&LOC388692",1,1,"undefined","undefined"
"68","undefined","undefined","C21orf33&ENO1#ENO1&ICOSLG#ENO1&LINC00313#ENO1&LINC00319#ENO1&PWP2#ENO1&SIK1",1,1,"undefined","undefined"
"69","undefined","undefined","DFFA&GOLGA6L4&UBE2Q2P1#DFFA&GOLGA6L5P&UBE2Q2P1",1,1,"undefined","undefined"
"70","NM_001145785&NM_007375","MEF2B&TARDBP","MEF2B&TARDBP#MEF2BNB-MEF2B&TARDBP",0.5,0.5,"0&129","0&129"
"71","NR_027307&NM_007375","MEF2BNB-MEF2B&TARDBP","MEF2B&TARDBP#MEF2BNB-MEF2B&TARDBP",0.5,0.5,"1&129","1&129"
"72","undefined","undefined","MEF2B&TARDBP#MEF2BNB-MEF2B&TARDBP",0,0,"undefined","undefined"
"73","undefined","undefined","MCM9&MTOR&POLR2J3#MCM9&MTOR&RASA4B#MCM9&MTOR&SPDYE2#MCM9&MTOR&SPDYE2B",1,1,"undefined","undefined"
"74","undefined","undefined","C21orf140&MFN2#C21orf33&MFN2#CBS&MFN2#CRYAA&MFN2#ICOSLG&MFN2#LINC00313&MFN2#LINC00319&MFN2#MFN2&MIR3648-1#MFN2&MIR3648-2#MFN2&PWP2#MFN2&SIK1#MFN2&SMIM11#MFN2&U2AF1",1,1,"undefined","undefined"
"75","undefined","undefined","AKR7A2&CHMP3&undefined#AKR7A2&RNF103-CHMP3&undefined",1,1,"undefined","undefined"
"76","NR_038899&NM_001204084","DSCAM-AS1&NBL1","DSCAM-AS1&MINOS1-NBL1#DSCAM-AS1&NBL1",0,0,"299.38&0","1.02&0"
"77","NR_038899&NM_001204085","DSCAM-AS1&NBL1","DSCAM-AS1&MINOS1-NBL1#DSCAM-AS1&NBL1",0,0,"299.38&0","1.02&0"
