"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","NM_004565&NM_152486","PEX14&SAMD11","NOC2L&PEX14#PEX14&SAMD11",0.5,0.5,"1&0","1&0"
"2","NM_015658&NM_004565","NOC2L&PEX14","NOC2L&PEX14#PEX14&SAMD11",0.5,0.5,"6&1","6&1"
"3","undefined","undefined","NOC2L&PEX14#PEX14&SAMD11",0,0,"undefined","undefined"
"4","NM_017900&NM_001040874_1","AURKAIP1&HIST2H2AA4","AURKAIP1&HIST2H2AA3#AURKAIP1&HIST2H2AA4",0,0,"94.47&2","12.11&2"
"5","NM_017900&NM_003516_1","AURKAIP1&HIST2H2AA3","AURKAIP1&HIST2H2AA3#AURKAIP1&HIST2H2AA4",0,0,"94.47&2","12.11&2"
"6","undefined","undefined","AURKAIP1&HIST2H2AA3#AURKAIP1&HIST2H2AA4",1,1,"undefined","undefined"
"7","undefined","undefined","CDK11B&SLC35E2B#MMP23A&SLC35E2B",1,1,"undefined","undefined"
"8","NM_001286086&NM_001201404","C11orf98&WASF2","C11orf98&WASF2#LBHD1&WASF2",0.166666666666667,0.166666666666667,"225&0","225&0"
"9","NM_001286086&NM_006990","C11orf98&WASF2","C11orf98&WASF2#LBHD1&WASF2",0.166666666666667,0.166666666666667,"225&8","225&0"
"10","NM_024099&NM_001201404","LBHD1&WASF2","C11orf98&WASF2#LBHD1&WASF2",0.166666666666667,0.166666666666667,"0&0","0&0"
"11","NM_024099&NM_006990","LBHD1&WASF2","C11orf98&WASF2#LBHD1&WASF2",0.166666666666667,0.166666666666667,"0&8","0&0"
"12","NR_104414&NM_001201404","C11orf98&WASF2","C11orf98&WASF2#LBHD1&WASF2",0.166666666666667,0.166666666666667,"9&0","225&0"
"13","NR_104414&NM_006990","C11orf98&WASF2","C11orf98&WASF2#LBHD1&WASF2",0.166666666666667,0.166666666666667,"9&8","225&0"
"14","undefined","undefined","C11orf98&WASF2#LBHD1&WASF2",0,0,"undefined","undefined"
"15","NM_023009&NM_002415","MARCKSL1&MIF","MARCKSL1&MIF#MARCKSL1&MIF-AS1",0.5,0.5,"22&525.67","22&525.67"
"16","NM_023009&NR_038911","MARCKSL1&MIF-AS1","MARCKSL1&MIF#MARCKSL1&MIF-AS1",0.5,0.5,"22&536.33","22&536.33"
"17","undefined","undefined","MARCKSL1&MIF#MARCKSL1&MIF-AS1",0,0,"undefined","undefined"
"18","undefined","undefined","KIAA0319L&LOC100129973#KIAA0319L&MYO5C",1,1,"undefined","undefined"
"19","undefined","undefined","GPBP1L1&PRDX1#PRDX1&RPS15AP10",1,1,"undefined","undefined"
"20","NR_037864&NM_018364","AP4B1-AS1&RSBN1","AP4B1-AS1&RSBN1#PTPN22&RSBN1",0.2,1,"0&3","0&3"
"21","NR_037864&NR_130896","AP4B1-AS1&RSBN1","AP4B1-AS1&RSBN1#PTPN22&RSBN1",0.2,1,"0&3","0&3"
"22","NR_125965&NM_018364","AP4B1-AS1&RSBN1","AP4B1-AS1&RSBN1#PTPN22&RSBN1",0.2,1,"0&3","0&3"
"23","NR_125965&NR_130896","AP4B1-AS1&RSBN1","AP4B1-AS1&RSBN1#PTPN22&RSBN1",0.2,1,"0&3","0&3"
"24","undefined","undefined","AP4B1-AS1&RSBN1#PTPN22&RSBN1",0.2,1,"undefined","undefined"
"25","undefined","undefined","FAM231D&SEC22B&undefined#LOC388692&SEC22B&undefined#NUDT4P1&SEC22B&undefined#NUDT4P2&SEC22B&undefined",1,1,"undefined","undefined"
"26","undefined","undefined","DRD5P2&NBPF15#FAM231D&NBPF15#LOC101060524&NBPF15#LOC388692&NBPF15#LOC645166&NBPF15#NBPF15&SRGAP2-AS1",1,3,"undefined","undefined"
"27","undefined","undefined","FAM231D&RNF115#LOC388692&RNF115",1,1,"undefined","undefined"
"28","undefined","undefined","FAM231D&PIAS3#LOC388692&PIAS3",1,2,"undefined","undefined"
"29","NM_001034077&NM_001005","HIST2H4B&RPS3","HIST2H4A&RPS3#HIST2H4B&RPS3",0.25,0.25,"0&3353.45","0&3353.45"
"30","NM_001034077&NM_001260507","HIST2H4B&RPS3","HIST2H4A&RPS3#HIST2H4B&RPS3",0.25,0.25,"0&9.44","0&3353.45"
"31","NM_003548&NM_001005","HIST2H4A&RPS3","HIST2H4A&RPS3#HIST2H4B&RPS3",0.25,0.25,"0&3353.45","0&3353.45"
"32","NM_003548&NM_001260507","HIST2H4A&RPS3","HIST2H4A&RPS3#HIST2H4B&RPS3",0.25,0.25,"0&9.44","0&3353.45"
"33","undefined","undefined","HIST2H4A&RPS3#HIST2H4B&RPS3",0,0,"undefined","undefined"
"34","NM_001040874&NM_001282606","HIST2H2AA4&TMBIM4","HIST2H2AA3&TMBIM4#HIST2H2AA4&TMBIM4",0.125,0.125,"2&0","2&0"
"35","NM_001040874&NM_001282609","HIST2H2AA4&TMBIM4","HIST2H2AA3&TMBIM4#HIST2H2AA4&TMBIM4",0.125,0.125,"2&0","2&0"
