"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","F8A1&ISG15#F8A2&ISG15#F8A3&ISG15#H2AFB1&ISG15#H2AFB2&ISG15#H2AFB3&ISG15#ISG15&MIR1184-1#ISG15&MIR1184-2#ISG15&MIR1184-3",1,1,"undefined","undefined"
"2","NR_026594&NM_005101","FAM226B&ISG15","FAM226A&ISG15#FAM226B&ISG15",0.5,0.5,"0.5&7813","0.5&7813"
"3","NR_026595&NM_005101","FAM226A&ISG15","FAM226A&ISG15#FAM226B&ISG15",0.5,0.5,"0.5&7813","0.5&7813"
"4","undefined","undefined","FAM226A&ISG15#FAM226B&ISG15",0,0,"undefined","undefined"
"5","NM_001037808_1&NM_005101","EIF3C&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"4&7813","15.05&7813"
"6","NM_001099661&NM_005101","EIF3CL&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"308.59&7813","308.59&7813"
"7","NM_001199142&NM_005101","EIF3C&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"14.87&7813","15.05&7813"
"8","NM_001267574&NM_005101","EIF3C&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"11.15&7813","15.05&7813"
"9","NM_001286478&NM_005101","EIF3C&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"0&7813","15.05&7813"
"10","NM_003752&NM_005101","EIF3C&ISG15","EIF3C&ISG15#EIF3CL&ISG15",0.166666666666667,0.166666666666667,"55.39&7813","15.05&7813"
"11","undefined","undefined","EIF3C&ISG15#EIF3CL&ISG15",0,0,"undefined","undefined"
"12","undefined","undefined","AGRN&HIST2H4A#AGRN&HIST2H4B",1,1,"undefined","undefined"
"13","undefined","undefined","HIST2H4A&UBE2J2&undefined#HIST2H4B&UBE2J2&undefined",1,1,"undefined","undefined"
"14","NR_003287_3&NM_014188","RNA28S5&SSU72","RNA28S5&SSU72#RNA45S5&SSU72",0.5,0.5,"0.01&436","0&436"
"15","NR_046235&NM_014188","RNA45S5&SSU72","RNA28S5&SSU72#RNA45S5&SSU72",0.5,0.5,"34&436","34&436"
"16","undefined","undefined","RNA28S5&SSU72#RNA45S5&SSU72",0,0,"undefined","undefined"
"17","NM_002617&NM_019026","PEX10&TMCO1","PEX10&TMCO1#RER1&TMCO1",0.333333333333333,0.333333333333333,"80.18&233.22","80.18&1.13"
