"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","FAM231D&LOC729737#LOC388692&LOC729737",1,1,"undefined","undefined"
"2","NR_028322&NR_028327","LOC100132287&LOC100133331","LOC100132062&LOC100133331#LOC100132287&LOC100133331",0.5,0.5,"0&2","0&2"
"3","NR_028325&NR_028327","LOC100132062&LOC100133331","LOC100132062&LOC100133331#LOC100132287&LOC100133331",0.5,0.5,"0&2","0&2"
"4","undefined","undefined","LOC100132062&LOC100133331#LOC100132287&LOC100133331",0,0,"undefined","undefined"
"5","undefined","undefined","DRD5P2&LOC100133331&undefined#FAM231D&LOC100133331&undefined#LOC100133331&LOC101060524&undefined#LOC100133331&LOC388692&undefined#LOC100133331&LOC645166&undefined#LOC100133331&NBPF15&undefined#LOC100133331&SRGAP2-AS1&undefined",1,1,"undefined","undefined"
"6","undefined","undefined","AURKAIP1&C8orf44-SGK3#AURKAIP1&SGK3",1,1,"undefined","undefined"
"7","NM_182838&NM_001110781","SLC35E2&SLC35E2B","MMP23A&SLC35E2#SLC35E2&SLC35E2B",0.1,0.5,"9&5","1&5"
"8","NM_182838&NM_001290264","SLC35E2&SLC35E2B","MMP23A&SLC35E2#SLC35E2&SLC35E2B",0.1,0.5,"9&0","1&5"
"9","undefined","undefined","MMP23A&SLC35E2#SLC35E2&SLC35E2B",0.8,4,"undefined","undefined"
"10","NM_145039&NM_001198993","CENPBD1&NADK","AFG3L1P&NADK#CENPBD1&NADK",0.0625,0.0625,"6&1.54","6&1.54"
"11","NM_145039&NM_001198994","CENPBD1&NADK","AFG3L1P&NADK#CENPBD1&NADK",0.0625,0.0625,"6&0","6&1.54"
"12","NM_145039&NM_001198995","CENPBD1&NADK","AFG3L1P&NADK#CENPBD1&NADK",0.0625,0.0625,"6&0","6&1.54"
"13","NM_145039&NM_023018","CENPBD1&NADK","AFG3L1P&NADK#CENPBD1&NADK",0.0625,0.0625,"6&18.46","6&1.54"
"14","NR_003226&NM_001198993","AFG3L1P&NADK","AFG3L1P&NADK#CENPBD1&NADK",0.0625,0.0625,"0.67&1.54","0.67&1.54"
"15","NR_003226&NM_001198994","AFG3L1P&NADK","AFG3L1P&NADK#CENPBD1&NADK",0.0625,0.0625,"0.67&0","0.67&1.54"
"16","NR_003226&NM_001198995","AFG3L1P&NADK","AFG3L1P&NADK#CENPBD1&NADK",0.0625,0.0625,"0.67&0","0.67&1.54"
