"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","C21orf140&KHDRBS1#C21orf33&KHDRBS1#CBS&KHDRBS1#CRYAA&KHDRBS1#ICOSLG&KHDRBS1#KHDRBS1&LINC00313#KHDRBS1&LINC00319#KHDRBS1&MIR3648-1#KHDRBS1&MIR3648-2#KHDRBS1&PWP2#KHDRBS1&SIK1#KHDRBS1&SMIM11#KHDRBS1&U2AF1",1,1,"undefined","undefined"
"2","undefined","undefined","RAB4B&SRSF11#RAB4B-EGLN2&SRSF11",1,1,"undefined","undefined"
"3","undefined","undefined","DRD5P2&NBPF15#FAM231D&NBPF15#LOC101060524&NBPF15#LOC388692&NBPF15#LOC645166&NBPF15#NBPF15&SRGAP2-AS1",1,4,"undefined","undefined"
"4","undefined","undefined","FAM231D&RNF115#LOC388692&RNF115",1,2,"undefined","undefined"
"5","undefined","undefined","FAM231D&POLR3C#ITGA10&POLR3C#LOC388692&POLR3C",1,1,"undefined","undefined"
"6","undefined","undefined","ANKRD35&POLR3C#FAM231D&POLR3C#LOC388692&POLR3C",1,1,"undefined","undefined"
"7","undefined","undefined","FAM231D&PIAS3#LOC388692&PIAS3",1,1,"undefined","undefined"
"8","undefined","undefined","FAM231D&TXNIP#LOC388692&TXNIP",1,3,"undefined","undefined"
"9","undefined","undefined","FAM231D&NBPF10#LOC388692&NBPF10",1,2,"undefined","undefined"
"10","undefined","undefined","FAM231D&NBPF12#LOC388692&NBPF12#NBPF12&NUDT4P1#NBPF12&NUDT4P2",1,1,"undefined","undefined"
"11","undefined","undefined","FAM231D&NBPF13P#LOC388692&NBPF13P#NBPF13P&NUDT4P1#NBPF13P&NUDT4P2",1,1,"undefined","undefined"
"12","undefined","undefined","FAM231D&NUDT4P1#FAM231D&NUDT4P2#LOC388692&NUDT4P1#LOC388692&NUDT4P2",1,1,"undefined","undefined"
"13","undefined","undefined","FAM231D&NBPF9#LOC388692&NBPF9#LOC653513&NBPF9",1,2,"undefined","undefined"
"14","undefined","undefined","FAM231D&LINC00869#LINC00869&LOC388692",1,2,"undefined","undefined"
"15","undefined","undefined","DAP3&MSTO2P#DAP3&YY1AP1",1,6,"undefined","undefined"
"16","undefined","undefined","ARHGAP19&SRP9#ARHGAP19-SLIT1&SRP9",1,1,"undefined","undefined"
"17","undefined","undefined","H3F3A&undefined#H3F3AP4&undefined",1,2,"undefined","undefined"
"18","undefined","undefined","ASB3&CHAC2#CHAC2&GPR75-ASB3",1,2,"undefined","undefined"
"19","NM_001153&NM_001307979","ANXA4&PRICKLE3","ANXA4&PLP2#ANXA4&PRICKLE3",0.333333333333333,0.333333333333333,"140&0","140&0"
"20","NM_001153&NM_002668","ANXA4&PLP2","ANXA4&PLP2#ANXA4&PRICKLE3",0.333333333333333,0.333333333333333,"140&8","140&8"
"21","NM_001153&NM_006150","ANXA4&PRICKLE3","ANXA4&PLP2#ANXA4&PRICKLE3",0.333333333333333,0.333333333333333,"140&0","140&0"
"22","undefined","undefined","ANXA4&PLP2#ANXA4&PRICKLE3",0,0,"undefined","undefined"
"23","undefined","undefined","CHMP3&KDM3A#KDM3A&RNF103-CHMP3",1,1,"undefined","undefined"
"24","undefined","undefined","LOC285074&PLGLB1&RGPD1#LOC285074&PLGLB1&RGPD2#LOC285074&PLGLB2&RGPD1#LOC285074&PLGLB2&RGPD2",1,1,"undefined","undefined"
"25","undefined","undefined","MIR4435-1&MRPS5#MIR4435-2&MRPS5#MIR4771-1&MRPS5#MIR4771-2&MRPS5",1,1,"undefined","undefined"
"26","undefined","undefined","FAHD2A&MIR4435-1#FAHD2A&MIR4435-2#FAHD2A&MIR4771-1#FAHD2A&MIR4771-2",1,1,"undefined","undefined"
"27","undefined","undefined","ANKRD36&LOC100506076#ANKRD36&LOC100506123",1,1,"undefined","undefined"
"28","undefined","undefined","ANKRD36B&MIR4435-1#ANKRD36B&MIR4435-2#ANKRD36B&MIR4771-1#ANKRD36B&MIR4771-2",1,2,"undefined","undefined"
"29","undefined","undefined","MIR4435-1&TMEM131#MIR4435-2&TMEM131#MIR4771-1&TMEM131#MIR4771-2&TMEM131",1,1,"undefined","undefined"
"30","undefined","undefined","C2orf15&MIR4435-1#C2orf15&MIR4435-2#C2orf15&MIR4771-1#C2orf15&MIR4771-2#C2orf15&TSGA10",1,3,"undefined","undefined"
"31","undefined","undefined","MIR4435-1&MITD1#MIR4435-2&MITD1#MIR4771-1&MITD1#MIR4771-2&MITD1",1,1,"undefined","undefined"
"32","undefined","undefined","EIF5B&MIR4435-1#EIF5B&MIR4435-2#EIF5B&MIR4771-1#EIF5B&MIR4771-2",1,7,"undefined","undefined"
"33","undefined","undefined","MIR4435-1&PDCL3#MIR4435-2&PDCL3#MIR4771-1&PDCL3#MIR4771-2&PDCL3",1,2,"undefined","undefined"
"34","undefined","undefined","MIR4435-1&RPL31#MIR4435-2&RPL31#MIR4771-1&RPL31#MIR4771-2&RPL31#RPL31&TBC1D8",1,1,"undefined","undefined"
"35","undefined","undefined","CNOT11&MIR4435-1#CNOT11&MIR4435-2#CNOT11&MIR4771-1#CNOT11&MIR4771-2",1,2,"undefined","undefined"
"36","undefined","undefined","MFSD9&TMEM182#MIR4435-1&TMEM182#MIR4435-2&TMEM182#MIR4771-1&TMEM182#MIR4771-2&TMEM182",1,4,"undefined","undefined"
"37","undefined","undefined","MIR4435-1&UXS1#MIR4435-2&UXS1#MIR4771-1&UXS1#MIR4771-2&UXS1",1,1,"undefined","undefined"
"38","undefined","undefined","GCC2&MIR4435-1#GCC2&MIR4435-2#GCC2&MIR4771-1#GCC2&MIR4771-2",1,1,"undefined","undefined"
"39","undefined","undefined","CCDC138&RANBP2#MIR4435-1&RANBP2#MIR4435-2&RANBP2#MIR4771-1&RANBP2#MIR4771-2&RANBP2",1,1,"undefined","undefined"
"40","undefined","undefined","BUB1&MIR4435-1#BUB1&MIR4435-2#BUB1&MIR4771-1#BUB1&MIR4771-2#BUB1&RGPD5#BUB1&RGPD8",1,2,"undefined","undefined"
"41","undefined","undefined","ACOXL&MIR4435-1#ACOXL&MIR4435-2#ACOXL&MIR4771-1#ACOXL&MIR4771-2#ACOXL&RGPD5#ACOXL&RGPD8",1,1,"undefined","undefined"
"42","undefined","undefined","CD302&MARCH7#LY75-CD302&MARCH7",1,4,"undefined","undefined"
"43","NM_002156&NM_001202485","HSPD1&HSPE1-MOB4","HSPD1&HSPE1#HSPD1&HSPE1-MOB4",0.25,0.25,"1752.3&0","1752.3&0"
"44","NM_002156&NM_002157","HSPD1&HSPE1","HSPD1&HSPE1#HSPD1&HSPE1-MOB4",0.25,0.25,"1752.3&10","1752.3&10"
"45","NM_199440&NM_001202485","HSPD1&HSPE1-MOB4","HSPD1&HSPE1#HSPD1&HSPE1-MOB4",0.25,0.25,"1.7&0","1752.3&0"
"46","NM_199440&NM_002157","HSPD1&HSPE1","HSPD1&HSPE1#HSPD1&HSPE1-MOB4",0.25,0.25,"1.7&10","1752.3&10"
"47","undefined","undefined","HSPD1&HSPE1#HSPD1&HSPE1-MOB4",0,0,"undefined","undefined"
"48","undefined","undefined","UGT1A1&undefined#UGT1A10&undefined#UGT1A3&undefined#UGT1A4&undefined#UGT1A5&undefined#UGT1A6&undefined#UGT1A7&undefined#UGT1A8&undefined#UGT1A9&undefined",1,1,"undefined","undefined"
"49","undefined","undefined","GBE1&SDF2#GBE1&SUPT6H",1,1,"undefined","undefined"
"50","NM_032359&NM_001199198","CMSS1&TBC1D23","CMSS1&TBC1D23#HP09053&TBC1D23",0.5,0.5,"45&20.84","0&20.84"
"51","NR_110821&NM_001199198","HP09053&TBC1D23","CMSS1&TBC1D23#HP09053&TBC1D23",0.5,0.5,"0&20.84","0&20.84"
"52","undefined","undefined","CMSS1&TBC1D23#HP09053&TBC1D23",0,0,"undefined","undefined"
"53","undefined","undefined","C21orf140&UBA5#C21orf33&UBA5#CBS&UBA5#CRYAA&UBA5#ICOSLG&UBA5#LINC00313&UBA5#LINC00319&UBA5#PWP2&UBA5#SIK1&UBA5#SMIM11&UBA5#U2AF1&UBA5",1,1,"undefined","undefined"
"54","NM_016531&NM_015173","KLF3&TBC1D1","KLF3&TBC1D1#KLF3-AS1&TBC1D1",0.5,0.5,"37&21","37&0"
"55","NR_026804&NM_015173","KLF3-AS1&TBC1D1","KLF3&TBC1D1#KLF3-AS1&TBC1D1",0.5,0.5,"0&21","0&0"
"56","undefined","undefined","KLF3&TBC1D1#KLF3-AS1&TBC1D1",0,0,"undefined","undefined"
"57","undefined","undefined","GTF2H2C&undefined#GTF2H2C_2&undefined",1,14,"undefined","undefined"
"58","NM_001098728_4&NM_001042490_1","GTF2H2C&GTF2H2C_2","GTF2H2B&GTF2H2C_2#GTF2H2C&GTF2H2C_2",0.5,0.5,"0&46","0&46"
"59","NR_033417_2&NM_001042490_1","GTF2H2B&GTF2H2C_2","GTF2H2B&GTF2H2C_2#GTF2H2C&GTF2H2C_2",0.5,0.5,"2.33&46","2.33&46"
"60","undefined","undefined","GTF2H2B&GTF2H2C_2#GTF2H2C&GTF2H2C_2",0,0,"undefined","undefined"
"61","undefined","undefined","GTF2H2B&undefined#GTF2H2C&undefined#GTF2H2C_2&undefined",1,11,"undefined","undefined"
"62","undefined","undefined","SERF1A&SMN1&undefined#SERF1A&SMN2&undefined#SERF1B&SMN1&undefined#SERF1B&SMN2&undefined",1,1,"undefined","undefined"
"63","undefined","undefined","SERF1A&undefined#SERF1B&undefined",1,2,"undefined","undefined"
"64","undefined","undefined","SMN1&undefined#SMN2&undefined",1,8,"undefined","undefined"
"65","undefined","undefined","GTF2H2&undefined#GTF2H2B&undefined",1,10,"undefined","undefined"
"66","NM_021967_1&NM_000344_2","SERF1A&SMN1","SERF1A&SMN1#SERF1A&SMN2#SERF1B&SMN1#SERF1B&SMN2",0.25,0.25,"0&36.4","0.5&37.04"
"67","NM_021967_1&NM_017411_1","SERF1A&SMN2","SERF1A&SMN1#SERF1A&SMN2#SERF1B&SMN1#SERF1B&SMN2",0.25,0.25,"0&36.4","0.5&0.01"
"68","NM_022978_4&NM_000344_2","SERF1B&SMN1","SERF1A&SMN1#SERF1A&SMN2#SERF1B&SMN1#SERF1B&SMN2",0.25,0.25,"0&36.4","0.5&37.04"
"69","NM_022978_4&NM_017411_1","SERF1B&SMN2","SERF1A&SMN1#SERF1A&SMN2#SERF1B&SMN1#SERF1B&SMN2",0.25,0.25,"0&36.4","0.5&0.01"
"70","undefined","undefined","SERF1A&SMN1#SERF1A&SMN2#SERF1B&SMN1#SERF1B&SMN2",0,0,"undefined","undefined"
"71","undefined","undefined","GTF2H2&undefined#GTF2H2C&undefined#GTF2H2C_2&undefined",1,24,"undefined","undefined"
"72","NM_001098728_2&NM_001042490_2","GTF2H2C&GTF2H2C_2","GTF2H2&GTF2H2C_2#GTF2H2C&GTF2H2C_2",0.5,0.5,"0&6","0&46"
"73","NM_001515_1&NM_001042490_2","GTF2H2&GTF2H2C_2","GTF2H2&GTF2H2C_2#GTF2H2C&GTF2H2C_2",0.5,0.5,"0&6","0&46"
"74","undefined","undefined","GTF2H2&GTF2H2C_2#GTF2H2C&GTF2H2C_2",0,0,"undefined","undefined"
"75","undefined","undefined","GTF2H2&undefined#GTF2H2C&undefined",1,6,"undefined","undefined"
"76","undefined","undefined","GNL1&undefined#PRR3&undefined",1,2,"undefined","undefined"
"77","undefined","undefined","ATP6V1G2-DDX39B&undefined#DDX39B&undefined",1,22,"undefined","undefined"
"78","undefined","undefined","MSH5&undefined#MSH5-SAPCD1&undefined",1,2,"undefined","undefined"
"79","undefined","undefined","BAG2&LOC101927211#BAG2&ZNF451",1,1,"undefined","undefined"
"80","NM_001402&NM_002415","EEF1A1&MIF","EEF1A1&MIF#EEF1A1&MIF-AS1",0.5,0.5,"62030&1570.27","62030&1570.27"
