"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","LOC100132062&LOC100133331&LOC729737&undefined#LOC100132287&LOC100133331&LOC729737&undefined",1,3,"undefined","undefined"
"2","undefined","undefined","LOC100132062&LOC729737&undefined#LOC100132287&LOC729737&undefined",1,8,"undefined","undefined"
"3","undefined","undefined","LINC01001&LOC100132062&LOC729737&undefined#LINC01001&LOC100132287&LOC729737&undefined",1,1,"undefined","undefined"
"4","undefined","undefined","LOC100132062&LOC729737&STAG3L5P-PVRIG2P-PILRB&undefined#LOC100132287&LOC729737&STAG3L5P-PVRIG2P-PILRB&undefined",1,1,"undefined","undefined"
"5","NR_028322&NR_039983","LOC100132287&LOC729737","LOC100132062&LOC729737#LOC100132287&LOC729737",0.5,0.5,"5&88","5&88"
"6","NR_028325&NR_039983","LOC100132062&LOC729737","LOC100132062&LOC729737#LOC100132287&LOC729737",0.5,0.5,"5&88","5&88"
"7","undefined","undefined","LOC100132062&LOC729737#LOC100132287&LOC729737",0,0,"undefined","undefined"
"8","undefined","undefined","LOC100132062&LOC100133331&undefined#LOC100132287&LOC100133331&undefined",1,6,"undefined","undefined"
"9","undefined","undefined","LOC100132062&undefined#LOC100132287&undefined",1,123,"undefined","undefined"
"10","undefined","undefined","LINC00266-3&LINC01000&LOC100132062&LOC442028&undefined#LINC00266-3&LINC01000&LOC100132062&MIR4435-1&undefined#LINC00266-3&LINC01000&LOC100132062&MIR4435-2&undefined#LINC00266-3&LINC01000&LOC100132062&MIR4771-1&undefined#LINC00266-3&LINC01000&LOC100132062&MIR4771-2&undefined#LINC00266-3&LINC01000&LOC100132287&LOC442028&undefined#LINC00266-3&LINC01000&LOC100132287&MIR4435-1&undefined#LINC00266-3&LINC01000&LOC100132287&MIR4435-2&undefined#LINC00266-3&LINC01000&LOC100132287&MIR4771-1&undefined#LINC00266-3&LINC01000&LOC100132287&MIR4771-2&undefined",1,1,"undefined","undefined"
"11","undefined","undefined","LINC01001&LOC100132062#LINC01001&LOC100132287",1,1,"undefined","undefined"
"12","undefined","undefined","LOC100132062&TMTC2#LOC100132287&TMTC2",1,1,"undefined","undefined"
"13","undefined","undefined","LNX1&LOC100132062&undefined#LNX1&LOC100132287&undefined#LNX1-AS1&LOC100132062&undefined#LNX1-AS1&LOC100132287&undefined",1,1,"undefined","undefined"
"14","undefined","undefined","ARID1A&LOC100132062#ARID1A&LOC100132287",1,1,"undefined","undefined"
"15","undefined","undefined","LINC01001&LOC100132062&undefined#LINC01001&LOC100132287&undefined",1,4,"undefined","undefined"
"16","undefined","undefined","LOC100132062&LOC100288069&undefined#LOC100132287&LOC100288069&undefined",1,2,"undefined","undefined"
"17","undefined","undefined","LOC100132062&LOC100133331&RASSF7&undefined#LOC100132287&LOC100133331&RASSF7&undefined",1,1,"undefined","undefined"
