"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","FAM138A&undefined#FAM138C&undefined#FAM138F&undefined",1,1,"undefined","undefined"
"2","NM_001199864&NM_014110","BCL2L2-PABPN1&PPP1R8","BCL2L2-PABPN1&PPP1R8#PABPN1&PPP1R8",0.5,0.5,"0&12","0&0"
"3","NM_004643&NM_014110","PABPN1&PPP1R8","BCL2L2-PABPN1&PPP1R8#PABPN1&PPP1R8",0.5,0.5,"29&12","29&0"
"4","undefined","undefined","BCL2L2-PABPN1&PPP1R8#PABPN1&PPP1R8",0,0,"undefined","undefined"
"5","undefined","undefined","C21orf140&NRD1#C21orf33&NRD1#CBS&NRD1#CRYAA&NRD1#ICOSLG&NRD1#LINC00313&NRD1#LINC00319&NRD1#MIR3648-1&NRD1#MIR3648-2&NRD1#NRD1&PWP2#NRD1&SIK1#NRD1&SMIM11#NRD1&U2AF1",1,1,"undefined","undefined"
"6","NM_001136497&NR_003286_5","BTF3L4&RNA18S5","BTF3L4&RNA18S5#BTF3L4&RNA45S5",0.166666666666667,0.166666666666667,"0&0","0&2"
"7","NM_001136497&NR_046235_2","BTF3L4&RNA45S5","BTF3L4&RNA18S5#BTF3L4&RNA45S5",0.166666666666667,0.166666666666667,"0&11","0&19"
"8","NM_001243767&NR_003286_5","BTF3L4&RNA18S5","BTF3L4&RNA18S5#BTF3L4&RNA45S5",0.166666666666667,0.166666666666667,"1.27&0","0&2"
"9","NM_001243767&NR_046235_2","BTF3L4&RNA45S5","BTF3L4&RNA18S5#BTF3L4&RNA45S5",0.166666666666667,0.166666666666667,"1.27&11","0&19"
"10","NM_152265&NR_003286_5","BTF3L4&RNA18S5","BTF3L4&RNA18S5#BTF3L4&RNA45S5",0.166666666666667,0.166666666666667,"26.73&0","0&2"
"11","NM_152265&NR_046235_2","BTF3L4&RNA45S5","BTF3L4&RNA18S5#BTF3L4&RNA45S5",0.166666666666667,0.166666666666667,"26.73&11","0&19"
"12","undefined","undefined","BTF3L4&RNA18S5#BTF3L4&RNA45S5",0,0,"undefined","undefined"
"13","NM_000701&NM_002415","ATP1A1&MIF","ATP1A1&MIF#ATP1A1&MIF-AS1",0.166666666666667,0.166666666666667,"112&134.78","112&134.78"
"14","NM_000701&NR_038911","ATP1A1&MIF-AS1","ATP1A1&MIF#ATP1A1&MIF-AS1",0.166666666666667,0.166666666666667,"112&138.22","112&138.22"
"15","NM_001160233&NM_002415","ATP1A1&MIF","ATP1A1&MIF#ATP1A1&MIF-AS1",0.166666666666667,0.166666666666667,"0&134.78","112&134.78"
"16","NM_001160233&NR_038911","ATP1A1&MIF-AS1","ATP1A1&MIF#ATP1A1&MIF-AS1",0.166666666666667,0.166666666666667,"0&138.22","112&138.22"
"17","NM_001160234&NM_002415","ATP1A1&MIF","ATP1A1&MIF#ATP1A1&MIF-AS1",0.166666666666667,0.166666666666667,"0&134.78","112&134.78"
"18","NM_001160234&NR_038911","ATP1A1&MIF-AS1","ATP1A1&MIF#ATP1A1&MIF-AS1",0.166666666666667,0.166666666666667,"0&138.22","112&138.22"
"19","undefined","undefined","ATP1A1&MIF#ATP1A1&MIF-AS1",0,0,"undefined","undefined"
"20","undefined","undefined","FAM231D&SRGAP2D#LOC388692&SRGAP2D#LOC645166&SRGAP2D#SRGAP2-AS1&SRGAP2D",1,1,"undefined","undefined"
"21","undefined","undefined","DRD5P2&NBPF15#FAM231D&NBPF15#LOC101060524&NBPF15#LOC388692&NBPF15#LOC645166&NBPF15#NBPF15&SRGAP2-AS1",1,1,"undefined","undefined"
"22","undefined","undefined","FAM231D&LOC645166#LOC388692&LOC645166#LOC645166&SRGAP2-AS1",1,1,"undefined","undefined"
"23","undefined","undefined","FAM231D&PIAS3#LOC388692&PIAS3",1,4,"undefined","undefined"
"24","undefined","undefined","FAM231D&RBM8A#GNRHR2&RBM8A#LOC388692&RBM8A",1,1,"undefined","undefined"
"25","undefined","undefined","FAM231D&LOC101928979#LOC101928979&LOC388692",1,1,"undefined","undefined"
"26","undefined","undefined","FAM231D&NBPF10#LOC388692&NBPF10",1,2,"undefined","undefined"
"27","undefined","undefined","FAM231D&LOC728989#LOC388692&LOC728989#LOC728989&NUDT4P1#LOC728989&NUDT4P2",1,1,"undefined","undefined"
"28","undefined","undefined","FAM231D&LOC653513#LOC388692&LOC653513",1,1,"undefined","undefined"
"29","NM_001040874_1&NM_031915","HIST2H2AA4&SETDB2","HIST2H2AA3&SETDB2#HIST2H2AA4&SETDB2",0,0,"0.5&0","0.5&2"
"30","NM_003516_1&NM_031915","HIST2H2AA3&SETDB2","HIST2H2AA3&SETDB2#HIST2H2AA4&SETDB2",0,0,"0.5&0","0.5&2"
"31","undefined","undefined","HIST2H2AA3&SETDB2#HIST2H2AA4&SETDB2",1,1,"undefined","undefined"
"32","undefined","undefined","H3F3A&undefined#H3F3AP4&undefined",1,2,"undefined","undefined"
