"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","FAM138A&undefined#FAM138C&undefined#FAM138F&undefined",1,35,"undefined","undefined"
"2","undefined","undefined","LOC100132062&undefined#LOC100132287&undefined",1,63,"undefined","undefined"
"3","undefined","undefined","MIB2&MMP23A#MIB2&SLC35E2B",1,1,"undefined","undefined"
"4","undefined","undefined","CDK11B&SLC35E2B#MMP23A&SLC35E2B",1,21,"undefined","undefined"
"5","undefined","undefined","MIR4435-1&THAP3#MIR4435-2&THAP3#MIR4771-1&THAP3#MIR4771-2&THAP3",1,4,"undefined","undefined"
"6","undefined","undefined","AGTRAP&C1orf167#AGTRAP&LOC102724659",1,1,"undefined","undefined"
"7","undefined","undefined","PRAMEF25&undefined#PRAMEF26&undefined",1,40,"undefined","undefined"
"8","undefined","undefined","LOC391003&PRAMEF25&undefined#LOC391003&PRAMEF26&undefined#PRAMEF22&PRAMEF25&undefined#PRAMEF22&PRAMEF26&undefined",1,1,"undefined","undefined"
"9","undefined","undefined","HNRNPC&HNRNPCL3#HNRNPC&HNRNPCL4",1,1,"undefined","undefined"
"10","undefined","undefined","LOC101929983&undefined#PRAMEF9&undefined",1,21,"undefined","undefined"
"11","undefined","undefined","RNU1-1&undefined#RNU1-2&undefined#RNU1-27P&undefined#RNU1-28P&undefined#RNU1-3&undefined#RNU1-4&undefined#RNVU1-18&undefined",1,1,"undefined","undefined"
"12","undefined","undefined","PLA2G2C&UBXN10&undefined#PLA2G2C&UBXN10-AS1&undefined",1,10,"undefined","undefined"
"13","NM_001039802&NR_023919","CDC42&LINC00339","CDC42&LINC00339#CDC42&LOC101928043",0.0318181818181818,0.7,"25.37&3.64","25.37&6.07"
"14","NM_001039802&NR_109759","CDC42&LINC00339","CDC42&LINC00339#CDC42&LOC101928043",0.0318181818181818,0.7,"25.37&3.64","25.37&6.07"
"15","NM_001039802&NR_109760","CDC42&LINC00339","CDC42&LINC00339#CDC42&LOC101928043",0.0318181818181818,0.7,"25.37&3.64","25.37&6.07"
"16","NM_001039802&NR_109761","CDC42&LINC00339","CDC42&LINC00339#CDC42&LOC101928043",0.0318181818181818,0.7,"25.37&8.5","25.37&6.07"
"17","NM_001039802&NR_109762","CDC42&LINC00339","CDC42&LINC00339#CDC42&LOC101928043",0.0318181818181818,0.7,"25.37&8.5","25.37&6.07"
"18","NM_001791&NR_023919","CDC42&LINC00339","CDC42&LINC00339#CDC42&LOC101928043",0.0318181818181818,0.7,"0.01&3.64","25.37&6.07"
"19","NM_001791&NR_109759","CDC42&LINC00339","CDC42&LINC00339#CDC42&LOC101928043",0.0318181818181818,0.7,"0.01&3.64","25.37&6.07"
"20","NM_001791&NR_109760","CDC42&LINC00339","CDC42&LINC00339#CDC42&LOC101928043",0.0318181818181818,0.7,"0.01&3.64","25.37&6.07"
"21","NM_001791&NR_109761","CDC42&LINC00339","CDC42&LINC00339#CDC42&LOC101928043",0.0318181818181818,0.7,"0.01&8.5","25.37&6.07"
"22","NM_001791&NR_109762","CDC42&LINC00339","CDC42&LINC00339#CDC42&LOC101928043",0.0318181818181818,0.7,"0.01&8.5","25.37&6.07"
"23","undefined","undefined","CDC42&LINC00339#CDC42&LOC101928043",0.681818181818182,15,"undefined","undefined"
"24","undefined","undefined","PITHD1&TCEB3#TCEB3&TCEB3-AS1",1,1,"undefined","undefined"
"25","NM_001099625&NM_020451","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0292207923992321,0.409091093589249,"10.6&14.06","10.6&14.06"
"26","NM_001099625&NM_206926","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0292207923992321,0.409091093589249,"10.6&10.94","10.6&14.06"
"27","NM_001099626&NM_020451","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0292207923992321,0.409091093589249,"18.17&14.06","10.6&14.06"
"28","NM_001099626&NM_206926","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0292207923992321,0.409091093589249,"18.17&10.94","10.6&14.06"
"29","NM_001099627&NM_020451","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0292207923992321,0.409091093589249,"10.53&14.06","10.6&14.06"
"30","NM_001099627&NM_206926","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0292207923992321,0.409091093589249,"10.53&10.94","10.6&14.06"
"31","NM_019557&NM_020451","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0292207923992321,0.409091093589249,"22.65&14.06","10.6&14.06"
"32","NM_019557&NM_206926","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0292207923992321,0.409091093589249,"22.65&10.94","10.6&14.06"
"33","NR_024498&NM_020451","LOC646471&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.3116882589745,4.363635625643,"1.04&14.06","1.04&14.06"
"34","NR_024498&NM_206926","LOC646471&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.3116882589745,4.363635625643,"1.04&10.94","1.04&14.06"
"35","undefined","undefined","LOC646471&SEPN1#MTFR1L&SEPN1",0.142857142857143,2,"undefined","undefined"
"36","undefined","undefined","LOC646471&SEPN1&undefined#MTFR1L&SEPN1&undefined",1,4,"undefined","undefined"
"37","undefined","undefined","HMGN2&HS3ST4#HMGN2&MIR3680-1#HMGN2&MIR3680-2",1,1,"undefined","undefined"
"38","undefined","undefined","GJA9&undefined#GJA9-MYCBP&undefined",1,15,"undefined","undefined"
"39","undefined","undefined","GJA9&RHBDL2&undefined#GJA9-MYCBP&RHBDL2&undefined",1,7,"undefined","undefined"
"40","undefined","undefined","CTPS1&SLFNL1#CTPS1&SLFNL1-AS1",1,1,"undefined","undefined"
"41","undefined","undefined","ATPAF1&EFCAB14-AS1#ATPAF1&TEX38",1,9,"undefined","undefined"
"42","undefined","undefined","ACOT11&MROH7-TTC4&undefined#ACOT11&TTC4&undefined",1,1,"undefined","undefined"
"43","undefined","undefined","FUBP1&TMEM110#FUBP1&TMEM110-MUSTN1",1,3,"undefined","undefined"
"44","NM_004388&NM_005274","CTBS&GNG5","CTBS&GNG5#GNG5&SPATA1",0.0909090909090909,1,"5&7","5&7"
"45","undefined","undefined","CTBS&GNG5#GNG5&SPATA1",0.909090909090909,10,"undefined","undefined"
"46","undefined","undefined","CTBS&GNG5&undefined#GNG5&SPATA1&undefined",1,1,"undefined","undefined"
"47","undefined","undefined","MCOLN3&MIR4435-1#MCOLN3&MIR4435-2#MCOLN3&MIR4771-1#MCOLN3&MIR4771-2",1,1,"undefined","undefined"
"48","undefined","undefined","LOC101928118&TMEM56#LOC101928118&TMEM56-RWDD3",1,3,"undefined","undefined"
"49","undefined","undefined","LOC100129620&undefined#LPPR5&undefined",1,29,"undefined","undefined"
"50","undefined","undefined","AMY1A&AMY2A&RNPC3#AMY1B&AMY2A&RNPC3#AMY1C&AMY2A&RNPC3",1,1,"undefined","undefined"
"51","NM_001008218_2&NM_020978","AMY1B&AMY2B","AMY1A&AMY2B#AMY1B&AMY2B#AMY1C&AMY2B",0.25,0.25,"5.04&24","4.5&24"
"52","NM_001008219_1&NM_020978","AMY1C&AMY2B","AMY1A&AMY2B#AMY1B&AMY2B#AMY1C&AMY2B",0.25,0.25,"5.04&24","5.98&24"
"53","NM_001008221_1&NM_020978","AMY1A&AMY2B","AMY1A&AMY2B#AMY1B&AMY2B#AMY1C&AMY2B",0.25,0.25,"1.89&24","7.5&24"
"54","NM_004038&NM_020978","AMY1A&AMY2B","AMY1A&AMY2B#AMY1B&AMY2B#AMY1C&AMY2B",0.25,0.25,"5.04&24","7.5&24"
"55","undefined","undefined","AMY1A&AMY2B#AMY1B&AMY2B#AMY1C&AMY2B",0,0,"undefined","undefined"
"56","NM_001008218_2&NM_000699","AMY1B&AMY2A","AMY1A&AMY2A#AMY1B&AMY2A#AMY1C&AMY2A",0.25,0.25,"5.04&16","4.5&16"
"57","NM_001008219_1&NM_000699","AMY1C&AMY2A","AMY1A&AMY2A#AMY1B&AMY2A#AMY1C&AMY2A",0.25,0.25,"5.04&16","5.98&16"
"58","NM_001008221_1&NM_000699","AMY1A&AMY2A","AMY1A&AMY2A#AMY1B&AMY2A#AMY1C&AMY2A",0.25,0.25,"1.89&16","7.5&16"
"59","NM_004038&NM_000699","AMY1A&AMY2A","AMY1A&AMY2A#AMY1B&AMY2A#AMY1C&AMY2A",0.25,0.25,"5.04&16","7.5&16"
"60","undefined","undefined","AMY1A&AMY2A#AMY1B&AMY2A#AMY1C&AMY2A",0,0,"undefined","undefined"
"61","undefined","undefined","DDX20&FAM212B&undefined#DDX20&LOC101928718&undefined",1,7,"undefined","undefined"
"62","NM_007204&NM_019099","DDX20&FAM212B","DDX20&FAM212B#DDX20&LOC101928718",0.333333333333333,2,"7&6","7&6"
"63","NM_007204&NM_198926","DDX20&FAM212B","DDX20&FAM212B#DDX20&LOC101928718",0.333333333333333,2,"7&0","7&6"
"64","NM_007204&NR_125963","DDX20&LOC101928718","DDX20&FAM212B#DDX20&LOC101928718",0,0,"7&1.25","7&1.25"
"65","undefined","undefined","DDX20&FAM212B#DDX20&LOC101928718",0.333333333333333,2,"undefined","undefined"
"66","undefined","undefined","DRD5P2&NBPF15#FAM231D&NBPF15#LOC101060524&NBPF15#LOC388692&NBPF15#LOC645166&NBPF15#NBPF15&SRGAP2-AS1",1,56,"undefined","undefined"
"67","undefined","undefined","FAM231D&LOC645166#LOC388692&LOC645166#LOC645166&SRGAP2-AS1",1,9,"undefined","undefined"
"68","undefined","undefined","FAM231D&SRGAP2B#LOC388692&SRGAP2B",1,16,"undefined","undefined"
"69","undefined","undefined","FAM231D&LOC103091866#LOC103091866&LOC388692",1,5,"undefined","undefined"
"70","undefined","undefined","FAM231D&NBPF20#LOC388692&NBPF20",1,5,"undefined","undefined"
"71","undefined","undefined","FAM231D&GPR89A#GPR89A&LOC388692",1,10,"undefined","undefined"
"72","undefined","undefined","FAM231D&PDZK1#LOC388692&PDZK1",1,9,"undefined","undefined"
"73","undefined","undefined","FAM231D&RNF115#LOC388692&RNF115",1,6,"undefined","undefined"
"74","undefined","undefined","FAM231D&POLR3C#LOC388692&POLR3C",1,1,"undefined","undefined"
