"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","LOC100132062&undefined#LOC100132287&undefined",1,44,"undefined","undefined"
"2","undefined","undefined","MIB2&MMP23A#MIB2&SLC35E2B",1,1,"undefined","undefined"
"3","undefined","undefined","CDK11B&SLC35E2B#MMP23A&SLC35E2B",1,11,"undefined","undefined"
"4","undefined","undefined","PRAMEF25&undefined#PRAMEF26&undefined",1,21,"undefined","undefined"
"5","undefined","undefined","LOC101929983&undefined#PRAMEF9&undefined",1,12,"undefined","undefined"
"6","NM_001099625&NM_020451","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0520833333333333,0.625,"3.5&0","3.5&0"
"7","NM_001099625&NM_206926","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0520833333333333,0.625,"3.5&9","3.5&0"
"8","NM_001099626&NM_020451","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0520833333333333,0.625,"1.75&0","3.5&0"
"9","NM_001099626&NM_206926","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0520833333333333,0.625,"1.75&9","3.5&0"
"10","NM_001099627&NM_020451","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0520833333333333,0.625,"3.5&0","3.5&0"
"11","NM_001099627&NM_206926","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0520833333333333,0.625,"3.5&9","3.5&0"
"12","NM_019557&NM_020451","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0520833333333333,0.625,"5.25&0","3.5&0"
"13","NM_019557&NM_206926","MTFR1L&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.0520833333333333,0.625,"5.25&9","3.5&0"
"14","NR_024498&NM_020451","LOC646471&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.166666666666667,2,"0&0","0&0"
"15","NR_024498&NM_206926","LOC646471&SEPN1","LOC646471&SEPN1#MTFR1L&SEPN1",0.166666666666667,2,"0&9","0&0"
"16","undefined","undefined","LOC646471&SEPN1#MTFR1L&SEPN1",0.25,3,"undefined","undefined"
"17","undefined","undefined","LOC646471&SEPN1&undefined#MTFR1L&SEPN1&undefined",1,4,"undefined","undefined"
"18","NM_030772&NM_022157","GJA9&RRAGC","GJA9&RRAGC#GJA9-MYCBP&RRAGC",0.0123456790123457,0.111111111111111,"0&8","0&0"
"19","NR_037633&NM_001271851","GJA9-MYCBP&RRAGC","GJA9&RRAGC#GJA9-MYCBP&RRAGC",0,0,"2.34&0","2.34&0"
"20","NR_037633&NM_022157","GJA9-MYCBP&RRAGC","GJA9&RRAGC#GJA9-MYCBP&RRAGC",0.0987654320987654,0.888888888888889,"2.34&8","2.34&0"
"21","undefined","undefined","GJA9&RRAGC#GJA9-MYCBP&RRAGC",0.888888888888889,8,"undefined","undefined"
"22","undefined","undefined","GJA9&undefined#GJA9-MYCBP&undefined",1,6,"undefined","undefined"
"23","undefined","undefined","GJA9&RHBDL2&undefined#GJA9-MYCBP&RHBDL2&undefined",1,8,"undefined","undefined"
"24","undefined","undefined","ATPAF1&EFCAB14-AS1#ATPAF1&TEX38",1,4,"undefined","undefined"
"25","undefined","undefined","EFCAB14&TEX38&undefined#EFCAB14-AS1&TEX38&undefined",1,1,"undefined","undefined"
"26","NM_004388&NM_005274","CTBS&GNG5","CTBS&GNG5#GNG5&SPATA1",0.142857142857143,1,"1&8","1&8"
"27","undefined","undefined","CTBS&GNG5#GNG5&SPATA1",0.857142857142857,6,"undefined","undefined"
"28","undefined","undefined","BCL10&DDAH1#DDAH1&LOC646626",1,20,"undefined","undefined"
"29","undefined","undefined","LOC101928118&TMEM56#LOC101928118&TMEM56-RWDD3",1,10,"undefined","undefined"
"30","undefined","undefined","LOC100129620&undefined#LPPR5&undefined",1,37,"undefined","undefined"
"31","NM_001008218_2&NM_000699","AMY1B&AMY2A","AMY1A&AMY2A#AMY1B&AMY2A#AMY1C&AMY2A",0.25,0.25,"1.87&12","2&12"
"32","NM_001008219_1&NM_000699","AMY1C&AMY2A","AMY1A&AMY2A#AMY1B&AMY2A#AMY1C&AMY2A",0.25,0.25,"1.87&12","2.5&12"
"33","NM_001008221_1&NM_000699","AMY1A&AMY2A","AMY1A&AMY2A#AMY1B&AMY2A#AMY1C&AMY2A",0.25,0.25,"1.4&12","3&12"
"34","NM_004038&NM_000699","AMY1A&AMY2A","AMY1A&AMY2A#AMY1B&AMY2A#AMY1C&AMY2A",0.25,0.25,"1.87&12","3&12"
"35","undefined","undefined","AMY1A&AMY2A#AMY1B&AMY2A#AMY1C&AMY2A",0,0,"undefined","undefined"
"36","undefined","undefined","DDX20&FAM212B&undefined#DDX20&LOC101928718&undefined",1,6,"undefined","undefined"
"37","undefined","undefined","FAM231D&LOC645166#FAM231D&SRGAP2-AS1#LOC388692&LOC645166#LOC388692&SRGAP2-AS1",1,2,"undefined","undefined"
"38","undefined","undefined","FAM231D&FAM72C#FAM72C&LOC388692#FAM72C&LOC645166#FAM72C&SRGAP2-AS1#FAM72C&SRGAP2D",1,1,"undefined","undefined"
"39","undefined","undefined","FAM231D&SRGAP2D#LOC388692&SRGAP2D#LOC645166&SRGAP2D#SRGAP2-AS1&SRGAP2D",1,1,"undefined","undefined"
"40","undefined","undefined","DRD5P2&NBPF15#FAM231D&NBPF15#LOC101060524&NBPF15#LOC388692&NBPF15#LOC645166&NBPF15#NBPF15&SRGAP2-AS1",1,48,"undefined","undefined"
"41","undefined","undefined","FAM231D&LOC645166#LOC388692&LOC645166#LOC645166&SRGAP2-AS1",1,3,"undefined","undefined"
"42","undefined","undefined","FAM231D&SRGAP2B#LOC388692&SRGAP2B",1,17,"undefined","undefined"
"43","undefined","undefined","FAM231D&LOC103091866#LOC103091866&LOC388692",1,11,"undefined","undefined"
"44","undefined","undefined","FAM231D&LOC103091866&undefined#LOC103091866&LOC388692&undefined",1,1,"undefined","undefined"
"45","undefined","undefined","FAM231D&NBPF20#LOC388692&NBPF20",1,5,"undefined","undefined"
"46","undefined","undefined","FAM231D&GPR89A#GPR89A&LOC388692",1,5,"undefined","undefined"
"47","undefined","undefined","FAM231D&PDZK1#LOC388692&PDZK1",1,6,"undefined","undefined"
"48","undefined","undefined","FAM231D&RNF115#LOC388692&RNF115",1,11,"undefined","undefined"
"49","undefined","undefined","CD160&FAM231D#CD160&LOC388692",1,1,"undefined","undefined"
"50","undefined","undefined","FAM231D&PIAS3#LOC388692&PIAS3",1,10,"undefined","undefined"
"51","undefined","undefined","FAM231D&GNRHR2#GNRHR2&LOC388692",1,1,"undefined","undefined"
"52","undefined","undefined","FAM231D&LIX1L#LIX1L&LOC388692",1,8,"undefined","undefined"
"53","undefined","undefined","FAM231D&LIX1L#LIX1L&LOC388692#LIX1L&RBM8A",1,3,"undefined","undefined"
"54","undefined","undefined","FAM231D&POLR3GL#LOC388692&POLR3GL",1,3,"undefined","undefined"
"55","undefined","undefined","FAM231D&POLR3GL#LOC388692&POLR3GL#POLR3GL&RBM8A",1,1,"undefined","undefined"
"56","undefined","undefined","FAM231D&RBM8A#LOC388692&RBM8A",1,1,"undefined","undefined"
"57","undefined","undefined","FAM231D&RBM8A#LIX1L&RBM8A#LOC388692&RBM8A",1,2,"undefined","undefined"
"58","undefined","undefined","FAM231D&HFE2#HFE2&LOC388692",1,9,"undefined","undefined"
"59","undefined","undefined","FAM231D&LOC101928979#LOC101928979&LOC388692",1,60,"undefined","undefined"
"60","undefined","undefined","FAM231D&NBPF10#LOC388692&NBPF10",1,16,"undefined","undefined"
"61","undefined","undefined","FAM231D&NOTCH2NL#LOC388692&NOTCH2NL",1,12,"undefined","undefined"
"62","undefined","undefined","CH17-408M7.1&FAM231D#CH17-408M7.1&LOC388692#CH17-408M7.1&NUDT4P1#CH17-408M7.1&NUDT4P2",1,8,"undefined","undefined"
"63","undefined","undefined","CH17-408M7.1&FAM231D&HYDIN2#CH17-408M7.1&HYDIN2&LOC388692#CH17-408M7.1&HYDIN2&NUDT4P1#CH17-408M7.1&HYDIN2&NUDT4P2",1,6,"undefined","undefined"
"64","undefined","undefined","FAM231D&HYDIN2#HYDIN2&LOC388692#HYDIN2&NUDT4P1#HYDIN2&NUDT4P2",1,20,"undefined","undefined"
"65","undefined","undefined","FAM231D&LOC728989#LOC388692&LOC728989#LOC728989&NUDT4P1#LOC728989&NUDT4P2",1,10,"undefined","undefined"
"66","undefined","undefined","FAM231D&NBPF13P#LOC388692&NBPF13P#NBPF13P&NUDT4P1#NBPF13P&NUDT4P2",1,3,"undefined","undefined"
"67","undefined","undefined","FAM231D&PDIA3P1#LOC388692&PDIA3P1#NUDT4P1&PDIA3P1#NUDT4P2&PDIA3P1",1,5,"undefined","undefined"
"68","undefined","undefined","CHD1L&FAM231D#CHD1L&LOC388692#CHD1L&NUDT4P1#CHD1L&NUDT4P2",1,10,"undefined","undefined"
"69","undefined","undefined","FAM231D&FMO5#FMO5&LOC388692#FMO5&NUDT4P1#FMO5&NUDT4P2",1,7,"undefined","undefined"
"70","undefined","undefined","ACP6&FAM231D#ACP6&LOC388692#ACP6&NUDT4P1#ACP6&NUDT4P2",1,14,"undefined","undefined"
"71","undefined","undefined","FAM231D&LOC101927468#LOC101927468&LOC388692#LOC101927468&NUDT4P1#LOC101927468&NUDT4P2",1,26,"undefined","undefined"
"72","undefined","undefined","FAM231D&LINC01138#LINC01138&LOC388692#LINC01138&NUDT4P1#LINC01138&NUDT4P2",1,44,"undefined","undefined"
"73","undefined","undefined","FAM231D&NBPF14#LOC388692&NBPF14#NBPF14&NUDT4P1#NBPF14&NUDT4P2",1,8,"undefined","undefined"
"74","undefined","undefined","FAM231D&PDE4DIP#LOC388692&PDE4DIP#LOC653513&PDE4DIP",1,9,"undefined","undefined"
"75","undefined","undefined","FAM231D&NBPF9#LOC388692&NBPF9#LOC653513&NBPF9",1,33,"undefined","undefined"
"76","undefined","undefined","FAM231D&LOC653513#LOC388692&LOC653513",1,24,"undefined","undefined"
"77","undefined","undefined","FAM231D&LINC00869#LINC00869&LOC388692",1,36,"undefined","undefined"
"78","undefined","undefined","FAM231D&LINC00869&undefined#LINC00869&LOC388692&undefined",1,6,"undefined","undefined"
"79","undefined","undefined","HIST2H2AA3&HIST2H2BC#HIST2H2AA4&HIST2H2BC#HIST2H2BC&HIST2H3A#HIST2H2BC&HIST2H3C#HIST2H2BC&HIST2H4A#HIST2H2BC&HIST2H4B",1,1,"undefined","undefined"
"80","undefined","undefined","SCNM1&TMOD4#TMOD4&TNFAIP8L2-SCNM1",1,1,"undefined","undefined"
"81","undefined","undefined","MIR4435-1&THEM4#MIR4435-2&THEM4#MIR4771-1&THEM4#MIR4771-2&THEM4",1,9,"undefined","undefined"
"82","NM_001261464&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.00197598928972548,0.045447753663686,"1.04&4","1.04&4"
"83","NM_001261464&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.00197598928972548,0.045447753663686,"1.04&1","1.04&4"
"84","NM_001261464&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.00395197857945096,0.0908955073273721,"1.04&5.5","1.04&5.5"
"85","NM_001261465&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.00197598928972548,0.045447753663686,"5.89&4","1.04&4"
"86","NM_001261465&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.00197598928972548,0.045447753663686,"5.89&1","1.04&4"
"87","NM_001261465&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",0.00395197857945096,0.0908955073273721,"5.89&5.5","1.04&5.5"
"88","NM_001261466&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",3.71228320266096e-06,8.53825136612022e-05,"1.04&4","1.04&4"
"89","NM_001261466&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",3.71228320266096e-06,8.53825136612022e-05,"1.04&1","1.04&4"
"90","NM_001261466&NR_040772","ADAM15&LOC100505666","ADAM15&DCST1#ADAM15&LOC100505666",5.56842480399145e-06,0.000128073770491803,"1.04&5.5","1.04&5.5"
"91","NM_003815&NM_001143687","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.00197598928972548,0.045447753663686,"2.36&4","1.04&4"
"92","NM_003815&NM_152494","ADAM15&DCST1","ADAM15&DCST1#ADAM15&LOC100505666",0.00197598928972548,0.045447753663686,"2.36&1","1.04&4"
