"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"1","undefined","undefined","FAM138A&undefined#FAM138C&undefined#FAM138F&undefined",1,7,"undefined","undefined"
"2","undefined","undefined","LOC100132062&undefined#LOC100132287&undefined",1,31,"undefined","undefined"
"3","undefined","undefined","CDK11B&SLC35E2B#MMP23A&SLC35E2B",1,26,"undefined","undefined"
"4","undefined","undefined","LOC115110&undefined#TNFRSF14&undefined",1,113,"undefined","undefined"
"5","undefined","undefined","MIR4435-1&THAP3#MIR4435-2&THAP3#MIR4771-1&THAP3#MIR4771-2&THAP3",1,4,"undefined","undefined"
"6","undefined","undefined","PRAMEF25&undefined#PRAMEF26&undefined",1,33,"undefined","undefined"
"7","undefined","undefined","LOC645354&undefined#LOC649324&undefined",1,2,"undefined","undefined"
"8","undefined","undefined","LOC101929983&undefined#PRAMEF9&undefined",1,10,"undefined","undefined"
"9","NM_001013407&NM_001010890","PRAMEF5&PRAMEF9","LOC101929983&PRAMEF5#PRAMEF5&PRAMEF9",0.5,0.5,"60&17","60&17"
"10","NM_001300891_1&NM_001013407","LOC101929983&PRAMEF5","LOC101929983&PRAMEF5#PRAMEF5&PRAMEF9",0.5,0.5,"17&60","36&60"
"11","undefined","undefined","LOC101929983&PRAMEF5#PRAMEF5&PRAMEF9",0,0,"undefined","undefined"
"12","undefined","undefined","PLA2G2C&UBXN10&undefined#PLA2G2C&UBXN10-AS1&undefined",1,4,"undefined","undefined"
"13","undefined","undefined","LOC646471&SEPN1&undefined#MTFR1L&SEPN1&undefined",1,11,"undefined","undefined"
"14","undefined","undefined","LOC646471&undefined#MTFR1L&undefined",1,13,"undefined","undefined"
"15","NM_001164824&NM_013453","SMIM12&SPANXA1","SMIM12&SPANXA1#SMIM12&SPANXA2",0.166666666666667,0.166666666666667,"115.39&7","115.39&7"
"16","NM_001164824&NM_145662","SMIM12&SPANXA2","SMIM12&SPANXA1#SMIM12&SPANXA2",0.166666666666667,0.166666666666667,"115.39&7","115.39&7"
"17","NM_001164825&NM_013453","SMIM12&SPANXA1","SMIM12&SPANXA1#SMIM12&SPANXA2",0.166666666666667,0.166666666666667,"124.22&7","115.39&7"
"18","NM_001164825&NM_145662","SMIM12&SPANXA2","SMIM12&SPANXA1#SMIM12&SPANXA2",0.166666666666667,0.166666666666667,"124.22&7","115.39&7"
"19","NM_138428&NM_013453","SMIM12&SPANXA1","SMIM12&SPANXA1#SMIM12&SPANXA2",0.166666666666667,0.166666666666667,"115.39&7","115.39&7"
"20","NM_138428&NM_145662","SMIM12&SPANXA2","SMIM12&SPANXA1#SMIM12&SPANXA2",0.166666666666667,0.166666666666667,"115.39&7","115.39&7"
"21","undefined","undefined","SMIM12&SPANXA1#SMIM12&SPANXA2",0,0,"undefined","undefined"
"22","NM_012333&NM_022157","MYCBP&RRAGC","GJA9-MYCBP&RRAGC#MYCBP&RRAGC",0.199992817930725,1.79993536137652,"15.02&139.99","15.02&0.01"
"23","NR_037632&NM_022157","MYCBP&RRAGC","GJA9-MYCBP&RRAGC#MYCBP&RRAGC",1.7955173187657e-05,0.000161596558688913,"11.26&139.99","15.02&0.01"
"24","NR_037633&NM_022157","GJA9-MYCBP&RRAGC","GJA9-MYCBP&RRAGC#MYCBP&RRAGC",0.199992817930725,1.79993536137652,"128.73&139.99","128.73&0.01"
"25","NR_037634&NM_022157","GJA9-MYCBP&RRAGC","GJA9-MYCBP&RRAGC#MYCBP&RRAGC",0.199992817930725,1.79993536137652,"37.88&139.99","128.73&0.01"
"26","NR_037635&NM_022157","GJA9-MYCBP&RRAGC","GJA9-MYCBP&RRAGC#MYCBP&RRAGC",0.199992817930725,1.79993536137652,"23.8&139.99","128.73&0.01"
"27","NR_037636&NM_022157","GJA9-MYCBP&RRAGC","GJA9-MYCBP&RRAGC#MYCBP&RRAGC",0.199992817930725,1.79993536137652,"0&139.99","128.73&0.01"
"28","NR_037637&NM_022157","GJA9-MYCBP&RRAGC","GJA9-MYCBP&RRAGC#MYCBP&RRAGC",1.7955173187657e-05,0.000161596558688913,"14.31&139.99","128.73&0.01"
"29","undefined","undefined","GJA9-MYCBP&RRAGC#MYCBP&RRAGC",0,0,"undefined","undefined"
"30","undefined","undefined","GJA9&undefined#GJA9-MYCBP&undefined",1,9,"undefined","undefined"
"31","undefined","undefined","GJA9&RHBDL2&undefined#GJA9-MYCBP&RHBDL2&undefined",1,5,"undefined","undefined"
"32","undefined","undefined","GJA9&RHBDL2#GJA9-MYCBP&RHBDL2",1,6,"undefined","undefined"
"33","NM_014663&NM_001270459","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",0.0349934356005393,0.874835890013481,"287&39.67","287&39.67"
"34","NM_014663&NM_001270460","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&43.16","287&39.67"
"35","NM_014663&NM_001270461","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&0","287&39.67"
"36","NM_014663&NM_001270462","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&34.49","287&39.67"
"37","NM_014663&NM_001270463","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&18.37","287&39.67"
"38","NM_014663&NM_001270464","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&0","287&39.67"
"39","NM_014663&NM_001270465","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&161.57","287&39.67"
"40","NM_014663&NM_001270466","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&24.25","287&39.67"
"41","NM_014663&NM_006279","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",0.0349934356005393,0.874835890013481,"287&262.74","287&39.67"
"42","NM_014663&NM_174963","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&216.35","287&39.67"
"43","NM_014663&NM_174964","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&339.7","287&39.67"
"44","NM_014663&NM_174965","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&26.96","287&39.67"
"45","NM_014663&NM_174966","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",0.0349934356005393,0.874835890013481,"287&0","287&39.67"
"46","NM_014663&NM_174967","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",0.0349934356005393,0.874835890013481,"287&0.01","287&39.67"
"47","NM_014663&NM_174968","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&197.41","287&39.67"
"48","NM_014663&NM_174969","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&704.35","287&39.67"
"49","NM_014663&NM_174970","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&13.43","287&39.67"
"50","NM_014663&NM_174971","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&165.8","287&39.67"
"51","NM_014663&NR_073016","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",0.0349934356005393,0.874835890013481,"287&482.35","287&39.67"
"52","NM_014663&NR_073017","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&32.74","287&39.67"
"53","NM_014663&NR_073018","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",0.0349934356005393,0.874835890013481,"287&315.07","287&39.67"
"54","NM_014663&NR_073019","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&26.02","287&39.67"
"55","NM_014663&NR_073020","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",3.0891291579966e-06,7.72282289499151e-05,"287&29.44","287&39.67"
"56","NM_014663&NR_073021","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",0.0349934356005393,0.874835890013481,"287&147.31","287&39.67"
"57","NM_014663&NR_073023","KDM4A&ST3GAL3","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",0.0349934356005393,0.874835890013481,"287&44.81","287&39.67"
"58","undefined","undefined","KDM4A&ST3GAL3#KDM4A-AS1&ST3GAL3",0.72,18,"undefined","undefined"
"59","undefined","undefined","KIF2C&RPS8#KIF2C&SNORD55",1,4,"undefined","undefined"
"60","NM_001256418&NM_001145474","ATPAF1&TEX38","ATPAF1&EFCAB14-AS1#ATPAF1&TEX38",0.037037037037037,0.333333333333333,"80.79&37.07","40.26&37.07"
"61","NM_001256418&NM_001300863","ATPAF1&TEX38","ATPAF1&EFCAB14-AS1#ATPAF1&TEX38",0.037037037037037,0.333333333333333,"80.79&9.27","40.26&37.07"
"62","NM_001256418&NM_001300864","ATPAF1&TEX38","ATPAF1&EFCAB14-AS1#ATPAF1&TEX38",0.037037037037037,0.333333333333333,"80.79&9.66","40.26&37.07"
"63","undefined","undefined","ATPAF1&EFCAB14-AS1#ATPAF1&TEX38",0.888888888888889,8,"undefined","undefined"
"64","NM_001199328&NM_015978","FPGT&TNNI3K","FPGT&FPGT-TNNI3K#FPGT&TNNI3K",0.0416666666666667,1,"44.61&65.03","44.61&65.03"
"65","NM_003838&NM_015978","FPGT&TNNI3K","FPGT&FPGT-TNNI3K#FPGT&TNNI3K",0.0416666666666667,1,"277.52&65.03","44.61&65.03"
"66","undefined","undefined","FPGT&FPGT-TNNI3K#FPGT&TNNI3K",0.916666666666667,22,"undefined","undefined"
"67","NM_001303433&NM_001198974","FUBP1&TMEM110-MUSTN1","FUBP1&TMEM110#FUBP1&TMEM110-MUSTN1",0.166666666666667,0.166666666666667,"86.33&15.84","86.33&15.84"
"68","NM_001303433&NM_198563","FUBP1&TMEM110","FUBP1&TMEM110#FUBP1&TMEM110-MUSTN1",0.166666666666667,0.166666666666667,"86.33&268.71","86.33&268.71"
"69","NM_003902&NM_001198974","FUBP1&TMEM110-MUSTN1","FUBP1&TMEM110#FUBP1&TMEM110-MUSTN1",0.166666666666667,0.166666666666667,"185.63&15.84","86.33&15.84"
"70","NM_003902&NM_198563","FUBP1&TMEM110","FUBP1&TMEM110#FUBP1&TMEM110-MUSTN1",0.166666666666667,0.166666666666667,"185.63&268.71","86.33&268.71"
"71","NR_130152&NM_001198974","FUBP1&TMEM110-MUSTN1","FUBP1&TMEM110#FUBP1&TMEM110-MUSTN1",0.166666666666667,0.166666666666667,"136.03&15.84","86.33&15.84"
"72","NR_130152&NM_198563","FUBP1&TMEM110","FUBP1&TMEM110#FUBP1&TMEM110-MUSTN1",0.166666666666667,0.166666666666667,"136.03&268.71","86.33&268.71"
"73","undefined","undefined","FUBP1&TMEM110#FUBP1&TMEM110-MUSTN1",0,0,"undefined","undefined"
