#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
BEST1--FTH1	91	BEST1	13923	chr11:61965476:+	FTH1	16970	chr11:61967627:-	INCL_NON_REF_SPLICE	507d1de7-f2ed-4018-8cb5-f16dcbf06111,ERR6053067.976401,ERR6053067.859057,ERR6053067.576498,ERR6053067.765733,ERR6053067.1011282,ERR6053067.733284,ERR6053067.504777,ERR6053067.646507,ERR6053067.461885,ERR6053067.732718,ERR6053067.924781,ERR6053067.535374,ERR6053067.958688,ERR6053067.414280,ERR6053067.475424,ERR6053067.421712,ERR6053067.812882,ERR6053067.329671,ERR6053067.387393,ERR6053067.456751,ERR6053067.666234,81ccc9d6-ce94-4f79-9da0-ce318ab273e3,ERR6053067.913964,ERR6053067.891638,ERR6053067.848109,ERR6053067.856083,e497ad22-0409-4e45-82b6-bb84ff5d07b8,ERR6053067.951080,ERR6053067.483333,ERR6053067.944453,ERR6053067.429751,ERR6053067.460595,ERR6053067.715042,0be5624c-764e-45b0-b3c1-0614300f2b70,ERR6053067.828120,ERR6053067.1020216,ERR6053067.882489,ERR6053067.561274,ERR6053067.936259,ERR6053067.329588,c435bfa8-ce70-4b3a-ab10-55b0f84e3790,ERR6053067.365726,a713a581-8cac-4d36-a22c-26310ae122d8,2c2df868-8a56-454a-8abc-8898badaf9a7,ERR6053067.380481,ERR6053067.822990,ERR6053067.874164,ERR6053067.451622,ERR6053067.927568,ERR6053067.874224,ERR6053067.437718,78b04eef-8ab7-4451-afb2-371267af466c,ERR6053067.352182,ERR6053067.925228,ERR6053067.895196,ERR6053067.932878,ERR6053067.415227,ERR6053067.551925,ERR6053067.487497,ERR6053067.853595,2f965dc9-78dc-4b8a-a415-1528bbaed0b7,ERR6053067.982636,ERR6053067.1020336,ERR6053067.516769,ERR6053067.660927,ERR6053067.939528,ERR6053067.601962,ERR6053067.523727,ERR6053067.394814,ERR6053067.716064,ERR6053067.449163,ERR6053067.391132,ERR6053067.345952,ERR6053067.370519,ERR6053067.478526,ERR6053067.968229,7787637f-6821-4466-8f3e-814ad525078f,ERR6053067.1013744,b59bb0c3-f927-4459-a9dd-646b7ce50a7b,ERR6053067.327146,ERR6053067.336274,ERR6053067.372437,ERR6053067.346070,ERR6053067.618242,ERR6053067.863661,ERR6053067.347239,ERR6053067.592313,ERR6053067.336195,ERR6053067.845956,ERR6053067.991833	471.31	["INTRACHROMOSOMAL[chr11:0.01Mb]","NEIGHBORS_OVERLAP:+:-:[5797]"]	471.31	1.0	True
ENSG00000273149--TPT1	89	ENSG00000273149	2150	chr13:45341188:+	TPT1	5242	chr13:45341188:-	INCL_NON_REF_SPLICE	ERR6053067.411993,ERR6053067.629312,ERR6053067.908825,ERR6053067.897675,ERR6053067.915396,ERR6053067.527251,ERR6053067.391233,ERR6053067.715699,ERR6053067.917418,ERR6053067.354160,ERR6053067.509021,ERR6053067.1011061,ERR6053067.371753,ERR6053067.806347,ERR6053067.642967,ERR6053067.339914,ERR6053067.837447,ERR6053067.420310,ERR6053067.742977,ERR6053067.858447,ERR6053067.996515,6ed0ec1f-169d-46a0-8937-0b44e67f0496,a00abecb-24b7-4721-8ea5-ad32db6ce4b4,ERR6053067.842204,ERR6053067.696490,ERR6053067.518832,ERR6053067.636303,ERR6053067.792452,ERR6053067.412080,ERR6053067.680550,ERR6053067.921184,ERR6053067.661237,ERR6053067.588106,b26b54a3-bd8e-4577-b887-590da4be5bb9,ERR6053067.503191,ERR6053067.615449,ERR6053067.933159,ERR6053067.409137,ERR6053067.477265,ERR6053067.600029,ERR6053067.378791,ERR6053067.945587,ERR6053067.379759,ERR6053067.393579,ERR6053067.712742,ERR6053067.543243,ERR6053067.916014,ERR6053067.915248,ERR6053067.873129,ERR6053067.503312,ERR6053067.327902,ERR6053067.880276,22394d95-d07d-48fb-9c6b-717bae4a62a0,ERR6053067.347929,ERR6053067.674861,ERR6053067.654620,ERR6053067.912340,ERR6053067.446158,ERR6053067.324746,ERR6053067.828308,ERR6053067.395920,ERR6053067.995196,ERR6053067.652128,ERR6053067.468707,ERR6053067.547192,ERR6053067.852720,ERR6053067.815759,ERR6053067.400266,ERR6053067.326725,ERR6053067.879390,ERR6053067.825077,ERR6053067.906792,ERR6053067.990065,ERR6053067.394147,ERR6053067.353049,ERR6053067.453411,ERR6053067.628198,ERR6053067.879794,ERR6053067.852883,ERR6053067.685727,ERR6053067.806029,ERR6053067.352933,ERR6053067.989383,ERR6053067.387896,ERR6053067.904637,ERR6053067.809859,ERR6053067.918031,ERR6053067.518876,544616cf-d49d-4d28-b847-3af612295bd3	460.951	[]	460.951	1.0	True
BEST1--FTH1	39	BEST1	14016	chr11:61965569:+	FTH1	16962	chr11:61967635:-	INCL_NON_REF_SPLICE	ERR6053067.379924,ERR6053067.912933,ERR6053067.373355,ERR6053067.576734,ERR6053067.951691,ERR6053067.1013644,ERR6053067.462095,ERR6053067.418945,ERR6053067.906738,ERR6053067.637154,ERR6053067.679281,ERR6053067.827670,ERR6053067.902386,ERR6053067.660300,ERR6053067.485743,ERR6053067.407698,ERR6053067.371281,ERR6053067.394427,cc73809f-67d6-46d8-a408-d439e42763ba,ERR6053067.361100,ERR6053067.395370,ERR6053067.450475,ERR6053067.330709,ERR6053067.975158,ERR6053067.965609,ERR6053067.802672,ERR6053067.372312,7cd34957-11ed-4169-abb1-b5ee66b526bd,ERR6053067.543319,ERR6053067.1013845,ERR6053067.451108,ERR6053067.905805,ERR6053067.893268,ERR6053067.422383,ERR6053067.802324,ERR6053067.456346,ERR6053067.790070,ERR6053067.900571,ERR6053067.669369	201.99	["INTRACHROMOSOMAL[chr11:0.01Mb]","NEIGHBORS_OVERLAP:+:-:[5797]"]	471.31	0.4285714285714286	True
APOA1-AS--APOA1	38	APOA1-AS	1262	chr11:116836378:+	APOA1	7221	chr11:116837407:-	INCL_NON_REF_SPLICE	ERR6053067.972063,ERR6053067.456474,ERR6053067.429682,ERR6053067.932218,ERR6053067.659851,ERR6053067.873722,ERR6053067.553919,ERR6053067.530288,ERR6053067.687331,ERR6053067.779922,ERR6053067.970467,ERR6053067.608044,ERR6053067.836186,ERR6053067.806328,ERR6053067.683990,ERR6053067.939466,ERR6053067.865775,ERR6053067.440985,ERR6053067.670044,ERR6053067.385054,ERR6053067.377599,ERR6053067.545770,ERR6053067.903996,ERR6053067.340606,ERR6053067.948765,ERR6053067.466677,ERR6053067.337535,ERR6053067.1017759,ERR6053067.425828,ERR6053067.647940,ERR6053067.820524,ERR6053067.1005893,ERR6053067.821407,35d19057-2bde-4a5e-8c42-c6d9713459d4,ERR6053067.683394,ERR6053067.1016627,ERR6053067.652354,ERR6053067.930996	196.811	["INTRACHROMOSOMAL[chr11:0.00Mb]","NEIGHBORS_OVERLAP:+:-:[1833]"]	196.811	1.0	True
ENSG00000269968--GAPDH	36	ENSG00000269968	2373	chr12:6536998:-	GAPDH	4876	chr12:6534810:+	INCL_NON_REF_SPLICE	ERR6053067.831769,75f27882-15e9-423c-a1da-3ef6597e990c,ERR6053067.335738,ERR6053067.329648,ERR6053067.820693,ERR6053067.409114,ERR6053067.496498,ERR6053067.721235,ERR6053067.862366,deb6427a-0c34-4a32-b000-2aa25cbe096f,ERR6053067.738658,ERR6053067.404661,ERR6053067.675228,ERR6053067.381089,ERR6053067.833504,ERR6053067.1007003,ERR6053067.811898,ERR6053067.905898,ERR6053067.608398,ERR6053067.995186,ca1ffe67-3886-494a-bd16-b21c3b9a3917,ERR6053067.993068,ERR6053067.439537,ERR6053067.424418,ERR6053067.991568,ERR6053067.404227,ERR6053067.847999,ERR6053067.678508,ERR6053067.960972,ERR6053067.537156,ERR6053067.749358,ERR6053067.870553,ERR6053067.918706,ERR6053067.394182,ERR6053067.633073,ERR6053067.361209	186.452	[]	186.452	1.0	True
ENSG00000265749--RPL26	29	ENSG00000265749	8321	chr17:8385228:-	RPL26	10354	chr17:8383195:-	INCL_NON_REF_SPLICE	ERR6053067.341428,ERR6053067.913156,ERR6053067.959354,ERR6053067.462443,c3d3b358-19e6-4dd5-b7db-894e66a27f48,ERR6053067.799936,ERR6053067.600777,ERR6053067.624985,ERR6053067.838450,ERR6053067.941106,ERR6053067.820676,ERR6053067.928027,ERR6053067.333346,ERR6053067.984570,ERR6053067.858239,ERR6053067.416644,6783a4d7-0e8a-4c34-924e-d2e87a294f5a,ERR6053067.806164,ERR6053067.353867,ERR6053067.941487,ERR6053067.934561,ERR6053067.850678,ERR6053067.537357,ERR6053067.885457,10cfa82a-b2a3-4b3d-b499-97381d467b24,ERR6053067.1015491,ERR6053067.839701,ERR6053067.613323,ERR6053067.946856	150.198	[]	150.198	1.0	True
ENSG00000273149--TPT1	26	ENSG00000273149	2125	chr13:45341163:+	TPT1	5267	chr13:45341163:-	INCL_NON_REF_SPLICE	ERR6053067.851702,ERR6053067.1020458,ERR6053067.903283,4081fce5-7ce8-4eaf-b2f2-87b0b0cf1a84,ERR6053067.449498,ERR6053067.904714,ERR6053067.448143,ERR6053067.369429,ERR6053067.862138,ERR6053067.985607,ERR6053067.467151,5db01e8e-1528-4247-b942-845a5442f9ae,ERR6053067.956271,ERR6053067.370295,ERR6053067.865213,ERR6053067.525376,ERR6053067.969975,ERR6053067.823318,ERR6053067.896656,ERR6053067.392207,ERR6053067.745601,ERR6053067.1008703,ERR6053067.954963,ERR6053067.354000,ERR6053067.813349,ERR6053067.697121	134.66	[]	460.951	0.2921351727190092	True
RPL30-AS1--RPL30	26	RPL30-AS1	4370	chr8:98045095:+	RPL30	7316	chr8:98045550:-	INCL_NON_REF_SPLICE	ERR6053067.517962,ERR6053067.979399,ERR6053067.975087,ERR6053067.613470,ERR6053067.330113,ERR6053067.888952,ERR6053067.514379,0002d872-b89c-4b1a-99e0-09e96c4ead46,ERR6053067.950494,ERR6053067.547146,ERR6053067.463398,ec2f7079-75c4-4792-aa3a-25f867bd6d48,ERR6053067.335619,a5fa7a17-bb3e-4b8c-ae8d-ba54a29b9875,ERR6053067.642849,fd343678-566a-418b-814e-62bd350c65ba,ERR6053067.472326,14fe6ac5-26c8-445e-b3ff-46c0665ccdc0,ERR6053067.999193,ERR6053067.422998,ERR6053067.417146,ERR6053067.843965,ERR6053067.325820,ERR6053067.1003102,ERR6053067.449170,ERR6053067.648467	134.66	[]	134.66	1.0	True
RPL30-AS1--RPL30	26	RPL30-AS1	4365	chr8:98045090:+	RPL30	7299	chr8:98045567:-	INCL_NON_REF_SPLICE	ERR6053067.878242,ERR6053067.635968,ERR6053067.372783,ERR6053067.1001990,ERR6053067.514729,ERR6053067.868672,ERR6053067.764088,ERR6053067.549570,ERR6053067.798609,ERR6053067.821672,ERR6053067.990039,ERR6053067.369769,ERR6053067.886979,ERR6053067.388092,ee62629d-ff3a-4165-b7e7-4cc75d09a4c6,ERR6053067.930419,ERR6053067.801778,ERR6053067.994498,ERR6053067.917236,ERR6053067.482026,ERR6053067.819812,ERR6053067.993164,ERR6053067.846888,ERR6053067.579035,ERR6053067.433395,ERR6053067.650159	134.66	[]	134.66	1.0	True
BEST1--FTH1	17	BEST1	13920	chr11:61965473:+	FTH1	16968	chr11:61967629:-	INCL_NON_REF_SPLICE	ERR6053067.392738,ERR6053067.919750,ERR6053067.582961,ERR6053067.351201,d13ed2e4-c9dc-45b7-a706-4ac7d2388253,ERR6053067.850041,ERR6053067.852880,ERR6053067.351878,ERR6053067.401610,ERR6053067.390895,ERR6053067.844264,ERR6053067.988504,ERR6053067.1001814,ERR6053067.518756,ERR6053067.713575,ERR6053067.452117,ERR6053067.665350	88.047	["INTRACHROMOSOMAL[chr11:0.01Mb]","NEIGHBORS_OVERLAP:+:-:[5797]"]	471.31	0.18681335002440008	True
