ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF01	RPL13AP5	GNAS	1	chr10	96750279	chr20	58911191	008a5924-d997-4618-a85a-5ba5d4cada15
GF02	RPL7P9	ETFDH	1	chr1	96678803	chr4	158672297	008d3b88-4dba-4f35-80c8-68ec5eb9929a
GF03	CPB2-AS1	FTL	1	chr13	46158948	chr19	48966878	012c1701-06b7-4b19-995a-3fc77c8b8500
GF04	ENSG00000228463	VPS13C	1	chr1	348135	chr15	61931089	013e9f7e-b728-46c0-a11a-5477e004c7dc
GF05	SEC31A	KIF2A	1	chr4	82861707	chr5	62355254	0153f8d0-5ed4-4e59-9545-fd7da3adcd9e
GF06	PCBP1-AS1	TMSB4X	1	chr2	70089152	chrX	12975120	01d6df76-95a0-4f0f-863b-ac0758fb0be8
GF07	HNRNPM	ENSG00000248993	1	chr19	8445071	chr6	32948628	01ff35fe-211a-4ec8-8ea5-dad1f210a440
GF08	EIF4G2	GNAS	1	chr11	10797053	chr20	58909727	025778af-4a6f-405f-937d-78d1c7df1d99
GF09	SIN3B	IL17RB	1	chr19	16851533	chr3	53860127	02cd508b-6c58-426d-9c16-05b82f5b83e0
GF010	DCAF7	SNRPG	1	chr17	63589007	chr2	70281513	02f2a9c5-7ef1-4501-bf8e-da2ce7b03313
GF011	RCBTB1	LHFPL5	1	chr13	49531962	chr6	35835550	035916a6-d96e-4a89-b2c8-61302de19e02
GF012	RPL7P9	CCNI	1	chr1	96679627	chr4	77047159	0368d3a2-b6b1-4b7c-8fb0-649cf76d8c40
GF013	ITGA4	ACTB	1	chr2	181522294	chr7	5527152	03745abf-78b8-45d3-851d-75fecec9bc18
GF014	ZC3H14	MRS2	1	chr14	88574690	chr6	24418578	037f0660-5974-43a2-b1de-b6b8179448cd
GF015	PMEL	PABPC1	1	chr12	55972770	chr8	100721508	03c0ffce-688c-4808-a125-74824ee8187d
GF016	MYL12A	CERS6	1	chr18	3253242	chr2	168631039	0570246f-b506-448d-a128-eb640bdbef0e
GF017	GXYLT1	TRAM1	1	chr12	42106063	chr8	70573452	05969fad-8c7f-46b6-b477-d6873100503d
GF018	DNAJC24	ENSG00000285043	1	chr11	31432832	chr16	30065834	06e7cd22-12fe-4f5b-974e-ac2777e4dc56
GF019	PRKCB	HNRNPA2B1	1	chr16	24219958	chr7	26192494	080d040f-1d9d-4571-b7ea-f05828a40dc1
