sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
MCF7_PacBio_Q10,BCAS4:BCAS3,chr20,50795173,+,chr17,61368327,+,Inf,0,871,FALSE,TRUE,TRUE,SRR1853186.58597,1070,HighConfidence,Yes
MCF7_PacBio_Q10,RPS6KB1:VMP1,chr17,59914703,+,chr17,59839768,+,74.932,0,235,TRUE,TRUE,TRUE,SRR1853189.110151,472,HighConfidence,Yes
MCF7_PacBio_Q10,ENSG00000224738:VMP1,chr17,59107591,+,chr17,59838295,+,730.707,0,121,FALSE,TRUE,FALSE,SRR1853177.110535,421,HighConfidence,-
MCF7_PacBio_Q10,RPS6KB1:VMP1,chr17,59910611,+,chr17,59838295,+,72.313,0,108,TRUE,TRUE,TRUE,SRR1853189.107879,286,HighConfidence,Yes
MCF7_PacBio_Q10,SYTL2:PICALM,chr11,85757625,-,chr11,85974812,-,217.186,0,74,FALSE,TRUE,TRUE,SRR1853187.116727,1458,HighConfidence,Yes
MCF7_PacBio_Q10,BCAS4:BCAS3,chr20,50795173,+,chr17,61353588,+,Inf,0,61,FALSE,TRUE,TRUE,SRR1853190.90488,142,HighConfidence,Yes
MCF7_PacBio_Q10,RPS6KB1:DIAPH3,chr17,59930174,+,chr13,59666846,-,Inf,0,60,FALSE,TRUE,TRUE,SRR1853186.32394,719,HighConfidence,Yes
MCF7_PacBio_Q10,VPS35L:IQCK,chr16,19591874,+,chr16,19856487,+,264.62,0,29,TRUE,TRUE,FALSE,SRR1853189.124420,2438,HighConfidence,Yes
MCF7_PacBio_Q10,PAPOLA:AK7,chr14,96502600,+,chr14,96437835,+,64.759,0,27,FALSE,TRUE,TRUE,SRR1853177.16325,1599,HighConfidence,Yes
MCF7_PacBio_Q10,TXLNG:SYAP1,chrX,16786589,+,chrX,16735227,+,51.361,0,18,FALSE,TRUE,TRUE,SRR1853177.50623,1722,HighConfidence,Yes
MCF7_PacBio_Q10,ESR1:CCDC170,chr6,151702005,+,chr6,151573174,+,128.827,0,18,FALSE,TRUE,TRUE,SRR1853190.47740,2729,HighConfidence,Yes
MCF7_PacBio_Q10,MYH9:EIF3D,chr22,36387807,-,chr22,36526131,-,138.32,0,15,FALSE,TRUE,TRUE,SRR1867844.152951,1836,HighConfidence,Yes
MCF7_PacBio_Q10,GIGYF2:EIF4E2,chr2,232703489,+,chr2,232580904,+,122.579,0,10,FALSE,TRUE,TRUE,SRR1867826.19387,207,HighConfidence,Yes
MCF7_PacBio_Q10,RSBN1:AP4B1-AS1,chr1,113811710,-,chr1,113899872,+,88.159,0,9,FALSE,TRUE,TRUE,SRR1853193.154836,356,HighConfidence,-
MCF7_PacBio_Q10,ENSG00000224738:VMP1,chr17,59107591,+,chr17,59834012,+,726.424,0,9,FALSE,TRUE,FALSE,SRR1853186.55906,427,HighConfidence,-
MCF7_PacBio_Q10,ARFGEF2:SULF2,chr20,48922010,+,chr20,47736942,-,1185.059,0,9,TRUE,TRUE,TRUE,SRR1867826.100590,3147,HighConfidence,Yes
MCF7_PacBio_Q10,RPS6KB1:DIAPH3,chr17,59930432,+,chr13,59666846,-,Inf,0,9,FALSE,TRUE,TRUE,SRR1853187.36726,1306,HighConfidence,Yes
MCF7_PacBio_Q10,BCAS4:BCAS3,chr20,50795173,+,chr17,61391977,+,Inf,0,9,FALSE,TRUE,TRUE,SRR1853197.28025,171,HighConfidence,Yes
MCF7_PacBio_Q10,MYO6:SENP6,chr6,75749423,+,chr6,75678583,+,70.837,0,8,FALSE,TRUE,TRUE,SRR1853197.49272,218,HighConfidence,Yes
MCF7_PacBio_Q10,TBL1XR1:RGS17,chr3,177197121,-,chr6,153044043,-,Inf,0,8,FALSE,TRUE,TRUE,SRR1853194.160561,1327,HighConfidence,Yes
MCF7_PacBio_Q10,TTC6:MIPOL1,chr14,37596008,+,chr14,37564219,+,31.786,0,6,FALSE,TRUE,TRUE,SRR1853205.44501,699,HighConfidence,Yes
MCF7_PacBio_Q10,ATP1A1:ZFP64,chr1,116396734,+,chr20,52052132,-,Inf,0,6,FALSE,TRUE,TRUE,SRR1853190.65389,412,HighConfidence,-
MCF7_PacBio_Q10,SLC25A24:NBPF6,chr1,108181941,-,chr1,108470597,+,288.653,0,5,FALSE,TRUE,TRUE,SRR1853191.41098,1466,HighConfidence,Yes
MCF7_PacBio_Q10,BMERB1:ABCC1,chr16,15434759,+,chr16,16076326,+,641.568,0,5,TRUE,TRUE,FALSE,SRR1867826.75906,193,HighConfidence,Yes
MCF7_PacBio_Q10,MYH9:TXNRD2,chr22,36387807,-,chr22,19919599,-,16468.21,0,5,FALSE,TRUE,FALSE,SRR1867900.128323,1339,HighConfidence,-
MCF7_PacBio_Q10,BCAS4:BCAS3,chr20,50795173,+,chr17,61354362,+,Inf,0,5,FALSE,TRUE,TRUE,SRR1853200.101530,1689,HighConfidence,Yes
MCF7_PacBio_Q10,PNPLA7:DPH7,chr9,137515379,-,chr9,137555648,-,40.267,0,4,TRUE,TRUE,TRUE,SRR1853200.48625,1380,HighConfidence,Yes
MCF7_PacBio_Q10,RPS6KB1:VMP1,chr17,59912804,+,chr17,59839768,+,73.032,0,4,TRUE,TRUE,TRUE,SRR1853189.83441,2441,HighConfidence,Yes
MCF7_PacBio_Q10,NAV1:GPR37L1,chr1,201740076,+,chr1,202127741,+,387.673,0,4,FALSE,TRUE,FALSE,SRR1867853.147313,600,HighConfidence,-
MCF7_PacBio_Q10,TXN2:UMPS,chr22,36476733,-,chr3,124737568,+,Inf,0,4,FALSE,TRUE,TRUE,SRR1867917.146269,1571,HighConfidence,-
MCF7_PacBio_Q10,GSN:SMIM22,chr9,121281562,+,chr16,4794952,+,Inf,0,4,FALSE,TRUE,TRUE,SRR1853177.28181,1530,HighConfidence,-
MCF7_PacBio_Q10,OXA1L-DT:RPL22,chr14,22766424,-,chr1,6197756,-,Inf,0,4,FALSE,TRUE,TRUE,SRR1867917.84858,2042,HighConfidence,-
MCF7_PacBio_Q10,GIGYF2:EFHD1,chr2,232703489,+,chr2,232662802,+,40.681,0,3,FALSE,TRUE,TRUE,SRR1867900.117098,156,HighConfidence,Yes
MCF7_PacBio_Q10,GATAD2B:NUP210L,chr1,153922733,-,chr1,154027597,-,104.861,0,3,FALSE,TRUE,TRUE,SRR1853203.88390,1812,HighConfidence,Yes
MCF7_PacBio_Q10,PDS5B:N4BP2L2,chr13,32678929,+,chr13,32518003,-,160.925,0,3,FALSE,TRUE,TRUE,SRR1867902.51483,450,HighConfidence,-
MCF7_PacBio_Q10,TANC2:CA4,chr17,63074014,+,chr17,60155314,+,2918.697,0,3,TRUE,TRUE,TRUE,SRR1867833.154255,214,HighConfidence,-
