##VERSION=0.4.1
##SAMPLE=UnnamedSample
##READTYPE=UNKNOWN
##TIME=2024-08-15T06:53:09.441262039Z
##COMMAND=pbfusion discover --gtf /Reference/annotation.bin --output-prefix /dataset/pbfusion/pbfusion --threads 50 --min-coverage 1 -b /dataset/pbfusion/Hct116_ONT_cDNA_Q10.bam
##INFO=<ID=RC,Number=1,Type=Int,Description="Number of reads supporting breakpoints">
##INFO=<ID=MD,Number=1,Type=Float,Description="Mean breakpoint variability (bp)">
##INFO=<ID=GN,Number=List,Type=String,Description="Gene names in breakpoint cluster from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GI,Number=List,Type=String,Description="Gene IDs from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GC,Number=List,Type=Int,Description="Read support counts per gene name">
##INFO=<ID=CL,Number=1,Type=String,Description="Annotation of alignment classes [Fusion, ReadThrough, Unannotated, or SenseAntisense]">
##INFO=<ID=MQ,Number=2,Type=Float,Description="Phred-encoded mean map qualities for source and sink breakpoints, respectively; averaged in error probability space, not phred scores">
##INFO=<ID=MI,Number=2,Type=Float,Description="Mean alignment identity for the source and sink breakpoints, respectively">
##INFO=<ID=SA,Number=2,Type=Int,Description="Supplemental alignment counts for the source and sink">
##INFO=<ID=BP,Number=1,Type=Int,Description="Number of breakpoint pairs in cluster">
##INFO=<ID=EX,Number=2,Type=Int,Description="Counts of exonic breakpoints for the source and sink">
##INFO=<ID=IN,Number=2,Type=Int,Description="Counts of intronic breakpoints for the source and sink">
##INFO=<ID=AC,Number=List,Type=String,Description="Annotation of all breakpoints supported by reads in this cluster.">
##EXTRA=<ID=RN,Number=List,Type=String,Description="Names of reads contributing support">
##EXTRA=<ID=ON,Number=List,Type=String,Description="Names of reads contributing support if read clustering was used">
##EXTRA=<ID=CB,Number=List,Type=String,Description="Single cell barcodes contributing support">
#chr1	start1	end1	chr2	start2	end2	id	score	strand1	strand2	info	extra
chr1	11926311	11926312	chr16	14989090	14989091	BP115	MEDIUM	-	-	RC=1;MD=0;GN=KIAA2013,ENSG00000261819;GI=ENSG00000116685.17,ENSG00000261819.1;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.991228,0.95951;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr1:11926311-/chr16:14989090-	RN=4014ed91-bec7-4d62-ae73-532d3b3a9f5f-ccs;ON=.;CB=.
chr1	12618910	12618911	chr19	46610781	46610782	BP135	MEDIUM	-	-	RC=1;MD=0;GN=ENSG00000272482,ENSG00000269292,N/A;GI=ENSG00000272482.2,ENSG00000269292.1,N/A;GC=1,1,1;CL=FUSION:1;MQ=60,27.0092;MI=0.971154,0.922978;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr1:12618910-/chr19:46610781-,chr19:46608842-/chr19:46601437-	RN=60189065-a009-42df-9c61-300b555e3228-ccs;ON=.;CB=.
chr1	778447	778448	chr19	229776	229777	BP100	MEDIUM	-	-	RC=1;MD=0;GN=ENSG00000291215,LINC01002,N/A,HSDL1;GI=ENSG00000291215.1,ENSG00000282508.2,N/A,ENSG00000103160.12;GC=1,1,1,1;CL=FUSION:1;MQ=60,1.76091;MI=0.961111,0.973633;SA=0,1;BP=1;EX=1,1;IN=0,0;AC=chr1:778447-/chr19:229776-,chr19:229636-/chr3:198195955+,chr3:198196089+/chr16:84122382-	RN=e87fb9f1-1a0d-4756-a53a-be2ed3a4971e-ccs;ON=.;CB=.
chr1	805797	805798	chr8	449988	449989	BP73	MEDIUM	-	+	RC=1;MD=0;GN=FBXO25,ENSG00000230092;GI=ENSG00000147364.17,ENSG00000230092.8;GC=1,1;CL=FUSION:1;MQ=6.02059,60;MI=0.977431,0.96843;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:805797-/chr8:449988+,chr8:431443+/chr1:805890-	RN=469874e0-1ef9-4b38-a64f-5ce1886a3dc1-ccs;ON=.;CB=.
chr1	805797	805798	chr8	449988	449989	BP74	MEDIUM	-	+	RC=1;MD=0;GN=FBXO25,ENSG00000290784;GI=ENSG00000147364.17,ENSG00000290784.1;GC=1,1;CL=FUSION:1;MQ=6.02059,60;MI=0.978281,0.991464;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:805797-/chr8:449988+,chr8:431446+/chr1:805888-	RN=65bc94e1-5b74-4c65-8851-c0f744ce6f35-ccs;ON=.;CB=.
chr1	810063	810064	chr8	435613	435614	BP75	MEDIUM	-	+	RC=1;MD=0;GN=ENSG00000290784,FBXO25,N/A;GI=ENSG00000290784.1,ENSG00000147364.17,N/A;GC=1,1,1;CL=FUSION:1;MQ=60,3.0103;MI=0.981651,0.963105;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:810063-/chr8:435613+,chr8:435699+/chr1:791939-	RN=70fac2d5-4847-4d4c-a6f4-b6ac19f541b0-ccs;ON=.;CB=.
KI270734.1	161467	161468	chr22	18919598	18919599	BP3044	MEDIUM	-	-	RC=1;MD=0;GN=ENSG00000277196,PRODH;GI=ENSG00000277196.4,ENSG00000100033.17;GC=1,1;CL=FUSION:1;MQ=0,1.7609;MI=0.960938,0.868559;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270734.1:143611-/chr22:18913528-,KI270734.1:161467-/chr22:18919598-,chr22:18919451-/KI270734.1:143790-	RN=fbdd2d51-cfb9-4f11-878e-d20b8a470209-ccs;ON=.;CB=.
KI270734.1	131741	131742	chr22	20319763	20319764	BP3036	MEDIUM	+	-	RC=1;MD=0;GN=ENSG00000278817,DGCR6L;GI=ENSG00000278817.1,ENSG00000128185.10;GC=1,1;CL=FUSION:1;MQ=0,4.43925;MI=1,0.948689;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270734.1:131741+/chr22:20319763-,chr22:20319637-/KI270734.1:136183+	RN=1a6f9e6b-a010-4736-8c31-1ed8d1f2fd97-ccs;ON=.;CB=.
KI270734.1	131978	131979	chr22	20314816	20314817	BP3035	MEDIUM	+	-	RC=2;MD=5.5;GN=DGCR6L,ENSG00000278817;GI=ENSG00000278817.1,ENSG00000128185.10;GC=2,2;CL=FUSION:2;MQ=1.75004,47.8751;MI=0.968512,0.928074;SA=2,0;BP=2;EX=2,2;IN=0,0;AC=KI270734.1:131978+/chr22:20314816-,chr22:20319892-/KI270734.1:131879+	RN=5d43ca47-9ef8-487e-8dfa-bf162eeafcfd-ccs,f1263195-b6f3-47d6-bd1e-43a69da54b7a-ccs;ON=.;CB=.
KI270734.1	135543	135544	chr22	20314826	20314827	BP3037	MEDIUM	+	-	RC=1;MD=0;GN=DGCR6L,ENSG00000278817;GI=ENSG00000128185.10,ENSG00000278817.1;GC=1,1;CL=FUSION:1;MQ=3.0103,60;MI=0.961339,0.983577;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=KI270734.1:135543+/chr22:20314826-,chr22:20319637-/KI270734.1:135441+	RN=46ad0548-0b4d-4699-9c46-efeba579c470-ccs;ON=.;CB=.
