sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
nanopore2023_10x_0.8_15000,FASTKD2:DGAT2L6,chr2,206788155,+,chrX,70204305,+,Inf,0,10,FALSE,TRUE,TRUE,037a542a-a79f-831c-d5cc-1d631b3244c0,953,HighConfidence,-
nanopore2023_10x_0.8_15000,SIAH3:TGFBR3L,chr13,45851495,-,chr19,7917473,+,Inf,0,9,TRUE,TRUE,TRUE,54384913-3fa2-5bdb-bc75-a92c99e45ad5,264,HighConfidence,-
nanopore2023_10x_0.8_15000,NAPEPLD:LLGL1,chr7,103119577,-,chr17,18233778,+,Inf,0,9,TRUE,TRUE,TRUE,69f6afba-247b-e539-7867-e0b1e98dbaf5,3577,HighConfidence,-
nanopore2023_10x_0.8_15000,RACK1:ETFDH,chr5,181238099,-,chr4,158684592,+,Inf,0,8,TRUE,TRUE,TRUE,1d083884-9805-0b99-4dc6-d6ba4df19c76,581,HighConfidence,-
nanopore2023_10x_0.8_15000,PIDD1:ENSG00000275740,chr11,803174,-,chr5,146267649,+,Inf,0,7,FALSE,TRUE,TRUE,16ae6022-f3d0-7259-0ee6-5ad773c3d0ae,1058,HighConfidence,-
nanopore2023_10x_0.8_15000,SRMS:FAAH2,chr20,63542163,-,chrX,57431918,+,Inf,0,7,FALSE,TRUE,TRUE,7bda6a3b-6ca1-efbe-9a03-9c61f773dd7e,1201,HighConfidence,-
nanopore2023_10x_0.8_15000,KLHL4:GRIN2A,chrX,87622423,+,chr16,9938551,-,Inf,0,7,TRUE,TRUE,TRUE,1e2dd612-60b9-86ca-e0a2-c7cadd7bb3e0,1207,HighConfidence,-
nanopore2023_10x_0.8_15000,RIN1:STK17B,chr11,66335407,-,chr2,196143686,-,Inf,0,7,FALSE,TRUE,TRUE,3e7c737d-d137-720d-f73a-b75ec6973455,4407,HighConfidence,-
nanopore2023_10x_0.8_15000,SERPINH1:USP6NL,chr11,75566971,+,chr10,11501208,-,Inf,0,7,FALSE,TRUE,TRUE,4123b5aa-a103-4f54-eea3-45c466bc8cd8,2055,HighConfidence,-
nanopore2023_10x_0.8_15000,ALDH1A2:MANSC4,chr15,58010649,-,chr12,27763396,-,Inf,0,7,TRUE,TRUE,TRUE,161f8a93-ec9f-15f3-0e5c-4dd0ba73d3b0,900,HighConfidence,-
nanopore2023_10x_0.8_15000,MBD1:PCDH20,chr18,50275129,-,chr13,61413966,-,Inf,0,7,TRUE,TRUE,TRUE,7a40eb86-1f63-6c45-4793-55ecf5a9fa60,4168,HighConfidence,-
nanopore2023_10x_0.8_15000,CAPNS1:ZNF474,chr19,36141220,+,chr5,122151779,+,Inf,0,7,FALSE,TRUE,TRUE,10577beb-6e99-4bb3-7990-1b36041e426c,1760,HighConfidence,-
nanopore2023_10x_0.8_15000,UGT3A2:CDH1,chr5,36048889,-,chr16,68819280,+,Inf,0,7,FALSE,TRUE,TRUE,1aba5023-bfc4-e9a2-c3aa-5e2bac0fee1f,3066,HighConfidence,-
nanopore2023_10x_0.8_15000,GBP2:G6PC2,chr1,89114016,-,chr2,168907568,+,Inf,0,7,FALSE,TRUE,TRUE,08887fe2-5a57-a2c2-9ab0-5df73df5cc52,2391,HighConfidence,-
nanopore2023_10x_0.8_15000,CCDC39:GPIHBP1,chr3,180619811,-,chr8,143213822,+,Inf,0,7,TRUE,TRUE,TRUE,450f8bc3-d0da-7964-1325-5f13ca5d1f09,2028,HighConfidence,-
nanopore2023_10x_0.8_15000,DNAJC7:RNF113B,chr17,41987819,-,chr13,98176176,-,Inf,0,7,FALSE,TRUE,TRUE,96cc6286-4e2d-4bf2-51a9-e85242467448,396,HighConfidence,-
nanopore2023_10x_0.8_15000,ABCA12:CBLN3,chr2,214949040,-,chr14,24428405,-,Inf,0,7,FALSE,TRUE,TRUE,e541a29d-3792-12f8-5c84-ce129a1399fc,1528,HighConfidence,-
nanopore2023_10x_0.8_15000,KIF5B:ENSG00000289258,chr10,32019858,-,chr10,86681436,+,54661.58,0,6,FALSE,TRUE,TRUE,d119c5a7-12fb-45aa-02c9-ed47224fe98f,1134,HighConfidence,-
nanopore2023_10x_0.8_15000,IQCD:PRLHR,chr12,113207438,-,chr10,118595250,-,Inf,0,6,TRUE,TRUE,TRUE,21bc4d98-0eec-62c7-6394-63f6290960d5,5057,HighConfidence,-
nanopore2023_10x_0.8_15000,ASAP3:ZNF621,chr1,23437130,-,chr3,40529319,+,Inf,0,6,FALSE,TRUE,TRUE,0153c32f-e10b-0091-e1e0-901d935a5044,425,HighConfidence,-
nanopore2023_10x_0.8_15000,ENSG00000250644:ABRA,chr11,1753994,-,chr8,106761514,-,Inf,0,6,FALSE,TRUE,TRUE,5c946ff4-87a3-64d7-5d39-59cc4a939c5f,2029,HighConfidence,-
nanopore2023_10x_0.8_15000,SLC38A4:DECR2,chr12,46769284,-,chr16,405146,+,Inf,0,6,FALSE,TRUE,TRUE,201473b6-59e9-cc41-65ff-b0da9b8114fc,283,HighConfidence,-
nanopore2023_10x_0.8_15000,VPS13C:ADAM18,chr15,61884128,-,chr8,39585276,+,Inf,0,6,FALSE,TRUE,TRUE,08ae52c7-435c-1fca-68d4-323dc1178770,2034,HighConfidence,-
nanopore2023_10x_0.8_15000,CNOT6L:DLX2,chr4,77731387,-,chr2,172101646,-,Inf,0,6,TRUE,TRUE,TRUE,1b325ca1-5836-d200-911e-ffa645815f5f,1064,HighConfidence,-
nanopore2023_10x_0.8_15000,ZNF284:EIF3L,chr19,44082105,+,chr22,37870176,+,Inf,0,6,FALSE,TRUE,TRUE,0f75fae2-c889-385e-5b11-65c1640101bd,417,HighConfidence,-
nanopore2023_10x_0.8_15000,SGSM3:MSANTD3,chr22,40407568,+,chr9,100441906,+,Inf,0,6,TRUE,TRUE,TRUE,2230eab9-aa20-0a22-fa52-57232bc457f6,1676,HighConfidence,-
nanopore2023_10x_0.8_15000,SRD5A2:HNF4G,chr2,31533603,-,chr8,75553042,+,Inf,0,6,FALSE,TRUE,TRUE,231fa7c8-5bb2-36d9-a985-168521f85601,483,HighConfidence,-
nanopore2023_10x_0.8_15000,NOA1:STC1,chr4,56964406,-,chr8,23851531,-,Inf,0,6,FALSE,TRUE,TRUE,25524327-013d-5f90-62eb-2097883c3e47,3199,HighConfidence,-
nanopore2023_10x_0.8_15000,ATPSCKMT:DYRK1A,chr5,10236478,-,chr21,37490175,+,Inf,0,6,FALSE,TRUE,TRUE,5d44f207-56c6-9da2-1e13-f6d2113ce516,4486,HighConfidence,-
nanopore2023_10x_0.8_15000,UBE4A:LONRF3,chr11,118386612,+,chrX,119011815,+,Inf,0,6,FALSE,TRUE,TRUE,094a5cb3-3195-45d4-6cf9-99128ea13842,1273,HighConfidence,-
nanopore2023_10x_0.8_15000,TNFRSF18:TSPAN13,chr1,1206385,-,chr7,16777798,+,Inf,0,6,FALSE,TRUE,TRUE,02483ffc-1e84-0e2c-d8b0-6fa1e3da427b,1306,HighConfidence,-
nanopore2023_10x_0.8_15000,CYB5R2:TRPC4AP,chr11,7668478,-,chr20,35003283,-,Inf,0,6,FALSE,TRUE,TRUE,08850824-fef6-cd80-a01d-4cabd9594dd7,564,HighConfidence,-
nanopore2023_10x_0.8_15000,GGN:MCM6,chr19,38385647,-,chr2,135872843,-,Inf,0,6,FALSE,TRUE,TRUE,4b37b875-c3dd-3c0c-2333-f4e982296df3,3527,HighConfidence,-
nanopore2023_10x_0.8_15000,STK25:ART4,chr2,241498989,-,chr12,14841153,-,Inf,0,6,TRUE,TRUE,TRUE,e110cb5f-0f5e-b099-43db-a0554d43b5d5,790,HighConfidence,-
nanopore2023_10x_0.8_15000,AP2M1:WAPL,chr3,184182047,+,chr10,86460496,-,Inf,0,6,FALSE,TRUE,TRUE,976d7cac-a34a-2598-96c6-d265dffc29e3,1046,HighConfidence,-
