#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
ABCA12--CBLN3	13	ABCA12	50180	chr2:214949040:-	CBLN3	63880	chr14:24428405:-	ONLY_REF_SPLICE	4de03538-683f-988f-81dd-651d8f854d9d,5b8ba74e-1ff2-18dc-7e3c-38fec58aac63,9cc5bcf3-7bd2-c3a6-9c4f-a3d05bc7dc9a,8b7e3820-7b4e-85a8-2747-cab22d008ac9,4b28daf4-4640-8d57-2f06-90e0409f27b0,22928d34-6f4c-12cd-398a-5b87f3700c46,a29f2277-895f-fa00-d9e8-cd09028028f9,393b899b-de9b-2914-92bb-2a31aa5994d8,fec2921d-51c7-f3b0-3275-93021e3adf75,ce2e9ce6-c073-b66c-170b-eae0aaef2bcb,e541a29d-3792-12f8-5c84-ce129a1399fc,8430e853-526d-f420-1e55-9041ca184bd3,cf69ead3-403d-2e80-f161-cf6b46a9e1dc	4.638	["INTERCHROMOSOMAL[chr2--chr14]"]	4.638	1.0	True
SERPINH1--USP6NL	13	SERPINH1	4371	chr11:75566971:+	USP6NL	25701	chr10:11501208:-	ONLY_REF_SPLICE	fedebe6b-70fd-2cc1-2588-cf37543051db,3404c15e-716b-5409-dda8-a22284bff1aa,4123b5aa-a103-4f54-eea3-45c466bc8cd8,91a6a888-a3e1-cfa3-bbc4-fe0d875ee298,3fee5f31-23ea-10ef-91c7-61f2f6f4d679,00727f82-906d-c572-a5d8-0f45c3341cd9,b8d052e9-6201-8d3e-ee9e-38a2256026ca,5e824155-48a9-7bef-7199-1d13bc77c7a5,c3b7537f-f64b-0fe5-8bc7-deb7de343d3c,eeb2e056-9756-5d38-1e9a-df63c10112eb,6c4c1925-a15e-fbcb-c543-b1b9a4095e28,8c61ea45-cee1-d575-9ce3-9eedc929e6fe,dcd546e9-12f6-30c8-2f24-8557bc921c4f	4.638	["INTERCHROMOSOMAL[chr11--chr10]"]	4.638	1.0	True
KIF5B--LDB3	12	KIF5B	17557	chr10:32019858:-	LDB3	32255	chr10:86681436:+	ONLY_REF_SPLICE	ebb082eb-d8a5-2734-dfa6-c9c47f4cefdd,d119c5a7-12fb-45aa-02c9-ed47224fe98f,d56a8861-8f07-9ff7-9235-9ff2eda3bcf2,80e681cf-f769-b538-921e-8c64285d4004,a8f7b92c-ebec-465a-ea89-3539c873a30a,9c03a76a-94f6-2e0f-ac75-7ff78dfc5ada,ec6f1598-f828-35be-4e4d-fac12744f399,2d7ee1b4-8af4-68a4-176c-daee20523871,b933cd78-659a-308e-b12c-e7092a8807cd,d791b006-c127-0f08-cfeb-0a8e65886923,7404b4f8-193f-cab5-8e07-afde105a7f9f,9959364d-4268-da17-755c-b3f6cbc782e2	4.282	["INTRACHROMOSOMAL[chr10:54.61Mb]"]	4.282	1.0	True
SMCR8--ACP5	12	SMCR8	3857	chr17:18318149:+	ACP5	16448	chr19:11576843:-	ONLY_REF_SPLICE	4bb68bc9-8afb-1cd6-8c13-d48ae06386e1,e6b42944-1970-04a4-a330-b1f6b39eaaa9,71fb9812-4994-fa50-e9ba-240a2dd130b6,0507c3d6-3b71-7607-cb43-5aebaed24565,5306f35f-6f3e-8cc4-0e64-3f6e317266fa,bd8bcd73-a30e-1fe4-a6d1-5164dd6008ad,cab96828-08d0-32f7-73fa-3c796c436b2a,4c69b4ec-cd7c-4c61-cdbf-e9ce79f030c9,753d3cc5-c913-4c1f-2577-5d5c32f6941b,db1250d7-4ce1-673b-f29d-f23ca73701b1,ff3e4bcc-b7b6-1a96-ed61-669bf556efd2,d4987c60-a29b-7e5f-7cdd-50a1ceddcb7b	4.282	["INTERCHROMOSOMAL[chr17--chr19]"]	4.282	1.0	True
IL18R1--UPF2	11	IL18R1	9671	chr2:102381682:+	UPF2	23756	chr10:12029524:-	ONLY_REF_SPLICE	cf100960-984d-33d8-ebd4-7acc087966f5,e9a19007-d2e1-c128-47ec-e0605552e48f,9ff16c7c-9fb2-2df6-7fd2-7f92e93ad473,43864614-2b08-9fb5-dc66-c395a0607f42,d6c12d1f-03f8-2677-d784-ae330e29977e,aa942e77-810c-e022-7fc3-b88d8074f6ae,ffa551a1-da0a-350e-1398-031174be32d8,008dc5de-0e35-a445-bb8b-5000b4a91257,34ae9b3f-e4ba-fefc-0447-037129bff94e,25e5a913-ffcf-8632-733b-20c1f7022e42,161b5057-91c5-685a-4f4c-3b51da855dcb	3.925	["INTERCHROMOSOMAL[chr2--chr10]"]	3.925	1.0	True
NOA1--STC1	11	NOA1	7410	chr4:56964406:-	STC1	14081	chr8:23851531:-	ONLY_REF_SPLICE	5084e392-8c46-d51e-c404-46e370de1250,6f010d87-e097-8325-c044-446269b47199,fe549c21-cf8a-d465-911d-ef07db0f1b4e,27b8658e-7c10-ca65-608a-837dfabc015e,c4604a1d-fbd7-a25e-fc58-ca3dafc540f8,25524327-013d-5f90-62eb-2097883c3e47,2ff4f571-3d11-28ad-46a3-b86652488162,3515164d-7ec5-94e7-0aad-fe608670d428,77ac8694-a03b-90ab-fd35-5b3f36c1f763,53cc5583-24b6-f410-399b-6d91836e2123,7d8879d9-f142-2773-cefe-500118fa355c	3.925	["INTERCHROMOSOMAL[chr4--chr8]"]	3.925	1.0	True
RACK1--ETFDH	11	RACK1	8822	chr5:181238099:-	ETFDH	20310	chr4:158684592:+	ONLY_REF_SPLICE	5ed1f664-f96f-2010-b48a-db8ad3b0650d,28d57d06-dda4-0abe-6be6-38debb03788d,1d083884-9805-0b99-4dc6-d6ba4df19c76,9d8a971a-afbc-545a-ed62-2be6d472b716,a6586185-c794-891f-2020-4698a1a63652,bb3405c3-bec9-9723-04d1-44c3521fd110,a789fdec-d323-f224-a223-64eaea164238,e74ddda3-a63c-acf2-b129-c009ccf31562,5207d5ff-2672-3bb4-527a-75e37e3a1cce,0671733f-d818-de5e-e89f-a05957b3d2c2,99682a24-2430-35fb-caa3-4ecd9d5c7a1a	3.925	[]	3.925	1.0	True
RSF1--FAM90A11P	11	RSF1	19348	chr11:77683710:-	FAM90A11P	37460	chr8:8014735:-	ONLY_REF_SPLICE	2ad3bb94-6b5b-6351-7c8c-70f0014e782d,82a7e81f-7536-1e8a-1c20-39ed8539727f,67e56fef-47b8-8d55-3a1d-f6e328a0336c,861b295f-8e07-7902-dd92-6ba66c8eb803,e4edfce1-1ec9-a0c1-4f89-aaf1f3393976,d1585ffc-36c5-b355-2af8-ea6b50240322,b34ae2ff-3697-cfe7-1fdc-3674002ed751,3f573903-a5b7-dda7-885e-1d1074e18752,414fbe1b-ee06-a587-6ce1-2b68bb4f2e2d,c3cf658c-b5fc-3ba6-fde9-c67e9f054cd3,8deb34c9-7587-52f2-aaa5-9e62f075b3a8	3.925	["INTERCHROMOSOMAL[chr11--chr8]"]	3.925	1.0	True
UGT3A2--CDH1	10	UGT3A2	6615	chr5:36048889:-	CDH1	28003	chr16:68819280:+	ONLY_REF_SPLICE	37881658-fa8b-551a-c351-a962a25af3be,44d8e7ee-7e50-9cb8-0be4-0dd6dbbbfe32,bdbe614d-32f8-7c43-9d8e-bfa29dbebe80,f95ad547-1b74-4703-ff89-8ebc53bab8b8,1e0a3217-a81a-4242-157e-ca3aeaa69e2e,1aba5023-bfc4-e9a2-c3aa-5e2bac0fee1f,c25c070d-a049-f57f-80b8-5b963ce26f9c,fe3edf27-096b-a6bb-5d72-b7c043d44b18,2fa8792f-5565-0ae8-260f-2398b6f9037c,d03630bb-85cf-2b3f-3892-02703d22a43e	3.568	["INTERCHROMOSOMAL[chr5--chr16]"]	3.568	1.0	True
SRMS--FAAH2	9	SRMS	4828	chr20:63542163:-	FAAH2	19619	chrX:57431918:+	ONLY_REF_SPLICE	50e558d4-27cc-e915-e2ff-7efc1b0193b4,a0296cd5-8daa-a091-6f47-b1f0e9021c1b,7bda6a3b-6ca1-efbe-9a03-9c61f773dd7e,4c43ea93-be81-bdfc-d7f6-3e77c1268527,e2f9695c-eeb1-7446-bcee-b2c1ea2e1f4c,35638d79-47b2-1125-741e-0a90e3004467,ec68aa91-72bd-ccc5-b6dd-d0f20bd09fab,8dbef458-3105-e53e-da8a-112755117b60,08f7133f-9d9c-22d0-335e-52ea9253f869	3.211	["INTERCHROMOSOMAL[chr20--chrX]"]	3.211	1.0	True
ZNF622--SPDYE11	9	ZNF622	5652	chr5:16453013:-	SPDYE11	14924	chr7:73052454:-	ONLY_REF_SPLICE	8cbbf2a3-40aa-3ace-7efe-9dafc5c5330b,31d7daa5-a73b-0983-9af8-489c400d30ad,4c37420c-2b10-8d7f-9d2c-91a0d0ac0438,f68fb059-3b70-9cbe-38db-31c5aa93a510,c1224308-27bb-f0cc-e5ee-cfe49ac1a4cd,41e1bb15-6039-4f7d-443a-7830e28687f2,964fc9e9-b3ad-a9a6-f4ed-3b154f08d79e,864de3c7-a4c3-c8bd-5992-d09905eea8f9,098d529c-cde6-6192-edae-b7ee3a6d6008	3.211	[]	3.211	1.0	True
