sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
A549_ONT_cDNA_Q10,SCAMP2:WDR72,chr15,74845473,-,chr15,53706074,-,21139.401,0,5,TRUE,TRUE,FALSE,319721cf-dd3d-4303-9511-dbee0ee96875,1056,HighConfidence,Yes
A549_ONT_cDNA_Q10,RICTOR:FYB1,chr5,39074111,-,chr5,39141141,-,67.027,0,4,FALSE,TRUE,TRUE,bc64eace-9194-4659-a442-3093aa5ade8c,237,HighConfidence,Yes
A549_ONT_cDNA_Q10,ZNF43:LINC02203,chr19,21836036,-,chr15,21595606,+,Inf,0,4,FALSE,TRUE,TRUE,65fe4fe5-09e3-4b60-8b9c-71475c08ddd6,241,HighConfidence,-
A549_ONT_cDNA_Q10,ACACA:PLXDC1,chr17,37330173,-,chr17,39109391,-,1779.214,0,3,FALSE,TRUE,TRUE,29ffd8c3-9077-4d8b-b86a-18eff4477c31,439,HighConfidence,-
A549_ONT_cDNA_Q10,ZNF43:ENSG00000284500,chr19,21836036,-,chr15,22030926,+,Inf,0,3,FALSE,TRUE,TRUE,22712685-de58-4ba0-9c19-30e5b320ad46,220,HighConfidence,-
A549_ONT_cDNA_Q10,CCDC32:CBX3,chr15,40561981,-,chr7,26201745,+,Inf,0,2,FALSE,TRUE,TRUE,798a76e9-2a39-48cb-9fdd-db8d4f1c8419,411,HighConfidence,Yes
A549_ONT_cDNA_Q10,CCDC32:CBX3,chr15,40562776,-,chr7,26201769,+,Inf,0,5,NA,FALSE,TRUE,2ca0a5ed-4ee7-48b0-ac1d-942efc603e6d,389,LowConfidence,Yes
A549_ONT_cDNA_Q10,CHUK:ACTN4,chr10,100219325,-,chr19,38730131,+,Inf,0,2,NA,FALSE,TRUE,5cd54295-ff7c-473b-93cf-0e0fbad3b6d7,400,LowConfidence,-
A549_ONT_cDNA_Q10,ATP2B1:PARP2,chr12,89655834,-,chr14,20357679,+,Inf,0,2,NA,FALSE,TRUE,c5ba9e57-05f4-4952-b399-97e0848d0461,282,LowConfidence,-
A549_ONT_cDNA_Q10,ESCO1:HPS5,chr18,21574562,-,chr11,18278932,-,Inf,0,2,NA,FALSE,TRUE,525da43d-1889-49e3-a1f0-14cc680037e5,1202,LowConfidence,-
A549_ONT_cDNA_Q10,TFRC:CALM2,chr3,196051749,-,chr2,47161856,-,Inf,0,2,NA,FALSE,TRUE,8c390cc9-8868-4a98-9712-409415588cfc,270,LowConfidence,-
A549_ONT_cDNA_Q10,STX17:ERP44,chr9,99960155,+,chr9,99985069,-,24.914,0,1,FALSE,TRUE,TRUE,3b38793f-d16d-4729-b85d-d00c562159f5,410,PotentialTransSplicing,-
A549_ONT_cDNA_Q10,UBE2N:NUDT4,chr12,93441855,-,chr12,93394609,+,47.248,0,1,TRUE,TRUE,TRUE,1a901d51-4646-4819-9bd5-6655cdead861,349,PotentialTransSplicing,-
A549_ONT_cDNA_Q10,PRMT5-DT:PSMB5,chr14,22929752,+,chr14,23033674,-,103.933,0,1,FALSE,TRUE,TRUE,048b6716-2967-41d1-91c9-fbabd487730d,223,PotentialTransSplicing,-
A549_ONT_cDNA_Q10,ENSG00000237813:CAV1,chr7,116433176,-,chr7,116558946,+,125.769,0,1,FALSE,TRUE,TRUE,dfef4008-6e3e-41f6-92fe-6f3a2aa8aff9,258,PotentialTransSplicing,-
A549_ONT_cDNA_Q10,CD44:PDHX,chr11,35139370,+,chr11,34984570,+,154.799,0,1,FALSE,TRUE,TRUE,5ebc5842-2028-45b5-bb05-d567b2a1fd2a,1382,PotentialTransSplicing,-
A549_ONT_cDNA_Q10,C21orf62-AS1:CFAP298-TCP10L,chr21,32784919,+,chr21,32607716,-,177.196,0,1,FALSE,TRUE,TRUE,dc48f91a-dbd4-4243-aee9-245490ee007c,313,PotentialTransSplicing,-
A549_ONT_cDNA_Q10,ZNF678:SNAP47,chr1,227563724,+,chr1,227766959,+,203.237,0,1,FALSE,TRUE,FALSE,6ee05a96-dc41-4e4b-9796-d8617a507a0d,295,PotentialTransSplicing,-
