sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
H9_ONT_cDNA_Q10,ENSG00000267327:LINC01905,chr18,55893442,+,chr18,56096075,+,202.638,0,36,FALSE,TRUE,FALSE,14c7a2d4-ee8c-4e53-8756-d96a877a39ac,338,HighConfidence,-
H9_ONT_cDNA_Q10,SLC38A4-AS1:ENSG00000272369,chr12,46387972,+,chr12,46652390,+,264.428,0,32,FALSE,TRUE,FALSE,12a38b6f-f5ca-4ad1-a9c5-1e8b4ffba18e,403,HighConfidence,-
H9_ONT_cDNA_Q10,SUGP1:MIR302CHG,chr19,19305849,-,chr4,112647467,-,Inf,0,19,FALSE,TRUE,TRUE,1f0e6fd7-3f0d-4955-a5e7-97b31dab9e4e,410,HighConfidence,-
H9_ONT_cDNA_Q10,MRPS6:ENSG00000272657,chr21,34073745,+,chr21,34293681,+,219.944,0,15,FALSE,TRUE,FALSE,0524a7f4-d30b-4951-893c-138f4b96706c,298,HighConfidence,-
H9_ONT_cDNA_Q10,PANK2:MIR302CHG,chr20,3917050,+,chr4,112647467,-,Inf,0,13,FALSE,TRUE,TRUE,2228da6a-58b8-4715-ac5d-07b95b2f8c02,1309,HighConfidence,-
H9_ONT_cDNA_Q10,CCDC32:CBX3,chr15,40561981,-,chr7,26201745,+,Inf,0,13,FALSE,TRUE,TRUE,0fcab3ce-8252-43f4-bff8-103a96b315ba,419,HighConfidence,Yes
H9_ONT_cDNA_Q10,CTDSP1:MIR302CHG,chr2,218402405,+,chr4,112647467,-,Inf,0,11,FALSE,TRUE,TRUE,1cc336ca-98b6-447e-bb0b-b68d20ef9de2,399,HighConfidence,-
H9_ONT_cDNA_Q10,EFCAB11:ENSG00000258792,chr14,89931541,-,chr14,89629136,-,302.412,0,10,FALSE,TRUE,FALSE,17c213fa-a937-48f8-ba50-c0df6071be57,541,HighConfidence,-
H9_ONT_cDNA_Q10,SNHG14:SNURF,chr15,24982437,+,chr15,24962114,+,20.313,0,9,FALSE,TRUE,TRUE,b7dec074-c3f3-46ea-bc3b-96c4a60f9935,1456,HighConfidence,-
H9_ONT_cDNA_Q10,MCM7:MIR302CHG,chr7,100094173,-,chr4,112647467,-,Inf,0,9,FALSE,TRUE,TRUE,0b93fe53-f9e5-4a71-9810-49fc3e40539a,2022,HighConfidence,-
H9_ONT_cDNA_Q10,MIR205HG:MIR302CHG,chr1,209431825,+,chr4,112647467,-,Inf,0,8,FALSE,TRUE,TRUE,22f51fed-7f21-4657-9f74-96d0d0112a98,418,HighConfidence,-
H9_ONT_cDNA_Q10,MRPS6:ENSG00000214955,chr21,34073745,+,chr21,34324736,+,250.995,0,7,FALSE,TRUE,FALSE,3261fec7-75f3-403a-a1e6-c0e4256a7a3b,276,HighConfidence,-
H9_ONT_cDNA_Q10,SNHG14:SNURF,chr15,24982437,+,chr15,24967932,+,14.503,0,6,FALSE,TRUE,TRUE,1b2ea8fe-8052-4963-8710-194d548232d9,539,HighConfidence,-
H9_ONT_cDNA_Q10,NDUFA4:PHF14,chr7,10940016,-,chr7,11111350,+,171.333,0,6,FALSE,TRUE,TRUE,36cd9bf2-7349-4207-a12a-3c564f8f657e,249,HighConfidence,-
H9_ONT_cDNA_Q10,SLC16A12:LIPA,chr10,89462379,-,chr10,89247649,-,214.734,0,6,FALSE,TRUE,FALSE,1eedfb90-bd99-4918-a11b-669dbdf687fc,645,HighConfidence,-
H9_ONT_cDNA_Q10,LINC01618:MRPL3,chr4,52712959,+,chr3,131471279,-,Inf,0,6,FALSE,TRUE,TRUE,16ef24c5-4d81-4778-aa10-0596d3291ff6,558,HighConfidence,-
H9_ONT_cDNA_Q10,EGFL7:MIR302CHG,chr9,136670330,+,chr4,112647467,-,Inf,0,6,FALSE,TRUE,TRUE,2e691248-edc2-4533-bc5b-7269f9f01eee,420,HighConfidence,-
H9_ONT_cDNA_Q10,STX18-AS1:MSX1,chr4,4649542,+,chr4,4862701,+,213.162,0,5,FALSE,TRUE,FALSE,20376520-5f13-4947-b76f-6ad54c5e5745,1024,HighConfidence,-
H9_ONT_cDNA_Q10,PELI1:UGP2,chr2,64144081,-,chr2,63882466,+,261.616,0,5,FALSE,TRUE,TRUE,672c20ff-72d5-43af-8483-14c9c91c01c4,1704,HighConfidence,-
H9_ONT_cDNA_Q10,ITSN1:MRPS6,chr21,33642713,+,chr21,34125341,+,482.631,0,5,FALSE,TRUE,FALSE,0c745a94-1b36-465a-a1b5-f065732aba71,341,HighConfidence,-
H9_ONT_cDNA_Q10,MIR302CHG:GNAS,chr4,112648654,-,chr20,58895612,+,Inf,0,5,FALSE,TRUE,TRUE,2caeb0eb-bcb1-45a6-8d78-bce2d9ddc358,1528,HighConfidence,-
H9_ONT_cDNA_Q10,YWHAE:CRK,chr17,1400047,-,chr17,1437155,-,37.104,0,4,TRUE,TRUE,TRUE,7fbc15df-bfb7-4df9-8417-e026023473c6,278,HighConfidence,Yes
H9_ONT_cDNA_Q10,PHIP:HMGN3,chr6,79077448,-,chr6,79215022,-,137.572,0,4,TRUE,TRUE,TRUE,1c263492-9822-49e4-a858-16c2f0dd28a9,841,HighConfidence,Yes
H9_ONT_cDNA_Q10,FARS2:ENSG00000233064,chr6,5613320,+,chr6,5870041,+,256.723,0,4,FALSE,TRUE,FALSE,80b24d49-b246-434f-877e-eaa523499583,480,HighConfidence,-
H9_ONT_cDNA_Q10,LDLRAD3:PRR5L,chr11,36098461,+,chr11,36400997,+,302.539,0,4,FALSE,TRUE,FALSE,20b6f56a-2766-4a5b-98f3-9c79773251db,2291,HighConfidence,-
H9_ONT_cDNA_Q10,CD83:ENSG00000286277,chr6,14118065,+,chr6,14498057,+,379.996,0,4,FALSE,TRUE,FALSE,699ce317-f244-4730-90bd-8b7f14ffbf7e,4946,HighConfidence,-
H9_ONT_cDNA_Q10,SEM1:SLC25A13,chr7,96694798,-,chr7,96234917,-,459.884,0,4,TRUE,TRUE,FALSE,8c799b4a-28bd-48b5-aa5c-ed86624d3f9c,384,HighConfidence,Yes
H9_ONT_cDNA_Q10,HCCS-DT:MID1,chrX,11055936,-,chrX,10567603,-,488.34,0,4,FALSE,TRUE,FALSE,63617e32-b906-4912-b824-d933fef66193,3137,HighConfidence,-
H9_ONT_cDNA_Q10,ENSG00000291175:ARL17B,chr17,45584572,-,chr17,46275418,-,690.845,0,4,FALSE,TRUE,TRUE,241050b8-bef3-4fb0-8dbe-975b4e71a32f,643,HighConfidence,-
H9_ONT_cDNA_Q10,KCNH5:FUT8,chr14,63045114,-,chr14,65561337,+,2516.223,0,4,FALSE,TRUE,TRUE,19f3a9a7-5cba-4925-b948-783dac487912,2784,HighConfidence,-
H9_ONT_cDNA_Q10,LUC7L:GNAS,chr16,229279,-,chr20,58895612,+,Inf,0,4,FALSE,TRUE,TRUE,318d6b4d-c3a0-4265-a5e0-fe78cd562be1,277,HighConfidence,-
H9_ONT_cDNA_Q10,SMC4:MIR302CHG,chr3,160404504,+,chr4,112647467,-,Inf,0,4,FALSE,TRUE,TRUE,3a5dba30-fb46-47c7-a504-6378e7c79a4e,397,HighConfidence,-
H9_ONT_cDNA_Q10,MIR17HG:MIR302CHG,chr13,91350226,+,chr4,112647467,-,Inf,0,4,FALSE,TRUE,TRUE,676066e4-98c1-46d4-9fa6-ab6afdf45509,456,HighConfidence,-
H9_ONT_cDNA_Q10,MEST:MIR302CHG,chr7,130495522,+,chr4,112647467,-,Inf,0,4,FALSE,TRUE,TRUE,83189306-1872-417c-b96c-6dec97fef50d,435,HighConfidence,-
H9_ONT_cDNA_Q10,SNHG14:SNRPN,chr15,24982437,+,chr15,24967029,+,15.406,0,3,FALSE,TRUE,TRUE,fee5cefd-a9a4-452f-952e-2985a3bc55c2,533,HighConfidence,-
H9_ONT_cDNA_Q10,PRDM10:APLP2,chr11,130002722,-,chr11,130109429,+,106.708,0,3,FALSE,TRUE,TRUE,7c516b63-95e7-4450-a0ad-392a4a507c7b,339,HighConfidence,-
H9_ONT_cDNA_Q10,OLA1:SCRN3,chr2,174223033,-,chr2,174422885,+,199.854,0,3,TRUE,TRUE,TRUE,17868939-3455-494f-b67b-a68954af1561,948,HighConfidence,-
H9_ONT_cDNA_Q10,ZFAND6:MTHFS,chr15,80059809,+,chr15,79845442,-,214.366,0,3,FALSE,TRUE,TRUE,e7008ff5-f66f-422c-90f2-64dcd9669128,506,HighConfidence,-
H9_ONT_cDNA_Q10,CSE1L:ZFAS1,chr20,49063344,+,chr20,49289045,+,225.706,0,3,FALSE,TRUE,FALSE,5fc1ff73-f470-4f93-bf07-0d17a2bb6c92,327,HighConfidence,-
H9_ONT_cDNA_Q10,WRN:PPP2CB,chr8,31033973,+,chr8,30799755,-,234.216,0,3,FALSE,TRUE,TRUE,908ccc1c-9e26-433b-96df-365c676be40f,280,HighConfidence,-
H9_ONT_cDNA_Q10,WDPCP:UGP2,chr2,63588197,-,chr2,63856306,+,268.105,0,3,TRUE,TRUE,TRUE,b4c9addf-a7ea-481a-9d6f-faecb96eed82,314,HighConfidence,-
H9_ONT_cDNA_Q10,HCCS-DT:MID1,chrX,11038603,-,chrX,10567603,-,471.002,0,3,FALSE,TRUE,FALSE,3b42a3e8-3998-4bd5-95cc-dedd82fae6f3,3383,HighConfidence,-
H9_ONT_cDNA_Q10,GCA:PSMD14,chr2,162344275,+,chr2,161367478,+,976.795,0,3,TRUE,TRUE,TRUE,5a8adf33-309b-43c9-a6ab-408ea230f59f,1022,HighConfidence,-
H9_ONT_cDNA_Q10,VWDE:PHF14,chr7,12403659,-,chr7,10990703,+,1412.96,0,3,FALSE,TRUE,TRUE,2a13f727-7f39-44b1-a12e-607f1758e49f,2210,HighConfidence,-
