sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
SKBR3_PacBio_Q10,KLHDC2:SNTB1,chr14,49782594,+,chr8,120548958,-,Inf,0,74,TRUE,TRUE,TRUE,SRR7346977.1073665,1509,HighConfidence,Yes
SKBR3_PacBio_Q10,PVT1:LINC00536,chr8,127989291,+,chr8,115977436,-,12011.85,0,47,FALSE,TRUE,TRUE,SRR7346977.1025137,965,HighConfidence,-
SKBR3_PacBio_Q10,PVT1:LINC00536,chr8,128070272,+,chr8,115977436,-,12092.836,0,36,FALSE,TRUE,TRUE,SRR7346977.1027136,1716,HighConfidence,-
SKBR3_PacBio_Q10,PVT1:LINC00536,chr8,128010444,+,chr8,115977436,-,12033.009,0,29,FALSE,TRUE,TRUE,SRR7346977.1094014,1621,HighConfidence,-
SKBR3_PacBio_Q10,TBC1D31:ZNF704,chr8,123084340,+,chr8,80821615,-,42262.724,0,21,TRUE,TRUE,TRUE,SRR7346977.1095824,1107,HighConfidence,Yes
SKBR3_PacBio_Q10,TRAM1:ENSG00000254180,chr8,70583164,-,chr8,90201050,-,19617.883,0,20,FALSE,TRUE,TRUE,SRR7346977.1038902,1565,HighConfidence,-
SKBR3_PacBio_Q10,SUMF1:LRRFIP2,chr3,4376330,-,chr3,37129149,-,32752.804,0,19,TRUE,TRUE,TRUE,SRR7346977.1025639,1052,HighConfidence,-
SKBR3_PacBio_Q10,ATAD5:TLK2,chr17,30879487,+,chr17,62573215,+,31693.729,0,18,FALSE,TRUE,FALSE,SRR7346977.1358997,634,HighConfidence,-
SKBR3_PacBio_Q10,DHX35:ITCH,chr20,38969214,+,chr20,34369394,+,4599.818,0,16,FALSE,TRUE,TRUE,SRR7346977.1019412,225,HighConfidence,Yes
SKBR3_PacBio_Q10,TRIO:FBXL7,chr5,14420021,+,chr5,15615983,+,1195.971,0,14,TRUE,TRUE,FALSE,SRR7346977.1484546,2541,HighConfidence,Yes
SKBR3_PacBio_Q10,CYTH1:EIF3H,chr17,78782202,-,chr8,116756019,-,Inf,0,14,FALSE,TRUE,TRUE,SRR7346977.1179709,127,HighConfidence,Yes
SKBR3_PacBio_Q10,TATDN1:GSDMB,chr8,124538928,-,chr17,39909924,-,Inf,0,10,FALSE,TRUE,TRUE,SRR7346977.1039061,2426,HighConfidence,Yes
SKBR3_PacBio_Q10,TAF2:COLEC10,chr8,119795532,-,chr8,119102348,+,693.185,0,9,FALSE,TRUE,TRUE,SRR7346977.1067250,2259,HighConfidence,-
SKBR3_PacBio_Q10,MECOM:LMCD1-AS1,chr3,169381187,-,chr3,7992302,-,161388.888,0,6,FALSE,TRUE,FALSE,SRR7346977.1572528,2560,HighConfidence,-
SKBR3_PacBio_Q10,TAF2:COLEC10,chr8,119793366,-,chr8,119102348,+,691.017,0,5,FALSE,TRUE,TRUE,SRR7346977.1195320,740,HighConfidence,-
SKBR3_PacBio_Q10,ATAD5:TLK2,chr17,30878096,+,chr17,62573215,+,31695.12,0,5,FALSE,TRUE,FALSE,SRR7346977.2387756,1864,HighConfidence,-
SKBR3_PacBio_Q10,SAMD12-AS1:COLEC10,chr8,118764384,+,chr8,119089680,+,325.298,0,4,FALSE,TRUE,FALSE,SRR7346977.1393351,2995,HighConfidence,-
SKBR3_PacBio_Q10,PBRM1:WDR82,chr3,52668498,-,chr3,52270809,-,397.691,0,4,FALSE,TRUE,FALSE,SRR7346977.1785475,1648,HighConfidence,Yes
SKBR3_PacBio_Q10,PVT1:LINC00536,chr8,128070361,+,chr8,115977436,-,12092.923,0,4,FALSE,TRUE,TRUE,SRR7346977.1554019,288,HighConfidence,-
SKBR3_PacBio_Q10,SUMF1:LRRFIP2,chr3,4410865,-,chr3,37129149,-,32718.283,0,4,TRUE,TRUE,TRUE,SRR7346977.1100020,2011,HighConfidence,-
SKBR3_PacBio_Q10,CYTH1:EIF3H,chr17,78782202,-,chr8,116726172,-,Inf,0,4,FALSE,TRUE,TRUE,SRR7346977.214715,1153,HighConfidence,Yes
SKBR3_PacBio_Q10,DEPDC1B:PDE4D,chr5,60686962,-,chr5,60185687,-,501.278,0,3,FALSE,TRUE,FALSE,SRR7346977.1083477,420,HighConfidence,Yes
SKBR3_PacBio_Q10,SAMD12:MRPL13,chr8,118580715,-,chr8,120443308,-,1862.59,0,3,TRUE,TRUE,TRUE,SRR7346977.158121,286,HighConfidence,-
SKBR3_PacBio_Q10,CYTH1:EIF3H,chr17,78782202,-,chr8,116658980,-,Inf,0,3,TRUE,TRUE,TRUE,SRR7346977.22842,974,HighConfidence,Yes
SKBR3_PacBio_Q10,SIRT6:STAP2,chr19,4180782,-,chr19,4330061,-,149.276,0,2,FALSE,TRUE,TRUE,SRR7346977.1341405,2242,HighConfidence,-
SKBR3_PacBio_Q10,VTI1A:LINC02935,chr10,112668998,+,chr10,112888735,+,219.739,0,2,FALSE,TRUE,FALSE,SRR7346977.1860871,731,HighConfidence,-
SKBR3_PacBio_Q10,TEX35:RALGPS2,chr1,178547163,+,chr1,178776682,+,229.525,0,2,FALSE,TRUE,FALSE,SRR7346977.1337715,686,HighConfidence,-
SKBR3_PacBio_Q10,ENSG00000227486:KLF8,chrX,56014961,+,chrX,56250231,+,235.273,0,2,FALSE,TRUE,FALSE,SRR7346977.1899381,4176,HighConfidence,-
SKBR3_PacBio_Q10,CEP152:COPS2,chr15,48741601,-,chr15,49128760,-,387.155,0,2,FALSE,TRUE,TRUE,SRR7346977.1907851,811,HighConfidence,-
SKBR3_PacBio_Q10,ACOT11:ENSG00000234810,chr1,54584862,+,chr1,55614921,+,1030.061,0,2,FALSE,TRUE,FALSE,SRR7346977.168742,4363,HighConfidence,-
SKBR3_PacBio_Q10,SAMD12:MRPL13,chr8,118439832,-,chr8,120443308,-,2003.473,0,2,FALSE,TRUE,TRUE,SRR7346977.614199,821,HighConfidence,-
SKBR3_PacBio_Q10,NCOA2:ENSG00000254180,chr8,70403700,-,chr8,90201050,-,19797.347,0,2,FALSE,TRUE,TRUE,SRR7346977.69748,164,HighConfidence,-
