ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF01	TIMMDC1	YWHAZ	1	chr3	119524034	chr8	100919878	0003e822-c004-402e-95cd-1a6ae6b72057
GF02	RPL10P16	RPL10P9	40	chr19	12643918	chr5	168616481	ef4ec346-da88-4584-be36-5bd1ac3b94b4,00042172-f520-45b2-8941-3ee0297cb27e,2bdbd5d1-7cb9-48e6-915b-d70f7f5dc830,2e5e066f-bee6-48ec-935c-a990152ee172,60959c46-b858-42be-88d3-0f08e6b720d6,610ab5bc-7faf-4abe-867e-bada40def093,8f632de3-12dc-4ef2-81a8-e8aa0cb9503d,989891a1-381d-455d-9cf6-b9e1260d139f,99b81516-5a16-4500-9e3a-87cfb87efa92,c4971c65-b834-4022-8ae8-2251e22d178b,e6242c8e-46c7-4353-bd81-73f04c4e9005,a3f7854d-72be-48ff-91c0-eefd515f3f80,5f989399-d716-44e0-aaca-eddf88fa506a,a77fc281-081d-4d93-9d72-08e14ac2efbe
GF03	TALDO1	CYBA	2	chr11	765007	chr16	88643294	00043c0e-71aa-48e8-8cd9-f06503e0e726
GF05	MT-ND4	MT-ND6	36	chrM	11823	chrM	14159	69bda9ed-b288-42db-adb1-4ede0e42a647,19cec0c7-7f3f-48c6-9ffd-a1847345eee6,350eaa2b-d262-4369-a938-6d8ab7d2bc00
GF06	JUP	KIFC2	1	chr17	41755251	chr8	144473911	0007f2d9-759b-4a54-94fa-a1927c2943f4
GF07	ENSG00000270149	TSEN15	1	chr1	161038956	chr1	184106145	0009541c-d293-4bb9-bdff-333e6f006967
GF08	EEF1A1	STEAP1B	674	chr6	73521030	chr7	22510846	fffe74f3-2b94-4436-b42e-e1f304c8a100,003b8bbf-a4ff-4d44-bd3b-eabee2363e3a,00ed9588-def3-4d67-97a9-6303e31288e2,01c169c7-67ed-4738-9a47-56541f4cb6da,02bff765-7fcc-49ad-9d95-e4944da98588,0319d971-1cbb-4aa9-a3d4-2cbe6f3c8987,0592b77a-c132-4c7b-91ea-764c14ed18fe,06474982-d0fe-4915-8a44-d399190cf90c,072e85e6-ff04-481e-87aa-cc4e808ace14,07458312-d1af-4221-bff5-60141e7d398f,077da736-42c0-41eb-9822-3897aab5c2e2,07ad381c-dbdf-4f34-b6f2-a90681562f60,08038f5a-03f6-40ec-9612-e46e65d651e7,09185333-93d8-408a-8614-66b4b8365504,092e2c71-5fcd-4ffb-95d7-fd73d055fa75,0b4b13a6-ceb4-4cd3-b27a-2af9e3402165,0b914469-fec6-44bd-b47c-769bee3efd79,0d872653-8ffe-49d4-8909-bce4323a1370,104993d4-fcb3-4f4f-9bc6-f4b7ee07fe49,1054a213-93ec-40d8-b1d7-b6f3f492c768,1402940d-fa66-4555-aeaf-4934375a2485,14c3ac10-817b-4f03-810b-ef67410e241b,152d035a-5e31-4bd5-a27c-3c42b3a0fb06,15444f26-2940-46bb-8bd1-32f5fbee70c6,15e70767-691e-41e1-9765-b499d19c8d8a,16538cdc-13be-4c0b-b7d9-2fccd61284d3,167d6906-d60f-41d3-9396-6d1aee588fc0,19072308-d0b0-46f9-9191-f5f997872b54,1aba3bf3-5064-4866-b676-7598caecab98,1b25f289-f32f-4997-84cc-2bc696d3799d,1ba71d2c-2b5f-467e-95ac-6954f107e90b,1bb110a8-bca3-4128-9f29-1d182a3e8d0f,1d00e2d2-d21e-4fbd-81bd-c5e200f6baf3,1e12c653-5e53-4aeb-89e3-dacbd23e24e5,2078a664-b926-4583-b2db-16062922428d,2236d413-d0a6-4e5e-80c2-455833a17296,24c1f1f6-29b4-4727-bbc7-7f392021b539,24d3a628-8a0f-4018-b1ef-2c31365a913a,250cbef5-956c-4e52-91c7-27a0c485e403,250fe6b6-0151-463e-b879-ac6de787e922,2599de8c-30eb-4b75-bb22-70fb882195c4,2666a105-4639-4852-98f2-f388cb5212ad,28816ec5-fbb3-48b2-b682-38b8e8092290,28bbf2d2-f296-4f4d-a6a2-1f64ebb56708,28cbca7d-86da-45c1-b1f1-b166ea1a266d,29f75f4a-b329-4a3e-b535-ea9687150f23,2a7db778-56bb-4e17-9712-fdc6414339cd,2b1c1b90-c347-41d5-aaee-eae104f589f5,2cddfb56-0b5e-48d9-83cc-8c32f7fc17e7,2e9ce1c9-e920-40d0-99fa-1e367575668d,3011bcd8-1257-4ef1-a27d-b089e48ce5b1,307884d5-0cc0-42b1-82c4-0f8b5bf887aa,30b64165-0513-432a-ae72-5ce8045b2cfa,33487b9a-f1fb-43be-be63-1d95b24c6107,33523238-a6e5-4115-84c8-e61654e1fede,35b3c75c-305a-4051-a37b-5443d87a165b,3772a566-8ab3-4ec2-9491-c0d7a82322cc,37e4f395-730e-46d4-87de-0a846ba6ff9a,391471d0-ffec-4db1-a862-48abfdff6eec,3d11b035-110e-4afa-8bcb-b83b7bb4ba78,3dc44d92-61ad-42bc-81c3-c0381d773f63,3dc744e6-9251-4553-bd35-a77c47a70748,40f79bfd-9b16-4816-a50f-8f500f69ac35,429fb914-b748-4b7e-a810-4bfdbfda38f0,43a2f3d9-475a-472b-8da8-41f5502528e3,43c04196-a0f6-41a8-82a6-9f68ce37e9cd,449eb44d-dd18-4944-88e1-421c5b5b0202,44a911ac-8bcd-4e4d-8bdf-325f3519a8a0,44cfaad6-d5e5-49ac-8e27-c9e5846c1577,44f5e4c9-9d75-4eb2-b53d-bc6a1da099fc,451000b1-a311-488a-aaf9-7d2c584d520d,46356c1d-7e88-495b-bb96-6bd568213b86,46aa8056-b995-454c-8a72-4343bfcd3155,46c1aa72-e250-4c4c-a765-b50f272fc6b3,46fe7aea-2611-4719-b6ec-586fd9b20888,47513a55-2b6f-4dd1-8809-c6c2ebaa0cda,47bdbfcc-96b7-44f2-ab0a-f6451611c67a,4825af35-4464-4ade-8ede-dc6562058663,4922fcaa-c031-4c58-a730-24d9f2515d47,493b732f-119e-4d09-9e11-ccf3d87be12a,4a24c27d-07a8-48f9-9d51-8f1af91a27ac,4acfd339-d8a6-4335-b3c5-6813bcd32913,4c08e41c-15ab-4359-bf99-d3915b016b63,4e3b4800-1c11-409c-9adc-dfe071bb8f1e,4ef1bb16-cdf4-48a5-991b-8d138ec1121e,511ea22b-524d-4f0f-841b-8dafd48ceee4,51b9fa85-1d02-408a-a825-cde4f4a5668e,529f5c0c-3eca-4624-be6d-b922a82d20ce,5354b6b5-ed90-4b3b-a563-439f0a20161a,53b6a556-9fa2-4672-a36c-18ee1791e3f0,54064666-ccff-468d-bd85-5424a5fff3dc,5491aaab-9165-4c4f-a698-b3998b619525,561663e3-9660-468e-81c4-217d9bdc89e5,59ce493a-7812-4c76-8a93-f55c06a0880a,5aed3c8d-be35-43fa-b0d8-6ca858cd173a,5b4a499f-9d97-48d4-9575-77142de91a57,5bbd1881-c809-422e-8b2b-b68c1dbdd4eb,5c34493f-aaff-4f3d-93d2-4feea28ab3da,5d9e5f56-5dcf-46d0-8690-a728c9937bd8,5ec86389-0776-4449-ad10-26a37e15a580,5fe09f71-d031-4fda-925c-9ac14218a2d6,6194f427-4643-4b23-8776-e0d6f4dd7b02,61d1f4e7-dfdc-47dd-970b-c052f88289f3,62026969-072d-44d2-a015-dbd158fbb421,62121a3c-dfd4-4b6d-b355-cb54509e1514,65bd9154-26ea-489f-b949-a002c12a9970,6638d9ce-4e28-4818-ae7f-3bf7c9aee147,67807a6a-0145-4ae8-b739-8bd49fa20045,6795eddd-27f4-453e-b7f7-f566f48abf5e,68950872-42bd-4c98-b295-de9c79591d80,68d47400-ad9d-42f9-9c4f-7cfb8825139c,6959172a-405a-40b9-beac-23ed6e955602,6a4d70b8-de85-445d-9a31-871d6266cd71,6b1580f3-e883-4408-8580-c9ee97d29313,6b25a82c-2b5b-457e-b565-3094dcbf9647,6b4e3406-705d-4da5-b483-680103bb3ca9,6b57ea7d-daef-4762-847f-623f3e691aad,6c8bb346-a10f-45ff-85e3-8881286f8be4,6cd793e4-4ae0-410a-8e6d-c5934cfee897,6d6a941e-33c1-40b8-9a0e-bc31faf4c068,6d7ef336-8b2b-4ae6-a5bb-52600aac3937,6e3fbe6c-cb7b-4913-8b47-76ef81050d09,7165bfb4-1bf0-4fd5-9efa-a390c61548af,72322bb9-db74-4a67-b740-eb90f89fd098,74a4e471-687e-4e81-83cd-6789af362bef,756d32cc-b8b3-4332-9eb8-f1e729b33320,761b5909-ed4c-426e-b2e8-4152d3e38cf9,76b8a6d2-9826-4d09-b535-557a7ac2e457,782ccebe-c10a-4597-bd4f-6a84d9185c05,78b292df-137c-4a21-bc61-9b590955b1b5,798f0653-5ab6-4f87-b231-c66c969c250c,7af6d5b8-c8ff-4505-b22f-220c3e2192d0,7b2bae63-cf46-4ac3-9fd7-e0c74d43a972,7b3ff2aa-6758-4dfa-bb49-be2cc77ba8a4,7babbc7b-42e4-4dee-a033-fb69757f827d,7be1d77b-411e-4070-b336-d51f99d3004c,7c4c99ae-1f20-4e43-8e92-72f4172ceb85,7c67221a-16c0-43e6-96f8-c529d196fbd1,7cc4795a-243c-4fc1-b2c9-6894652b3aa3,7d274f8a-cd3c-42ab-b4ac-8f3d09f251ed,7e34a570-004e-48f2-8bce-0a444dd6cada,7e65cbd6-676b-464c-9ad3-0abdcf5bd5e0,7f2051a6-4467-4c93-9126-7b8f12ea5238,801f3c47-475b-4d94-ab11-a44598033f59,80ed6159-855f-49e5-b305-07fad7c51eb1,812611e8-40f8-4a2a-b30a-6157389d65a5,81737284-efc2-4bd3-ac77-143976bcea97,8308736a-064e-4a19-8c57-9701e0a0f113,84551321-423d-4a16-ae7b-35fec389db66,84609935-091c-4f4a-8493-31a84ade4983,8477269f-c4e2-482c-991f-863094728de8,860a4011-d9ba-44ee-a326-98f445aa8860,87b998b6-832c-4ec6-8d8a-e3e11c040322,88047257-5d27-497d-971b-719087c535b2,89168aee-3f85-4997-b696-478d83c616e2,891e2d2a-8272-4118-9a91-3a230b61cf8a,8c2d324f-0915-4b15-9b97-9bb3e1b132d7,8c3908a9-92c8-4b8e-b8e4-59c5dbc3dd0f,8c49f822-702f-4317-bbdc-0748b78ff681,8e9b528e-fba3-440c-8961-86aa51d71d42,8f05e5d3-e19e-4f70-b31e-13857cdf9847,90507ab6-3bdc-4684-bc06-69d0bf1b7285,90ad378a-47b7-4ce2-80d3-e8a1fdb5fea9,9135f279-9653-40fd-ba1a-ebeb91125820,913de40a-693a-4c92-b70e-1e975901cecc,91b0f969-62a2-4237-898b-a6656f9b598c,92532d14-208f-4f1d-a21b-d59e069ac817,92fa9729-0ce2-4533-b706-f7369ec65986,944903da-8df3-4c97-8568-a14c9375177b,956fb7fd-b3b6-4cc4-94c3-e6ab4bcde19c,96f9d93b-d2ab-44d3-ae27-8e320ba38fe2,9774ea5e-dc01-4653-8012-2628751b813d,98d3cf39-130d-4b94-8fd7-8b7cf7b8fb33,98fd5a51-9dc8-41c8-99f9-80d746a1dfac,9986b206-536b-4b6c-b3c2-3c7e90d9f9d0,9af165bd-c53a-4f2b-bdaf-b42886922eeb,9af1e860-bddf-4505-b76d-7f22a79dc65a,9b6d3ec1-49e0-477f-916b-f15bb31ab499,9bdf5fe1-8f38-490a-b482-cf33173d80d6,9c083c43-2876-45d0-a920-2ab7b15c1b9b,9f1bc1dc-a16e-4de0-8a87-ad9d3baeec12,9ffdf625-1771-47d7-9b1f-473709302693,a1602d5b-6c1b-4ded-a48c-bf80d466a0d8,a2bb8f1c-601c-4bd8-bfeb-9d5dad1b1187,a446c970-684d-4311-b56f-79e93b5f7fbc,a5aaa54b-e23b-4196-b461-59dd2c964ea7,a60aed1a-443c-4ea3-93c6-9fce5ff1bd48,a6c5efbb-2294-4803-bc39-bd134cf52728,a6cf131a-bd4d-458c-815a-f142a236b648,a7726597-1f1c-497d-a618-b89e48cc77ad,a7a6dd62-c1b1-4e3f-a0c0-09b32e1bd26e,a9a995f8-d429-40a8-b68a-bafaaf764617,ab0b78e1-f32f-4920-ac2d-d4bf11dee6d5,ac34b949-d604-47ec-9921-b4adce4c6600,ae8010de-c363-4617-9388-063583949d2a,af370fcb-57b2-40e0-ba04-3056da35f59f,b01661f1-84d2-4acd-ba50-a165bc65bbde,b01f0960-c740-4883-b64b-ea4ef22b1a06,b03d43bb-b73b-4242-a5f5-5857c534e948,b081a533-9e43-4071-9cc6-9df1fbfafb5b,b0d87489-4c1e-4754-8638-940003b458c0,b1d09c81-1636-4c86-b23e-b5acbdc22907,b1d5b006-b68d-4502-ba8b-4972cc584453,b3854023-05a3-4523-9423-bd0cfc20652f,b3b96d6a-4d96-4019-84f7-a0777e8237e5,b53ca140-e310-41f9-a500-86c15b811cf0,b596018d-de0b-4f54-9bd0-38fd5762af11,b67a7397-f804-4bc6-bd58-8bae4417e420,b832abd6-d89f-4b58-844f-9c36cc130bd2,b9602fe8-e4db-41e3-9fe5-a1c69ef9c3bf,b988b4cb-6c3a-4f0a-a43c-56b1f0a1b98d,bafb0805-6178-4b24-9d9f-b4ac7bdda9f1,bb7987ae-74ff-4455-b745-5f11401c02fb,bca06999-4c7a-425a-8680-e2ea0bf90ee5,bf4d0a3d-97bf-458d-b559-988e88638a02,bf54e7c9-72b3-4ae4-aabd-0229e3c5f048,bf8725be-1635-4bbb-b2e5-f5ceb21732df,c0f56fbf-4b8f-491b-9555-98e9ceea4d8c,c26731ba-9658-493e-86d1-c4003bf56c7c,c3945006-cc5d-42ac-a89f-d5222426566c,c4e6c64c-c93d-415f-843a-c9ad31f5a546,c7a5ca57-56d2-481e-8475-b951f00fddcc,c7e08f73-244b-4058-8e78-fba89c80c624,c81a99af-59b2-4cf5-9dc4-aae13194e98b,c8c8a0b9-4633-411b-9f52-e1c28f08d0bb,cbec3728-6c2f-4ea4-85ef-683424c7b15c,cbfc3289-5690-4214-a23a-ad25d7326c29,d0140d14-a274-4c2e-899d-9ed9187b18e6,d0a33fee-26ad-4aa5-8fe2-ade1abfeda9c,d0ccf2af-2eda-4705-8e50-387ba9b7460b,d17a5be3-92e1-4e5d-81ec-c355f7a612f5,d23513cb-07fe-46b7-bf03-80a0e40b5699,d2e0c91d-8299-420c-b622-7e4cfc559a55,d3774606-a2c7-4313-a2fe-75becca11a99,d486b6bd-b6f2-4500-901b-c7429ead7733,d6af88c3-eb66-4a49-ab9f-a384d7e1c26f,d6c1df34-f80a-4b2d-b80e-d23e14af6c7c,d74e2f13-350b-4e86-8f41-6da7a4ae58ec,d7f26992-493f-45a6-9604-a9eeb4ebd1cb,d81144ee-9eb7-4c38-ba91-08d7d4845b58,d8a5d881-a5a9-47fa-adc2-c3b8e49de153,db42144e-b5e8-47dd-9343-6c468ebfbc60,db481b5b-cd71-440d-b31d-66611af92041,db71974d-417d-471f-a674-d82aa14f105b,db88573d-5a05-41bd-853b-5a4b5950678a,dc5bb98f-ef28-485c-b0d7-3549b164b301,ddb7aabd-5a7c-46b7-ad6d-ba387c0ed0b8,de99e08d-c907-4e90-b7e9-01714b87171e,e06963a3-34c6-4904-95df-d59527f09593,e1dddc97-2f1d-4c7a-b745-73ca8f5e26e3,e230d97f-c66d-43d9-b097-f95b31f70dae,e233f471-e705-4b01-ab12-f8226d23971a,e277419f-089a-4018-9084-19e0d1834a23,e2f7ce7b-f1b3-4fde-8be9-02d213357ee7,e322a20c-15c0-44ef-9944-99c155cca0a3,e32af747-359a-4602-a1ee-66697e4bdf06,e4107882-4099-4bb2-b361-97f64fae34c7,e49c42fd-7d6b-48d2-97eb-6f4c054030a6,e5430afd-a6c0-4812-86d6-6f588214c1fb,e5bc6279-fd03-4465-b78e-ee4ec895c150,e71cb20d-975f-409e-befb-19fa6acc73cb,e803a6a8-e98b-4722-a97d-c3bf75f60156,e8335900-723f-43cc-8e1f-f5f47f34bde1,e8f22f2c-71f9-4859-af4d-65720943e6c5,ea86d050-d872-4230-b479-1562b72519bf,ebfb0912-ce1b-4792-8426-b3fca5a49e1e,ec154aa3-f4d1-45a2-87ad-cf2b907975aa,eca93199-43c9-4717-8643-bc883abe041e,ed6c348c-c9c9-4173-a3c1-d048408c1803,ed87d53d-4c65-4d49-aa6c-cd9c6324d13f,ed9c7338-333b-417f-aee4-4a254b46cf00,ee7d7ba3-99e1-408b-9285-1c13f29d34ab,eeee5991-b23e-4e8e-af21-c9faa1451777,eff16204-e2e4-4f7a-841d-29c37f962da6,f188792f-42d1-4eda-a02b-09bb2e0e58bc,f1c9d86f-b331-44a1-a561-e1c287903443,f1cf0649-6f1a-431a-b488-e4b39b8b2dbd,f1fbd83d-c406-47c5-9354-aa4bcc60bf62,f20aa8bc-0ad2-4c77-a338-80a4123ce9d9,f46ea8f1-a9b4-4b20-90a8-63f236c7380d,f49088df-268b-4e1b-bc4a-ba37921edf74,f538aa4d-360d-4db1-8ab2-00901b810160,f560a41f-8cf1-4ad5-bf99-b54bbb99c229,f583ee64-f9b4-4a3e-8307-b50e3e510e2d,f66df04d-d0df-4b82-b28e-0ad266584d3a,f6ac6453-a0d1-4a3d-9e15-f80cbc9bddbe,f8a71f3e-5355-4369-b765-3ff8c4d26970,f8cbb44f-8601-40e3-8b80-67ebb7807a11,fa3e7b5e-74af-462c-9bd7-e9e1b1e76820,fa53a015-9d06-432e-901c-bbd10003810a,fb7cf25b-3842-416a-aefd-7bea88c95dd5,fb8ccba3-a9ea-4cda-a39e-e8368bf377d6,fef9d7ef-ae89-4778-a7bf-063680c7019c,ff159376-e79a-45b7-a0d8-838821295ae9,ed727ce8-515c-488c-be58-1aa82d35011c,a8f13143-6425-4c96-bc31-4812f8ddde51,d3453119-2c91-45ac-aaed-f827e82696a5
GF09	EEF1A1	STEAP1B	323	chr6	73518555	chr7	22511015	f6feebb8-9170-436e-9bba-530d5d834fc7,038365f2-0e60-46f1-8678-02b6fdf8cab2,18d1bd2d-9830-4e69-ad8c-b5bc9b036796,7c715d32-443b-472d-9801-4e0d72b3f4c4,850cab1b-f365-4b12-9f1a-9fe8839ec992,baaf11b9-6e09-4de8-a11f-54e3821ab53a,bea5a39c-9890-483a-8892-68556dc243dd,c5f4dc70-0c19-4f61-8867-2e28a6469f81,c5f62250-4762-4598-938a-6ad0776bf8d4,2704f63b-1528-4d17-b9c7-a54c54263abf,018ee0f5-af9e-4329-b731-65d62ca08125,0eab558c-423e-4a51-b9b4-36998f78eb72,123ddaa7-8838-4660-ba3e-68bbcf165aed,15481f8e-9b94-416b-8a8c-356760e1acde,2375d796-277c-4168-808b-256cea12f364,2671a311-34c0-45b0-b5fb-4cc87e43bc66,294797d6-c914-4288-96ad-7c9bc40b98e6,33ee7893-edf3-48ff-beb1-38b15024ff9e,345ebd7e-23aa-40ef-bb09-e3c4d9112406,3889c26c-8f7e-422d-9438-a8b1838db76a,3a9aaf95-d9ff-4e9a-adb2-a052b2b97083,3af4b857-d4e1-44e5-bff0-f9708362e95e,3deff238-83ae-4bf8-8ba7-c015a55566a1,4152266c-c8d2-46cb-99de-0ec6902dd2f7,4d0c7dde-56d3-4a8b-918b-5c2dd3cdb419,5148e2aa-1bce-47da-ab68-2a5d7a92b31a,5716f0d6-42ac-4427-bfcf-20041a59812d,57818efe-7cfa-4abf-8018-070c3aaa8817,58b75b86-90e1-44cd-9e9b-f6f03582ee65,5f67ba2d-8df7-42f7-918d-53a36a2c1271,6046c9cd-9815-4ac3-a3f0-0f33d9ea6d2e,6331676d-afbf-4bfb-bf11-a8a2c24b0c29,65b3636b-9124-4818-ac2e-f38332d0a9ad,697de357-3ba5-49d6-8a5e-e0a3353041d6,6b5c3ace-11a4-4e71-a9a0-fc264dfad1e6,7026b16d-ca2b-46f9-b6ae-d1f395d55417,73f2c368-4981-42f5-9d46-dc7df851d75c,7c633326-fb3c-412b-9b8c-3c3ff8b94aaf,7e341a07-d806-49f7-9d2b-70f503cca94b,81a8104e-319e-446c-9667-9c53c72e48e8,8f615014-89c5-404f-b241-7440d1d526bc,907df59a-3e1b-4840-8d22-49b8ed12f0af,929d580b-fa9c-4319-b28d-b5e514ce2d81,96978b4c-528e-4ace-90ff-a4f5fe4da8bc,9cb2b0fa-7ee8-452e-aa89-eaff1a57c88c,9d2ad7e4-722e-4c74-b6c4-50a90cbeab87,a243bcdd-4520-4f6d-990d-9752e61a123f,a7bd802f-8176-4739-9836-d3844e3958de,ab9c61ba-08c5-417d-a919-9bfc07213936,b010ad87-2e3d-4260-9625-70852aba7493,b7e51692-ddc5-4537-b092-8503ebac361e,c312acfd-1f7a-4c9e-8126-04e6b14cbda9,c76cf52f-fd6e-4d1a-95a7-0f6a31d676b2,c85226a2-0754-411b-b435-c170babba181,c87da3c6-e59c-4e81-8e8e-29c4dccd4a64,cd2b3ab8-8069-440d-9c3e-ad522d012c08,ce2b2199-e498-41df-9d00-015712888169,d5c8d390-6fa3-450f-90ce-edab7f22dbd1,d79a779d-2f91-4a6f-b0b3-1920c644d642,da5d74da-4653-46b6-b205-b7deaa2c0b02,dcbf68f0-d50c-4d48-ae90-91f52b37ecac,df635c67-a959-4145-8eb3-1e3f8421da3b,e54e9629-0f6e-4060-9f5f-4fad78e4a21b,e622ed3c-63c9-471b-b19b-9fd4060ba6fa,e967624d-0ba1-4399-a280-3ae026947e1b,eb252070-e432-4f81-ac9c-86bb84fa5f78,ef23ab2c-0430-4d1b-bed6-57efbfe45922,ef956113-67a3-4403-aa21-00b542adf0f1,f1d442d9-f7ef-4dc7-827f-4552a0b9ab0b
GF010	EEF1A1	STEAP1B	3	chr6	73519958	chr7	22580110	ca6436c5-2abb-447e-b885-c3612bd15966,08e576db-a902-4274-91ad-76da24c35317,6f27a326-76bc-4899-ac8a-22921ffd4fe6
GF011	CFDP1	CENPM	1	chr16	75433462	chr22	41938741	000c86e3-2a8c-465c-bc98-6b4e2feb989d
