#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
LMO7--UCHL3	4	LMO7	8197	chr13:75636726:+	UCHL3	57792	chr13:75604769:+	ONLY_REF_SPLICE	ea8d4816-e02e-4293-8aeb-887ee4f6971d,078bf191-efdd-4f99-98ed-8bcc4938a291,bdd40f64-ed4f-47dd-a79f-6505b11c9165,d05be775-2522-4b20-8153-a7931e57ce0f	3.902	["Klijn_CellLines","TumorFusionsNAR2018","DepMap2023","INTRACHROMOSOMAL[chr13:0.01Mb]","LOCAL_REARRANGEMENT:+:[14414]"]	3.902	1.0	True
POLH--UBA3	1	POLH	4300	chr6:43587489:+	UBA3	31845	chr3:69057309:-	ONLY_REF_SPLICE	61a1c65e-4f18-4ae5-abcf-1e1b7a7e6220	0.975	["INTERCHROMOSOMAL[chr6--chr3]"]	0.975	1.0	True
PON2--ZNF207	1	PON2	5776	chr7:95416242:-	ZNF207	28110	chr17:32369295:+	ONLY_REF_SPLICE	e561ecb3-41dd-435d-a650-f91b3a25caf1	0.975	["INTERCHROMOSOMAL[chr7--chr17]"]	0.975	1.0	True
PRPF39--TYMS	1	PRPF39	3151	chr14:45096228:+	TYMS	25078	chr18:672860:+	ONLY_REF_SPLICE	95e01523-e50a-4142-a446-22be3572a782	0.975	["INTERCHROMOSOMAL[chr14--chr18]"]	0.975	1.0	True
PTPRN2--FOXJ3	1	PTPRN2	12877	chr7:158081298:-	FOXJ3	45177	chr1:42189404:-	ONLY_REF_SPLICE	53052f67-449f-4aaa-880e-1841cdb0b26f	0.975	["INTERCHROMOSOMAL[chr7--chr1]"]	0.975	1.0	True
PUS7--SRPK2	1	PUS7	1220	chr7:105522052:-	SRPK2	32286	chr7:105203785:-	ONLY_REF_SPLICE	a20a46c2-b07f-46f7-9dc8-c7abbb87658c	0.975	["DepMap2023","TCGA_StarF2019","CCLE_StarF2019","INTRACHROMOSOMAL[chr7:0.04Mb]","NEIGHBORS[40353]"]	0.975	1.0	True
RABGEF1--YY1	1	RABGEF1	1095	chr7:66682258:+	YY1	32272	chr14:100275943:+	ONLY_REF_SPLICE	cf2ca4cb-247f-4d7b-ad38-0a331b832bb4	0.975	["INTERCHROMOSOMAL[chr7--chr14]"]	0.975	1.0	True
RBBP8--ZCCHC7	1	RBBP8	14197	chr18:22968918:+	ZCCHC7	42394	chr9:37302188:+	ONLY_REF_SPLICE	694dffd6-7583-43e0-9df2-c65ec7d18303	0.975	["INTERCHROMOSOMAL[chr18--chr9]"]	0.975	1.0	True
RBM6--RSRC2	1	RBM6	3185	chr3:49962685:+	RSRC2	43292	chr12:122514728:-	ONLY_REF_SPLICE	91cf740b-aa0a-4c05-b0fe-028fc226263e	0.975	["INTERCHROMOSOMAL[chr3--chr12]"]	0.975	1.0	True
RCC1--GLG1	1	RCC1	2916	chr1:28508901:+	GLG1	38290	chr16:74470073:-	ONLY_REF_SPLICE	a4b03ca0-cb3d-4c61-9a3a-94d217255837	0.975	["INTERCHROMOSOMAL[chr1--chr16]"]	0.975	1.0	True
