sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
HEYA8_ONT_cDNA_Q10,CCDC32:CBX3,chr15,40561981,-,chr7,26201745,+,Inf,0,50,FALSE,TRUE,TRUE,05c19728-6403-4207-b529-436b857815ad,450,HighConfidence,Yes
HEYA8_ONT_cDNA_Q10,ENSG00000251314:CAST,chr5,96379652,+,chr5,96675539,+,295.892,0,27,FALSE,TRUE,FALSE,0acc6d6f-799b-4c43-a499-86ca8dae13a3,640,HighConfidence,-
HEYA8_ONT_cDNA_Q10,SLC38A4-AS1:ENSG00000272369,chr12,46387972,+,chr12,46652390,+,264.427,0,25,FALSE,TRUE,FALSE,10952af2-6d3a-41b5-847b-6b7fd75d1976,287,HighConfidence,-
HEYA8_ONT_cDNA_Q10,PSMA3:LINC01303,chr14,58252242,+,chr14,61556552,-,3304.312,0,21,FALSE,TRUE,TRUE,01bb485d-85e9-499c-b73d-3494f328cd51,366,HighConfidence,-
HEYA8_ONT_cDNA_Q10,ENSG00000224905:ANKRD20A11P,chr21,14027597,+,chr21,13970110,-,57.488,0,10,FALSE,TRUE,TRUE,335876a6-f2ea-4b15-bb99-00e85f007c34,278,HighConfidence,-
HEYA8_ONT_cDNA_Q10,DNAJC25-GNG10:UGCG,chr9,111666946,+,chr9,111914605,+,247.661,0,9,FALSE,TRUE,FALSE,30aad320-cd25-41ff-850f-941d24400f9a,341,HighConfidence,-
HEYA8_ONT_cDNA_Q10,ZNF519:ANKRD20A11P,chr18,14132275,-,chr21,13970110,-,Inf,0,9,FALSE,TRUE,TRUE,02a77497-efaa-4615-85aa-157cd75f4581,905,HighConfidence,-
HEYA8_ONT_cDNA_Q10,COP1-DT:PAPPA2,chr1,176348734,+,chr1,176555407,+,206.676,0,7,FALSE,TRUE,FALSE,28d0dd96-ed81-4866-8a36-b31b9e1919df,2730,HighConfidence,-
HEYA8_ONT_cDNA_Q10,CCDC127:CYFIP2,chr5,216729,-,chr5,157314344,+,157097.618,0,7,FALSE,TRUE,TRUE,5859a8e0-19ae-439c-a263-58b6777c152a,218,HighConfidence,-
HEYA8_ONT_cDNA_Q10,NUTM2A-AS1:MINPP1,chr10,87326630,-,chr10,87508336,+,181.704,0,6,FALSE,TRUE,TRUE,7f193f3c-49b2-4650-8b17-9f6e3d60fa4c,398,HighConfidence,-
