#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
BAG6--SLC44A4	13	BAG6	2050	chr6:31651656:-	SLC44A4	25651	chr6:31865784:-	ONLY_REF_SPLICE	12246451-a36c-4e25-8503-916de0e8c4a4,f0a98b82-f4b2-42bc-937d-b3c77bacb528,776f07d7-81ad-4697-912b-5ccc5b5598fe,cf21b1af-10f0-48f2-98fe-d468af688b89,4617f9a3-32a7-4b93-ab70-b97d57978c05,a6825f7d-1c25-4d62-a4b5-1f40a78efa0d,0aa48e6a-bc83-4a93-9617-57b21bb020bf,fa6680ec-b335-455c-a00b-3b3240b0276a,946e6bd6-e84b-4130-bf9a-ad5957dd1e1f,15c6a421-e79d-4389-8983-9bfa0f3c9ef8,3783c6a1-0d5e-4d2b-8958-164aff95d304,2ebd560d-62d6-4f97-8f22-1b4f8d74c362,56db0fe8-a60c-48e4-acd3-44cf573a2eb6	22.473	["DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr6:0.21Mb]"]	22.473	1.0	True
ENSG00000291203--PSPHP1	2	ENSG00000291203	1326	chr4:119455087:+	PSPHP1	30776	chr7:55773181:+	INCL_NON_REF_SPLICE	8be3be94-f4f9-49c4-a29c-cddbfee972a1,e8c8c504-4039-4744-8619-524c7464a345	3.457	[]	3.457	1.0	True
MARS1--BTF3	1	MARS1	10946	chr12:57504299:+	BTF3	24256	chr5:73502488:+	ONLY_REF_SPLICE	96facdd9-7591-4127-92a3-52d78dec662e	1.729	[]	1.729	1.0	True
MGC4859--PHF14	1	MGC4859	2159	chr7:10561482:-	PHF14	39166	chr7:11169416:+	ONLY_REF_SPLICE	02fae53b-f6f8-43c3-8ed2-920073d21930	1.729	[]	1.729	1.0	True
MINPP1--DGLUCY	1	MINPP1	3379	chr10:87508533:+	DGLUCY	44152	chr14:91224684:+	ONLY_REF_SPLICE	d09bda23-c486-4981-bd6e-d078238d1fed	1.729	[]	1.729	1.0	True
NDUFS7--KEAP1	1	NDUFS7	4952	chr19:1388938:+	KEAP1	22264	chr19:10486818:-	ONLY_REF_SPLICE	a983c5c2-7d9b-4564-a28f-9acc54cb85d0	1.729	["INTRACHROMOSOMAL[chr19:9.09Mb]"]	1.729	1.0	True
NDUFV2-AS1--GNAS	1	NDUFV2-AS1	1282	chr18:9136364:-	GNAS	26085	chr20:58895612:+	ONLY_REF_SPLICE	5ef8873c-bddd-47bc-a409-394a40d0c07a	1.729	["INTERCHROMOSOMAL[chr18--chr20]"]	1.729	1.0	True
PEX11B--NAP1L1	1	PEX11B	2901	chr1:145916817:-	NAP1L1	21232	chr12:76053110:-	ONLY_REF_SPLICE	aebb023f-4c7f-4eb5-a4cb-f290d9af0a6d	1.729	["INTERCHROMOSOMAL[chr1--chr12]"]	1.729	1.0	True
PICALM--UQCC2	1	PICALM	2232	chr11:86068651:-	UQCC2	31805	chr6:33701420:-	ONLY_REF_SPLICE	b6a6a0d1-a36a-4057-8190-3d12bad0229c	1.729	["INTERCHROMOSOMAL[chr11--chr6]"]	1.729	1.0	True
PPIP5K2--USP10	1	PPIP5K2	1340	chr5:103120488:+	USP10	58731	chr16:84745613:+	ONLY_REF_SPLICE	a56a6f1b-9798-4971-bc53-096423155ae1	1.729	["INTERCHROMOSOMAL[chr5--chr16]"]	1.729	1.0	True
PSPH--MRPS17	1	PSPH	1467	chr7:56051138:-	MRPS17	17671	chr7:55954909:+	ONLY_REF_SPLICE	75e09d91-bb88-4031-b165-921b2cf17423	1.729	["INTRACHROMOSOMAL[chr7:0.05Mb]","LOCAL_INVERSION:-:+:[54550]"]	1.729	1.0	True
PXMP2--BAG1	1	PXMP2	4603	chr12:132701369:+	BAG1	15478	chr9:33259033:-	ONLY_REF_SPLICE	9006d4a8-9db3-4263-a281-cc29174ca60a	1.729	["INTERCHROMOSOMAL[chr12--chr9]"]	1.729	1.0	True
RAD51B--ZCCHC7	1	RAD51B	11638	chr14:67887204:+	ZCCHC7	48186	chr9:37302188:+	ONLY_REF_SPLICE	efdff1ca-071d-4704-bc25-936a16d9d6b0	1.729	["INTERCHROMOSOMAL[chr14--chr9]"]	1.729	1.0	True
RBCK1--ENSG00000267243	1	RBCK1	7313	chr20:419731:+	ENSG00000267243	30032	chr19:28437134:-	ONLY_REF_SPLICE	37712442-00c5-4733-be3d-41b9ef6c85be	1.729	[]	1.729	1.0	True
RBM33-DT--MRPL52	1	RBM33-DT	2738	chr7:155643468:-	MRPL52	11829	chr14:22833418:+	ONLY_REF_SPLICE	b7330f40-ecb4-4bb7-982c-066e8f87a674	1.729	[]	1.729	1.0	True
RCC1--CLUAP1	1	RCC1	2920	chr1:28508905:+	CLUAP1	22099	chr16:3506331:+	ONLY_REF_SPLICE	6b3e4a4b-97aa-4eb5-aa3d-3dffb7256816	1.729	["INTERCHROMOSOMAL[chr1--chr16]"]	1.729	1.0	True
RCC1--PEX6	1	RCC1	2920	chr1:28508905:+	PEX6	20791	chr6:42975038:-	ONLY_REF_SPLICE	02227c22-f9a9-402e-8046-2774355bc2af	1.729	["INTERCHROMOSOMAL[chr1--chr6]"]	1.729	1.0	True
RUFY3--PPA2	1	RUFY3	2091	chr4:70705294:+	PPA2	34694	chr4:105456745:-	ONLY_REF_SPLICE	32749d4a-a142-408c-a3de-a3f2d4aa4177	1.729	["INTRACHROMOSOMAL[chr4:34.56Mb]"]	1.729	1.0	True
SBF2--SKP1	1	SBF2	3685	chr11:10193902:-	SKP1	81869	chr5:134174022:-	ONLY_REF_SPLICE	bedcd332-7d24-4e69-94fd-c59f2015282e	1.729	["INTERCHROMOSOMAL[chr11--chr5]"]	1.729	1.0	True
SENP1--SND1	1	SENP1	16871	chr12:48063710:-	SND1	51906	chr7:127929188:+	ONLY_REF_SPLICE	ec636a17-d26e-4aba-bba0-80461a7c59fa	1.729	["INTERCHROMOSOMAL[chr12--chr7]"]	1.729	1.0	True
SPAG5--N4BP2L2	1	SPAG5	3930	chr17:28591698:-	N4BP2L2	27746	chr13:32521449:-	ONLY_REF_SPLICE	9ff869b9-1ff1-4017-848c-55b7a716674e	1.729	["INTERCHROMOSOMAL[chr17--chr13]"]	1.729	1.0	True
SRA1--GNAS	1	SRA1	2734	chr5:140551982:-	GNAS	26556	chr20:58895612:+	ONLY_REF_SPLICE	1bae104a-bce4-4a7c-a2dd-e082b964ed0b	1.729	["INTERCHROMOSOMAL[chr5--chr20]"]	1.729	1.0	True
SUMF2--CFAP119	1	SUMF2	4765	chr7:56074218:+	CFAP119	16388	chr16:30759101:-	ONLY_REF_SPLICE	6aa2e8e9-88c6-4d42-adbb-ebe4b598cb92	1.729	[]	1.729	1.0	True
SYMPK--LINC02780	1	SYMPK	12383	chr19:45838461:-	LINC02780	39415	chr1:4012231:+	ONLY_REF_SPLICE	59382eff-3738-4a14-a21f-6ec5b53e4c33	1.729	[]	1.729	1.0	True
THAP9--EZH2	1	THAP9	6700	chr4:82907935:+	EZH2	31908	chr7:148815546:-	ONLY_REF_SPLICE	985cdb69-28c3-4914-8cd3-8cdc272a0529	1.729	["INTERCHROMOSOMAL[chr4--chr7]"]	1.729	1.0	True
TJAP1--MFSD10	1	TJAP1	10663	chr6:43503706:+	MFSD10	17404	chr4:2933944:-	ONLY_REF_SPLICE	06b1941f-2176-4023-a6c8-137680eccade	1.729	["INTERCHROMOSOMAL[chr6--chr4]"]	1.729	1.0	True
TMEM106B--RNPC3	1	TMEM106B	8476	chr7:12230438:+	RNPC3	41091	chr1:103555034:+	ONLY_REF_SPLICE	22e41b51-246f-4a65-850a-f8288c3deaab	1.729	["INTERCHROMOSOMAL[chr7--chr1]"]	1.729	1.0	True
TMEM273--MPV17	1	TMEM273	4600	chr10:49166869:-	MPV17	21264	chr2:27313109:-	ONLY_REF_SPLICE	683f859b-b6ba-4409-967f-3a0c0b13d703	1.729	[]	1.729	1.0	True
TTC14--MIR223HG	1	TTC14	6559	chr3:180607765:+	MIR223HG	19087	chrX:66020127:+	ONLY_REF_SPLICE	a8687fc2-42ad-4950-bf51-837be55c193c	1.729	[]	1.729	1.0	True
TXNRD1--ENSG00000289609	1	TXNRD1	27532	chr12:104339273:+	ENSG00000289609	35782	chr6:43998951:+	ONLY_REF_SPLICE	9bc0934c-76d5-47ea-9cf3-98981a3500ed	1.729	[]	1.729	1.0	True
UBA2--CALCOCO2	1	UBA2	7857	chr19:34438766:+	CALCOCO2	32519	chr17:48848064:+	ONLY_REF_SPLICE	6e15b55c-eef7-4ae2-8b33-fb0c5b6696c5	1.729	["INTERCHROMOSOMAL[chr19--chr17]"]	1.729	1.0	True
LCORL--IDH1	1	LCORL	5559	chr4:17961903:-	IDH1	36674	chr2:208253959:-	ONLY_REF_SPLICE	88350fe8-daac-430a-bad8-28cd59d8a879	1.729	["INTERCHROMOSOMAL[chr4--chr2]"]	1.729	1.0	True
LBR--H3-3A	1	LBR	1972	chr1:225427954:-	H3-3A	23644	chr1:226064329:+	ONLY_REF_SPLICE	3aadd57d-9dd2-4828-b3c4-dc1001a4ca27	1.729	[]	1.729	1.0	True
KLHL13--HS3ST3B1	1	KLHL13	2907	chrX:118028424:-	HS3ST3B1	22907	chr17:14345028:+	ONLY_REF_SPLICE	452e64ac-8e4a-432b-8f27-a27235b3a995	1.729	["INTERCHROMOSOMAL[chrX--chr17]"]	1.729	1.0	True
CTSC--LINC02757	1	CTSC	6936	chr11:88334937:-	LINC02757	44199	chr11:76608238:-	ONLY_REF_SPLICE	51222522-b1ba-4b72-aaf0-f27fbb181931	1.729	[]	1.729	1.0	True
ADGRE2--MAP1S	1	ADGRE2	10636	chr19:14764433:-	MAP1S	36932	chr19:17733193:+	ONLY_REF_SPLICE	d8265c7b-933c-4eda-a2e2-00ae19e95837	1.729	[]	1.729	1.0	True
AFG3L2--PDIA6	1	AFG3L2	11669	chr18:12351306:-	PDIA6	41503	chr2:10788769:-	ONLY_REF_SPLICE	1c844ce0-b50a-433a-b453-415aa00bec6b	1.729	["INTERCHROMOSOMAL[chr18--chr2]"]	1.729	1.0	True
ANGPT1--EIF3E	1	ANGPT1	6989	chr8:107321896:-	EIF3E	70165	chr8:108203503:-	ONLY_REF_SPLICE	4fb67658-0e30-475e-b7d5-2385a57b09ad	1.729	["INTRACHROMOSOMAL[chr8:0.70Mb]"]	1.729	1.0	True
ATP2B4--GNAS	1	ATP2B4	1388	chr1:203627219:+	GNAS	57258	chr20:58903672:+	ONLY_REF_SPLICE	b794e2d5-b346-48df-b71a-2daa570f5f57	1.729	["INTERCHROMOSOMAL[chr1--chr20]"]	1.729	1.0	True
BLTP3A--TMED2	1	BLTP3A	16355	chr6:34871925:+	TMED2	27159	chr12:123586747:+	ONLY_REF_SPLICE	d6eb6502-53a8-4342-99b8-cf48d726207a	1.729	[]	1.729	1.0	True
C16orf87--ORC6	1	C16orf87	2643	chr16:46824386:-	ORC6	18650	chr16:46693093:+	ONLY_REF_SPLICE	4ae1e41a-f596-419b-b65d-32b013d0cc98	1.729	["DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr16:0.10Mb]","LOCAL_INVERSION:-:+:[98213]"]	1.729	1.0	True
C16orf87--ORC6	1	C16orf87	2643	chr16:46824386:-	ORC6	21119	chr16:46695562:+	ONLY_REF_SPLICE	2b69b3a0-2bce-4783-b3c3-f6686092ebcc	1.729	["DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr16:0.10Mb]","LOCAL_INVERSION:-:+:[98213]"]	1.729	1.0	True
CALM1--B2M	1	CALM1	1732	chr14:90397233:+	B2M	16413	chr15:44715423:+	ONLY_REF_SPLICE	1efdbfb8-6119-48ee-b37b-912069a93016	1.729	["INTERCHROMOSOMAL[chr14--chr15]"]	1.729	1.0	True
