sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
A549_ONT_dcDNA_Q10,ACACA:PLXDC1,chr17,37330173,-,chr17,39109391,-,1779.203,0,2,FALSE,TRUE,TRUE,4d6e0b37-e545-40c3-b362-b0ecd0228246,471,HighConfidence,-
A549_ONT_dcDNA_Q10,SCAMP2:WDR72,chr15,74845473,-,chr15,53706074,-,21139.402,0,2,TRUE,TRUE,FALSE,dd681d7b-3694-4f44-bde1-9364640b5d51,989,HighConfidence,Yes
A549_ONT_dcDNA_Q10,ENSG00000257322:RBFOX2,chr12,93083710,-,chr22,35838650,-,Inf,0,57,NA,FALSE,TRUE,04d22554-c394-4d1e-87b8-608e54713c19,482,LowConfidence,-
A549_ONT_dcDNA_Q10,DGKI:RBFOX2,chr7,137513825,-,chr22,35838650,-,Inf,0,37,NA,FALSE,TRUE,0949a688-9cbc-443b-aeee-645c7cad7925,458,LowConfidence,-
A549_ONT_dcDNA_Q10,IL6ST:RBFOX2,chr5,55944622,-,chr22,35838650,-,Inf,0,26,NA,FALSE,TRUE,01429080-9f4a-41ab-8519-c0755bed328e,478,LowConfidence,-
A549_ONT_dcDNA_Q10,DGKI:ENSG00000257322,chr7,137513866,-,chr12,93083710,-,Inf,0,24,NA,FALSE,TRUE,107cf19a-5a87-491b-aa70-7af066319d58,484,LowConfidence,-
A549_ONT_dcDNA_Q10,IL6ST:ENSG00000257322,chr5,55944663,-,chr12,93083710,-,Inf,0,17,NA,FALSE,TRUE,2b51e922-451f-4a7b-bbe7-5cf5b3212c98,487,LowConfidence,-
A549_ONT_dcDNA_Q10,DGKI:ENSG00000257322,chr7,137513825,-,chr12,93083668,-,Inf,0,15,NA,FALSE,TRUE,3c36969e-4d18-43bc-a227-cc050c99fc86,501,LowConfidence,-
A549_ONT_dcDNA_Q10,DGKI:IL6ST,chr7,137513824,-,chr5,55944664,-,Inf,0,15,NA,FALSE,TRUE,89335501-2f40-4486-a742-03f0eee4b8f9,470,LowConfidence,-
A549_ONT_dcDNA_Q10,IL6ST:RBFOX2,chr5,55944663,-,chr22,35838691,-,Inf,0,12,NA,FALSE,TRUE,068b1579-5998-4ac0-972b-63346d22257d,483,LowConfidence,-
A549_ONT_dcDNA_Q10,DGKI:RBFOX2,chr7,137513866,-,chr22,35838691,-,Inf,0,11,NA,FALSE,TRUE,37beab4e-a940-419e-a758-41ed4b46e9be,507,LowConfidence,-
A549_ONT_dcDNA_Q10,IL6ST:DGKI,chr5,55944622,-,chr7,137513866,-,Inf,0,9,NA,FALSE,TRUE,17f1b212-f151-4be1-8994-c6e2d80f6398,480,LowConfidence,-
A549_ONT_dcDNA_Q10,RBFOX2:ENSG00000257322,chr22,35838691,-,chr12,93083668,-,Inf,0,7,NA,FALSE,TRUE,44e4d564-b113-46e7-a5b4-fd502c3f8b62,492,LowConfidence,-
A549_ONT_dcDNA_Q10,IL6ST:ENSG00000257322,chr5,55944622,-,chr12,93083668,-,Inf,0,7,NA,FALSE,TRUE,31e3dad9-4faf-449e-802f-f00880fce18e,477,LowConfidence,-
A549_ONT_dcDNA_Q10,IL6ST:RPL41,chr5,55944614,-,chr12,56117586,+,Inf,0,6,NA,FALSE,TRUE,094ae806-a512-4265-ac32-4a7326892cc2,487,LowConfidence,-
A549_ONT_dcDNA_Q10,ENSG00000257322:RPL41,chr12,93083677,-,chr12,56117514,+,36966.163,0,5,NA,FALSE,TRUE,9eb17245-746b-4a77-82b5-d83c96936c39,442,LowConfidence,-
A549_ONT_dcDNA_Q10,RPL41:RBFOX2,chr12,56116593,+,chr22,35838644,-,Inf,0,4,NA,FALSE,TRUE,ca8a3521-66ee-4f3d-9c7b-934307b1e161,536,LowConfidence,-
A549_ONT_dcDNA_Q10,ENSG00000291063:ENSG00000257322,chr17,31034648,+,chr12,93083710,-,Inf,0,3,NA,FALSE,TRUE,755ce38a-0e0a-4d00-8eb0-7644231acf4e,475,LowConfidence,-
A549_ONT_dcDNA_Q10,ENSG00000257322:RBFOX2,chr12,93083711,-,chr22,35838524,-,Inf,0,2,NA,FALSE,TRUE,44785816-7f8b-48ca-8361-7cc4f55bb954,488,LowConfidence,-
A549_ONT_dcDNA_Q10,IL6ST:ENSG00000257322,chr5,55944760,-,chr12,93083711,-,Inf,0,2,NA,FALSE,TRUE,82107e33-ee02-4b30-8f07-11a2bd78a876,482,LowConfidence,-
A549_ONT_dcDNA_Q10,DGKI:RPL41,chr7,137513826,-,chr12,56117497,+,Inf,0,2,NA,FALSE,TRUE,b6621bdd-7456-45bd-9a21-4ce31e18f348,485,LowConfidence,-
A549_ONT_dcDNA_Q10,GFPT2:ENSG00000248367,chr5,180330700,-,chr5,180295035,+,35.662,0,1,FALSE,TRUE,TRUE,fec326a2-2e94-4862-89c0-33e2bf429100,288,PotentialTransSplicing,-
