#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
ATG10--RPS6	39	ATG10	19239	chr9:19382242:-	RPS6	23001	chr9:19378480:-	INCL_NON_REF_SPLICE	530639f9-cffa-4887-95af-fbb2156bf557,b964f5d2-5877-4612-b7dd-69a4efabb511,e87c8882-cb10-49a6-9d2d-19499ebf79b6,6a5ca66a-e359-46be-be52-96c4dfd550cf,4b9c6bcb-1f5c-4c64-85bb-95d6e5b818d9,3668019a-592b-4d1e-ab92-5e1e907f802d,ed014d9c-d5b7-471a-a489-bf1a82573bc6,093ed071-552f-42c5-b956-a7dd3bf41447,545f0670-e57e-4b78-9bd0-65ea467b0cde,2d4f18e8-2bfb-42b6-9b77-4f5f759b5d16,a3486ba3-4ba1-476b-aa83-cb53c80a7ead,8d890caf-1a22-45e8-9ad1-3d677ba06f9d,f0601c9c-07e0-45b4-acc9-0e43b32985f6,b0bd1f28-0ccf-4e95-9c74-11efec72bc0c,2f40e692-f579-4960-b7cd-bc62efc3a218,2d25f219-7d3b-48c6-863a-c26f3cf4c424,39735341-8b03-4e5d-a7d2-5a26c98d4fbb,d950c202-1db1-4886-b61f-b35ccc0b94ef,a327e7d7-04a7-456a-bb95-f982447de80b,06fc1d4a-1695-4789-87b0-50775af1feee,4798e2c6-e51a-4d28-9ea9-28d2c9c05261,15c7d267-64ee-457a-a6ed-6ae1d96bc49c,a7b5ae70-6390-4dd5-9916-a4dacb0a0115,b9842cf2-d8b3-456f-a5be-b9efb3e681dd,ee7af08f-8780-46c0-b3cb-283ba749e40f,ac45d835-488a-4ba9-a5a0-187f063757b3,91d869ed-04f7-4006-83cc-de3b3bd83cbd,4cbf667c-43d5-436a-9a9b-09ffc9e6ef38,ffd8692a-14b2-48d7-95fb-53d96f734609,97a42936-a846-4411-b040-405ab578ab61,ec42692f-e76d-482c-b1cf-bac343698de2,5cc11501-8afc-40a0-817c-db32f177943b,a921cd55-5152-4dab-89a3-d3e7bdbc171e,2899df64-195b-42af-9c53-830091602aa9,4fe9c13a-7da2-4fc8-86d8-0f356e374eb7,bbad48ca-3dec-4094-9c51-bcce3332dfca,2374ae9f-2f5e-467e-bfe7-b1077b2ab02d,501b64ca-f1ac-47ca-9161-8f34d84cd601,580fc9ce-80e9-45dc-a748-7e886ea42afd	16.237	["INTERCHROMOSOMAL[chr5--chr9]"]	16.237	1.0	True
ATG10--RPS6	20	ATG10	19239	chr9:19382242:-	RPS6	22998	chr9:19378483:-	INCL_NON_REF_SPLICE	915dd6e4-16e6-499b-baaf-8d19df40d664,a43e7bd0-7133-423a-933a-4ee184394c72,f50a8577-d198-4022-90e9-deae13716368,ff1075a4-b9ef-48bd-8c70-1280484fb315,627d4a61-9c99-4ccd-8695-ed2f47da447e,c25cb7c5-d2b5-4fea-b742-f336d1bcea50,8631b3c3-5890-4121-814b-f76ec5ac1b61,fcaaa3ca-da51-42e5-8584-09e8c5bfeb7e,af2a993a-a9b0-4ac2-baf8-27965d812eca,d2c3f941-5d1f-4826-99de-486f17d8aba4,829effb3-f919-49b1-8005-61abce1f0c5c,d4337a1d-6650-4e5f-ae2f-721a1c3be0bc,aac5d627-c7fb-4bbd-8c38-2a2fb43be650,f3f76446-1bf1-4ab4-90e6-aa2dbe153c59,44d3eef6-b3d6-444f-a71e-9a74d3b66f1b,a72d8db6-7f71-4898-90bc-b25d10099b5a,ecf867dd-51de-480c-ae10-7af7ea7bbeed,2291d417-2267-4f4c-9c42-f14eaaf2dbc7,1da45470-8370-4d7c-b421-e9b77e03c514,330a4e5b-8a04-41c2-9355-f29468999198	8.327	["INTERCHROMOSOMAL[chr5--chr9]"]	16.237	0.5128410420644208	True
TRABD2A--RPL6	15	TRABD2A	1519	chr2:84906490:-	RPL6	27766	chr12:112408656:-	INCL_NON_REF_SPLICE	90fb2a12-d028-45f3-b289-bb74df504ed4,a36ae18a-d279-412c-85d0-e227ca413482,ab6bd1f8-2ee6-4701-bd52-5419866d2898,bb34cd7c-f981-47a3-acff-8e8ad3110124,a39e22df-964a-424e-8c90-1915835ff172,ee8300d1-19cd-4b03-90bc-f5bb5ce684e7,fc27f786-11ec-413b-9bf0-cdfbff1e45ae,d490f023-5eeb-4433-8e0f-8d17a597c59b,c12870c5-46f9-4ed7-9db3-39e19025555a,57f7e9a1-4ce7-46ff-8a32-80c2a9841223,4b399957-5777-46dd-996c-77d2b6259f93,a759c759-21f3-4549-becf-06357fadf0eb,297e0c3f-1022-4683-9aa4-ae86f21a5c2c,f65b0adf-2cdf-4538-bc68-851530612c61,a6a3e319-5aec-47bf-a7a0-75f2b943daf7	6.245	["INTERCHROMOSOMAL[chr2--chr12]"]	6.245	1.0	True
LINC02067--RPL34	13	LINC02067	3312	chr3:161429425:+	RPL34	11228	chr4:108621951:+	INCL_NON_REF_SPLICE	a13a1a20-0eea-4f76-a342-9c224230c4f4,63c5795d-aabe-446f-88a6-96899ac49089,416436bd-9be5-4393-9cdc-b3436dfd0841,7cd55420-0b50-4a7e-b13f-06a655325b4c,6769dac4-a5ac-4132-9553-92912d643f24,72c8a09e-af3d-4ea8-938d-baef903a85dd,edec2c85-19ee-4649-87f2-a5525ebf550e,bd7aca6e-715e-47ca-ac26-ff76a7a1bfaa,a45557c0-ef55-4b59-8ed8-410ff0ba0149,aad8dea7-498b-4e15-862a-114f77e33505,2d1cad16-ac9d-41d7-9285-3244cc7f4a3c,758757a5-78a2-41cf-bd36-8e71e5a37c9f,5ffed166-e68b-4f45-b482-cc79408cf43f	5.412	[]	5.412	1.0	True
ENSG00000264577--RPL39P3	12	ENSG00000264577	3171	chr17:28720707:-	RPL39P3	5342	chr17:28718536:-	INCL_NON_REF_SPLICE	dec4e512-c618-405b-8adb-9313690825e5,c938e565-ccad-4a6f-9649-f17b3b0ebd6d,96dd7570-7286-4a85-87cd-c29ae819884c,97a72b5f-4aa4-4bbd-8d35-b3d3a5bd5f20,1de9f6b8-a0a9-4b76-a20f-e6c5841a75d3,ff4bce06-fb87-4d1a-b904-2d934170b67b,2b872f3e-bef5-440a-a796-bd2e3f5f6b8a,97f65693-49cf-4335-a5ee-47457f86b7c5,e5246289-a2a5-466a-b4f4-824960ef667b,32b6c5fb-34bf-4886-81ac-c254c78cdaaa,78534699-37a6-4bb5-a19b-81b66de290eb,9bee9594-2edf-472b-af82-d3609c845f90	4.996	[]	4.996	1.0	True
RPL30-AS1--RPL30	10	RPL30-AS1	2930	chr8:98043655:+	RPL30	9202	chr8:98043664:-	INCL_NON_REF_SPLICE	b58b9bf2-ca93-491e-98e5-21574f32990f,2a7d4aa7-2bba-4aaa-bdcd-f6274db846b6,e2a6826e-0775-4fe7-9c7d-0c732b3fce46,4b557d31-2a6f-4e9a-99eb-4ad25be05d43,c97a139f-e580-4f88-9bcc-9a393f42f865,c6d29fb9-d1f1-4dda-846c-763dfb00ec32,7b990e11-c57a-4e25-bf2a-914639199d21,ec4675d5-c827-4258-a4bc-18bea6236d45,d3b9b069-643c-4825-b860-f21ccf6c994c,81e78560-d304-459c-8869-c98555f1cf0a	4.163	[]	4.163	1.0	True
LINC02067--RPL28	9	LINC02067	3350	chr3:161429463:+	RPL28	10264	chr19:55386350:+	ONLY_REF_SPLICE	6c86fee2-a142-4e36-9f38-484bddaac553,6c31e1fe-1c4a-49de-9585-5fbe3c0043b3,fbefd438-a2cc-48a6-ac56-002fcf49900b,0dc05a95-6f7c-46c8-98b3-35ec3ece50e0,e0163618-c582-4cac-924d-8285bcfcf670,9b3ff318-a304-4a8b-83b2-8d9f834d91ed,5e6bf76e-f513-4d89-b004-22ec6fff9e65,763ba616-42b5-4975-84af-f4b7de265f01,501f7e2f-180e-4431-a5a1-67bee7e4a92a	3.747	[]	3.747	1.0	True
ENSG00000269888--RPS27A	8	ENSG00000269888	1489	chr3:161429600:+	RPS27A	5408	chr2:55232808:+	INCL_NON_REF_SPLICE	569a20f8-1887-43ed-9039-32fadbd553b8,46c91497-e8aa-4a0a-86d3-87fe6c18769d,41b016ef-95ed-4498-8951-22895d3aefdd,21bd03c6-ca9c-4b29-9389-3748ad6ebae1,45f1ee4e-42ab-48ac-8363-ff1fe6060ff6,0a3f122a-e11f-434d-b2f9-c6c0c6f70624,ec3ad212-0341-4d92-bddc-f6e7d8ad966e,ec201214-c0da-4a79-a2d9-cd554fd15c2d	3.331	[]	3.331	1.0	True
ENSG00000264577--RPL11	7	ENSG00000264577	312	chr17:28723566:-	RPL11	6259	chr1:23692609:+	INCL_NON_REF_SPLICE	eff2c46d-99f1-4250-8d80-32afbf3fb49c,76bb1054-a146-4b3f-85e4-4eea9ee674e5,44d11c7b-0e4a-4434-8341-cf310a8e89fb,a0505fd2-86cd-44dd-832e-c603bcd9d2d3,5e3d3595-777d-4a3a-9e91-cf1321bce7c0,90f0898d-785e-425f-9a08-1778b7ef701a,27183f6a-bc7e-41ca-9575-d2f7b5303bb3	2.914	[]	2.914	1.0	True
LINC02067--RPL11	6	LINC02067	3096	chr3:161429209:+	RPL11	10713	chr1:23692609:+	INCL_NON_REF_SPLICE	c9d8408d-feff-4dcb-85c3-9fd3e0367ce2,fefbd9a9-6a21-496c-bc85-d51788b743c4,55d40eef-df40-4e83-bd13-89d338f5ee61,41b4c807-80c8-4491-aed3-6185032946dc,5f08b550-f9ad-41d7-b42a-35d79637b45a,5048956c-5084-4603-a49a-f05bd0f5ae95	2.498	[]	2.498	1.0	True
