##VERSION=0.4.1
##SAMPLE=UnnamedSample
##READTYPE=UNKNOWN
##TIME=2024-09-02T03:27:19.126245826Z
##COMMAND=pbfusion discover --gtf /Reference/annotation.bin --output-prefix /dataset/pbfusion/pbfusion --threads 50 --min-coverage 1 -b /dataset/pbfusion/HEYA8_ONT_dRNA_Q10.bam
##INFO=<ID=RC,Number=1,Type=Int,Description="Number of reads supporting breakpoints">
##INFO=<ID=MD,Number=1,Type=Float,Description="Mean breakpoint variability (bp)">
##INFO=<ID=GN,Number=List,Type=String,Description="Gene names in breakpoint cluster from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GI,Number=List,Type=String,Description="Gene IDs from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GC,Number=List,Type=Int,Description="Read support counts per gene name">
##INFO=<ID=CL,Number=1,Type=String,Description="Annotation of alignment classes [Fusion, ReadThrough, Unannotated, or SenseAntisense]">
##INFO=<ID=MQ,Number=2,Type=Float,Description="Phred-encoded mean map qualities for source and sink breakpoints, respectively; averaged in error probability space, not phred scores">
##INFO=<ID=MI,Number=2,Type=Float,Description="Mean alignment identity for the source and sink breakpoints, respectively">
##INFO=<ID=SA,Number=2,Type=Int,Description="Supplemental alignment counts for the source and sink">
##INFO=<ID=BP,Number=1,Type=Int,Description="Number of breakpoint pairs in cluster">
##INFO=<ID=EX,Number=2,Type=Int,Description="Counts of exonic breakpoints for the source and sink">
##INFO=<ID=IN,Number=2,Type=Int,Description="Counts of intronic breakpoints for the source and sink">
##INFO=<ID=AC,Number=List,Type=String,Description="Annotation of all breakpoints supported by reads in this cluster.">
##EXTRA=<ID=RN,Number=List,Type=String,Description="Names of reads contributing support">
##EXTRA=<ID=ON,Number=List,Type=String,Description="Names of reads contributing support if read clustering was used">
##EXTRA=<ID=CB,Number=List,Type=String,Description="Single cell barcodes contributing support">
#chr1	start1	end1	chr2	start2	end2	id	score	strand1	strand2	info	extra
GL000195.1	48952	48953	chr21	7085242	7085243	BP2247	MEDIUM	-	+	RC=3;MD=14;GN=ENSG00000276256,ENSG00000277067;GI=ENSG00000276256.1,ENSG00000277067.4;GC=3,3;CL=FUSION:3;MQ=5.81901,0;MI=0.94236,0.903623;SA=3,0;BP=3;EX=3,3;IN=0,0;AC=GL000195.1:48952-/chr21:7085242+,chr21:7049060+/GL000195.1:49120-	RN=f3d9884b-bfa2-425c-a820-a2f2f1257c8b-ccs,b173a0b9-876e-4c1b-bc24-d5817fa76b5a-ccs,5a65e0dc-7414-49a4-a5aa-60a5147b1006-ccs;ON=.;CB=.
GL000195.1	48955	48956	chr21	7671383	7671384	BP2248	MEDIUM	-	-	RC=1;MD=0;GN=ENSG00000274333,ENSG00000276256,ENSG00000277991;GI=ENSG00000274333.4,ENSG00000276256.1,ENSG00000277991.4;GC=1,1,1;CL=FUSION:1;MQ=3.95597,0;MI=0.922363,0.927283;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=GL000195.1:48955-/chr21:7671383-,chr21:5553837+/GL000195.1:49118-	RN=8c3ad249-b512-4c6a-b5e0-5f3851f62f2f-ccs;ON=.;CB=.
GL000195.1	48955	48956	chr21	5590015	5590016	BP2246	MEDIUM	-	+	RC=2;MD=23.2;GN=ENSG00000276256,ENSG00000274333;GI=ENSG00000276256.1,ENSG00000274333.4;GC=2,2;CL=FUSION:2;MQ=8.03707,0;MI=0.944635,0.927333;SA=2,0;BP=2;EX=2,2;IN=0,0;AC=GL000195.1:48955-/chr21:5590015+	RN=842ca0c1-8295-47b8-9699-d9a8487d7e3f-ccs,085d6eee-c315-4b5d-ba2a-61f7cb4c91aa-ccs;ON=.;CB=.
KI270721.1	6209	6210	chr11	1956253	1956254	BP2333	MEDIUM	+	+	RC=32;MD=4.66;GN=ENSG00000276345,MRPL23;GI=ENSG00000276345.1,ENSG00000214026.11;GC=32,32;CL=PotentialTransSplicing:32;MQ=0,8.81057;MI=0.962371,0.923785;SA=31,2;BP=32;EX=32,32;IN=0,0;AC=KI270721.1:6209+/chr11:1956253+	RN=333bef2a-5b8e-4a7b-a7a6-46d164685918-ccs,070acaba-b314-44bc-85b3-e57c22b790dc-ccs,683be55c-b335-4cb5-afec-95462c549a91-ccs,17a7ce7d-893e-422d-b9b3-a80a79842ed3-ccs,e92f5dd8-341f-4627-b48e-2e88ae52b74e-ccs,db3ae0eb-5410-4c11-95de-70a932b40003-ccs,06375d00-565a-43e6-9a2c-993c3f53d7b1-ccs,18dc79b9-a475-448f-8b8b-f50b8b682913-ccs,3bac28da-39de-4186-807d-47cc8ed2d59f-ccs,1d5fa323-4314-4562-a960-b3e423b13ad0-ccs,ef1f81c1-b7b6-404b-96ce-1224569bda1d-ccs,40bce515-37eb-4895-beb0-4fce005f233a-ccs,33b8c71e-4ce6-43f0-876b-b4139af07fea-ccs,06a631f6-43df-4aad-a035-4242104d909f-ccs,e09186f4-18c6-4b7c-be4d-ee67cda07fb3-ccs,8c3e2c14-d842-4524-9d1b-cf46eea45c2b-ccs,ea253bcc-9ef6-437f-aa78-dec9cb76feeb-ccs,3625a819-746f-49d4-812b-118521e28296-ccs,8e397924-4228-4d10-9b9a-38a8770e4214-ccs,76b53633-4a99-4c03-89e3-8974405799b8-ccs,c33d67bc-c74d-44b4-926c-e010989e1b08-ccs,fbf7a9ed-adc4-41f9-9640-b072adc8701b-ccs,02083d5f-5c6c-450e-8bf2-88286512e279-ccs,bc32a756-a51e-44db-bed5-aee8403f1506-ccs,5e6ddeee-df29-45c7-ad27-a1b6d436d1be-ccs,f42a9bae-901c-4d53-b17b-1006fd131437-ccs,12503366-ea07-4797-add2-7635dd2d86c1-ccs,c0f11885-0ef1-46aa-9ed6-71926f4d3227-ccs,d1f9a30e-de76-4081-85a9-fa5ff97b8363-ccs,f2ad5282-18f5-4cd4-ae32-0e753674d1ec-ccs,337d9e27-7cd4-477b-860f-3ab0081c2860-ccs,02d5968f-7fe1-4c98-b341-55ba31ac7d2a-ccs;ON=.;CB=.
KI270731.1	26577	26578	chr2	11446524	11446525	BP2343	MEDIUM	-	-	RC=2;MD=0;GN=ENSG00000278066,E2F6;GI=ENSG00000278066.1,ENSG00000169016.17;GC=2,2;CL=FUSION:2;MQ=60,60;MI=0.928064,0.900057;SA=2,0;BP=2;EX=2,2;IN=0,0;AC=KI270731.1:26577-/chr2:11446524-	RN=6497fb45-6beb-4e84-96c3-abd96ae29cad-ccs,70342c24-0a0c-4848-a09b-e61d7a6f69f9-ccs;ON=.;CB=.
KI270734.1	131740	131741	chr22	20319801	20319802	BP2386	MEDIUM	+	-	RC=1;MD=0;GN=ENSG00000278817,DGCR6L;GI=ENSG00000278817.1,ENSG00000128185.10;GC=1,1;CL=FUSION:1;MQ=0,37.9966;MI=0.966102,0.89665;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270734.1:131740+/chr22:20319801-	RN=8c072572-bc79-4f3b-9e87-c54893c394c9-ccs;ON=.;CB=.
KI270734.1	131993	131994	chr22	20315477	20315478	BP2385	MEDIUM	+	-	RC=1;MD=0;GN=DGCR6L,ENSG00000278817;GI=ENSG00000128185.10,ENSG00000278817.1;GC=1,1;CL=FUSION:1;MQ=3.00921,4.01029;MI=0.94528,0.925317;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270734.1:131993+/chr22:20315477-,chr22:20319887-/KI270734.1:131859+	RN=5202618b-5f0d-427c-8fdc-5e98e6817f86-ccs;ON=.;CB=.
KI270734.1	136276	136277	chr22	20314826	20314827	BP2388	MEDIUM	+	-	RC=3;MD=5.33;GN=DGCR6L,ENSG00000278817;GI=ENSG00000128185.10,ENSG00000278817.1;GC=3,3;CL=FUSION:3;MQ=3.01027,60;MI=0.946541,0.868383;SA=3,0;BP=3;EX=3,3;IN=0,0;AC=KI270734.1:136276+/chr22:20314826-,chr22:20316121-/KI270734.1:136160+,chr22:20319637-/KI270734.1:136160+	RN=caf9f72c-682b-4693-8894-5b21d0f9be6a-ccs,23d94dab-9db0-4189-90e3-dc83c01a5395-ccs,4fba2121-9bce-41dc-879a-0aea1e4dc3cc-ccs;ON=.;CB=.
chr1	14404	14405	chr1	214651788	214651789	BP49	MEDIUM	-	+	RC=1;MD=0;GN=WASH7P,CENPF;GI=ENSG00000227232.5,ENSG00000117724.15;GC=1,1;CL=FUSION:1;MQ=1,52.144;MI=0.903148,0.942967;SA=1,1;BP=1;EX=0,1;IN=1,0;AC=chr1:14404-/chr1:214651788+	RN=337433c3-2c46-4507-9eb1-ff03338ea119-ccs;ON=.;CB=.
chr1	15794	15795	chr15	101976130	101976131	BP77	MEDIUM	-	+	RC=1;MD=0;GN=ENSG00000290823,WASH7P;GI=ENSG00000290823.1,ENSG00000227232.5;GC=1,1;CL=FUSION:1;MQ=0,60;MI=0.949343,0.895238;SA=1,0;BP=1;EX=1,0;IN=0,0;AC=chr1:15794-/chr15:101976130+,chr15:101966224+/chr1:15952-	RN=6bda748a-4273-4a16-a70d-9900c786a596-ccs;ON=.;CB=.
