##VERSION=0.4.1
##SAMPLE=UnnamedSample
##READTYPE=UNKNOWN
##TIME=2024-08-12T20:18:05.529930274Z
##COMMAND=pbfusion discover --gtf /Reference/annotation.bin --output-prefix /dataset/pbfusion/pbfusion --threads 50 --min-coverage 1 -b /dataset/pbfusion/H9_ONT_dRNA_Q10.bam
##INFO=<ID=RC,Number=1,Type=Int,Description="Number of reads supporting breakpoints">
##INFO=<ID=MD,Number=1,Type=Float,Description="Mean breakpoint variability (bp)">
##INFO=<ID=GN,Number=List,Type=String,Description="Gene names in breakpoint cluster from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GI,Number=List,Type=String,Description="Gene IDs from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GC,Number=List,Type=Int,Description="Read support counts per gene name">
##INFO=<ID=CL,Number=1,Type=String,Description="Annotation of alignment classes [Fusion, ReadThrough, Unannotated, or SenseAntisense]">
##INFO=<ID=MQ,Number=2,Type=Float,Description="Phred-encoded mean map qualities for source and sink breakpoints, respectively; averaged in error probability space, not phred scores">
##INFO=<ID=MI,Number=2,Type=Float,Description="Mean alignment identity for the source and sink breakpoints, respectively">
##INFO=<ID=SA,Number=2,Type=Int,Description="Supplemental alignment counts for the source and sink">
##INFO=<ID=BP,Number=1,Type=Int,Description="Number of breakpoint pairs in cluster">
##INFO=<ID=EX,Number=2,Type=Int,Description="Counts of exonic breakpoints for the source and sink">
##INFO=<ID=IN,Number=2,Type=Int,Description="Counts of intronic breakpoints for the source and sink">
##INFO=<ID=AC,Number=List,Type=String,Description="Annotation of all breakpoints supported by reads in this cluster.">
##EXTRA=<ID=RN,Number=List,Type=String,Description="Names of reads contributing support">
##EXTRA=<ID=ON,Number=List,Type=String,Description="Names of reads contributing support if read clustering was used">
##EXTRA=<ID=CB,Number=List,Type=String,Description="Single cell barcodes contributing support">
#chr1	start1	end1	chr2	start2	end2	id	score	strand1	strand2	info	extra
KI270711.1	10909	10910	chr1	16567354	16567355	BP2221	MEDIUM	-	-	RC=1;MD=0;GN=NBPF19,ENSG00000271254,NBPF1;GI=ENSG00000271383.9,ENSG00000271254.7,ENSG00000219481.11;GC=1,1,1;CL=FUSION:1;MQ=3.87509,25.0096;MI=0.914872,0.902539;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270711.1:10909-/chr1:16567354-,chr1:16567177-/KI270711.1:6355-,chr1:149486287+/KI270711.1:11087-	RN=2bf0843d-0657-46de-861d-8da0e0849a89-ccs;ON=.;CB=.
KI270711.1	18230	18231	chr1	149060698	149060699	BP2223	MEDIUM	-	-	RC=1;MD=0;GN=NBPF9,ENSG00000271254,N/A,NBPF26;GI=ENSG00000269713.9,ENSG00000271254.7,N/A,ENSG00000273136.8;GC=1,1,1,1;CL=FUSION:1;MQ=0.471281,26.0193;MI=0.922847,0.859178;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270711.1:18230-/chr1:149060698-,chr1:149058922-/chr1:120839628+,chr1:149060551-/chr1:120835513+,chr1:149072745-/KI270711.1:18434-,chr1:120835625+/chr1:149059100-	RN=a883c3bc-88df-4ee7-8505-01e41322934c-ccs;ON=.;CB=.
KI270711.1	26304	26305	chr1	16576482	16576483	BP2225	MEDIUM	-	-	RC=1;MD=0;GN=NBPF1,ENSG00000271254;GI=ENSG00000219481.11,ENSG00000271254.7;GC=1,1;CL=FUSION:1;MQ=0.308438,9.56339;MI=0.964675,0.927927;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270711.1:26304-/chr1:16576482-,chr1:16574485-/KI270711.1:6373-,chr1:16577318-/KI270711.1:26506-	RN=8f045c2b-3bea-48d7-880a-3f8fada6ae13-ccs;ON=.;CB=.
KI270721.1	6215	6216	chr11	1952125	1952126	BP2228	MEDIUM	+	+	RC=1;MD=0;GN=ENSG00000276345,MRPL23;GI=ENSG00000276345.1,ENSG00000214026.11;GC=1,1;CL=FUSION:1;MQ=0,2.67834;MI=0.929825,0.988166;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270721.1:6215+/chr11:1952125+	RN=c7e672e7-20e0-4517-abbf-af4cee0f9d60-ccs;ON=.;CB=.
KI270721.1	6215	6216	chr11	1956253	1956254	BP2229	MEDIUM	+	+	RC=16;MD=2.56;GN=ENSG00000276345,MRPL23;GI=ENSG00000276345.1,ENSG00000214026.11;GC=16,16;CL=FUSION:16;MQ=0.220482,7.55826;MI=0.96146,0.9303;SA=16,0;BP=16;EX=16,16;IN=0,0;AC=KI270721.1:6215+/chr11:1956253+	RN=25570518-8913-41e8-99b2-74bc24759fe4-ccs,1320363c-f887-40fa-b7e5-7dc02dc612ab-ccs,a7d90c29-f74d-48b5-8a2e-81a07af769c3-ccs,7ff06ab5-e864-4672-817d-1911f1b9c9e0-ccs,5f477dab-fb61-43b7-b3da-645f051e1049-ccs,b50f892e-95d1-41e4-b24a-8ffc7b5b9b74-ccs,2cf0bd26-e73c-4157-a02c-57f1eae21054-ccs,8cf31ce0-f774-435e-984a-146427965bce-ccs,b753a310-4c2f-4309-8bfb-b9466feda0a4-ccs,392a45b8-f49f-4272-a8f9-4ed821167502-ccs,12372cdf-9baf-4082-842e-df452528e739-ccs,f9fe2dbe-3552-4ae3-a027-d62da08b65ee-ccs,02ddf5ec-8586-42d0-a98e-d8572a9fdc5b-ccs,69f927e8-8c77-4eff-abf5-f4902ed75409-ccs,01285ece-94ab-4aef-95af-578675bb52c7-ccs,6b519683-59ca-48f2-9f6c-34cf452922a4-ccs;ON=.;CB=.
KI270721.1	7404	7405	chr11	1956253	1956254	BP2230	MEDIUM	+	+	RC=1;MD=0;GN=ENSG00000276345,MRPL23;GI=ENSG00000276345.1,ENSG00000214026.11;GC=1,1;CL=FUSION:1;MQ=0,22;MI=1,0.901163;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=KI270721.1:7404+/chr11:1956253+	RN=fe35070f-ec65-4ec1-801f-dc0140626327-ccs;ON=.;CB=.
KI270721.1	11794	11795	chr8	26354487	26354488	BP2225	MEDIUM	+	+	RC=1;MD=0;GN=MRPL23,ENSG00000276345,PPP2R2A;GI=ENSG00000214026.11,ENSG00000276345.1,ENSG00000221914.11;GC=1,1,1;CL=FUSION:1;MQ=1.69278,60;MI=0.97635,0.932329;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270721.1:11794+/chr8:26354487+,chr11:1952209+/KI270721.1:11448+	RN=d2c901c8-2219-4be1-a25d-89996cf52422-ccs;ON=.;CB=.
KI270734.1	144749	144750	chr22	18918492	18918493	BP2268	MEDIUM	-	-	RC=15;MD=21.6;GN=ENSG00000277196,PRODH;GI=ENSG00000277196.4,ENSG00000100033.17;GC=15,15;CL=PotentialTransSplicing:15;MQ=0.163356,2.83731;MI=0.941582,0.935439;SA=14,15;BP=15;EX=14,15;IN=1,0;AC=KI270734.1:144749-/chr22:18918492-,KI270734.1:150346-/chr22:18922921-,KI270734.1:156285-/chr22:18925200-,KI270734.1:161312-/chr22:18931197-,chr22:18916901-/KI270734.1:138667-,chr22:18918310-/KI270734.1:138667-,chr22:18918310-/KI270734.1:142287-,chr22:18922814-/KI270734.1:144896-,chr22:18925047-/KI270734.1:144896-,chr22:18925047-/KI270734.1:148232-,chr22:18930986-/KI270734.1:144896-,chr22:18930986-/KI270734.1:150499-,chr22:18936011-/KI270734.1:148224-,chr22:18936013-/KI270734.1:156496-	RN=5b8aeb08-e6a6-429d-86f1-d0a86c0b828d-ccs,0c3d8a60-219f-47ed-a6a6-27a87d3e1bcd-ccs,f92ce57c-b112-4fc9-a271-3ec690d60de0-ccs,d1a3dd19-5fee-4353-a936-b99423b0535b-ccs,621d31fb-7667-4950-8cbf-5357e1be4a87-ccs,58925758-eb71-4d53-b62d-b4d75064b6b8-ccs,72b4f772-3cec-4385-b480-472f1dd41ed9-ccs,ac29a1dd-a93e-490a-92b0-f99a16f3f6db-ccs,c7c10f57-4e1c-41e9-be36-acb0ef367ad9-ccs,e1725052-21f6-4489-be0c-2a46e5ce1715-ccs,be9108f8-31f7-4542-915b-499f3d362783-ccs,652324bf-8f20-448b-99e7-74ecdb6a557d-ccs,d37ce124-0f0f-4d72-ac88-dcd548906d63-ccs,2eadcbad-fd52-45c0-a164-69eac8273dac-ccs,a98d7ddb-d20c-43af-b148-fd5c03e8939a-ccs;ON=.;CB=.
KI270734.1	148113	148114	chr22	18919598	18919599	BP2270	MEDIUM	-	-	RC=8;MD=14.4;GN=ENSG00000277196,PRODH;GI=ENSG00000277196.4,ENSG00000100033.17;GC=8,8;CL=PotentialTransSplicing:8;MQ=0.27659,1.8339;MI=0.94781,0.949626;SA=8,8;BP=8;EX=8,8;IN=0,0;AC=KI270734.1:143608-/chr22:18916983-,KI270734.1:148113-/chr22:18919598-,KI270734.1:161312-/chr22:18931197-,chr22:18916901-/KI270734.1:138667-,chr22:18918310-/KI270734.1:138667-,chr22:18918310-/KI270734.1:142287-,chr22:18919451-/KI270734.1:143790-,chr22:18925047-/KI270734.1:148232-,chr22:18930986-/KI270734.1:148232-,chr22:18936011-/KI270734.1:148224-,chr22:18936011-/KI270734.1:150499-,chr22:18936013-/KI270734.1:156496-	RN=1393e10e-3f9d-45eb-9e72-3deec3bfa439-ccs,881e24e0-32ba-4dad-b070-d2220de04b0f-ccs,fdac0168-dc4b-4469-862b-93d1c7a4155e-ccs,69bed08f-7c1e-4c62-ac7f-6e0c831aa640-ccs,a9677881-d767-459e-9b71-4231f4e35544-ccs,3fd2df5c-2a54-4a51-8b81-34c938b8450b-ccs,ee9351c0-02be-45e4-8f30-adf3e5158035-ccs,fd750ecf-84fe-4409-9093-edc0a9d58fe8-ccs;ON=.;CB=.
KI270734.1	150346	150347	chr22	18922921	18922922	BP2273	MEDIUM	-	-	RC=8;MD=4.06;GN=PRODH,ENSG00000277196;GI=ENSG00000100033.17,ENSG00000277196.4;GC=8,8;CL=PotentialTransSplicing:8;MQ=0.337596,1.36746;MI=0.945223,0.937152;SA=8,8;BP=8;EX=8,8;IN=0,0;AC=KI270734.1:144749-/chr22:18918492-,KI270734.1:150346-/chr22:18922921-,KI270734.1:161312-/chr22:18931197-,chr22:18918310-/KI270734.1:138667-,chr22:18918310-/KI270734.1:142287-,chr22:18919451-/KI270734.1:143790-,chr22:18922814-/KI270734.1:144896-,chr22:18930986-/KI270734.1:150499-,chr22:18936013-/KI270734.1:156496-	RN=33a2baca-3326-4e9f-bb72-fe6186ece445-ccs,c9b49bc5-0cd7-4313-93f8-0720f5902752-ccs,83c4c755-ab7d-46f2-a6e2-6c091ff637d4-ccs,c1e4365a-284a-4604-b2f1-62abe3e34555-ccs,621d31fb-7667-4950-8cbf-5357e1be4a87-ccs,652324bf-8f20-448b-99e7-74ecdb6a557d-ccs,842dd9f6-8929-4219-bbca-dea00a8dae6c-ccs,a141e698-ef3a-4a66-8643-b05c4ddf4404-ccs;ON=.;CB=.
