#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
AARSD1P1--ENSG00000273974	39	AARSD1P1	1309	chrX:74069584:+	ENSG00000273974	5550	chrX:74073825:+	INCL_NON_REF_SPLICE	a48665c7-9bbd-32ca-b450-40585d2f0249,c5f016da-88d2-e494-92bc-3e5f116f6b89,55ad84b6-9f8e-a89b-d5e5-6d400c4930ae,0f8740b5-f6a5-5644-32aa-66b5e1c3d028,efc99939-4f23-8bd8-279e-e00744b97ced,78d620e4-130e-12b9-f0bf-c33b1724e372,561026a4-dac9-e25f-0b1a-2c873d7232bd,565edf55-415d-1c80-668c-79d213f4a88f,1322eb6d-32d1-5749-f24a-c879a2597c17,fdcdea16-71cc-a290-8d41-ac2c9f97f804,d8eaa7e6-f804-1688-4ae8-3d584b2dd184,b1702f16-4015-2f30-9896-190ab1f8c3d3,d98b321f-a4cf-ad08-6dea-f89a09c30305,53217f4b-4fae-06e1-be6b-f16f32d2e8b1,09a9b6ac-d44a-b1e3-ce65-6b80fb5454b7,e7672186-9386-5c55-dbed-5373c39467c6,87b5424e-44c6-49db-f51c-8c37e215b2a1,dedf33ea-ca8a-7a8c-3b3d-91ffaaa6b09d,f514374b-cd6f-d42f-9d85-ee9e8a1f6a27,69d160ee-1764-2616-fa4c-0161bc3c0fd7,a9a3f085-d41d-e33d-1a10-2f7045f0dae4,072cd952-9742-6ef0-6e5f-e14cf66ce81e,9df1dca5-0dba-f914-f170-ef95e14d36e7,e5694178-c6e7-1592-50f2-c4c756de774f,c4a8ac2d-65d5-8a9c-1ebf-6196e7577f63,0d9887f3-2228-af55-1b90-6d22bee846d6,f385caa1-0a36-4e80-88e6-0debe00af521,98f68bd3-dea3-7c15-2b50-e8d7093b6b99,55e541a6-78c3-3939-cb2a-16c89e136d61,00a5f58c-a03b-7074-4cd2-82693532e7e4,3dad2b21-71db-38ce-2c0e-34c7ba8f934c,cd512412-ca13-1ad5-8a82-b1a584885f31,b1411633-ee15-1c70-6499-6217a9881ef8,197ad4aa-7951-a3f5-55ca-ff0ea9196f99,45f013aa-2ed8-b176-515a-c37a58d48888,f60378c9-766b-1966-c493-42930e53d710,81990757-ae54-0820-f1a9-22605d938331,d2b22695-91d3-d833-b7a7-7b30210532a7,8238d87e-d9f9-e047-62fc-a212e2240a01	12.635	[]	12.635	1.0	True
AARSD1P1--ENSG00000273974	28	AARSD1P1	1363	chrX:74069638:+	ENSG00000273974	5529	chrX:74073804:+	INCL_NON_REF_SPLICE	921f846e-8067-4252-e3ca-400682533a2b,d954830e-1429-27f4-8141-63da727d81ab,51684bc4-5003-907a-b767-0ab314c1b7aa,2f836e8d-3de9-cdbd-bf1d-fed485b1ed6b,a5a2570e-0619-f116-3a19-f6434b1fb745,05ea9609-f599-aeb0-e5cf-fedc63bbc40a,f9d95e2e-f836-1aee-cfd7-91831d930234,63715dca-ae12-20a1-3e50-84e1680599c7,ae76545a-efe9-2b01-63b0-626a997b3e91,254c1e36-22be-d751-bd63-246caba6d98b,6e12997c-2d24-9091-343d-209581cf0f2b,401c7390-8f94-a3e5-2e9a-3c1610dd6fc5,189fa0ce-fc1e-e362-334f-66a54d2c14b2,98325edb-dcf5-b4f7-b136-8384cd8845cb,b91a10e0-0e05-adfc-d81a-46a35f2b13ec,c19c1ffb-303b-fba0-c47b-dbd29e4ae4c0,a656c87e-d694-dddd-06b9-a2ab96f6167c,5639d1e4-d4e4-d496-335b-6ce44086ea61,275985ad-c728-c2d4-64e2-8b7918aece1e,d8f22f47-2816-9c41-9e9e-8cb7824c0744,6fdb058a-8050-f012-e8ed-13ac9e77e125,9387d1f7-b69b-e9d0-4514-9c043237051c,a1b4c710-7812-e051-bfd5-1ed750cbb357,50923fdb-526e-93a9-71ba-b7b745994839,35a3f29d-096a-a6e3-caaf-c9db7c0c2fe1,f23c9705-a5fb-4c72-1311-f77615045318,399a330b-0b9f-b02c-3b68-f7409c13bf35,6e9010b5-9899-1df9-1722-1f927da5fa60	9.071	[]	12.635	0.7179263949347052	True
AARSD1P1--ENSG00000278421	27	AARSD1P1	1309	chrX:74069584:+	ENSG00000278421	5559	chrX:74073834:+	INCL_NON_REF_SPLICE	84f57816-fc99-f44b-af72-d9dcf0f9a052,19232b37-9ce9-572f-3d2d-bf31f4ae465c,4ca68c51-fd5d-fc43-cc8a-6c74f8fa5adf,8d930a87-978c-bcb9-d5d1-3a1487c2770e,3e811414-756f-76e0-107d-7a0195934f54,f4fa08b2-8f11-76e3-2e43-af4533411452,befa777f-9901-ceeb-42aa-9aa8f81573b0,983647bb-9e2a-3260-721c-cbe30758f03e,7ae35b9f-5d61-058e-b3e5-7a37b21b2877,ae1a7e1a-e83d-a453-30a5-a56bb97f211d,e8aa08eb-dfaa-c9d0-6c80-05b9d2cca03c,3054e70d-e7eb-c556-e54a-0dc85ed7925a,85371651-126e-46b9-c817-f563447678d7,54105cfd-be9a-f54e-a9a3-c12c9fe10bbd,fa37592b-53a0-3447-0605-629c1391fb36,94de786e-b95c-02d0-ee13-d688c34d4a4a,fcfcda90-4742-2627-d27f-ba11c18a0569,8135e9b5-c342-3a58-1e97-f775105d6075,aeef6b31-fa4b-7aae-46c5-e17b2fa459fe,58bcc56f-20d5-b665-e13a-4d220db5f3fa,98ce4309-841f-a09c-1e7b-b1a9d5a15dfa,064cfc53-fce7-ef90-1486-d4caa9e0743c,5173c312-b8f7-af74-639f-1982f857fa2a,5a07fda3-55a0-8467-e665-82b3594169a2,cb0c5bce-87c1-6bc3-8f21-a2e1e863fc94,6ea94087-2f2f-d6a4-0096-e22174f99236,edf1f514-bd8e-9c96-d139-3673f1e8c6e1	8.747	[]	8.747	1.0	True
IRAK2--MAD2L2	20	IRAK2	9327	chr3:10222831:+	MAD2L2	24051	chr1:11676140:-	ONLY_REF_SPLICE	8bbe0a00-8bc9-3ec9-61e5-13398327374c,ceb728ce-383b-73e6-ed6f-e359015c31f3,90df2bb6-078a-0e80-56e7-d51a244adb97,d925f854-c9ee-c29a-6c59-80c94540a22c,0905f087-b719-6bb3-35ce-ef669c48a938,5f9ad561-07c4-cccb-7bf1-f252b27d84a6,b4a3126e-fc1d-62ab-b7ae-513695d69447,fe5531d4-ea26-220b-719d-803a3fd5e293,d69620d7-edc6-aa19-e827-5ae213061ee7,cb524bb4-21d0-c440-7ea1-75ab188814ff,79752892-780f-75c5-2b69-74eb7b222896,37d69782-007e-3597-e049-02da89282336,f3c7be13-e21d-97da-f7dd-55cc8ebd412a,162a4e0c-b968-5497-9287-4a933ac35c25,02f41f8c-7e1c-eee5-1c40-14ab836b12e8,915045da-a2bb-e0c9-ee92-9e786482cc4e,957eaedd-fc8a-6ceb-0219-f7ff30844c4e,652b629d-f7a2-2ce2-fc4b-471a0b6dc4af,62805393-d9a1-a35f-b3b3-9dae5170f5b9,6924aade-b492-65b0-bc5b-97ae443bc0bb	6.48	["INTERCHROMOSOMAL[chr3--chr1]"]	6.48	1.0	True
RPSAP14--ENSG00000273974	20	RPSAP14	1425	chrX:74031886:+	ENSG00000273974	4344	chrX:74280386:+	INCL_NON_REF_SPLICE	990034c1-db35-6961-fbda-9c19bc80e73f,af28aa1c-b314-2dca-bf0c-b0497f3f0143,e65bf3ba-81e2-96de-1ef9-647547fd44cc,43a5e8a2-3ad0-e235-f35f-18c361c860fd,d7ced5d3-1c75-d0a1-a1c0-8ecb71ae5044,63b085e0-a379-7585-5464-6f8d46432a2a,54cc7d0a-fd9f-3918-deba-25284412ec8c,535e4610-c450-1ac1-1b7e-e602700281dc,332c6de4-a391-0a91-a540-a5fbdaf0ebfb,18d67962-bf6e-db00-4fb4-d493ba27a0ff,e7f67f29-9ac7-62e5-7ca1-882d5d282863,fecc7cdf-3d74-54bc-2f5b-527f7f730256,9ae601c2-95c5-eb77-418b-bf2af2693c42,f95f6e94-41e1-af4e-c312-2dde8e9dec85,08835c3a-33a4-4fa4-e305-08cb6d7dab9a,40ea7798-aa38-d95c-2a91-854679e4b317,4376652d-b891-cdd2-34e6-433791087d81,b4e6d758-c896-df2d-aa91-d9db8631f46c,a889c685-6581-3ae0-b780-e8b26929475d,e59cb35c-b516-efcf-8d0f-28712d7e4697	6.48	[]	6.48	1.0	True
ZNF114--CLCN1	20	ZNF114	5772	chr19:48282497:+	CLCN1	15997	chr7:143323309:+	ONLY_REF_SPLICE	248789ed-b69d-7c1e-cda5-2ad147a1fd8b,2d81a8df-9161-5b37-aa8a-d5f37471d1b1,9e57ebd0-e706-9f6a-6443-3e97ad2d2a74,35f502a8-4b45-68c2-574e-9982640ceb4c,ac8c59b3-5717-31aa-0676-9a28b59d5ec7,d72853f6-6c13-d84f-f888-f66ccd38781b,710dda2f-c44c-6241-c380-973bffb677c2,28d94777-4bc7-2692-c8b2-61d253f4b08f,9ea97f02-1fcc-ec25-6f28-106c3c85d98c,5b1a3b28-41ad-0d1c-e5e9-dc90eb1a4ff7,3f6decb5-e547-1917-140a-2966466dd22d,ccc260e5-d182-716b-b372-cc8a028c0714,71b3fd57-8cfb-ab24-a7e1-e4137e2143b2,0a4d5a65-62fe-e183-e4ca-eac9da828cc3,b21bc678-465d-1553-8483-7ae940d77b76,9d143575-205b-23de-bcde-7a89d4f0a227,816c56fb-71dd-c4b6-3326-455577cbfc52,c4fb642b-aeda-6ec2-0e94-a1b18c0e4f86,1b358078-0f33-57c9-9db4-c4924e6dcb94,87e7f7a3-398b-e939-0d43-257c8913970d	6.48	["INTERCHROMOSOMAL[chr19--chr7]"]	6.48	1.0	True
ZFR2--C9orf40	19	ZFR2	3431	chr19:3855402:-	C9orf40	31663	chr9:74948206:-	ONLY_REF_SPLICE	00a4bc45-c221-1e25-79d5-42aa5ddb9a75,d27f2ac9-225b-979a-bbb4-f47493975beb,b7b051ba-9204-0bdf-43b4-471dc47e97f9,fd1de891-93b2-2310-515e-0c6c1f0a897e,fb80c524-de0f-96d6-e6f5-c2aaa09a5ebc,26eb774f-cf30-573c-46e4-37f573ad0b54,88e33f3b-d9c1-f034-5637-96fe1afe6752,6f74a4ac-e04b-afc6-3eaa-c47e9e6f7ebd,8118ef08-d8bc-e9c9-919b-68243306680a,3351c7c6-a1c6-029e-7765-0e6959b92984,5a11158e-a212-2138-1bdd-dcc65a46275a,f54c7cc0-1524-3d2d-2ec6-9041844c64a8,e6fb61f6-641e-c0ff-a69a-249758852c93,614f7445-f253-1c43-d82c-e5d65e8743fa,ff298eda-fdd8-9ae9-1efa-3f15254d5a82,4e53b253-b66d-ce90-7f57-c3dd423ac7dd,ece0d825-5aea-17f1-d16d-1d29502fecbf,a6647a80-c070-486d-d0e0-49368b285b46,95f65e10-56d5-919f-95f1-e919c58762ca	6.156	["INTERCHROMOSOMAL[chr19--chr9]"]	6.156	1.0	True
TMEM41B--FLCN	17	TMEM41B	5567	chr11:9287702:-	FLCN	27159	chr17:17219054:-	INCL_NON_REF_SPLICE	c8dc9217-f984-e1f0-2888-72dc96b4238c,6ec98b53-c3ab-72c9-5f62-0c11f26ca038,a634029b-a680-83e9-28e1-2ab776d480fa,89d6e21b-dda6-ea56-de7b-30ab9fdd37ca,992495e9-05ba-7aed-6345-76a10ba26728,514fa610-7b15-733a-4a73-93ee45ae1d13,5eb017f7-f6b3-6d9b-e46a-a51d8b24cc86,01b7d272-c4ad-2eda-2b3a-9f8703a8cbfe,eaca5d95-39d0-2128-3ca0-32f57d9b9aa7,6943436f-deab-8245-b154-d8dd9b618554,31dce253-93f7-2bd3-0eab-51819c9ae5f0,7c030b3f-3ac2-c2a2-9a0e-3e9d314a8009,620f9e08-cce4-631d-d5c8-0bbbd0883eac,b1935f4a-de03-6a06-c92e-a05f4282ecb5,7bd64c09-b7b9-1cbe-49d4-0b823bfaa7a6,c310b645-4c88-befe-1a8c-ed1ea7972a22,1da4160a-cfd9-587d-fdf2-7f31a596c4ea	5.508	["INTERCHROMOSOMAL[chr11--chr17]"]	5.508	1.0	True
ZFTA--ANAPC11	17	ZFTA	4890	chr11:63764868:-	ANAPC11	16544	chr17:81894467:+	ONLY_REF_SPLICE	5e456dae-d7de-b629-fbb0-4fc5996179d9,893ca3e1-2834-0be8-0872-54b95a06fc44,42ca9462-ab25-6030-28a7-6fcf788dff73,f34bc827-230c-6bd1-8274-d7542ba81a19,bd8770ab-4f2f-f64c-bbf0-a832ae379a07,79905afa-9865-c727-1b54-b78c907b15cb,d488fe48-cb70-1fd4-74b1-da4dabc2007c,d4574b22-b5ca-9e53-fa4f-14f873bfd589,fe9dfd20-b289-838a-b59f-2071716cdfe3,47b1b2c8-3e70-f835-7e5e-15e5e5b8ecc8,ba8fedbf-8fc3-5cd5-91d5-b0b1bab4851e,7fe50704-44bd-ee11-d91d-d4c17bd2c1ec,afd80300-656d-2510-1729-26ecbc0a3524,3d8f43fd-ab58-1ba3-a567-9245d84f6827,5a2af17a-5799-d138-e9ab-f96892165830,8728523d-988d-ed34-85a2-7253babd6dad,1a78bd94-61f7-6458-b3ea-55312964c0e2	5.508	[]	5.508	1.0	True
SLFN14--NLRC4	17	SLFN14	4197	chr17:35557003:-	NLRC4	19290	chr2:32256893:-	ONLY_REF_SPLICE	fd0a0592-f76a-2d38-a6e7-db861133160f,ca4a2b70-238d-c349-c50a-3e82dcee8185,7e14b7ed-c421-cbd1-a835-f727843491f5,5638a0a8-8c6c-f722-3fcd-8559b7cfe447,68851fad-a9e6-ac0d-d693-2a2fce1739fd,08a5c07a-c67b-7ce8-8964-d17763bf9092,682dd7f7-72b6-042a-1793-c26ce1951f92,f47b68b3-9478-aabc-44be-bb61b3158ab2,feba6170-39d7-2bc4-f263-09340f0b235b,cb41c557-4e7d-0c1c-ad4e-845ff0299734,6600fa21-d3d9-5681-a142-b6ede666e11e,78b0e3ce-733c-5991-70d9-42c916b2e676,a1856150-6881-2331-4332-f4d6c670fb90,cba54f94-b184-933f-912e-824291479c74,412039b3-c4a8-6927-8ae5-91b1fc36fa88,9aaaba69-ea79-9f49-b332-0f5cd88c28c3,f6a1798e-ee2e-5d6e-edbc-7b5de830b538	5.508	["INTERCHROMOSOMAL[chr17--chr2]"]	5.508	1.0	True
