#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
BAG6--SLC44A4	35	BAG6	2050	chr6:31651656:-	SLC44A4	25651	chr6:31865784:-	ONLY_REF_SPLICE	2e395bfd-ec38-48c7-9a8b-f9f0845af4f9,f960f93e-734f-4d7c-adc6-330afeaa74c1,454abadf-7e05-4f17-8591-7de03c8259cb,cd478bf4-58bb-4aec-bc16-9dd3fdb51673,ed1c585f-f030-419c-9145-29f1682e7750,c832ea03-96c6-4827-8652-a230c802ea51,d50321a6-d34a-4e92-8bc9-ed353c3712ed,78e778d1-89d6-4b0f-8d19-c09ad590f253,3d27cf02-277b-4fcf-a665-a8a96043e549,7d710c63-8976-4e92-a1ea-395f71422aec,c022e6ae-e40d-4316-8195-464479edd055,098468fb-478d-4f39-af6d-bff88d008a5e,fe019325-1f00-464d-b33c-e50cfe0f7401,e99d1410-a2ed-40e5-b12f-62f6ceccbce7,9c7917ea-68eb-4bf4-8a15-5feb35391374,9c7bcc7e-ee6a-4346-9fa6-32f3973e49f7,30ff6544-fdfa-4919-8c1e-171aeaba37b3,6babacf8-bd97-45fd-b33e-9db47d25ffb9,50d610c3-8adc-40ab-acef-8a017189e6d5,c1bb6a2c-8c46-4ff7-bade-3c4aad50145d,80375fea-3be8-4360-81df-8919f0abc594,b8c3ab92-ddb6-4829-ab99-5a97610b0e5a,8e46f797-d0ac-498a-98db-bc26b9e12eff,5324d9cf-577f-4807-a131-de313f0300fe,b7a21e8d-d10c-4d33-8133-ff2dff676223,08f4fac4-f692-4220-8cac-7a6433a0243c,6652b561-afdd-477a-a9e5-b7aac4e55240,51ea7ece-10b8-4286-8c9e-f4e607191b45,d99fb379-7efe-4476-a5fa-b6bc6df4f2a6,d39c67f2-81f9-4f22-999e-05ab3c8023cd,aa668f3c-bd14-46bc-8779-05e2c052c563,2023cf8b-31b8-4069-81f6-1d9ea7be97c7,2c08fe15-d981-4b72-a38a-671e4a039654,c1cf4b99-524d-4f99-ae91-65d0139d279e,54a9cccb-d069-4526-9439-636ccb71af5a	18.331	["DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr6:0.21Mb]"]	18.331	1.0	True
ENSG00000204894--PSPHP1	10	ENSG00000204894	1093	chr7:55761799:+	PSPHP1	5244	chr7:55773181:+	INCL_NON_REF_SPLICE	87113a75-8445-48aa-bebb-d90f130e4450,ccb511ac-20c0-4c7c-8769-4b0d2426820c,4a32db7d-c16c-4013-be3c-f6cded225026,7a7b69ac-c639-4542-b949-89a0e93614e9,5d9a5f66-34fd-4690-8da1-bb704f3eff6c,3d8c22f6-0af7-403d-b785-7d98d0f38d12,ba3c928a-af1c-4c58-981c-7e7a6f0d1e73,0e411c80-ed78-4fdc-9083-ea4867d2644e,cba5a3b4-af9e-4fe8-9f5c-9232a4502468,d8819882-64b0-4f65-bfe0-8458ca3bfba1	5.237	[]	5.237	1.0	True
ENSG00000286680--ENSG00000227706	7	ENSG00000286680	2120	chr6:67887745:+	ENSG00000227706	9136	chr6:67887774:-	INCL_NON_REF_SPLICE	a936b4ac-b89e-4f8f-984b-566b642204fa,880a7140-a249-41f2-8558-bc6f78cde617,dc6f7e1f-3d58-408b-818c-c6a9d848c7ed,e34b410e-6889-4d14-97be-a06eb839824d,5f0a3252-5814-4760-9abd-e43137c715ff,3745ade1-e0ff-41fc-86a1-33508d1b7993,f5a6d0ff-2535-43e3-8472-a44c5fed0e21	3.666	[]	3.666	1.0	True
NUP214--XKR3	6	NUP214	42762	chr9:131199015:+	XKR3	61305	chr22:16808083:-	ONLY_REF_SPLICE	3e52f03c-0f31-4a84-b215-85d307fec68d,143ca00c-181d-4576-a2bc-f5bb1d89b5a3,c53e2ade-aaa5-4a6f-b0e4-46dbbcf882af,72c34b40-af64-4aa0-b068-a83a34662188,6d59dbe2-cc00-4c6d-afe9-dc9d39a7f0ae,dc8481d6-1d64-4587-870c-ae5e391cb27b	3.142	["Mitelman","DepMap2023","ChimerSeq","INTERCHROMOSOMAL[chr9--chr22]"]	3.142	1.0	True
GSE1--ATXN1-AS1	5	GSE1	8214	chr16:85556363:+	ATXN1-AS1	35879	chr6:16762352:+	ONLY_REF_SPLICE	9b9dea8e-4bf1-4672-a8a1-921ff561cc8c,5a83ff1c-dcef-4309-ad64-21f20ef3cdd7,96fad417-bfd7-4449-83e9-78475c4b34ee,fae66100-71ea-4cf9-a798-69339e9fab50,0e9c1ef7-8604-48cb-9e9d-3e3c15cee7af	2.619	[]	2.619	1.0	True
BAG6--SLC44A4	4	BAG6	2050	chr6:31651656:-	SLC44A4	25834	chr6:31865601:-	ONLY_REF_SPLICE	ff42eac1-b398-4a9d-afff-51f31a9fe44a,8c87bac1-f4d8-4287-b71f-537ac95ecb01,b93fb5b9-158c-43db-a854-d4958e51af5d,0fdbaaef-6e1b-41c1-9b6e-82c14641ee96	2.095	["DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr6:0.21Mb]"]	18.331	0.1142872729256451	True
ENSG00000204894--PSPHP1	4	ENSG00000204894	1092	chr7:55761798:+	PSPHP1	4391	chr7:55772328:+	INCL_NON_REF_SPLICE	9ead58ee-64f1-4426-ba79-f612f2b3dd48,2f33f5e2-bbe8-40aa-90f7-387b35090bd1,a9a000cb-6597-4a9f-b375-8b09ff6ec704,a96d4b57-056e-4926-b03b-ca78b3acfbd3	2.095	[]	5.237	0.40003818980332256	True
CEP70--FAIM	3	CEP70	6110	chr3:138571034:-	FAIM	28100	chr3:138621407:+	ONLY_REF_SPLICE	df61406c-0462-422c-966d-163e0d900436,6647d8e3-7f06-4723-a1c8-4a76247dbfe0,0daebd8d-6ac4-4bea-ba27-978c7f794ea3	1.571	["INTRACHROMOSOMAL[chr3:0.01Mb]","LOCAL_INVERSION:-:+:[14068]"]	1.571	1.0	True
ENSG00000251574--ENSG00000253584	3	ENSG00000251574	1210	chr5:105392761:-	ENSG00000253584	27274	chr5:105009987:-	INCL_NON_REF_SPLICE	160a9948-29b7-400c-81d1-ed0b93ab3e68,725dead2-ea56-432e-a21b-403bb5ccd9b4,28f836c6-bae0-4eae-81f6-b5f2b5b20101	1.571	[]	1.571	1.0	True
ERI2--ACSM3	3	ERI2	12052	chr16:20791958:-	ACSM3	28067	chr16:20756647:+	INCL_NON_REF_SPLICE	00d34c57-0a8a-4d95-8d67-5cff98b6729a,1fd126c4-5161-4711-9895-22d8fc2161a5,654ca007-408d-407e-a66d-0f0ebe0a77d5	1.571	["INTRACHROMOSOMAL[chr16:0.02Mb]","NEIGHBORS_OVERLAP:-:+:[17388]"]	1.571	1.0	True
TUBB--ENSG00000272540	3	TUBB	5246	chr6:30723402:+	ENSG00000272540	10862	chr6:30729018:+	INCL_NON_REF_SPLICE	67ecfa1e-6663-4dec-b846-e794bdd8d848,88bd8943-af57-49ea-a913-3c9b85a40d9b,35e7fe13-248a-4dd9-97a8-72213a41bc0a	1.571	[]	1.571	1.0	True
ENSG00000286680--ENSG00000227706	2	ENSG00000286680	2093	chr6:67887718:+	ENSG00000227706	9178	chr6:67887732:-	INCL_NON_REF_SPLICE	44c0b1dd-75ee-4670-acb3-28bbfd386ec6,c5c6269f-9114-49bb-81c6-9a7513f13bc5	1.047	[]	3.666	0.2855973813420622	True
UPF3A--CDC16	2	UPF3A	11555	chr13:114303150:+	CDC16	34134	chr13:114272184:+	INCL_NON_REF_SPLICE	9ed7a0de-d0f4-4be3-8e73-ad82dd12e40d,cf799820-0f4b-4022-a054-1405888ede52	1.047	["DEEPEST2019","TumorFusionsNAR2018","DepMap2023","ChimerSeq","TCGA_StarF2019","CCLE_StarF2019","INTRACHROMOSOMAL[chr13:0.01Mb]","LOCAL_REARRANGEMENT:+:[8861]"]	1.047	1.0	True
UPF3A--CDC16	2	UPF3A	11555	chr13:114303150:+	CDC16	34228	chr13:114272278:+	INCL_NON_REF_SPLICE	9d0c55c6-2173-493f-8718-8f23084831fb,93fb5012-b8b1-4e90-a4df-d16d8d1f0765	1.047	["DEEPEST2019","TumorFusionsNAR2018","DepMap2023","ChimerSeq","TCGA_StarF2019","CCLE_StarF2019","INTRACHROMOSOMAL[chr13:0.01Mb]","LOCAL_REARRANGEMENT:+:[8861]"]	1.047	1.0	True
SLC38A4-AS1--ENSG00000272369	2	SLC38A4-AS1	3783	chr12:46387972:+	ENSG00000272369	19729	chr12:46652390:+	ONLY_REF_SPLICE	15175406-0261-4e8a-a42c-70ba16689b33,01b27061-448a-4466-abd8-b3feef8651f1	1.047	[]	1.047	1.0	True
ENSG00000285899--MAOA	2	ENSG00000285899	2420	chrX:43288251:+	MAOA	14071	chrX:43683513:+	ONLY_REF_SPLICE	58c7d593-a910-4a89-a308-0ab6ded1db0c,bde12c69-87d6-48df-9bc8-889a58980550	1.047	[]	1.047	1.0	True
ENSG00000237137--NFIB	2	ENSG00000237137	1096	chr9:14402015:-	NFIB	12235	chr9:14307520:-	INCL_NON_REF_SPLICE	362219fd-df13-4a5d-a514-d5af45a40b1a,ee5937db-8b49-4c8b-88fa-12c33f5e40ab	1.047	[]	1.047	1.0	True
COMMD10--AP3S1	2	COMMD10	6060	chr5:116134178:+	AP3S1	21724	chr5:115866670:+	ONLY_REF_SPLICE	dd953c75-a6ac-4a48-9a5e-cf289ba093d0,b95a791b-6e6e-4da3-8360-15ac2357eae6	1.047	["GTEx_recurrent_StarF2019","DepMap2023","ChimerSeq","YOSHIHARA_TCGA","DEEPEST2019","Klijn_CellLines","ChimerPub","TumorFusionsNAR2018","INTRACHROMOSOMAL[chr5:0.17Mb]"]	1.047	1.0	True
BAG6--SLC44A4	2	BAG6	2418	chr6:31651288:-	SLC44A4	25498	chr6:31865937:-	INCL_NON_REF_SPLICE	7468e921-3ed6-4aa2-b22a-cbb299efcc5b,3379b97c-5600-43c5-affa-4aea8896e3e1	1.047	["DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr6:0.21Mb]"]	18.331	0.057116360264033605	True
PSMB1--VWA5A	1	PSMB1	4696	chr6:170546103:-	VWA5A	24018	chr11:124145237:+	ONLY_REF_SPLICE	ad9ecb92-bf68-4afa-b904-804d03d1b9e3	0.524	["INTERCHROMOSOMAL[chr6--chr11]"]	0.524	1.0	True
PTH2R--USP48	1	PTH2R	18593	chr2:208656989:+	USP48	47886	chr1:21721764:-	ONLY_REF_SPLICE	ab44985c-0271-4eb5-bb18-f6cc381c9620	0.524	["INTERCHROMOSOMAL[chr2--chr1]"]	0.524	1.0	True
PTDSS1--H4C8	1	PTDSS1	1318	chr8:96262219:+	H4C8	24783	chr6:26278477:-	ONLY_REF_SPLICE	3a004dfd-032b-4bac-b69d-8b15204e22d7	0.524	[]	0.524	1.0	True
PSMD2--HINT1	1	PSMD2	3461	chr3:184301658:+	HINT1	21452	chr5:131159611:-	ONLY_REF_SPLICE	c88e44cd-4079-4a8d-bb27-6261ff7fc00a	0.524	["INTERCHROMOSOMAL[chr3--chr5]"]	0.524	1.0	True
PSMC3IP--EEF1D	1	PSMC3IP	1619	chr17:42577213:-	EEF1D	19307	chr8:143586852:-	ONLY_REF_SPLICE	bc303868-af58-4342-8812-f8688d30ee0f	0.524	["INTERCHROMOSOMAL[chr17--chr8]"]	0.524	1.0	True
PSMA3--MDH2	1	PSMA3	4945	chr14:58257846:+	MDH2	17901	chr7:76054830:+	ONLY_REF_SPLICE	4e0be338-488f-434d-b289-74edd56f5d1b	0.524	["INTERCHROMOSOMAL[chr14--chr7]"]	0.524	1.0	True
PSMA3-AS1--EIF3E	1	PSMA3-AS1	1180	chr14:58297955:-	EIF3E	59091	chr8:108229195:-	ONLY_REF_SPLICE	e5ca299d-ca69-49b8-a416-d8fbae306212	0.524	["INTERCHROMOSOMAL[chr14--chr8]"]	0.524	1.0	True
RALBP1--SRPK2	1	RALBP1	2278	chr18:9476286:+	SRPK2	31173	chr7:105203785:-	ONLY_REF_SPLICE	c34a990e-d211-4cc4-84ac-f002aab8c981	0.524	["INTERCHROMOSOMAL[chr18--chr7]"]	0.524	1.0	True
PRRC2C--KATNA1	1	PRRC2C	1206	chr1:171485735:+	KATNA1	55668	chr6:149597641:-	ONLY_REF_SPLICE	6a6b7e07-e51f-4648-84be-9c3c21da5f69	0.524	["INTERCHROMOSOMAL[chr1--chr6]"]	0.524	1.0	True
PPP1R10--CLN3	1	PPP1R10	2822	chr6:30616478:-	CLN3	25254	chr16:28487741:-	ONLY_REF_SPLICE	41c02c71-9530-47bb-a57a-6ee75c4bfbc2	0.524	["INTERCHROMOSOMAL[chr6--chr16]"]	0.524	1.0	True
PPP1CB--CALM2	1	PPP1CB	9755	chr2:28781842:+	CALM2	31852	chr2:47162662:-	ONLY_REF_SPLICE	e105bb98-cb42-4b56-b481-8ed940f615ca	0.524	["INTRACHROMOSOMAL[chr2:18.36Mb]"]	0.524	1.0	True
POLR3K--AIG1	1	POLR3K	1133	chr16:53476:-	AIG1	12330	chr6:143165082:+	ONLY_REF_SPLICE	9f3961ee-b178-4fe5-ac09-f802f91e1edc	0.524	["INTERCHROMOSOMAL[chr16--chr6]"]	0.524	1.0	True
QDPR--LCORL	1	QDPR	5740	chr4:17501719:-	LCORL	40159	chr4:17845901:-	ONLY_REF_SPLICE	7567067c-6c1c-4875-a22d-d1f36f60e27d	0.524	["INTRACHROMOSOMAL[chr4:0.33Mb]"]	0.524	1.0	True
RCC1--VDAC3	1	RCC1	2916	chr1:28508901:+	VDAC3	29116	chr8:42404867:+	ONLY_REF_SPLICE	2a5609a2-f821-4dc8-a03d-566f4f9e9270	0.524	["INTERCHROMOSOMAL[chr1--chr8]"]	0.524	1.0	True
RBM33-DT--RANBP1	1	RBM33-DT	2738	chr7:155643468:-	RANBP1	13070	chr22:20122264:+	ONLY_REF_SPLICE	9e973e04-a37d-4b70-a5b0-ce5bc0351b09	0.524	[]	0.524	1.0	True
RCC1--CCNI	1	RCC1	2920	chr1:28508905:+	CCNI	26241	chr4:77055380:-	ONLY_REF_SPLICE	1ff75212-7434-427f-afa1-d01602de3f1f	0.524	["INTERCHROMOSOMAL[chr1--chr4]"]	0.524	1.0	True
RCC1--COX5B	1	RCC1	2920	chr1:28508905:+	COX5B	19883	chr2:97647067:+	ONLY_REF_SPLICE	36838e48-e208-44e6-9a94-6fee45de35bf	0.524	["INTERCHROMOSOMAL[chr1--chr2]"]	0.524	1.0	True
RCC1--HSP90B1	1	RCC1	2916	chr1:28508901:+	HSP90B1	27098	chr12:103938340:+	ONLY_REF_SPLICE	b16967b3-059d-4429-a895-daaf4e9024ce	0.524	["INTERCHROMOSOMAL[chr1--chr12]"]	0.524	1.0	True
RCC1--PCMT1	1	RCC1	2920	chr1:28508905:+	PCMT1	21763	chr6:149771162:+	ONLY_REF_SPLICE	7ba184a7-2488-4f40-b52a-dcf44de8d5d9	0.524	["INTERCHROMOSOMAL[chr1--chr6]"]	0.524	1.0	True
RCC1--TMEM67	1	RCC1	2920	chr1:28508905:+	TMEM67	35620	chr8:93786223:+	ONLY_REF_SPLICE	a2995701-6ace-4350-baa6-1e7653c58b7f	0.524	["INTERCHROMOSOMAL[chr1--chr8]"]	0.524	1.0	True
RCC1--TTF2	1	RCC1	2920	chr1:28508905:+	TTF2	41200	chr1:117102194:+	ONLY_REF_SPLICE	bb7335f1-c5cd-4f66-81fe-27313c0dc7d2	0.524	["INTRACHROMOSOMAL[chr1:88.52Mb]"]	0.524	1.0	True
POLR1HASP--UPF2	1	POLR1HASP	3533	chr6:30058115:-	UPF2	37143	chr10:12014184:-	ONLY_REF_SPLICE	5df2fd03-82a7-4237-a161-f45e5c90b7cd	0.524	[]	0.524	1.0	True
RNF130--NDUFV2	1	RNF130	4104	chr5:180013061:-	NDUFV2	30811	chr18:9117838:+	ONLY_REF_SPLICE	1092b119-45ea-4147-835f-9ca11d36cbe9	0.524	["INTERCHROMOSOMAL[chr5--chr18]"]	0.524	1.0	True
RNF146--PARD3B	1	RNF146	2480	chr6:127280340:+	PARD3B	34242	chr2:205300530:+	ONLY_REF_SPLICE	b99a4a2b-5824-43db-b215-13f54f297401	0.524	["INTERCHROMOSOMAL[chr6--chr2]"]	0.524	1.0	True
RPL18A--POLRMT	1	RPL18A	2563	chr19:17861472:+	POLRMT	19650	chr19:617323:-	ONLY_REF_SPLICE	33199bcb-3b04-4e4b-a25a-cca05850de8b	0.524	["INTRACHROMOSOMAL[chr19:17.23Mb]"]	0.524	1.0	True
RPL39--MRPL4	1	RPL39	2723	chrX:119789908:-	MRPL4	13043	chr19:10258222:+	ONLY_REF_SPLICE	20abf228-6521-4b77-8722-88c3ed92f502	0.524	["INTERCHROMOSOMAL[chrX--chr19]"]	0.524	1.0	True
POLR2C--H2AZ2	1	POLR2C	3901	chr16:57466227:+	H2AZ2	15154	chr7:44834562:-	ONLY_REF_SPLICE	e8acac0d-e9ba-4e18-add9-9b5e089270e4	0.524	[]	0.524	1.0	True
ORC2--CALCRL	1	ORC2	18761	chr2:200913295:-	CALCRL	28791	chr2:187431364:-	ONLY_REF_SPLICE	fe5ca1fd-775a-4989-9b07-69709153534d	0.524	["INTRACHROMOSOMAL[chr2:13.46Mb]"]	0.524	1.0	True
PLSCR1--MRPS6	1	PLSCR1	7346	chr3:146528614:-	MRPS6	19399	chr21:34102835:+	ONLY_REF_SPLICE	54dd1fac-3279-46e0-a139-0691a6f3b37d	0.524	["INTERCHROMOSOMAL[chr3--chr21]"]	0.524	1.0	True
NRIP3--ENO1	1	NRIP3	5402	chr11:8985711:-	ENO1	18463	chr1:8874917:-	ONLY_REF_SPLICE	ac041aba-fa97-411c-9fdc-985e31bdcba9	0.524	["INTERCHROMOSOMAL[chr11--chr1]"]	0.524	1.0	True
MOSPD2--DNAJB6	1	MOSPD2	1338	chrX:14873758:+	DNAJB6	43879	chr7:157409795:+	ONLY_REF_SPLICE	f30e5e73-a29f-4d25-849e-5bebf44ebc66	0.524	["INTERCHROMOSOMAL[chrX--chr7]"]	0.524	1.0	True
MPDU1--TTC1	1	MPDU1	3112	chr17:7586078:+	TTC1	25258	chr5:160049514:+	ONLY_REF_SPLICE	80917731-80b2-40bb-b22b-a84c1d1f8949	0.524	["INTERCHROMOSOMAL[chr17--chr5]"]	0.524	1.0	True
MRPL42--EAPP	1	MRPL42	5462	chr12:93479472:+	EAPP	33265	chr14:34516586:-	ONLY_REF_SPLICE	bf7f167d-25ae-40ab-a0c2-f8af6312ec97	0.524	["INTERCHROMOSOMAL[chr12--chr14]"]	0.524	1.0	True
MS4A3--RAD18	1	MS4A3	2539	chr11:60061316:+	RAD18	14218	chr3:8948570:-	ONLY_REF_SPLICE	87ca145b-f567-4b99-9361-6fc47ba756cd	0.524	["INTERCHROMOSOMAL[chr11--chr3]"]	0.524	1.0	True
MYL6--PABPC1	1	MYL6	2277	chr12:56159622:+	PABPC1	10075	chr8:100721886:-	ONLY_REF_SPLICE	1eb28955-1bdb-48a2-ab1b-c47b00b557fe	0.524	["INTERCHROMOSOMAL[chr12--chr8]"]	0.524	1.0	True
MYO16--GOT1-DT	1	MYO16	12930	chr13:108823278:+	GOT1-DT	55646	chr10:99437631:+	ONLY_REF_SPLICE	dd28b16f-f2c7-441f-822e-849ccd12c885	0.524	[]	0.524	1.0	True
NBR2--TRMT44	1	NBR2	1220	chr17:43125770:+	TRMT44	35087	chr4:8493266:+	ONLY_REF_SPLICE	6f9c790c-3bc4-42f0-a2d4-8d6145512f2a	0.524	["INTERCHROMOSOMAL[chr17--chr4]"]	0.524	1.0	True
NDUFV3--ATG12	1	NDUFV3	5806	chr21:42897047:+	ATG12	20414	chr5:115837764:-	ONLY_REF_SPLICE	085761c2-9fee-4686-8f69-94da15ad5062	0.524	["INTERCHROMOSOMAL[chr21--chr5]"]	0.524	1.0	True
NIHCOLE--ENSG00000251574	1	NIHCOLE	4845	chr5:104104287:+	ENSG00000251574	34874	chr5:104484652:-	ONLY_REF_SPLICE	b66fc4ab-97f7-429c-b046-cbbe37eb3b24	0.524	[]	0.524	1.0	True
NNT-AS1--HSPA9	1	NNT-AS1	1453	chr5:43602778:-	HSPA9	25598	chr5:138558657:-	ONLY_REF_SPLICE	01a99b8f-f9f3-4ec7-bd1f-b404c8a757c5	0.524	["INTRACHROMOSOMAL[chr5:94.95Mb]"]	0.524	1.0	True
NPEPPS--ANAPC5	1	NPEPPS	9185	chr17:47579511:+	ANAPC5	60413	chr12:121318424:-	ONLY_REF_SPLICE	b26b04c6-ccb8-4943-9ee3-b05c84a85708	0.524	["INTERCHROMOSOMAL[chr17--chr12]"]	0.524	1.0	True
NUDC--RAB1A	1	NUDC	7546	chr1:26941818:+	RAB1A	18139	chr2:65091078:-	ONLY_REF_SPLICE	89e364f2-4cd4-429f-9303-2f921f75a903	0.524	["INTERCHROMOSOMAL[chr1--chr2]"]	0.524	1.0	True
PIGB--ZNF100	1	PIGB	11345	chr15:55341802:+	ZNF100	28719	chr19:21727989:-	ONLY_REF_SPLICE	ac118c14-4304-491a-ac70-c7f36798ba31	0.524	["INTERCHROMOSOMAL[chr15--chr19]"]	0.524	1.0	True
NUDT13--CARS2	1	NUDT13	7877	chr10:73125243:+	CARS2	40636	chr13:110642521:-	ONLY_REF_SPLICE	8a3c743e-6aee-4e01-ab82-58fbea0f6da3	0.524	["INTERCHROMOSOMAL[chr10--chr13]"]	0.524	1.0	True
NUDT21--GFPT1	1	NUDT21	6779	chr16:56439657:-	GFPT1	35518	chr2:69327075:-	ONLY_REF_SPLICE	0e668fe8-410e-4346-8710-f3fe0cbfdeb4	0.524	["INTERCHROMOSOMAL[chr16--chr2]"]	0.524	1.0	True
NUSAP1--INO80	1	NUSAP1	3090	chr15:41333050:+	INO80	58531	chr15:40987974:-	ONLY_REF_SPLICE	48791034-f630-4894-a93e-7ffb9f0047f5	0.524	["INTRACHROMOSOMAL[chr15:0.22Mb]"]	0.524	1.0	True
