sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
NA12878_ONT_dRNA_Q10,CCDC32:CBX3,chr15,40561981,-,chr7,26201745,+,Inf,0,4,FALSE,TRUE,TRUE,27596130-df5d-4840-a127-8e376647f237,330,HighConfidence,Yes
NA12878_ONT_dRNA_Q10,CCDC32:CBX3,chr15,40562778,-,chr7,26201767,+,Inf,0,4,NA,FALSE,TRUE,1be9f00b-61e8-43b0-a127-7f7cf73fcf5d,250,LowConfidence,Yes
NA12878_ONT_dRNA_Q10,SETD5:THUMPD3,chr3,9424526,+,chr3,9374516,+,50.006,0,1,FALSE,TRUE,TRUE,eeacf0ed-69b9-472a-91a9-6c58a2d8278d,315,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,GSPT1:TNFRSF17,chr16,11897840,-,chr16,11967570,+,69.728,0,1,TRUE,TRUE,TRUE,41cfae68-2cac-4425-a9ed-0464e076bdb5,648,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,SNRPD1:ESCO1,chr18,21612443,+,chr18,21540700,-,71.743,0,1,FALSE,TRUE,TRUE,8aa8f0df-d311-4628-b07f-e1cb96f72995,198,PotentialTransSplicing,Yes
NA12878_ONT_dRNA_Q10,LINC01340:LINC02234,chr5,97670684,+,chr5,97881430,+,210.749,0,1,FALSE,TRUE,FALSE,3ede7682-bb3e-46c4-83d6-7e868192d97f,571,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,TRPM7:GABPB1,chr15,50609581,-,chr15,50309798,-,299.785,0,1,TRUE,TRUE,FALSE,9a9dc6ae-3942-478b-b102-677bfdf7aa15,1426,PotentialTransSplicing,Yes
NA12878_ONT_dRNA_Q10,CMSS1:TBC1D23,chr3,99818043,+,chr3,100290578,+,472.543,0,1,FALSE,TRUE,FALSE,8e3effe1-52c1-4fc7-b1f0-7b37e02d80bb,172,PotentialTransSplicing,Yes
NA12878_ONT_dRNA_Q10,MAML2:CEP57,chr11,96341383,-,chr11,95799232,+,542.154,0,1,TRUE,TRUE,TRUE,89dc20ae-6d2a-4bfe-a35e-2b89ac21f4ee,1727,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,SELENOT:RSRC1,chr3,150603499,+,chr3,158203072,+,7599.575,0,1,TRUE,TRUE,FALSE,555284f6-6ce1-4dd2-83c5-01804347ba26,163,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,GFOD1:GMDS,chr6,13486638,-,chr6,1624540,-,11862.102,0,1,FALSE,TRUE,FALSE,6ee83645-19f0-45dc-a68a-61ae1ef03057,950,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,SMG1:FUS,chr16,18890863,-,chr16,31190742,+,12299.876,0,1,TRUE,TRUE,TRUE,22a6c92b-2677-4503-b039-3ef3ce941243,581,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,TEC:USO1,chr4,48228477,-,chr4,75752373,+,27523.895,0,1,TRUE,TRUE,TRUE,73ce7ee2-01fd-4269-9b9f-947c3df8b9c9,214,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,SLK:JMJD1C,chr10,103993133,+,chr10,63177856,-,40815.275,0,1,TRUE,TRUE,TRUE,44e274a8-5754-4b2f-b3e4-262f875efd08,1059,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,SSBP2:ENSG00000272772,chr5,81615473,-,chr5,134174022,-,52558.546,0,1,TRUE,TRUE,TRUE,2d51cee7-4782-49a5-b8ce-c5669084bdc7,281,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,GTF2I:PHF14,chr7,74658068,+,chr7,11111350,+,63546.715,0,1,FALSE,TRUE,TRUE,c05c5311-2844-4f8e-92a7-19959410904f,310,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,ARHGAP19:SRP9,chr10,97266079,-,chr1,225777935,+,Inf,0,1,FALSE,TRUE,TRUE,7f30096f-da40-4c62-bb65-23d6799451ea,110,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,CCDC88B:HNRNPA1,chr11,64343914,+,chr12,54281795,+,Inf,0,1,TRUE,TRUE,TRUE,34fb5445-07aa-4ad4-829f-e906577cbfd9,1448,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,MAGOHB:BMPR2,chr12,10607854,-,chr2,202518822,+,Inf,0,1,FALSE,TRUE,TRUE,278ae9b1-5222-4b96-bb45-2faffb41b052,832,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,FBXO21:KPNA6,chr12,117172471,-,chr1,32163235,+,Inf,0,1,TRUE,TRUE,TRUE,7034ac10-61e6-444f-96d6-4f21f2abafea,976,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,STK24:GRK5,chr13,98576745,-,chr10,119380815,+,Inf,0,1,FALSE,TRUE,TRUE,2510419b-a7d6-48e0-b1ea-47283279e2b6,408,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,ENSG00000258760:KNTC1,chr14,65318491,-,chr12,122594276,+,Inf,0,1,FALSE,TRUE,TRUE,c0214465-af5e-42c5-9205-81d20ef7d90c,231,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,DENND4A:USP9X,chr15,65752379,-,chrX,41205303,+,Inf,0,1,TRUE,TRUE,TRUE,037c9d4b-8c4b-44e9-b872-4351b73caf8d,733,PotentialTransSplicing,-
NA12878_ONT_dRNA_Q10,RPL4:SND1,chr15,66502612,-,chr7,127990947,+,Inf,0,1,TRUE,TRUE,TRUE,e06fff3e-d1cb-4551-8820-0fc12f911125,449,PotentialTransSplicing,-
