##VERSION=0.4.1
##SAMPLE=UnnamedSample
##READTYPE=UNKNOWN
##TIME=2024-08-16T00:11:48.379522685Z
##COMMAND=pbfusion discover --gtf /Reference/annotation.bin --output-prefix /dataset/pbfusion/pbfusion --threads 50 --min-coverage 1 -b /dataset/pbfusion/Hct116_ONT_dcDNA_Q10.bam
##INFO=<ID=RC,Number=1,Type=Int,Description="Number of reads supporting breakpoints">
##INFO=<ID=MD,Number=1,Type=Float,Description="Mean breakpoint variability (bp)">
##INFO=<ID=GN,Number=List,Type=String,Description="Gene names in breakpoint cluster from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GI,Number=List,Type=String,Description="Gene IDs from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GC,Number=List,Type=Int,Description="Read support counts per gene name">
##INFO=<ID=CL,Number=1,Type=String,Description="Annotation of alignment classes [Fusion, ReadThrough, Unannotated, or SenseAntisense]">
##INFO=<ID=MQ,Number=2,Type=Float,Description="Phred-encoded mean map qualities for source and sink breakpoints, respectively; averaged in error probability space, not phred scores">
##INFO=<ID=MI,Number=2,Type=Float,Description="Mean alignment identity for the source and sink breakpoints, respectively">
##INFO=<ID=SA,Number=2,Type=Int,Description="Supplemental alignment counts for the source and sink">
##INFO=<ID=BP,Number=1,Type=Int,Description="Number of breakpoint pairs in cluster">
##INFO=<ID=EX,Number=2,Type=Int,Description="Counts of exonic breakpoints for the source and sink">
##INFO=<ID=IN,Number=2,Type=Int,Description="Counts of intronic breakpoints for the source and sink">
##INFO=<ID=AC,Number=List,Type=String,Description="Annotation of all breakpoints supported by reads in this cluster.">
##EXTRA=<ID=RN,Number=List,Type=String,Description="Names of reads contributing support">
##EXTRA=<ID=ON,Number=List,Type=String,Description="Names of reads contributing support if read clustering was used">
##EXTRA=<ID=CB,Number=List,Type=String,Description="Single cell barcodes contributing support">
#chr1	start1	end1	chr2	start2	end2	id	score	strand1	strand2	info	extra
KI270734.1	131985	131986	chr22	18910912	18910913	BP2546	MEDIUM	+	+	RC=1;MD=0;GN=ENSG00000278817,DGCR6;GI=ENSG00000278817.1,ENSG00000183628.14;GC=1,1;CL=FUSION:1;MQ=0,0;MI=0.971014,0.982456;SA=0,1;BP=1;EX=1,1;IN=0,0;AC=KI270734.1:131985+/chr22:18910912+	RN=56ed8273-cc89-4d38-97fd-7d00132b97ce-ccs;ON=.;CB=.
chr1	16934	16935	chr1	185311	185312	BP55	MEDIUM	-	-	RC=1;MD=0;GN=WASH7P,WASH9P;GI=ENSG00000227232.5,ENSG00000279457.4;GC=1,1;CL=FUSION:1;MQ=0,5;MI=0.991453,0.886544;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr1:16934-/chr1:185311-	RN=b7a38579-4968-4a7d-9eeb-abd9aeee71d4-ccs;ON=.;CB=.
chr1	17613	17614	chr1	185352	185353	BP56	MEDIUM	-	-	RC=1;MD=0;GN=ENSG00000290823,WASH7P,WASH9P;GI=ENSG00000290823.1,ENSG00000227232.5,ENSG00000279457.4;GC=1,1,1;CL=FUSION:1;MQ=2.67834,1;MI=0.933266,0.915633;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr1:17613-/chr1:185352-,chr15:101966223+/chr1:17744-	RN=e64e68cd-1f01-4a27-86d3-85eb7b37aebe-ccs;ON=.;CB=.
chr1	24735	24736	chr9	17819	17820	BP71	MEDIUM	-	-	RC=1;MD=0;GN=WASH7P,WASHC1;GI=ENSG00000227232.5,ENSG00000181404.18;GC=1,1;CL=FUSION:1;MQ=1,0;MI=0.932927,0.970874;SA=0,1;BP=1;EX=1,1;IN=0,0;AC=chr1:24735-/chr9:17819-	RN=21877633-ebfc-4ffd-9e61-c55bd47a1f22-ccs;ON=.;CB=.
chr1	195266	195267	chr16	17413	17414	BP86	MEDIUM	-	-	RC=1;MD=0;GN=WASH9P,WASH4P;GI=ENSG00000279457.4,ENSG00000234769.7;GC=1,1;CL=FUSION:1;MQ=1,23;MI=0.985816,0.968504;SA=0,1;BP=1;EX=1,1;IN=0,0;AC=chr1:195266-/chr16:17413-	RN=cf811e76-8f88-4f33-b972-bbb678993ccd-ccs;ON=.;CB=.
chr1	827650	827651	chr1	847663	847664	BP60	MEDIUM	-	+	RC=1;MD=0;GN=N/A,ENSG00000230021,LINC01128;GI=N/A,ENSG00000230021.10,ENSG00000228794.12;GC=1,1,1;CL=SenseAntisense:1;MQ=28.0089,56.817;MI=0.925032,0.917881;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:827650-/chr1:847663+,chr1:853387-/chr1:827774-	RN=3a271005-85cd-4cf4-a3ea-5147714891cb-ccs;ON=.;CB=.
chr1	944215	944216	chr10	73998100	73998101	BP72	MEDIUM	-	+	RC=1;MD=0;GN=NOC2L,VCL;GI=ENSG00000188976.11,ENSG00000035403.18;GC=1,1;CL=FUSION:1;MQ=50,44.9131;MI=0.931818,0.95404;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:944215-/chr10:73998100+	RN=bcb75ac5-c2f5-4f7a-a633-889a53250293-ccs;ON=.;CB=.
chr1	954087	954088	chr2	130230077	130230078	BP60	MEDIUM	-	+	RC=1;MD=0;GN=NOC2L,NOC2LP1;GI=ENSG00000188976.11,ENSG00000213225.7;GC=1,1;CL=FUSION:1;MQ=60,39;MI=0.937402,0.867954;SA=1,0;BP=1;EX=0,1;IN=1,0;AC=chr1:954087-/chr2:130230077+	RN=5b4329b1-00f2-4f96-ae9e-cebb012bb80f-ccs;ON=.;CB=.
chr1	957275	957276	chr2	130229541	130229542	BP61	MEDIUM	-	+	RC=1;MD=0;GN=NOC2L,NOC2LP1;GI=ENSG00000188976.11,ENSG00000213225.7;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.921472,0.8716;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr1:957275-/chr2:130229541+	RN=549ae624-3de4-4de2-8404-9a0beb283528-ccs;ON=.;CB=.
chr1	1228651	1228652	chr13	52473870	52473871	BP80	MEDIUM	-	+	RC=1;MD=0;GN=SDF4,CKAP2;GI=ENSG00000078808.20,ENSG00000136108.15;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.942177,0.943493;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:1228651-/chr13:52473870+	RN=e4b150ac-ba1d-4457-86c9-097b720ec07c-ccs;ON=.;CB=.
