sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
K562_ONT_dRNA_Q10,BAG6:SLC44A4,chr6,31651656,-,chr6,31865784,-,214.126,0,11,FALSE,TRUE,TRUE,0aa48e6a-bc83-4a93-9617-57b21bb020bf,345,HighConfidence,-
K562_ONT_dRNA_Q10,HBG2:HBE1,chr11,5505357,-,chr11,5270158,-,235.199,0,5,NA,FALSE,FALSE,348c5bc6-8175-4cef-ad66-48729b6bd73d,272,LowConfidence,-
K562_ONT_dRNA_Q10,PSPH:ENSG00000249773,chr7,56051138,-,chr7,55954909,+,96.232,0,1,FALSE,TRUE,TRUE,75e09d91-bb88-4031-b165-921b2cf17423,290,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,EPS8:STRAP,chr12,15789161,-,chr12,15889928,+,100.764,0,1,FALSE,TRUE,TRUE,659c6e9c-d9a1-434a-9043-5d650a45e809,258,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,C16orf87:ORC6,chr16,46824386,-,chr16,46695562,+,128.827,0,1,FALSE,TRUE,TRUE,2b69b3a0-2bce-4783-b3c3-f6686092ebcc,389,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,ENSG00000251095:MMRN1,chr4,89587940,+,chr4,89909276,+,321.34,0,1,FALSE,TRUE,FALSE,1772fe14-077d-4bac-b939-08860e0d12c0,629,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,MGC4859:PHF14,chr7,10561482,-,chr7,11169416,+,607.931,0,1,FALSE,TRUE,TRUE,02fae53b-f6f8-43c3-8ed2-920073d21930,158,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,LBR:H3-3A,chr1,225427954,-,chr1,226064329,+,636.374,0,1,FALSE,TRUE,TRUE,3aadd57d-9dd2-4828-b3c4-dc1001a4ca27,115,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,CHD2:SLCO3A1,chr15,92937625,+,chr15,92094881,+,842.741,0,1,FALSE,TRUE,TRUE,576277bb-ed16-477a-be3c-3abef177336b,820,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,EFCAB2:SMYD3,chr1,245083688,+,chr1,245929937,-,846.253,0,1,FALSE,TRUE,TRUE,8539b0b7-0802-4f1f-9bf8-4327232ab16c,210,PotentialTransSplicing,Yes
K562_ONT_dRNA_Q10,CEP72:ENSG00000291079,chr5,620261,+,chr5,1629630,-,1009.371,0,1,FALSE,TRUE,TRUE,7b7f1a53-8a1f-4210-a5be-e1da22bce172,415,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,ENSG00000248837:LCORL,chr4,23105616,+,chr4,17845901,-,5259.726,0,1,FALSE,TRUE,TRUE,d4e7ca0f-4fb3-49ee-91fb-58e98b2c67f6,339,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,NDUFS7:KEAP1,chr19,1388938,+,chr19,10486818,-,9097.881,0,1,FALSE,TRUE,TRUE,a983c5c2-7d9b-4564-a28f-9acc54cb85d0,232,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,RUFY3:PPA2,chr4,70705294,+,chr4,105456745,-,34751.451,0,1,TRUE,TRUE,TRUE,32749d4a-a142-408c-a3de-a3f2d4aa4177,462,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,FASN:RPL23,chr17,82095320,-,chr17,38852732,-,43242.592,0,1,TRUE,TRUE,FALSE,4baa74e5-dc55-4010-b9f7-ff3f0d74a4a9,367,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,EDEM3:TMEM59,chr1,184754489,-,chr1,54043525,-,130710.966,0,1,FALSE,TRUE,FALSE,58c3e55c-a44d-4782-9d48-86e60c075515,296,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,ENSG00000271741:SRP9,chr1,34992234,-,chr1,225777935,+,190785.698,0,1,FALSE,TRUE,TRUE,38d821a5-6b30-40ba-9ed3-5a0c49d81ae9,405,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,MINPP1:DGLUCY,chr10,87508533,+,chr14,91224684,+,Inf,0,1,FALSE,TRUE,TRUE,d09bda23-c486-4981-bd6e-d078238d1fed,817,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,PEX11B:NAP1L1,chr1,145916817,-,chr12,76053110,-,Inf,0,1,FALSE,TRUE,TRUE,aebb023f-4c7f-4eb5-a4cb-f290d9af0a6d,356,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,CEP295:RPL23,chr11,93721412,+,chr17,38852732,-,Inf,0,1,FALSE,TRUE,TRUE,2b5b189a-56ca-43d4-bdcc-73e714c4b9b1,459,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,TXNRD1:ENSG00000289609,chr12,104339273,+,chr6,43998951,+,Inf,0,1,FALSE,TRUE,TRUE,9bc0934c-76d5-47ea-9cf3-98981a3500ed,568,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,PXMP2:BAG1,chr12,132701369,+,chr9,33259033,-,Inf,0,1,TRUE,TRUE,TRUE,9006d4a8-9db3-4263-a281-cc29174ca60a,558,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,SENP1:SND1,chr12,48063710,-,chr7,127929188,+,Inf,0,1,TRUE,TRUE,TRUE,ec636a17-d26e-4aba-bba0-80461a7c59fa,816,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,RCC1:PEX6,chr1,28508905,+,chr6,42975038,-,Inf,0,1,FALSE,TRUE,TRUE,02227c22-f9a9-402e-8046-2774355bc2af,141,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,RAD51B:ZCCHC7,chr14,67887204,+,chr9,37302188,+,Inf,0,1,FALSE,TRUE,TRUE,efdff1ca-071d-4704-bc25-936a16d9d6b0,827,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,CALM1:B2M,chr14,90397233,+,chr15,44715423,+,Inf,0,1,FALSE,TRUE,TRUE,1efdbfb8-6119-48ee-b37b-912069a93016,187,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,EPS15:HCG18,chr1,51394381,-,chr6,30314482,-,Inf,0,1,FALSE,TRUE,TRUE,17ab2678-8995-492e-ad83-7c6236364639,849,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,SPAG5:N4BP2L2,chr17,28591698,-,chr13,32521449,-,Inf,0,1,TRUE,TRUE,TRUE,9ff869b9-1ff1-4017-848c-55b7a716674e,883,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,RPL23:CCM2,chr17,38853022,-,chr7,45072726,+,Inf,0,1,TRUE,TRUE,TRUE,f45f5731-47e8-4b86-bcfc-9fa4ab260413,114,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,AFG3L2:PDIA6,chr18,12351306,-,chr2,10788769,-,Inf,0,1,TRUE,TRUE,TRUE,1c844ce0-b50a-433a-b453-415aa00bec6b,436,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,NDUFV2-AS1:GNAS,chr18,9136364,-,chr20,58895612,+,Inf,0,1,FALSE,TRUE,TRUE,5ef8873c-bddd-47bc-a409-394a40d0c07a,184,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,SYMPK:LINC02780,chr19,45838461,-,chr1,4012231,+,Inf,0,1,FALSE,TRUE,TRUE,59382eff-3738-4a14-a21f-6ec5b53e4c33,1446,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,ENSG00000226043:TFDP2,chr21,22212813,+,chr3,141953016,-,Inf,0,1,FALSE,TRUE,TRUE,0ef657f6-1625-4f7a-b5c2-1671f49d96be,311,PotentialTransSplicing,-
K562_ONT_dRNA_Q10,THAP9:EZH2,chr4,82907935,+,chr7,148815546,-,Inf,0,1,TRUE,TRUE,TRUE,985cdb69-28c3-4914-8cd3-8cdc272a0529,748,PotentialTransSplicing,-
