#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
MTAP--CDKN2B-AS1	18	MTAP	7463	chr9:21818202:+	CDKN2B-AS1	69974	chr9:22127103:+	ONLY_REF_SPLICE	f158dfbd-d262-41e3-a32d-00212ddec541,d3c580fc-5e5c-4737-943f-f45274c6e0ff,be57a45a-869d-4981-8244-febca3105682,819443a1-a68d-48e4-a6c8-17d2bde9d8ca,c64fabe5-35f9-49ec-a0fc-5354a9bcc6b3,c86938a9-35e0-4b1d-a60e-c266ac30ae81,78cc1c8f-e07e-49b7-b142-e2414b6da7d9,d8b3ed22-b4e6-4f7d-a10d-462a9ed53375,6a61f958-3de1-41cf-a63d-a8355191684b,ca810903-dde7-41d8-af6b-9d36d4390da5,42570300-f737-4322-a867-c11cf410fed1,ad2281d2-4d2a-447d-aa3a-ebc26d12e815,259106cf-8d3c-4dbb-b149-3d4b6d8e38b6,8a835abe-2052-413a-9f72-2ba6b88e33a2,20de015e-ce7c-4cd4-b93e-1f00ccd40186,6614cbc6-eade-4824-98a7-7327c79d5e8a,52ea858d-0c20-4914-820b-9d98ec26e593,30332b79-7625-4a0d-aa5e-01b4fb587578	10.361	["DepMap2023","ChimerSeq","TCGA_StarF2019","CCLE_StarF2019","INTRACHROMOSOMAL[chr9:0.06Mb]","NEIGHBORS[57127]"]	10.361	1.0	True
RICTOR--FYB1	6	RICTOR	1292	chr5:39074111:-	FYB1	55730	chr5:39141141:-	ONLY_REF_SPLICE	69cfebeb-8885-49ff-8e4f-1bd4794abf1c,c24e9d3a-bc00-42a0-afec-96590d09c0ca,dc21c55f-35e4-48a2-8ef7-862be8911f5f,7ebb608c-3b1f-41df-a501-91651b3a9e65,bc64eace-9194-4659-a442-3093aa5ade8c,7d700eae-54f3-4b64-96c6-ba23ca590f00	3.454	["TCGA_StarF2019","CCLE_StarF2019"]	3.454	1.0	True
MGST1--ENSG00000283240	5	MGST1	18133	chr12:16383604:+	ENSG00000283240	25727	chr12:16735034:+	INCL_NON_REF_SPLICE	e2295955-b2e2-4be6-875a-8c478a5e30a1,b0304ab7-0be8-46f3-8d2c-039a4eb9588b,a1237262-c01b-4fdb-b64a-f2c82adad97a,f9874998-8e33-4f8b-9276-a8a62dcda053,68feb80a-19e0-47f7-8b97-4b2a2bda1533	2.878	[]	2.878	1.0	True
SCAMP2--WDR72	4	SCAMP2	8977	chr15:74845473:-	WDR72	25515	chr15:53706074:-	ONLY_REF_SPLICE	319721cf-dd3d-4303-9511-dbee0ee96875,a92ca091-a475-481d-bbb2-557b34ece8fc,e4601c10-243d-47db-b878-bd95bcf3ce2d,d2596d26-b01f-43a2-af34-57bfecbd5bc1	2.302	["Klijn_CellLines","DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr15:21.08Mb]"]	2.302	1.0	True
ZNF43--ENSG00000284500	4	ZNF43	11455	chr19:21836036:-	ENSG00000284500	31408	chr15:22030926:+	ONLY_REF_SPLICE	22712685-de58-4ba0-9c19-30e5b320ad46,99f5c719-7620-4b39-9f69-3a3ec506400c,8631b7e7-c254-4f6a-a15a-6643d26ceec2,7f322a2c-e226-4885-808a-e27bb291dd72	2.302	[]	2.302	1.0	True
ACACA--PLXDC1	3	ACACA	12168	chr17:37330173:-	PLXDC1	88878	chr17:39109391:-	ONLY_REF_SPLICE	562dabd7-e621-464c-a561-4ba96a0c4567,b40619f8-583f-408e-81ed-31804357cc33,29ffd8c3-9077-4d8b-b86a-18eff4477c31	1.727	["INTRACHROMOSOMAL[chr17:1.66Mb]"]	1.727	1.0	True
MIR4435-2HG--ANAPC1	3	MIR4435-2HG	2482	chr2:111494885:-	ANAPC1	123110	chr2:111777057:-	ONLY_REF_SPLICE	7685684a-8487-4e53-b7a7-bea48fd1a944,2e40e409-6c6f-49e7-87fb-5c77942a6b72,2e0fc44d-7d9c-40ae-b179-24bc36d44105	1.727	["TCGA_StarF2019","CCLE_StarF2019"]	1.727	1.0	True
PARG--ENSG00000290453	3	PARG	11188	chr10:49885203:-	ENSG00000290453	32229	chr10:47544529:-	ONLY_REF_SPLICE	1fb9e7d3-f4c8-461e-bfee-ea06f3c2af28,fbd0b839-cb57-408f-917b-1da922821a04,87f51f3f-6407-4e71-83e7-e909591f7c2d	1.727	[]	1.727	1.0	True
SLC38A4-AS1--ENSG00000272369	3	SLC38A4-AS1	3783	chr12:46387972:+	ENSG00000272369	19729	chr12:46652390:+	ONLY_REF_SPLICE	603a5ea0-6147-4d97-9462-c8d911777283,f71f560e-0ba2-4ea4-a7a1-89aa5e01cb89,2233acba-be7a-460d-92d3-1de6a2e92b96	1.727	[]	1.727	1.0	True
ENSG00000286803--NCOA6	2	ENSG00000286803	1580	chr20:34741980:+	NCOA6	24470	chr20:34742834:-	INCL_NON_REF_SPLICE	ab852bfb-c775-42ae-bd21-4447a673f8bf,e71b5de7-f1a5-4115-9883-2f636d76f88f	1.151	[]	1.151	1.0	True
