#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
ENSG00000204894--PSPHP1	42	ENSG00000204894	1093	chr7:55761799:+	PSPHP1	5244	chr7:55773181:+	INCL_NON_REF_SPLICE	SRR5009516.5265,SRR5009469.1884,SRR5009424.7418,SRR5009425.7,SRR5009434.7095,SRR5009380.15377,SRR5009432.10845,SRR5009425.11431,SRR5009432.11603,SRR5009376.12539,SRR5009436.17098,SRR5009396.5156,SRR5009469.14214,SRR5009376.4086,SRR5009423.12878,SRR5009460.8899,SRR5009379.6339,SRR5009516.8039,SRR5009428.10423,SRR5009396.5302,SRR5009376.1181,SRR5009380.12652,SRR5009460.14586,SRR5009424.9711,SRR5009434.7345,SRR5009405.5264,SRR5009425.11281,SRR5009376.9260,SRR5009375.7919,SRR5009423.10189,SRR5009532.2844,SRR5009380.14942,SRR5009409.10214,SRR5009436.8464,SRR5009532.8496,SRR5009375.12323,SRR5009528.5900,SRR5009379.105,SRR5009469.6475,SRR5009428.3155,SRR5009460.10989,SRR5009402.6015	68.248	[]	68.248	1.0	True
COMMD10--AP3S1	21	COMMD10	4949	chr5:116092700:+	AP3S1	23931	chr5:115895087:+	ONLY_REF_SPLICE	SRR5009442.3217,SRR5009432.11811,SRR5009428.5907,SRR5009447.6398,SRR5009530.12500,SRR5009470.10437,SRR5009482.3962,SRR5009373.6548,SRR5009460.12596,SRR5009440.144,SRR5009434.1986,SRR5009516.4973,SRR5009404.248,SRR5009371.3917,SRR5009396.2569,SRR5009438.118,SRR5009433.4257,SRR5009451.1691,SRR5009470.12767,SRR5009523.1061,SRR5009434.13455	34.124	["GTEx_recurrent_StarF2019","DepMap2023","ChimerSeq","YOSHIHARA_TCGA","DEEPEST2019","Klijn_CellLines","ChimerPub","TumorFusionsNAR2018","INTRACHROMOSOMAL[chr5:0.17Mb]"]	34.124	1.0	True
ENSG00000204894--PSPHP1	6	ENSG00000204894	1092	chr7:55761798:+	PSPHP1	4391	chr7:55772328:+	INCL_NON_REF_SPLICE	SRR5009425.3402,SRR5009405.9818,SRR5009380.2150,SRR5009379.4354,SRR5009516.12753,SRR5009436.15968	9.75	[]	68.248	0.14286132926972217	True
COMMD10--AP3S1	2	COMMD10	4949	chr5:116092700:+	AP3S1	30441	chr5:115913362:+	ONLY_REF_SPLICE	SRR5009394.4179,SRR5009402.15001	3.25	["GTEx_recurrent_StarF2019","DepMap2023","ChimerSeq","YOSHIHARA_TCGA","DEEPEST2019","Klijn_CellLines","ChimerPub","TumorFusionsNAR2018","INTRACHROMOSOMAL[chr5:0.17Mb]"]	34.124	0.09524088617981478	True
SYNCRIP--B2M	2	SYNCRIP	2267	chr6:85642797:-	B2M	24255	chr15:44715423:+	ONLY_REF_SPLICE	SRR5009380.13335,SRR5009402.3760	3.25	["INTERCHROMOSOMAL[chr6--chr15]"]	3.25	1.0	True
RAD9A--TAF1D	1	RAD9A	2391	chr11:67321333:+	TAF1D	25259	chr11:93732291:-	ONLY_REF_SPLICE	SRR5009469.6254	1.625	["INTRACHROMOSOMAL[chr11:26.33Mb]"]	1.625	1.0	True
RNF43--LETMD1	1	RNF43	1579	chr17:58417017:-	LETMD1	18553	chr12:51049034:+	ONLY_REF_SPLICE	SRR5009398.3243	1.625	["INTERCHROMOSOMAL[chr17--chr12]"]	1.625	1.0	True
RNF114--PCIF1	1	RNF114	1217	chr20:49936552:+	PCIF1	14447	chr20:45937418:+	ONLY_REF_SPLICE	SRR5009375.12208	1.625	["INTRACHROMOSOMAL[chr20:3.99Mb]"]	1.625	1.0	True
RNF111--AKT2	1	RNF111	1406	chr15:58988068:+	AKT2	38835	chr19:40257054:-	ONLY_REF_SPLICE	SRR5009532.8311	1.625	["INTERCHROMOSOMAL[chr15--chr19]"]	1.625	1.0	True
RGPD6--NPHP1	1	RGPD6	2396	chr2:110576953:-	NPHP1	67854	chr2:110124063:-	ONLY_REF_SPLICE	SRR5009432.7993	1.625	["INTRACHROMOSOMAL[chr2:0.31Mb]"]	1.625	1.0	True
RCL1--FNDC7	1	RCL1	1284	chr9:4793227:+	FNDC7	20750	chr1:108717777:+	ONLY_REF_SPLICE	SRR5009532.8183	1.625	["INTERCHROMOSOMAL[chr9--chr1]"]	1.625	1.0	True
RAP1A--ZNG1C	1	RAP1A	2450	chr1:111619934:+	ZNG1C	43972	chr9:68285989:+	ONLY_REF_SPLICE	SRR5009376.4447	1.625	[]	1.625	1.0	True
RAB6A--NFE2L2	1	RAB6A	5504	chr11:73720846:-	NFE2L2	40025	chr2:177234271:-	ONLY_REF_SPLICE	SRR5009523.2420	1.625	["INTERCHROMOSOMAL[chr11--chr2]"]	1.625	1.0	True
RAB8A--TMEM87A	1	RAB8A	1137	chr19:16112025:+	TMEM87A	35331	chr15:42220135:-	ONLY_REF_SPLICE	SRR5009432.4731	1.625	["INTERCHROMOSOMAL[chr19--chr15]"]	1.625	1.0	True
RAB7A--RHOA	1	RAB7A	2348	chr3:128726359:+	RHOA	27186	chr3:49368548:-	ONLY_REF_SPLICE	SRR5009436.16803	1.625	["INTRACHROMOSOMAL[chr3:79.31Mb]"]	1.625	1.0	True
RPL13A--ILKAP	1	RPL13A	3451	chr19:49491099:+	ILKAP	9620	chr2:238194870:-	ONLY_REF_SPLICE	SRR5009442.1445	1.625	["INTERCHROMOSOMAL[chr19--chr2]"]	1.625	1.0	True
RAB35--GCN1	1	RAB35	1904	chr12:120116599:-	GCN1	55182	chr12:120127974:-	ONLY_REF_SPLICE	SRR5009428.15382	1.625	["DEEPEST2019","TCGA_StarF2019"]	1.625	1.0	True
PYCR3--PAFAH1B1	1	PYCR3	1316	chr8:143609458:-	PAFAH1B1	18331	chr17:2638099:+	ONLY_REF_SPLICE	SRR5009412.2027	1.625	[]	1.625	1.0	True
PSMD14--SPATA33	1	PSMD14	2495	chr2:161316569:+	SPATA33	22048	chr16:89658248:+	ONLY_REF_SPLICE	SRR5009435.2440	1.625	["INTERCHROMOSOMAL[chr2--chr16]"]	1.625	1.0	True
PSMD14--SEM1	1	PSMD14	14751	chr2:161395203:+	SEM1	28549	chr7:96688966:-	ONLY_REF_SPLICE	SRR5009425.8669	1.625	[]	1.625	1.0	True
RORA-AS1--SAE1	1	RORA-AS1	3441	chr15:60510533:+	SAE1	32145	chr19:47197233:+	ONLY_REF_SPLICE	SRR5009442.5841	1.625	["INTERCHROMOSOMAL[chr15--chr19]"]	1.625	1.0	True
RPL5--DONSON	1	RPL5	8139	chr1:92840639:+	DONSON	18160	chr21:33582055:-	ONLY_REF_SPLICE	SRR5009399.5028	1.625	["INTERCHROMOSOMAL[chr1--chr21]"]	1.625	1.0	True
RPL18--MSX1	1	RPL18	2869	chr19:48617316:-	MSX1	9835	chr4:4862701:+	ONLY_REF_SPLICE	SRR5009380.5413	1.625	["INTERCHROMOSOMAL[chr19--chr4]"]	1.625	1.0	True
POLR3H--SNU13	1	POLR3H	1616	chr22:41543991:-	SNU13	21431	chr22:41680364:-	ONLY_REF_SPLICE	SRR5009373.1211	1.625	[]	1.625	1.0	True
RPS12--EIF4A2	1	RPS12	2759	chr6:132816563:+	EIF4A2	10683	chr3:186787127:+	ONLY_REF_SPLICE	SRR5009532.11735	1.625	["INTERCHROMOSOMAL[chr6--chr3]"]	1.625	1.0	True
RPS12--LINC00326	1	RPS12	3257	chr6:132817061:+	LINC00326	18836	chr6:133106095:+	ONLY_REF_SPLICE	SRR5009402.15346	1.625	["INTRACHROMOSOMAL[chr6:0.27Mb]"]	1.625	1.0	True
RPS12--LINC00326	1	RPS12	3257	chr6:132817061:+	LINC00326	12022	chr6:133087780:+	ONLY_REF_SPLICE	SRR5009523.5042	1.625	["INTRACHROMOSOMAL[chr6:0.27Mb]"]	1.625	1.0	True
RPS12--LINC00326	1	RPS12	1656	chr6:132815224:+	LINC00326	18836	chr6:133106095:+	ONLY_REF_SPLICE	SRR5009432.12199	1.625	["INTRACHROMOSOMAL[chr6:0.27Mb]"]	1.625	1.0	True
RPS12--NDFIP1	1	RPS12	2759	chr6:132816563:+	NDFIP1	8020	chr5:142131808:+	ONLY_REF_SPLICE	SRR5009402.6574	1.625	["INTERCHROMOSOMAL[chr6--chr5]"]	1.625	1.0	True
RPS26--MXI1	1	RPS26	2252	chr12:56042602:+	MXI1	12107	chr10:110228189:+	ONLY_REF_SPLICE	SRR5009384.513	1.625	["INTERCHROMOSOMAL[chr12--chr10]"]	1.625	1.0	True
RPS29--CDCA4	1	RPS29	3884	chr14:49586285:-	CDCA4	17926	chr14:105011935:-	ONLY_REF_SPLICE	SRR5009416.655	1.625	["INTRACHROMOSOMAL[chr14:55.41Mb]"]	1.625	1.0	True
RSRC1--ZNF317	1	RSRC1	23767	chr3:158298075:+	ZNF317	48182	chr19:9163055:+	ONLY_REF_SPLICE	SRR5009460.8781	1.625	["INTERCHROMOSOMAL[chr3--chr19]"]	1.625	1.0	True
SAR1A--VDAC1	1	SAR1A	1111	chr10:70170413:-	VDAC1	20097	chr5:133993015:-	ONLY_REF_SPLICE	SRR5009414.7007	1.625	["INTERCHROMOSOMAL[chr10--chr5]"]	1.625	1.0	True
SCNN1A--BSCL2	1	SCNN1A	5943	chr12:6363443:-	BSCL2	27254	chr11:62694711:-	ONLY_REF_SPLICE	SRR5009540.4280	1.625	["INTERCHROMOSOMAL[chr12--chr11]"]	1.625	1.0	True
SEC14L1--KIF4A	1	SEC14L1	1523	chr17:77089271:+	KIF4A	34707	chrX:70290438:+	ONLY_REF_SPLICE	SRR5009435.140	1.625	["INTERCHROMOSOMAL[chr17--chrX]"]	1.625	1.0	True
SF1--NOLC1	1	SF1	3289	chr11:64776498:-	NOLC1	22396	chr10:102161833:+	ONLY_REF_SPLICE	SRR5009448.6239	1.625	["INTERCHROMOSOMAL[chr11--chr10]"]	1.625	1.0	True
SHLD2--ZNF131	1	SHLD2	8279	chr10:87170974:+	ZNF131	27268	chr5:43122039:+	ONLY_REF_SPLICE	SRR5009492.5622	1.625	[]	1.625	1.0	True
PPP2R5C--P4HA2	1	PPP2R5C	22697	chr14:101882271:+	P4HA2	62378	chr5:132198932:-	ONLY_REF_SPLICE	SRR5009380.6726	1.625	["INTERCHROMOSOMAL[chr14--chr5]"]	1.625	1.0	True
PLAUR--NUBP1	1	PLAUR	4732	chr19:43665316:-	NUBP1	27310	chr16:10767949:+	ONLY_REF_SPLICE	SRR5009402.7204	1.625	["INTERCHROMOSOMAL[chr19--chr16]"]	1.625	1.0	True
