##VERSION=0.4.1
##SAMPLE=UnnamedSample
##READTYPE=UNKNOWN
##TIME=2024-09-03T03:27:17.604573110Z
##COMMAND=pbfusion discover --gtf /Reference/annotation.bin --output-prefix /dataset/pbfusion/pbfusion --threads 50 --min-coverage 1 -b /dataset/pbfusion/NA12878_ONT_dRNA_Q10.bam
##INFO=<ID=RC,Number=1,Type=Int,Description="Number of reads supporting breakpoints">
##INFO=<ID=MD,Number=1,Type=Float,Description="Mean breakpoint variability (bp)">
##INFO=<ID=GN,Number=List,Type=String,Description="Gene names in breakpoint cluster from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GI,Number=List,Type=String,Description="Gene IDs from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GC,Number=List,Type=Int,Description="Read support counts per gene name">
##INFO=<ID=CL,Number=1,Type=String,Description="Annotation of alignment classes [Fusion, ReadThrough, Unannotated, or SenseAntisense]">
##INFO=<ID=MQ,Number=2,Type=Float,Description="Phred-encoded mean map qualities for source and sink breakpoints, respectively; averaged in error probability space, not phred scores">
##INFO=<ID=MI,Number=2,Type=Float,Description="Mean alignment identity for the source and sink breakpoints, respectively">
##INFO=<ID=SA,Number=2,Type=Int,Description="Supplemental alignment counts for the source and sink">
##INFO=<ID=BP,Number=1,Type=Int,Description="Number of breakpoint pairs in cluster">
##INFO=<ID=EX,Number=2,Type=Int,Description="Counts of exonic breakpoints for the source and sink">
##INFO=<ID=IN,Number=2,Type=Int,Description="Counts of intronic breakpoints for the source and sink">
##INFO=<ID=AC,Number=List,Type=String,Description="Annotation of all breakpoints supported by reads in this cluster.">
##EXTRA=<ID=RN,Number=List,Type=String,Description="Names of reads contributing support">
##EXTRA=<ID=ON,Number=List,Type=String,Description="Names of reads contributing support if read clustering was used">
##EXTRA=<ID=CB,Number=List,Type=String,Description="Single cell barcodes contributing support">
#chr1	start1	end1	chr2	start2	end2	id	score	strand1	strand2	info	extra
chrY	6718964	6718965	chr7	88206502	88206503	BP1613	MEDIUM	-	-	RC=7;MD=5.64;GN=SRIP3,SRI;GI=ENSG00000224953.1,ENSG00000075142.14;GC=7,7;CL=FUSION:7;MQ=19.8789,47.2488;MI=0.917062,0.901448;SA=5,2;BP=7;EX=7,7;IN=0,0;AC=chrY:6718964-/chr7:88206502-	RN=635bd7ac-0557-4756-87cb-bda4266251ee-ccs,6ef4e695-c6b8-4234-adeb-99535d28694a-ccs,20a50f60-a5d9-490c-aee1-2fe2c242dcc4-ccs,034b90ac-babd-4d7a-bd62-5bb334aed382-ccs,80af77e4-49d0-42f7-b2c0-34cd1c89ad5c-ccs,132e242d-604a-494c-8f4f-f87682ddea66-ccs,aabfff1a-c640-4b24-97c5-500665f7f8c0-ccs;ON=.;CB=.
chrY	6718964	6718965	chr7	88210129	88210130	BP1615	MEDIUM	-	-	RC=20;MD=3.12;GN=SRIP3,SRI;GI=ENSG00000224953.1,ENSG00000075142.14;GC=20,20;CL=FUSION:20;MQ=9.67668,13.2929;MI=0.916203,0.943906;SA=18,9;BP=20;EX=20,20;IN=0,0;AC=chrY:6718964-/chr7:88210129-	RN=184d3ed7-2432-4369-84eb-cf6616974ff1-ccs,3ddb5bfc-f6d0-4811-901b-71bd1be7b0ea-ccs,d92e8485-1562-4a48-8d37-7470b5e72c37-ccs,288c0c42-c640-4bea-a465-b2635a3b3d62-ccs,6e595121-f897-422a-b00c-458e61cddae8-ccs,1c8ff375-0b17-4757-b416-b184d0cd355b-ccs,48ee6dce-fc08-4ed9-9d10-195ee57fe74d-ccs,e924aef0-3d5a-47f5-9d16-90cbc32182b2-ccs,fe96ad99-9c39-4bb8-bf69-639d7e0cf961-ccs,0d13c954-9dcf-4590-80bd-1453657c2417-ccs,18d97a86-b0c9-403f-9767-8adc0d545efe-ccs,35db2cf0-c068-429f-8370-feb753d33e59-ccs,3d837b86-872c-451e-b84c-081ba2034f9a-ccs,2d692d49-25cf-4649-b738-6a5b800792a8-ccs,3c9cf8e7-17b9-4dea-8a65-0ce2eafc08d2-ccs,ebc90dfb-a319-4a0b-961a-7e403fbf5b6e-ccs,b8e341b1-1c86-44a9-b6e8-5ba69960a1db-ccs,4fa35cde-cb17-4d1c-a0c5-cc50cff45d67-ccs,fd0b4f54-4d21-4b1d-8c75-92c38b5c71a0-ccs,4692d2de-b9f5-4db1-8ecf-088e9941430e-ccs;ON=.;CB=.
chrY	6718970	6718971	chr7	88209449	88209450	BP1614	MEDIUM	-	-	RC=3;MD=1.67;GN=SRIP3,SRI;GI=ENSG00000224953.1,ENSG00000075142.14;GC=3,3;CL=FUSION:3;MQ=4.7178,45.8207;MI=0.920865,0.945148;SA=0,3;BP=3;EX=3,3;IN=0,0;AC=chrY:6718970-/chr7:88209449-	RN=c556ae22-65ff-4c34-af59-56de7371dffe-ccs,0edb4c71-d167-41e5-b4d0-117a4ae912e1-ccs,54368049-6c15-49de-a49e-798a8a69d2d3-ccs;ON=.;CB=.
chrY	3683103	3683104	chr13	27095824	27095825	BP1606	MEDIUM	+	-	RC=1;MD=0;GN=USP12,USP12PY;GI=ENSG00000152484.14,ENSG00000232927.1;GC=1,1;CL=FUSION:1;MQ=4.00484,60;MI=0.870035,0.861566;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr13:27171661-/chrY:3682736+,chrY:3683103+/chr13:27095824-	RN=efaa0c22-c0fd-4a45-962a-731dbabebe58-ccs;ON=.;CB=.
chrY	6901331	6901332	chr21	25724678	25724679	BP1609	MEDIUM	+	-	RC=1;MD=0;GN=ATP5PF,ATP5PFP1;GI=ENSG00000154723.13,ENSG00000237701.1;GC=1,1;CL=FUSION:1;MQ=32.0069,60;MI=0.876222,0.955056;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr21:25735313-/chrY:6901182+,chrY:6901331+/chr21:25724678-	RN=e876ade2-bef8-4754-ab23-a2c7fbb81ea3-ccs;ON=.;CB=.
chrY	13286887	13286888	chr14	35310736	35310737	BP1607	MEDIUM	+	+	RC=1;MD=0;GN=PSMA6,PSMA6P1;GI=ENSG00000100902.11,ENSG00000215414.4;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.929338,0.890208;SA=1,1;BP=1;EX=1,0;IN=0,1;AC=chr14:35294485+/chrY:13286725+,chrY:13286887+/chr14:35310736+	RN=ad0f7c13-0802-4be7-8204-31345054b987-ccs;ON=.;CB=.
chr11	9958997	9958998	chr1	182384709	182384710	BP831	MEDIUM	-	-	RC=2;MD=39.8;GN=ENSG00000254765,GLUL;GI=ENSG00000135821.19,ENSG00000254765.1;GC=2,2;CL=FUSION:2;MQ=5.7712,60;MI=0.874706,0.870315;SA=2,0;BP=2;EX=2,2;IN=0,0;AC=chr1:182388570-/chr11:9959636-,chr11:9958997-/chr1:182384709-	RN=37aaf60a-d2e0-480f-9295-39ba840cd29d-ccs,e57b0e2c-01cb-4c22-bef1-de32e19f699b-ccs;ON=.;CB=.
chr11	10797086	10797087	chr7	44467887	44467888	BP839	MEDIUM	-	+	RC=1;MD=0;GN=EIF4G2,RPL32P18;GI=ENSG00000110321.19,ENSG00000146677.7;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.912325,0.889135;SA=0,1;BP=1;EX=1,0;IN=0,0;AC=chr11:10797086-/chr7:44467887+	RN=ec09bce4-3ac8-437a-9cf9-a9fa97ca4d99-ccs;ON=.;CB=.
chr11	11351773	11351774	chr20	483789	483790	BP858	MEDIUM	-	-	RC=47;MD=109;GN=CSNK2A3,CSNK2A1;GI=ENSG00000254598.3,ENSG00000101266.19;GC=47,47;CL=FUSION:47;MQ=60,60;MI=0.885353,0.850781;SA=19,28;BP=47;EX=36,47;IN=11,0;AC=chr11:11351773-/chr20:483789-,chr20:495717-/chr11:11352608-	RN=bf29d8c3-6b68-4eb4-adbe-655e5acaa270-ccs,8c952a9b-99cd-4042-a90c-e7f180984253-ccs,ce00a9ba-1e76-4fb8-938b-b4f94361e5aa-ccs,394f7c39-5114-4220-890d-bc140278ca27-ccs,77be8ff5-cbb0-46f8-964f-f568205ccc1d-ccs,c7947709-c191-4ae4-aa7a-18e742a4396f-ccs,30b9ecff-20f8-4341-83c6-c5fc1a733ebf-ccs,d5e19d51-c4fb-42e1-988e-1726927d49e3-ccs,783e52ed-e302-4402-99ad-c188f38f6aac-ccs,e8bff494-e27e-406b-afb6-1f44f0f93eff-ccs,016a40e1-d65a-4486-afc9-ce0d4308f921-ccs,6fa66070-9d30-4df9-8b69-ba567f661f73-ccs,9cbe9f06-5be5-48fb-b6b8-07fe660692b7-ccs,c5f88573-2217-4066-b1a3-53f5a4c6554c-ccs,f867842d-46a0-4370-a1e2-d2171c63fe61-ccs,392a211b-bf8c-43ce-a15f-fb08e23365cc-ccs,b015c5fa-feb6-4a98-a993-181f55fe399c-ccs,8db9f273-d3ed-4607-bb60-e91cff7ff800-ccs,d4968350-bd83-45a4-9d5d-6fa2332a391b-ccs,5d28791a-ec98-453f-a4b5-64e77a596af2-ccs,e24623c7-bcf6-4ae2-b3e7-96a8b336001b-ccs,5212bc57-d545-4016-bca3-32053d33d84b-ccs,f7863d38-d0b3-4c3f-86b2-85ac4bc5e0f2-ccs,42442073-6365-4844-94b8-614f0b52f217-ccs,abd365da-b2be-476a-b929-4c6b5ab5f934-ccs,3fa05e9b-afd2-42bb-b1f6-7a00b80e5789-ccs,323960f4-86ac-4b8f-9382-b89bb109b7c0-ccs,8cc4148a-8bca-4959-8598-4f22e0f178c0-ccs,72d81132-952f-4316-82f2-9fdae040e135-ccs,cca9b1be-2422-4d9b-84af-bc93b592ebd1-ccs,0f649e55-3afe-4eab-a513-7029f650dc13-ccs,843ec9f5-57ea-47f3-bf27-b17816f8a12a-ccs,cd674f73-5933-4773-ae84-1bcaf42dc3ef-ccs,ac13cc0e-9ae1-46af-b6a3-9ae9b52217aa-ccs,b78bb21d-600b-472b-ba0f-29ccc6624819-ccs,c426a9bf-8652-4917-ac50-25fd0749f7bd-ccs,f8c72f7d-7d34-4e09-b562-b5bc82a0ed6f-ccs,0dcfb451-081c-48b5-bd5e-7711205ca0a7-ccs,69934dc6-d15e-4ca8-b647-cb3cc1b0eee6-ccs,ba63bc8c-163b-47c9-a430-23d457b5cad2-ccs,3249e908-47b7-4519-8f6c-1d3c3ae400ea-ccs,10f6d34b-4fac-4c4e-8c84-0cb2581d32e7-ccs,2884511a-0c9a-4117-9178-9db562b9180e-ccs,2c282447-baca-468a-bbfd-279f94486a9e-ccs,e486a90d-4864-4e3e-8578-a1af9cb78b7b-ccs,84afd891-22e7-4133-974d-50eaba8388d5-ccs,944abc03-5581-400e-89b3-e7050afd3128-ccs;ON=.;CB=.
chr11	11351911	11351912	chr20	473922	473923	BP857	MEDIUM	-	-	RC=1;MD=0;GN=CSNK2A3,CSNK2A1;GI=ENSG00000254598.3,ENSG00000101266.19;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.888889,0.866418;SA=0,1;BP=1;EX=0,1;IN=1,0;AC=chr11:11351911-/chr20:473922-	RN=a11faaad-7c04-4bc3-a763-a1f3e65d98ec-ccs;ON=.;CB=.
