sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
HepG2_ONT_dcDNA_Q10,ENSG00000257322:RBFOX2,chr12,93083710,-,chr22,35838650,-,Inf,0,19,NA,FALSE,TRUE,ERR6053067.1019065,508,LowConfidence,-
HepG2_ONT_dcDNA_Q10,DGKI:RBFOX2,chr7,137513825,-,chr22,35838650,-,Inf,0,11,NA,FALSE,TRUE,ERR6053067.415817,465,LowConfidence,-
HepG2_ONT_dcDNA_Q10,DGKI:ENSG00000257322,chr7,137513866,-,chr12,93083710,-,Inf,0,9,NA,FALSE,TRUE,ERR6053067.332602,471,LowConfidence,-
HepG2_ONT_dcDNA_Q10,IL6ST:RBFOX2,chr5,55944622,-,chr22,35838650,-,Inf,0,7,NA,FALSE,TRUE,ERR6053067.328285,477,LowConfidence,-
HepG2_ONT_dcDNA_Q10,IL6ST:ENSG00000257322,chr5,55944663,-,chr12,93083710,-,Inf,0,6,NA,FALSE,TRUE,ERR6053067.329481,484,LowConfidence,-
HepG2_ONT_dcDNA_Q10,IL6ST:DGKI,chr5,55944622,-,chr7,137513866,-,Inf,0,5,NA,FALSE,TRUE,ERR6053067.837949,475,LowConfidence,-
HepG2_ONT_dcDNA_Q10,IL6ST:RBFOX2,chr5,55944662,-,chr22,35838691,-,Inf,0,4,NA,FALSE,TRUE,ERR6053067.911729,472,LowConfidence,-
HepG2_ONT_dcDNA_Q10,DGKI:ENSG00000257322,chr7,137513822,-,chr12,93083625,-,Inf,0,4,NA,FALSE,TRUE,ERR6053067.967321,504,LowConfidence,-
HepG2_ONT_dcDNA_Q10,DGKI:IL6ST,chr7,137513824,-,chr5,55944664,-,Inf,0,3,NA,FALSE,TRUE,7189060e-a887-4792-b6af-aaefe94b09ca,486,LowConfidence,-
HepG2_ONT_dcDNA_Q10,RBFOX2:RPL41,chr22,35838686,-,chr12,56117487,+,Inf,0,3,NA,FALSE,TRUE,ERR6053067.499170,462,LowConfidence,-
HepG2_ONT_dcDNA_Q10,DGKI:RBFOX2,chr7,137513863,-,chr22,35838688,-,Inf,0,3,NA,FALSE,TRUE,ERR6053067.837939,488,LowConfidence,-
HepG2_ONT_dcDNA_Q10,DGKI:RPL41,chr7,137513866,-,chr12,56116637,+,Inf,0,3,NA,FALSE,TRUE,ERR6053067.825966,584,LowConfidence,-
HepG2_ONT_dcDNA_Q10,LYZ:ALDH5A1,chr12,69353487,+,chr6,24535781,+,Inf,0,2,NA,FALSE,TRUE,ERR6053067.636397,289,LowConfidence,-
HepG2_ONT_dcDNA_Q10,TPT1-AS1:ENSG00000285283,chr13,45391384,+,chr11,32097168,+,Inf,0,2,NA,FALSE,TRUE,ERR6053067.887383,2116,LowConfidence,-
HepG2_ONT_dcDNA_Q10,RBFOX2:ENSG00000257322,chr22,35838691,-,chr12,93083668,-,Inf,0,2,NA,FALSE,TRUE,ERR6053067.505521,483,LowConfidence,-
HepG2_ONT_dcDNA_Q10,UBE2D3:ARID3A,chr4,102796822,-,chr19,975738,+,Inf,0,2,NA,FALSE,TRUE,ERR6053067.682263,278,LowConfidence,-
HepG2_ONT_dcDNA_Q10,IL6ST:RPL41,chr5,55944621,-,chr12,56117560,+,Inf,0,2,NA,FALSE,TRUE,ERR6053067.993665,463,LowConfidence,-
HepG2_ONT_dcDNA_Q10,USP42:AIMP2,chr7,6115523,+,chr7,6015146,+,100.375,0,1,FALSE,TRUE,TRUE,ERR6053067.676344,1020,PotentialTransSplicing,-
HepG2_ONT_dcDNA_Q10,RBBP4:YARS1,chr1,32657572,+,chr1,32782539,-,124.971,0,1,FALSE,TRUE,TRUE,ERR6053067.721596,437,PotentialTransSplicing,-
HepG2_ONT_dcDNA_Q10,NRIP1:ENSG00000235609,chr21,15064745,-,chr21,14857708,-,207.039,0,1,FALSE,TRUE,FALSE,ERR6053067.953262,1595,PotentialTransSplicing,-
HepG2_ONT_dcDNA_Q10,HIPK2:BRAF,chr7,139715932,-,chr7,140850212,-,1134.276,0,1,FALSE,TRUE,TRUE,a9c07d2d-b9a7-442b-8010-fc25bf029eea,949,PotentialTransSplicing,-
HepG2_ONT_dcDNA_Q10,MLLT10:MALRD1,chr10,21681376,+,chr10,19257684,+,2423.689,0,1,FALSE,TRUE,TRUE,ERR6053067.967525,3854,PotentialTransSplicing,-
HepG2_ONT_dcDNA_Q10,LINC00607:SPAG16,chr2,215743814,-,chr2,213310059,+,2433.758,0,1,FALSE,TRUE,TRUE,844c291c-b9f4-42a5-bd66-3cfec654db88,945,PotentialTransSplicing,-
HepG2_ONT_dcDNA_Q10,PIK3C3:SMAD2,chr18,41990554,+,chr18,47841950,-,5851.398,0,1,FALSE,TRUE,TRUE,ERR6053067.339612,945,PotentialTransSplicing,-
