sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
AML_ONT_Q10,RUNX1:RUNX1T1,chr21,34859474,-,chr8,92017363,-,Inf,0,3,TRUE,TRUE,TRUE,SRR12048357.298978,2791,HighConfidence,Yes
AML_ONT_Q10,HARS2:IK,chr5,140691756,+,chr5,140653938,+,37.808,0,1,FALSE,TRUE,TRUE,SRR12048357.2815787,1501,PotentialTransSplicing,-
AML_ONT_Q10,MTG1:TUBGCP2,chr10,133402773,+,chr10,133302980,-,99.794,0,1,FALSE,TRUE,TRUE,SRR12048358.889247,2863,PotentialTransSplicing,-
AML_ONT_Q10,ACACA:AATF,chr17,37270751,-,chr17,37019005,+,251.748,0,1,TRUE,TRUE,TRUE,SRR12048357.5035302,482,PotentialTransSplicing,Yes
AML_ONT_Q10,CLK1:CASP10,chr2,200864564,-,chr2,201217588,+,353.028,0,1,FALSE,TRUE,TRUE,SRR12048357.182034,2526,PotentialTransSplicing,-
AML_ONT_Q10,ENSG00000289694:EIF4G3,chr1,22086866,+,chr1,20904971,-,1181.893,0,1,FALSE,TRUE,TRUE,SRR12048357.2617694,1333,PotentialTransSplicing,-
AML_ONT_Q10,BCL11A:B3GNT2,chr2,60553216,-,chr2,62222212,+,1668.995,0,1,FALSE,TRUE,TRUE,SRR12048357.109954,320,PotentialTransSplicing,-
AML_ONT_Q10,MED28:FBXL5,chr4,17623794,+,chr4,15612414,-,2011.38,0,1,TRUE,TRUE,TRUE,SRR12048357.3238387,602,PotentialTransSplicing,-
AML_ONT_Q10,EPS15:YIPF1,chr1,51444889,-,chr1,53871488,-,2426.596,0,1,FALSE,TRUE,TRUE,SRR12048357.1836907,1052,PotentialTransSplicing,-
AML_ONT_Q10,MAD1L1:WIPI2,chr7,2229984,-,chr7,5229608,+,2999.628,0,1,FALSE,TRUE,TRUE,SRR12048357.5031672,412,PotentialTransSplicing,-
AML_ONT_Q10,H2BC4:LINC02569,chr6,26123515,-,chr6,30518713,+,4395.197,0,1,FALSE,TRUE,TRUE,SRR12048357.4359603,483,PotentialTransSplicing,-
AML_ONT_Q10,BCL11A:PPP4R3B,chr2,60553216,-,chr2,55615506,-,4937.711,0,1,TRUE,TRUE,FALSE,SRR12048357.2985912,1043,PotentialTransSplicing,-
AML_ONT_Q10,RSRP1:ZCCHC17,chr1,25245150,-,chr1,31364032,+,6118.883,0,1,TRUE,TRUE,TRUE,SRR12048357.141002,978,PotentialTransSplicing,-
AML_ONT_Q10,FAM117B:STK17B,chr2,202696032,+,chr2,196163427,-,6532.602,0,1,TRUE,TRUE,TRUE,SRR12048357.4254064,297,PotentialTransSplicing,-
AML_ONT_Q10,EIF4A2:ZMAT3,chr3,186787882,+,chr3,179067809,-,7720.078,0,1,FALSE,TRUE,TRUE,SRR12048357.2368865,954,PotentialTransSplicing,-
AML_ONT_Q10,DLEU2:HMGB1,chr13,50125302,-,chr13,30463694,-,19661.611,0,1,FALSE,TRUE,FALSE,SRR12048357.394181,3276,PotentialTransSplicing,-
AML_ONT_Q10,OSBPL9:DNAJB4,chr1,51617221,+,chr1,78013051,+,26395.834,0,1,FALSE,TRUE,FALSE,SRR12048357.227547,1959,PotentialTransSplicing,-
AML_ONT_Q10,ERLIN1:DNAJC12,chr10,100174208,-,chr10,67805787,-,32368.423,0,1,TRUE,TRUE,FALSE,SRR12048357.1418223,612,PotentialTransSplicing,-
AML_ONT_Q10,SRSF3:PNRC1,chr6,36594481,+,chr6,89083753,+,52489.274,0,1,FALSE,TRUE,FALSE,SRR12048357.924004,1157,PotentialTransSplicing,-
AML_ONT_Q10,MBOAT1:PNRC1,chr6,20109598,-,chr6,89083753,+,68974.158,0,1,FALSE,TRUE,TRUE,SRR12048357.2720745,1164,PotentialTransSplicing,-
AML_ONT_Q10,KIT:ING2,chr4,54658081,+,chr4,183510282,+,128852.204,0,1,TRUE,TRUE,FALSE,SRR12048357.2112219,717,PotentialTransSplicing,-
AML_ONT_Q10,ENSG00000255835:SMAP2,chr1,225923701,-,chr1,40413016,+,185510.685,0,1,TRUE,TRUE,TRUE,SRR12048357.2339454,982,PotentialTransSplicing,-
AML_ONT_Q10,CTBP2:ATP2B1,chr10,125038997,-,chr12,89656107,-,Inf,0,1,FALSE,TRUE,TRUE,SRR12048357.1196075,1241,PotentialTransSplicing,-
AML_ONT_Q10,STAM:ZNF451,chr10,17660548,+,chr6,57161084,+,Inf,0,1,FALSE,TRUE,TRUE,SRR12048357.807750,1944,PotentialTransSplicing,-
AML_ONT_Q10,TASOR2:TBCK,chr10,5685175,+,chr4,106095641,-,Inf,0,1,FALSE,TRUE,TRUE,SRR12048357.264735,371,PotentialTransSplicing,-
AML_ONT_Q10,EXOSC10:ZC3H14,chr1,11076842,-,chr14,88574693,+,Inf,0,1,TRUE,TRUE,TRUE,SRR12048357.1884905,2265,PotentialTransSplicing,-
AML_ONT_Q10,EIF4G2:COMMD3-BMI1,chr11,10808705,-,chr10,22326431,+,Inf,0,1,FALSE,TRUE,TRUE,SRR12048357.349409,284,PotentialTransSplicing,-
AML_ONT_Q10,COPB1:UTP15,chr11,14476919,-,chr5,73579877,+,Inf,0,1,FALSE,TRUE,TRUE,SRR12048357.764135,547,PotentialTransSplicing,-
AML_ONT_Q10,MRPL23:UBC,chr11,1952855,+,chr12,124913774,-,Inf,0,1,TRUE,TRUE,TRUE,SRR12048357.435252,391,PotentialTransSplicing,-
AML_ONT_Q10,TRPT1:SZRD1,chr11,64224543,-,chr1,16395038,+,Inf,0,1,FALSE,TRUE,TRUE,SRR12048357.3845128,1095,PotentialTransSplicing,-
AML_ONT_Q10,ETV6:SPRY1,chr12,11752579,+,chr4,123401537,+,Inf,0,1,FALSE,TRUE,TRUE,SRR12048357.3945103,1829,PotentialTransSplicing,-
AML_ONT_Q10,C12orf43:UBB,chr12,121010828,-,chr17,16381902,+,Inf,0,1,FALSE,TRUE,TRUE,SRR12048357.695238,641,PotentialTransSplicing,-
