ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF01	PLEKHA7	EEF1A1P5	2	chr11	16975036	chr9	133019423	SRR12048357.7115118,SRR12048357.1000499
GF02	RAB3GAP2	ENSG00000272911	1	chr1	220202275	chr17	2688472	SRR12048357.1002108
GF03	ENSG00000284874	ZSCAN26	1	chr22	19724427	chr6	28276806	SRR12048357.100256
GF04	FOXN2	PTP4A1	1	chr2	48346200	chr6	63572716	SRR12048357.1002950
GF05	LINC02613	RPS27A	1	chr2	38481780	chr2	55232806	SRR12048357.1004324
GF06	ARGLU1	STX16-NPEPL1	1	chr13	106543604	chr20	58683555	SRR12048357.1004559
GF07	RPL37A	STRBP	1	chr2	216498843	chr9	123254330	SRR12048357.1004621
GF08	RPS3	TUBA1A	1	chr11	75399518	chr12	49184798	SRR12048357.1004944
GF09	NUP88	BPTF	1	chr17	5390145	chr17	67949501	SRR12048357.100555
GF012	RHOQ	DALRD3	1	chr2	46583582	chr3	49020842	SRR12048357.1005923
GF013	NUP98	ETNK1	1	chr11	3736631	chr12	22690647	SRR12048357.1006823
GF014	GGNBP2	TRIM24	1	chr17	36587941	chr7	138509717	SRR12048357.1006945
GF015	PHACTR4	LINC00907	1	chr1	28470606	chr18	42391747	SRR12048357.1007053
GF016	PRRC2C	IGFBP2	1	chr1	171488888	chr2	216664029	SRR12048357.1007675
GF017	RPL7A	PIN4	1	chr9	133348926	chrX	72276234	SRR12048357.1009115
GF018	RPL10P16	RPL10P9	2	chr19	12643264	chr5	168617066	SRR12048357.7276473
GF019	ENSG00000262560	GTF2A2	1	chr15	43792338	chr15	59657537	SRR12048357.1009563
GF020	PI4K2B	MRPL36	1	chr4	25234046	chr5	1799831	SRR12048357.1009575
GF021	ZNF263	ENSG00000243004	1	chr16	3291163	chr7	20002915	SRR12048357.100999
GF022	NDUFS4	RNF145	1	chr5	53605768	chr5	159200861	SRR12048357.1010146
GF023	SRSF6	IL6ST	1	chr20	43461370	chr5	55967313	SRR12048357.101071
GF024	HIPK1	H2AZ1	1	chr1	113977417	chr4	99950274	SRR12048357.1011557
GF025	RPL21P16	TDG	1	chr10	120355218	chr12	103965844	SRR12048357.1012494
GF026	TRIM5	RFX2	2	chr11	5669879	chr19	6065814	SRR12048357.101377
GF027	KIAA1328	RPS14	1	chr18	37079519	chr5	150449736	SRR12048357.1014456
GF028	PRKAR1A	PPIA	1	chr17	68512456	chr7	44796680	SRR12048357.1014493
GF029	FOS	BAALC-AS2	1	chr14	75282051	chr8	103138922	SRR12048357.101481
GF030	EIF3M	LARP7	1	chr11	32583838	chr4	112637178	SRR12048357.1015356
GF031	ARPP19	USP9X	2	chr15	52562910	chrX	41091773	SRR12048357.1016093
GF033	ITFG1	IL1RAPL1	1	chr16	47170767	chrX	28766804	SRR12048357.101619
GF034	THYN1	ENSG00000258790	1	chr11	134253351	chr14	35292424	SRR12048357.1016698
GF035	ATF3	PRPF40A	1	chr1	212590256	chr2	152661340	SRR12048357.101843
GF036	ENSG00000286816	STK17B	1	chr11	64490195	chr2	196152107	SRR12048357.1018731
GF037	TAPT1-AS1	CNOT7	1	chr4	16265518	chr8	17229852	SRR12048357.1019705
GF038	SLC9A1	MACF1	1	chr1	27146676	chr1	39393689	SRR12048357.1020356
GF039	SERBP1	COPA	1	chr1	67413119	chr1	160318472	SRR12048357.1020520
GF040	MRPL9	LARS1	1	chr1	151763488	chr5	146182637	SRR12048357.1020540
GF041	ZNF33A	H3-3B	1	chr10	38059382	chr17	75778087	SRR12048357.102189
GF042	CSNK1E	STAU2	1	chr22	38296917	chr8	73657786	SRR12048357.1022106
GF043	DACH1	ENSG00000291336	1	chr13	71634186	chr6	26136865	SRR12048357.1022188
