sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
A549_ONT_dRNA_Q10,CCDC32:CBX3,chr15,40562778,-,chr7,26201767,+,Inf,0,4,NA,FALSE,TRUE,11826211-770a-46eb-b886-b572bb0441e4,261,LowConfidence,Yes
A549_ONT_dRNA_Q10,ATP1A1-AS1:ATP1A1,chr1,116418459,-,chr1,116397888,+,20.573,0,1,FALSE,TRUE,TRUE,f8e29e4e-5e83-47fb-bd3a-63b7bb97d8c7,121,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,RICTOR:FYB1,chr5,39074111,-,chr5,39141141,-,67.027,0,1,FALSE,TRUE,TRUE,d0e0d8f6-8907-4af6-be65-699a4181a9e5,101,PotentialTransSplicing,Yes
A549_ONT_dRNA_Q10,CSE1L:STAU1,chr20,49058548,+,chr20,49135931,-,77.382,0,1,FALSE,TRUE,TRUE,6aaad1c9-6821-439c-95c9-f4e698a072e8,159,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,OSTM1:SNX3,chr6,108074250,-,chr6,108223045,-,148.793,0,1,TRUE,TRUE,TRUE,66134619-4422-4123-a712-514fdefb8f10,495,PotentialTransSplicing,Yes
A549_ONT_dRNA_Q10,VDAC1:ENSG00000272772,chr5,134004647,-,chr5,134174022,-,169.371,0,1,FALSE,TRUE,TRUE,4153a502-adc4-4eb0-986f-7a604663ba9a,112,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,ZBTB8OS:S100PBP,chr1,32650433,-,chr1,32825313,+,174.88,0,1,FALSE,TRUE,TRUE,8b7ac201-0c2a-4e87-bb7e-53d72de97809,90,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,DHDDS:CEP85,chr1,26438284,+,chr1,26257597,+,180.682,0,1,TRUE,TRUE,TRUE,9266d735-e7c9-48aa-a6bf-1588d3ded66f,276,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,SLC38A4-AS1:ENSG00000272369,chr12,46387972,+,chr12,46652390,+,264.428,0,1,FALSE,TRUE,FALSE,ea3c36ff-e1dc-45e2-a905-e37be584f87f,258,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,HSF1:PLEC,chr8,144291874,+,chr8,143922395,-,369.481,0,1,TRUE,TRUE,TRUE,17085ec3-7008-432e-bc42-400fcbe15d08,283,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,ENSG00000214719:NSRP1,chr17,30610942,+,chr17,30172542,+,438.397,0,1,FALSE,TRUE,TRUE,6f52e1b8-d5d7-4cc3-8cdf-0326dceaa0c4,570,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,TOLLIP:TSPAN4,chr11,1309466,-,chr11,862550,+,446.918,0,1,TRUE,TRUE,TRUE,ec6ceba2-8f3b-4224-bc7b-3e117f58510c,160,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,HCCS-DT:MID1,chrX,11055936,-,chrX,10584027,-,471.911,0,1,FALSE,TRUE,FALSE,015871bb-6b59-4680-92c1-0c71d7e71061,831,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,KANSL1:ARL17A,chr17,46094560,-,chr17,46570869,-,476.305,0,1,FALSE,TRUE,TRUE,93a9e623-bc52-4d2e-b961-0376e5266419,229,PotentialTransSplicing,Yes
A549_ONT_dRNA_Q10,PLSCR1:PLOD2,chr3,146544467,-,chr3,146035473,-,508.998,0,1,FALSE,TRUE,FALSE,24e1d7ef-f37d-4fb3-8278-4a28101136a7,219,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,CREB1:FASTKD2,chr2,207570321,+,chr2,206791683,+,778.637,0,1,FALSE,TRUE,TRUE,0ec408b1-46f6-4f95-8d06-afb97c5862d8,672,PotentialTransSplicing,Yes
A549_ONT_dRNA_Q10,CPEB4:ATP6V0E1,chr5,173950078,+,chr5,172994775,+,955.302,0,1,FALSE,TRUE,TRUE,991ef2ec-f515-4ca0-839c-ae7e02af1558,473,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,NUMBL:RPS16,chr19,40684417,-,chr19,39433761,-,1250.667,0,1,TRUE,TRUE,FALSE,e17f8807-e302-49d5-b1ee-45ea66982ee8,283,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,DCBLD2:NIT2,chr3,98808081,-,chr3,100352404,+,1544.321,0,1,TRUE,TRUE,TRUE,eb363723-a19c-4a1c-9986-090323f1a5ed,1008,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,ENSG00000285402:MAPK8,chr10,46398793,+,chr10,48401612,+,2002.822,0,1,FALSE,TRUE,FALSE,e58d0c49-4e9d-4194-b438-1f95515ba88f,338,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,NAT14:TRIM28,chr19,55485780,+,chr19,58545425,+,3059.648,0,1,FALSE,TRUE,FALSE,15f9ec99-483c-4d13-8e85-e5d792f45c8d,153,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,ENSG00000291073:LCMT1,chr16,21519828,-,chr16,25161102,+,3641.279,0,1,FALSE,TRUE,TRUE,47b2437f-4c53-4da4-8408-2d4e4dc75089,360,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,SCAMP1:BTF3,chr5,78388914,+,chr5,73502488,+,4886.424,0,1,TRUE,TRUE,TRUE,933be81e-7c6e-40e3-bde2-c70ad2840e27,162,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,HPS3:ATP1B3,chr3,149129940,+,chr3,141903620,+,7226.314,0,1,TRUE,TRUE,TRUE,38ba40e0-93c6-4520-a2ba-80e67d22f1ce,256,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,PSPH:CCT6P3,chr7,56051138,-,chr7,65070909,+,9019.764,0,1,FALSE,TRUE,TRUE,1914fca5-f3bb-437f-8aa7-d8b8b18bd7b7,302,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,MOSMO:ENSG00000291228,chr16,22008407,+,chr16,2613960,+,19394.443,0,1,FALSE,TRUE,TRUE,53cb3ff7-1b9b-4ac3-9b97-8ba4783eee03,180,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,WDR35:LRPPRC,chr2,19989992,-,chr2,43947370,-,23957.373,0,1,TRUE,TRUE,TRUE,8dbb8a45-c736-46d0-977e-ea6a16184174,147,PotentialTransSplicing,-
A549_ONT_dRNA_Q10,NCEH1:MUC13,chr3,172710847,-,chr3,124939520,-,47771.331,0,1,FALSE,TRUE,FALSE,12a32577-d714-4e38-8d65-e2bfa2d509a8,187,PotentialTransSplicing,-
