sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
H9_ONT_dRNA_Q10,TASOR2:GDI2,chr10,5685175,+,chr10,5800705,-,115.524,0,3,FALSE,TRUE,TRUE,7257f928-0b8f-47dc-b358-ff5a2c088c78,291,HighConfidence,-
H9_ONT_dRNA_Q10,ENSG00000280511:ENSG00000271945,chr6,76561664,+,chr6,76849641,+,287.977,0,3,NA,FALSE,FALSE,63de73ac-dc21-4c93-ba35-34a2e2902598,281,LowConfidence,-
H9_ONT_dRNA_Q10,CCDC32:CBX3,chr15,40562776,-,chr7,26201769,+,Inf,0,3,NA,FALSE,TRUE,a553c13e-a088-46f4-b4ac-9a02089df356,295,LowConfidence,Yes
H9_ONT_dRNA_Q10,KCNMB4:CNOT2,chr12,70367070,+,chr12,70353829,+,13.237,0,1,TRUE,TRUE,TRUE,2c4ca1be-8472-4e29-b93f-c822a3601181,599,PotentialTransSplicing,Yes
H9_ONT_dRNA_Q10,CCDC117:HSCB,chr22,28773778,+,chr22,28757078,+,16.699,0,1,FALSE,TRUE,TRUE,7ee1d13d-7f97-44c2-9f0d-fdff89a8914f,331,PotentialTransSplicing,-
H9_ONT_dRNA_Q10,PACC1:PPP2R5A,chr1,212375193,-,chr1,212356950,+,18.249,0,1,TRUE,TRUE,TRUE,a4bf270a-0bbf-4790-afb9-bc28d9f4dda7,993,PotentialTransSplicing,-
H9_ONT_dRNA_Q10,CSNK1G2:SCAMP4,chr19,1941418,+,chr19,1923070,+,18.344,0,1,FALSE,TRUE,TRUE,7c34617a-6495-4926-91b8-49f0143c103c,222,PotentialTransSplicing,-
H9_ONT_dRNA_Q10,UPF3A:CDC16,chr13,114282943,+,chr13,114257078,+,25.863,0,1,FALSE,TRUE,TRUE,75ca7f83-d2f5-4a30-9d73-db413e1d9e03,287,PotentialTransSplicing,Yes
H9_ONT_dRNA_Q10,TAF3:ATP5F1C,chr10,7824560,+,chr10,7797047,+,27.51,0,1,TRUE,TRUE,TRUE,91ed9ac7-d9ac-4610-abe0-0bac0acecc94,605,PotentialTransSplicing,-
H9_ONT_dRNA_Q10,CMBL:CCT5,chr5,10288422,-,chr5,10258111,+,30.314,0,1,TRUE,TRUE,TRUE,8644a3aa-a11b-4bb2-a8df-46fc8a3cd2d8,614,PotentialTransSplicing,-
H9_ONT_dRNA_Q10,ACSS2:GSS,chr20,34882989,+,chr20,34937023,-,54.034,0,1,TRUE,TRUE,TRUE,a2b7eff4-f6a9-4894-8679-42eb6801de08,459,PotentialTransSplicing,Yes
H9_ONT_dRNA_Q10,ENSG00000285920:NDUFAF1,chr15,41333050,+,chr15,41388522,-,55.474,0,1,TRUE,TRUE,TRUE,95cb941f-43e9-44c1-9816-c180277ea527,154,PotentialTransSplicing,-
H9_ONT_dRNA_Q10,USO1:G3BP2,chr4,75724885,+,chr4,75662049,-,62.834,0,1,TRUE,TRUE,TRUE,be932ac8-d52e-48a4-bf45-0cb1fc8a7ef2,260,PotentialTransSplicing,-
H9_ONT_dRNA_Q10,ST3GAL2:COG4,chr16,70438949,-,chr16,70519731,-,80.778,0,1,FALSE,TRUE,TRUE,1be46a6a-6bff-47e5-96fa-49c730db81fb,189,PotentialTransSplicing,Yes
H9_ONT_dRNA_Q10,SCAMP1:LHFPL2,chr5,78421960,+,chr5,78510398,-,88.442,0,1,FALSE,TRUE,TRUE,ff3dcea6-a05b-4af4-a07f-647f4244383e,749,PotentialTransSplicing,-
H9_ONT_dRNA_Q10,TMEM223:SLC3A2,chr11,62791679,-,chr11,62882908,+,91.228,0,1,TRUE,TRUE,TRUE,3b4ec934-3140-428e-9297-b30b67461f28,323,PotentialTransSplicing,-
